# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خندېدلی مخ;خندېدلی مخ|مخ|مسکا|مسکېدلی مخ
	👩🏿‍🦽‍➡️;ښځه د معلولينو په لاسي چوکۍ کې ښي خوا ته مخامخ;د معلولينو چوکۍ|رسوړتيا|ښځه|ښځه د معلولينو په لاسي چوکۍ کې|ښځه د معلولينو په لاسي چوکۍ کې ښي خوا ته مخامخ
🏃;شخص ځغلي;ځغښټ|شخص ځغلي|ميراتن
	🏃🏻;شخص ځغلي: د روڼ پوستکي ټون;ځغښټ|د روڼ پوستکي ټون|شخص ځغلي|شخص ځغلي: د روڼ پوستکي ټون|ميراتن
	🏃🏼;شخص ځغلي: غنمی-روښانه پوستکۍ;ځغښټ|شخص ځغلي|شخص ځغلي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|ميراتن
	🏃🏽;شخص ځغلي: غنم رنګه;ځغښټ|شخص ځغلي|شخص ځغلي: غنم رنګه|غنم رنګه|ميراتن
	🏃🏾;شخص ځغلي: غنمی-تورنګه پوستکۍ;ځغښټ|شخص ځغلي|شخص ځغلي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|ميراتن
	🏃🏿;شخص ځغلي: تور پوستکۍ;تور پوستکۍ|ځغښټ|شخص ځغلي|شخص ځغلي: تور پوستکۍ|ميراتن
🏃‍♂️;سړی ځغلي;ځغښت|سړی|سړی ځغلي|منډه وهل|ميراتن
	🏃🏻‍♂️;سړی ځغلي: د روڼ پوستکي ټون;ځغښت|د روڼ پوستکي ټون|سړی|سړی ځغلي|سړی ځغلي: د روڼ پوستکي ټون|منډه وهل|ميراتن
	🏃🏼‍♂️;سړی ځغلي: غنمی-روښانه پوستکۍ;ځغښت|سړی|سړی ځغلي|سړی ځغلي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|منډه وهل|ميراتن
	🏃🏽‍♂️;سړی ځغلي: غنم رنګه;ځغښت|سړی|سړی ځغلي|سړی ځغلي: غنم رنګه|غنم رنګه|منډه وهل|ميراتن
	🏃🏾‍♂️;سړی ځغلي: غنمی-تورنګه پوستکۍ;ځغښت|سړی|سړی ځغلي|سړی ځغلي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|منډه وهل|ميراتن
	🏃🏿‍♂️;سړی ځغلي: تور پوستکۍ;تور پوستکۍ|ځغښت|سړی|سړی ځغلي|سړی ځغلي: تور پوستکۍ|منډه وهل|ميراتن
🏃‍♀️;ښځه ځغلي;ځغښت|ښځه|ښځه ځغلي|منډه وهل|ميراتن
	🏃🏻‍♀️;ښځه ځغلي: د روڼ پوستکي ټون;ځغښت|د روڼ پوستکي ټون|ښځه|ښځه ځغلي|ښځه ځغلي: د روڼ پوستکي ټون|منډه وهل|ميراتن
	🏃🏼‍♀️;ښځه ځغلي: غنمی-روښانه پوستکۍ;ځغښت|ښځه|ښځه ځغلي|ښځه ځغلي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|منډه وهل|ميراتن
	🏃🏽‍♀️;ښځه ځغلي: غنم رنګه;ځغښت|ښځه|ښځه ځغلي|ښځه ځغلي: غنم رنګه|غنم رنګه|منډه وهل|ميراتن
	🏃🏾‍♀️;ښځه ځغلي: غنمی-تورنګه پوستکۍ;ځغښت|ښځه|ښځه ځغلي|ښځه ځغلي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|منډه وهل|ميراتن
	🏃🏿‍♀️;ښځه ځغلي: تور پوستکۍ;تور پوستکۍ|ځغښت|ښځه|ښځه ځغلي|ښځه ځغلي: تور پوستکۍ|منډه وهل|ميراتن
🏃‍➡️;شخص ځغلي ښي خوا ته مخامخ;ځغښټ|شخص ځغلي|شخص ځغلي ښي خوا ته مخامخ|ميراتن
	🏃🏻‍➡️;شخص ځغلي ښي خوا ته مخامخ;ځغښټ|شخص ځغلي|شخص ځغلي ښي خوا ته مخامخ|ميراتن
	🏃🏼‍➡️;شخص ځغلي ښي خوا ته مخامخ;ځغښټ|شخص ځغلي|شخص ځغلي ښي خوا ته مخامخ|ميراتن
	🏃🏽‍➡️;شخص ځغلي ښي خوا ته مخامخ;ځغښټ|شخص ځغلي|شخص ځغلي ښي خوا ته مخامخ|ميراتن
	🏃🏾‍➡️;شخص ځغلي ښي خوا ته مخامخ;ځغښټ|شخص ځغلي|شخص ځغلي ښي خوا ته مخامخ|ميراتن
	🏃🏿‍➡️;شخص ځغلي ښي خوا ته مخامخ;ځغښټ|شخص ځغلي|شخص ځغلي ښي خوا ته مخامخ|ميراتن
🏃‍♀️‍➡️;ښځه ځغلي ښي خوا ته مخامخ;ځغښت|ښځه|ښځه ځغلي|ښځه ځغلي ښي خوا ته مخامخ|منډه وهل|ميراتن
	🏃🏻‍♀️‍➡️;ښځه ځغلي ښي خوا ته مخامخ;ځغښت|ښځه|ښځه ځغلي|ښځه ځغلي ښي خوا ته مخامخ|منډه وهل|ميراتن
	🏃🏼‍♀️‍➡️;ښځه ځغلي ښي خوا ته مخامخ;ځغښت|ښځه|ښځه ځغلي|ښځه ځغلي ښي خوا ته مخامخ|منډه وهل|ميراتن
	🏃🏽‍♀️‍➡️;ښځه ځغلي ښي خوا ته مخامخ;ځغښت|ښځه|ښځه ځغلي|ښځه ځغلي ښي خوا ته مخامخ|منډه وهل|ميراتن
	🏃🏾‍♀️‍➡️;ښځه ځغلي ښي خوا ته مخامخ;ځغښت|ښځه|ښځه ځغلي|ښځه ځغلي ښي خوا ته مخامخ|منډه وهل|ميراتن
	🏃🏿‍♀️‍➡️;ښځه ځغلي ښي خوا ته مخامخ;ځغښت|ښځه|ښځه ځغلي|ښځه ځغلي ښي خوا ته مخامخ|منډه وهل|ميراتن
🏃‍♂️‍➡️;سړی ځغلي ښي خوا ته مخامخ;ځغښت|سړی|سړی ځغلي|سړی ځغلي ښي خوا ته مخامخ|منډه وهل|ميراتن
	🏃🏻‍♂️‍➡️;سړی ځغلي ښي خوا ته مخامخ;ځغښت|سړی|سړی ځغلي|سړی ځغلي ښي خوا ته مخامخ|منډه وهل|ميراتن
	🏃🏼‍♂️‍➡️;سړی ځغلي ښي خوا ته مخامخ;ځغښت|سړی|سړی ځغلي|سړی ځغلي ښي خوا ته مخامخ|منډه وهل|ميراتن
	🏃🏽‍♂️‍➡️;سړی ځغلي ښي خوا ته مخامخ;ځغښت|سړی|سړی ځغلي|سړی ځغلي ښي خوا ته مخامخ|منډه وهل|ميراتن
	🏃🏾‍♂️‍➡️;سړی ځغلي ښي خوا ته مخامخ;ځغښت|سړی|سړی ځغلي|سړی ځغلي ښي خوا ته مخامخ|منډه وهل|ميراتن
	🏃🏿‍♂️‍➡️;سړی ځغلي ښي خوا ته مخامخ;ځغښت|سړی|سړی ځغلي|سړی ځغلي ښي خوا ته مخامخ|منډه وهل|ميراتن
💃;ښځه نڅيږې;ښځه|ښځه نڅيږې|نڅا
	💃🏻;ښځه نڅيږې: د روڼ پوستکي ټون;د روڼ پوستکي ټون|ښځه|ښځه نڅيږې|ښځه نڅيږې: د روڼ پوستکي ټون|نڅا
	💃🏼;ښځه نڅيږې: غنمی-روښانه پوستکۍ;ښځه|ښځه نڅيږې|ښځه نڅيږې: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|نڅا
	💃🏽;ښځه نڅيږې: غنم رنګه;ښځه|ښځه نڅيږې|ښځه نڅيږې: غنم رنګه|غنم رنګه|نڅا
	💃🏾;ښځه نڅيږې: غنمی-تورنګه پوستکۍ;ښځه|ښځه نڅيږې|ښځه نڅيږې: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|نڅا
	💃🏿;ښځه نڅيږې: تور پوستکۍ;تور پوستکۍ|ښځه|ښځه نڅيږې|ښځه نڅيږې: تور پوستکۍ|نڅا
🕺;سړی نڅيږې;سړی|سړی نڅيږې|نڅا
	🕺🏻;سړی نڅيږې: د روڼ پوستکي ټون;د روڼ پوستکي ټون|سړی|سړی نڅيږې|سړی نڅيږې: د روڼ پوستکي ټون|نڅا
	🕺🏼;سړی نڅيږې: غنمی-روښانه پوستکۍ;سړی|سړی نڅيږې|سړی نڅيږې: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|نڅا
	🕺🏽;سړی نڅيږې: غنم رنګه;سړی|سړی نڅيږې|سړی نڅيږې: غنم رنګه|غنم رنګه|نڅا
	🕺🏾;سړی نڅيږې: غنمی-تورنګه پوستکۍ;سړی|سړی نڅيږې|سړی نڅيږې: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|نڅا
	🕺🏿;سړی نڅيږې: تور پوستکۍ;تور پوستکۍ|سړی|سړی نڅيږې|سړی نڅيږې: تور پوستکۍ|نڅا
🕴️;سړي په کالو کې اوچتيږي;سړي په کالو کې اوچتيږي|سړی|سوټ|کاروبار
	🕴🏻;سړي په کالو کې اوچتيږي: د روڼ پوستکي ټون;د روڼ پوستکي ټون|سړي په کالو کې اوچتيږي|سړي په کالو کې اوچتيږي: د روڼ پوستکي ټون|سړی|سوټ|کاروبار
	🕴🏼;سړي په کالو کې اوچتيږي: غنمی-روښانه پوستکۍ;سړي په کالو کې اوچتيږي|سړي په کالو کې اوچتيږي: غنمی-روښانه پوستکۍ|سړی|سوټ|غنمی-روښانه پوستکۍ|کاروبار
	🕴🏽;سړي په کالو کې اوچتيږي: غنم رنګه;سړي په کالو کې اوچتيږي|سړي په کالو کې اوچتيږي: غنم رنګه|سړی|سوټ|غنم رنګه|کاروبار
	🕴🏾;سړي په کالو کې اوچتيږي: غنمی-تورنګه پوستکۍ;سړي په کالو کې اوچتيږي|سړي په کالو کې اوچتيږي: غنمی-تورنګه پوستکۍ|سړی|سوټ|غنمی-تورنګه پوستکۍ|کاروبار
	🕴🏿;سړي په کالو کې اوچتيږي: تور پوستکۍ;تور پوستکۍ|سړي په کالو کې اوچتيږي|سړي په کالو کې اوچتيږي: تور پوستکۍ|سړی|سوټ|کاروبار
👯;خلک د سويې غوږونو سره;پارټي کول|خلک د سويې غوږونو سره|د سويې غوږ|نڅا کوونکی
👯‍♂️;سړی د سويې غوږونو سره;پارټي کول|د سويې غوږ|سړی د سويې غوږونو سره|نڅا کوونکی
👯‍♀️;ښځې د سويې غوږونو سره;پارټي کول|د سويې غوږ|ښځه د سويې غوږونو سره|ښځې د سويې غوږونو سره|نڅا کوونکی
🧖;شخص د پخار په خونه کې;د پخار خونه|ساونا|شخص د پخار په خونه کې
	🧖🏻;شخص د پخار په خونه کې: د روڼ پوستکي ټون;د پخار خونه|د روڼ پوستکي ټون|ساونا|شخص د پخار په خونه کې|شخص د پخار په خونه کې: د روڼ پوستکي ټون
	🧖🏼;شخص د پخار په خونه کې: غنمی-روښانه پوستکۍ;د پخار خونه|ساونا|شخص د پخار په خونه کې|شخص د پخار په خونه کې: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	🧖🏽;شخص د پخار په خونه کې: غنم رنګه;د پخار خونه|ساونا|شخص د پخار په خونه کې|شخص د پخار په خونه کې: غنم رنګه|غنم رنګه
	🧖🏾;شخص د پخار په خونه کې: غنمی-تورنګه پوستکۍ;د پخار خونه|ساونا|شخص د پخار په خونه کې|شخص د پخار په خونه کې: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	🧖🏿;شخص د پخار په خونه کې: تور پوستکۍ;تور پوستکۍ|د پخار خونه|ساونا|شخص د پخار په خونه کې|شخص د پخار په خونه کې: تور پوستکۍ
🧖‍♂️;سړی د پخار په خونه کې;د پخار خونه|ساونا|سړی د پخار په خونه کې
	🧖🏻‍♂️;سړی د پخار په خونه کې: د روڼ پوستکي ټون;د پخار خونه|د روڼ پوستکي ټون|ساونا|سړی د پخار په خونه کې|سړی د پخار په خونه کې: د روڼ پوستکي ټون
	🧖🏼‍♂️;سړی د پخار په خونه کې: غنمی-روښانه پوستکۍ;د پخار خونه|ساونا|سړی د پخار په خونه کې|سړی د پخار په خونه کې: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	🧖🏽‍♂️;سړی د پخار په خونه کې: غنم رنګه;د پخار خونه|ساونا|سړی د پخار په خونه کې|سړی د پخار په خونه کې: غنم رنګه|غنم رنګه
	🧖🏾‍♂️;سړی د پخار په خونه کې: غنمی-تورنګه پوستکۍ;د پخار خونه|ساونا|سړی د پخار په خونه کې|سړی د پخار په خونه کې: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	🧖🏿‍♂️;سړی د پخار په خونه کې: تور پوستکۍ;تور پوستکۍ|د پخار خونه|ساونا|سړی د پخار په خونه کې|سړی د پخار په خونه کې: تور پوستکۍ
🧖‍♀️;ښځه د پخار په خونه کې;د پخار خونه|ساونا|ښځه د پخار په خونه کې
	🧖🏻‍♀️;ښځه د پخار په خونه کې: د روڼ پوستکي ټون;د پخار خونه|د روڼ پوستکي ټون|ساونا|ښځه د پخار په خونه کې|ښځه د پخار په خونه کې: د روڼ پوستکي ټون
	🧖🏼‍♀️;ښځه د پخار په خونه کې: غنمی-روښانه پوستکۍ;د پخار خونه|ساونا|ښځه د پخار په خونه کې|ښځه د پخار په خونه کې: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	🧖🏽‍♀️;ښځه د پخار په خونه کې: غنم رنګه;د پخار خونه|ساونا|ښځه د پخار په خونه کې|ښځه د پخار په خونه کې: غنم رنګه|غنم رنګه
	🧖🏾‍♀️;ښځه د پخار په خونه کې: غنمی-تورنګه پوستکۍ;د پخار خونه|ساونا|ښځه د پخار په خونه کې|ښځه د پخار په خونه کې: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	🧖🏿‍♀️;ښځه د پخار په خونه کې: تور پوستکۍ;تور پوستکۍ|د پخار خونه|ساونا|ښځه د پخار په خونه کې|ښځه د پخار په خونه کې: تور پوستکۍ
🧗;شخص هسکېږي;ختونکی|شخص هسکيږې|شخص هسکېږي
	🧗🏻;شخص هسکېږي: د روڼ پوستکي ټون;ختونکی|د روڼ پوستکي ټون|شخص هسکيږې|شخص هسکېږي|شخص هسکېږي: د روڼ پوستکي ټون
	🧗🏼;شخص هسکېږي: غنمی-روښانه پوستکۍ;ختونکی|شخص هسکيږې|شخص هسکېږي|شخص هسکېږي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	🧗🏽;شخص هسکېږي: غنم رنګه;ختونکی|شخص هسکيږې|شخص هسکېږي|شخص هسکېږي: غنم رنګه|غنم رنګه
	🧗🏾;شخص هسکېږي: غنمی-تورنګه پوستکۍ;ختونکی|شخص هسکيږې|شخص هسکېږي|شخص هسکېږي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	🧗🏿;شخص هسکېږي: تور پوستکۍ;تور پوستکۍ|ختونکی|شخص هسکيږې|شخص هسکېږي|شخص هسکېږي: تور پوستکۍ
🧗‍♂️;سړی هسکېږي;ختونکی|سړی هسکيږې|سړی هسکېږي
	🧗🏻‍♂️;سړی هسکېږي: د روڼ پوستکي ټون;ختونکی|د روڼ پوستکي ټون|سړی هسکيږې|سړی هسکېږي|سړی هسکېږي: د روڼ پوستکي ټون
	🧗🏼‍♂️;سړی هسکېږي: غنمی-روښانه پوستکۍ;ختونکی|سړی هسکيږې|سړی هسکېږي|سړی هسکېږي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	🧗🏽‍♂️;سړی هسکېږي: غنم رنګه;ختونکی|سړی هسکيږې|سړی هسکېږي|سړی هسکېږي: غنم رنګه|غنم رنګه
	🧗🏾‍♂️;سړی هسکېږي: غنمی-تورنګه پوستکۍ;ختونکی|سړی هسکيږې|سړی هسکېږي|سړی هسکېږي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	🧗🏿‍♂️;سړی هسکېږي: تور پوستکۍ;تور پوستکۍ|ختونکی|سړی هسکيږې|سړی هسکېږي|سړی هسکېږي: تور پوستکۍ
🧗‍♀️;ښځه هسکيږې;ختونکی|ښځه هسکيږې
	🧗🏻‍♀️;ښځه هسکيږې: د روڼ پوستکي ټون;ختونکی|د روڼ پوستکي ټون|ښځه هسکيږې|ښځه هسکيږې: د روڼ پوستکي ټون
	🧗🏼‍♀️;ښځه هسکيږې: غنمی-روښانه پوستکۍ;ختونکی|ښځه هسکيږې|ښځه هسکيږې: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	🧗🏽‍♀️;ښځه هسکيږې: غنم رنګه;ختونکی|ښځه هسکيږې|ښځه هسکيږې: غنم رنګه|غنم رنګه
	🧗🏾‍♀️;ښځه هسکيږې: غنمی-تورنګه پوستکۍ;ختونکی|ښځه هسکيږې|ښځه هسکيږې: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	🧗🏿‍♀️;ښځه هسکيږې: تور پوستکۍ;تور پوستکۍ|ختونکی|ښځه هسکيږې|ښځه هسکيږې: تور پوستکۍ
🤺;شخص جنګېدل;توره|جنګېدل|جنګېدونکی|شخص جنګېدل
🏇;آس ځغلي;آس|آس ځغلي|جوکي|ځغښت|د ځغښټ آس
	🏇🏻;آس ځغلي: د روڼ پوستکي ټون;آس|آس ځغلي|آس ځغلي: د روڼ پوستکي ټون|جوکي|ځغښت|د ځغښټ آس|د روڼ پوستکي ټون
	🏇🏼;آس ځغلي: غنمی-روښانه پوستکۍ;آس|آس ځغلي|آس ځغلي: غنمی-روښانه پوستکۍ|جوکي|ځغښت|د ځغښټ آس|غنمی-روښانه پوستکۍ
	🏇🏽;آس ځغلي: غنم رنګه;آس|آس ځغلي|آس ځغلي: غنم رنګه|جوکي|ځغښت|د ځغښټ آس|غنم رنګه
	🏇🏾;آس ځغلي: غنمی-تورنګه پوستکۍ;آس|آس ځغلي|آس ځغلي: غنمی-تورنګه پوستکۍ|جوکي|ځغښت|د ځغښټ آس|غنمی-تورنګه پوستکۍ
	🏇🏿;آس ځغلي: تور پوستکۍ;آس|آس ځغلي|آس ځغلي: تور پوستکۍ|تور پوستکۍ|جوکي|ځغښت|د ځغښټ آس
⛷️;سکیر;سکي|سکير|سکیر|واوره
🏂;سنو بورډر;سکي|سنو بورډ|سنو بورډر|واوره
	🏂🏻;سنو بورډر: د روڼ پوستکي ټون;د روڼ پوستکي ټون|سکي|سنو بورډ|سنو بورډر|سنو بورډر: د روڼ پوستکي ټون|واوره
	🏂🏼;سنو بورډر: غنمی-روښانه پوستکۍ;سکي|سنو بورډ|سنو بورډر|سنو بورډر: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|واوره
	🏂🏽;سنو بورډر: غنم رنګه;سکي|سنو بورډ|سنو بورډر|سنو بورډر: غنم رنګه|غنم رنګه|واوره
	🏂🏾;سنو بورډر: غنمی-تورنګه پوستکۍ;سکي|سنو بورډ|سنو بورډر|سنو بورډر: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|واوره
	🏂🏿;سنو بورډر: تور پوستکۍ;تور پوستکۍ|سکي|سنو بورډ|سنو بورډر|سنو بورډر: تور پوستکۍ|واوره
🏌️;شخص ګالف کوي;بال|شخص ګالف کوي|ګالف
	🏌🏻;شخص ګالف کوي: د روڼ پوستکي ټون;بال|د روڼ پوستکي ټون|شخص ګالف کوي|شخص ګالف کوي: د روڼ پوستکي ټون|ګالف
	🏌🏼;شخص ګالف کوي: غنمی-روښانه پوستکۍ;بال|شخص ګالف کوي|شخص ګالف کوي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|ګالف
	🏌🏽;شخص ګالف کوي: غنم رنګه;بال|شخص ګالف کوي|شخص ګالف کوي: غنم رنګه|غنم رنګه|ګالف
	🏌🏾;شخص ګالف کوي: غنمی-تورنګه پوستکۍ;بال|شخص ګالف کوي|شخص ګالف کوي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|ګالف
	🏌🏿;شخص ګالف کوي: تور پوستکۍ;بال|تور پوستکۍ|شخص ګالف کوي|شخص ګالف کوي: تور پوستکۍ|ګالف
🏌️‍♂️;سړی ګالف کوي;سړی|سړی ګالف کوي|ګالف
	🏌🏻‍♂️;سړی ګالف کوي: د روڼ پوستکي ټون;د روڼ پوستکي ټون|سړی|سړی ګالف کوي|سړی ګالف کوي: د روڼ پوستکي ټون|ګالف
	🏌🏼‍♂️;سړی ګالف کوي: غنمی-روښانه پوستکۍ;سړی|سړی ګالف کوي|سړی ګالف کوي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|ګالف
	🏌🏽‍♂️;سړی ګالف کوي: غنم رنګه;سړی|سړی ګالف کوي|سړی ګالف کوي: غنم رنګه|غنم رنګه|ګالف
	🏌🏾‍♂️;سړی ګالف کوي: غنمی-تورنګه پوستکۍ;سړی|سړی ګالف کوي|سړی ګالف کوي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|ګالف
	🏌🏿‍♂️;سړی ګالف کوي: تور پوستکۍ;تور پوستکۍ|سړی|سړی ګالف کوي|سړی ګالف کوي: تور پوستکۍ|ګالف
🏌️‍♀️;ښځه ګالف کوي;ښځه|ښځه ګالف کوي|ګالف
	🏌🏻‍♀️;ښځه ګالف کوي: د روڼ پوستکي ټون;د روڼ پوستکي ټون|ښځه|ښځه ګالف کوي|ښځه ګالف کوي: د روڼ پوستکي ټون|ګالف
	🏌🏼‍♀️;ښځه ګالف کوي: غنمی-روښانه پوستکۍ;ښځه|ښځه ګالف کوي|ښځه ګالف کوي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|ګالف
	🏌🏽‍♀️;ښځه ګالف کوي: غنم رنګه;ښځه|ښځه ګالف کوي|ښځه ګالف کوي: غنم رنګه|غنم رنګه|ګالف
	🏌🏾‍♀️;ښځه ګالف کوي: غنمی-تورنګه پوستکۍ;ښځه|ښځه ګالف کوي|ښځه ګالف کوي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|ګالف
	🏌🏿‍♀️;ښځه ګالف کوي: تور پوستکۍ;تور پوستکۍ|ښځه|ښځه ګالف کوي|ښځه ګالف کوي: تور پوستکۍ|ګالف
🏄;شخص سرفنگ کوي;سرفنګ|شخص سرفنګ کوي|شخص سرفنگ کوي
	🏄🏻;شخص سرفنگ کوي: د روڼ پوستکي ټون;د روڼ پوستکي ټون|سرفنګ|شخص سرفنګ کوي|شخص سرفنگ کوي|شخص سرفنگ کوي: د روڼ پوستکي ټون
	🏄🏼;شخص سرفنگ کوي: غنمی-روښانه پوستکۍ;سرفنګ|شخص سرفنګ کوي|شخص سرفنگ کوي|شخص سرفنگ کوي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	🏄🏽;شخص سرفنگ کوي: غنم رنګه;سرفنګ|شخص سرفنګ کوي|شخص سرفنگ کوي|شخص سرفنگ کوي: غنم رنګه|غنم رنګه
	🏄🏾;شخص سرفنگ کوي: غنمی-تورنګه پوستکۍ;سرفنګ|شخص سرفنګ کوي|شخص سرفنگ کوي|شخص سرفنگ کوي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	🏄🏿;شخص سرفنگ کوي: تور پوستکۍ;تور پوستکۍ|سرفنګ|شخص سرفنګ کوي|شخص سرفنگ کوي|شخص سرفنگ کوي: تور پوستکۍ
🏄‍♂️;سړی سرفنګ;سرففنګ|سړی|سړی سرفنګ
	🏄🏻‍♂️;سړی سرفنګ: د روڼ پوستکي ټون;د روڼ پوستکي ټون|سرففنګ|سړی|سړی سرفنګ|سړی سرفنګ: د روڼ پوستکي ټون
	🏄🏼‍♂️;سړی سرفنګ: غنمی-روښانه پوستکۍ;سرففنګ|سړی|سړی سرفنګ|سړی سرفنګ: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	🏄🏽‍♂️;سړی سرفنګ: غنم رنګه;سرففنګ|سړی|سړی سرفنګ|سړی سرفنګ: غنم رنګه|غنم رنګه
	🏄🏾‍♂️;سړی سرفنګ: غنمی-تورنګه پوستکۍ;سرففنګ|سړی|سړی سرفنګ|سړی سرفنګ: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	🏄🏿‍♂️;سړی سرفنګ: تور پوستکۍ;تور پوستکۍ|سرففنګ|سړی|سړی سرفنګ|سړی سرفنګ: تور پوستکۍ
🏄‍♀️;ښځه سرفنګ;سرفنګ|ښځه
	🏄🏻‍♀️;ښځه سرفنګ: د روڼ پوستکي ټون;د روڼ پوستکي ټون|سرفنګ|ښځه|ښځه سرفنګ: د روڼ پوستکي ټون
	🏄🏼‍♀️;ښځه سرفنګ: غنمی-روښانه پوستکۍ;سرفنګ|ښځه|ښځه سرفنګ: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	🏄🏽‍♀️;ښځه سرفنګ: غنم رنګه;سرفنګ|ښځه|ښځه سرفنګ: غنم رنګه|غنم رنګه
	🏄🏾‍♀️;ښځه سرفنګ: غنمی-تورنګه پوستکۍ;سرفنګ|ښځه|ښځه سرفنګ: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	🏄🏿‍♀️;ښځه سرفنګ: تور پوستکۍ;تور پوستکۍ|سرفنګ|ښځه|ښځه سرفنګ: تور پوستکۍ
🚣;شخص کښتۍ چلوي;شخص کښتۍ چلوي|کښتۍ|کښتۍ چلول
	🚣🏻;شخص کښتۍ چلوي: د روڼ پوستکي ټون;د روڼ پوستکي ټون|شخص کښتۍ چلوي|شخص کښتۍ چلوي: د روڼ پوستکي ټون|کښتۍ|کښتۍ چلول
	🚣🏼;شخص کښتۍ چلوي: غنمی-روښانه پوستکۍ;شخص کښتۍ چلوي|شخص کښتۍ چلوي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|کښتۍ|کښتۍ چلول
	🚣🏽;شخص کښتۍ چلوي: غنم رنګه;شخص کښتۍ چلوي|شخص کښتۍ چلوي: غنم رنګه|غنم رنګه|کښتۍ|کښتۍ چلول
	🚣🏾;شخص کښتۍ چلوي: غنمی-تورنګه پوستکۍ;شخص کښتۍ چلوي|شخص کښتۍ چلوي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|کښتۍ|کښتۍ چلول
	🚣🏿;شخص کښتۍ چلوي: تور پوستکۍ;تور پوستکۍ|شخص کښتۍ چلوي|شخص کښتۍ چلوي: تور پوستکۍ|کښتۍ|کښتۍ چلول
🚣‍♂️;سړی کښتۍ چلوي;سړی|سړی کښتۍ چلوي|کښتۍ|کښتۍ چلول
	🚣🏻‍♂️;سړی کښتۍ چلوي: د روڼ پوستکي ټون;د روڼ پوستکي ټون|سړی|سړی کښتۍ چلوي|سړی کښتۍ چلوي: د روڼ پوستکي ټون|کښتۍ|کښتۍ چلول
	🚣🏼‍♂️;سړی کښتۍ چلوي: غنمی-روښانه پوستکۍ;سړی|سړی کښتۍ چلوي|سړی کښتۍ چلوي: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|کښتۍ|کښتۍ چلول
	🚣🏽‍♂️;سړی کښتۍ چلوي: غنم رنګه;سړی|سړی کښتۍ چلوي|سړی کښتۍ چلوي: غنم رنګه|غنم رنګه|کښتۍ|کښتۍ چلول
	🚣🏾‍♂️;سړی کښتۍ چلوي: غنمی-تورنګه پوستکۍ;سړی|سړی کښتۍ چلوي|سړی کښتۍ چلوي: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|کښتۍ|کښتۍ چلول
	🚣🏿‍♂️;سړی کښتۍ چلوي: تور پوستکۍ;تور پوستکۍ|سړی|سړی کښتۍ چلوي|سړی کښتۍ چلوي: تور پوستکۍ|کښتۍ|کښتۍ چلول
