# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;nevető arc;arc|nevetés|nevető arc
	🧝🏽‍♀️;női tünde: közepes bőrtónus;közepes bőrtónus|mágikus|női tünde|női tünde: közepes bőrtónus
	🧝🏾‍♀️;női tünde: közepesen sötét bőrtónus;közepesen sötét bőrtónus|mágikus|női tünde|női tünde: közepesen sötét bőrtónus
	🧝🏿‍♀️;női tünde: sötét bőrtónus;mágikus|női tünde|női tünde: sötét bőrtónus|sötét bőrtónus
🧞;dzsinn;dzsinn
🧞‍♂️;férfi dzsinn;dzsinn|férfi dzsinn
🧞‍♀️;női dzsinn;dzsinn|női dzsinn
🧟;zombi;élőhalott|élőholt|sétáló halott|zombi
🧟‍♂️;férfi zombi;élőhalott|élőholt|férfi zombi|sétáló halott
🧟‍♀️;női zombi;élőhalott|élőholt|női zombi|sétáló halott
🧌;troll;képzelet|szörny|troll|tündérmese
💆;arcmasszázs;arcmasszázs|masszázs
	💆🏻;arcmasszázs: világos bőrtónus;arcmasszázs|arcmasszázs: világos bőrtónus|masszázs|világos bőrtónus
	💆🏼;arcmasszázs: közepesen világos bőrtónus;arcmasszázs|arcmasszázs: közepesen világos bőrtónus|közepesen világos bőrtónus|masszázs
	💆🏽;arcmasszázs: közepes bőrtónus;arcmasszázs|arcmasszázs: közepes bőrtónus|közepes bőrtónus|masszázs
	💆🏾;arcmasszázs: közepesen sötét bőrtónus;arcmasszázs|arcmasszázs: közepesen sötét bőrtónus|közepesen sötét bőrtónus|masszázs
	💆🏿;arcmasszázs: sötét bőrtónus;arcmasszázs|arcmasszázs: sötét bőrtónus|masszázs|sötét bőrtónus
💆‍♂️;férfi arcmasszázson;arc|férfi|férfi arcmasszázson|masszázs
	💆🏻‍♂️;férfi arcmasszázson: világos bőrtónus;arc|férfi|férfi arcmasszázson|férfi arcmasszázson: világos bőrtónus|masszázs|világos bőrtónus
	💆🏼‍♂️;férfi arcmasszázson: közepesen világos bőrtónus;arc|férfi|férfi arcmasszázson|férfi arcmasszázson: közepesen világos bőrtónus|közepesen világos bőrtónus|masszázs
	💆🏽‍♂️;férfi arcmasszázson: közepes bőrtónus;arc|férfi|férfi arcmasszázson|férfi arcmasszázson: közepes bőrtónus|közepes bőrtónus|masszázs
	💆🏾‍♂️;férfi arcmasszázson: közepesen sötét bőrtónus;arc|férfi|férfi arcmasszázson|férfi arcmasszázson: közepesen sötét bőrtónus|közepesen sötét bőrtónus|masszázs
	💆🏿‍♂️;férfi arcmasszázson: sötét bőrtónus;arc|férfi|férfi arcmasszázson|férfi arcmasszázson: sötét bőrtónus|masszázs|sötét bőrtónus
💆‍♀️;nő arcmasszázson;arc|masszázs|nő|nő arcmasszázson
	💆🏻‍♀️;nő arcmasszázson: világos bőrtónus;arc|masszázs|nő|nő arcmasszázson|nő arcmasszázson: világos bőrtónus|világos bőrtónus
	💆🏼‍♀️;nő arcmasszázson: közepesen világos bőrtónus;arc|közepesen világos bőrtónus|masszázs|nő|nő arcmasszázson|nő arcmasszázson: közepesen világos bőrtónus
	💆🏽‍♀️;nő arcmasszázson: közepes bőrtónus;arc|közepes bőrtónus|masszázs|nő|nő arcmasszázson|nő arcmasszázson: közepes bőrtónus
	💆🏾‍♀️;nő arcmasszázson: közepesen sötét bőrtónus;arc|közepesen sötét bőrtónus|masszázs|nő|nő arcmasszázson|nő arcmasszázson: közepesen sötét bőrtónus
	💆🏿‍♀️;nő arcmasszázson: sötét bőrtónus;arc|masszázs|nő|nő arcmasszázson|nő arcmasszázson: sötét bőrtónus|sötét bőrtónus
💇;hajvágás;fodrász|fodrászat|hajvágás|szépségápolás
	💇🏻;hajvágás: világos bőrtónus;fodrász|fodrászat|hajvágás|hajvágás: világos bőrtónus|szépségápolás|világos bőrtónus
	💇🏼;hajvágás: közepesen világos bőrtónus;fodrász|fodrászat|hajvágás|hajvágás: közepesen világos bőrtónus|közepesen világos bőrtónus|szépségápolás
	💇🏽;hajvágás: közepes bőrtónus;fodrász|fodrászat|hajvágás|hajvágás: közepes bőrtónus|közepes bőrtónus|szépségápolás
	💇🏾;hajvágás: közepesen sötét bőrtónus;fodrász|fodrászat|hajvágás|hajvágás: közepesen sötét bőrtónus|közepesen sötét bőrtónus|szépségápolás
	💇🏿;hajvágás: sötét bőrtónus;fodrász|fodrászat|hajvágás|hajvágás: sötét bőrtónus|sötét bőrtónus|szépségápolás
💇‍♂️;férfi fodrásznál;férfi|férfi fodrásznál|fodrász|fodrászat|haj|hajvágás
	💇🏻‍♂️;férfi fodrásznál: világos bőrtónus;férfi|férfi fodrásznál|férfi fodrásznál: világos bőrtónus|fodrász|fodrászat|haj|hajvágás|világos bőrtónus
	💇🏼‍♂️;férfi fodrásznál: közepesen világos bőrtónus;férfi|férfi fodrásznál|férfi fodrásznál: közepesen világos bőrtónus|fodrász|fodrászat|haj|hajvágás|közepesen világos bőrtónus
	💇🏽‍♂️;férfi fodrásznál: közepes bőrtónus;férfi|férfi fodrásznál|férfi fodrásznál: közepes bőrtónus|fodrász|fodrászat|haj|hajvágás|közepes bőrtónus
	💇🏾‍♂️;férfi fodrásznál: közepesen sötét bőrtónus;férfi|férfi fodrásznál|férfi fodrásznál: közepesen sötét bőrtónus|fodrász|fodrászat|haj|hajvágás|közepesen sötét bőrtónus
	💇🏿‍♂️;férfi fodrásznál: sötét bőrtónus;férfi|férfi fodrásznál|férfi fodrásznál: sötét bőrtónus|fodrász|fodrászat|haj|hajvágás|sötét bőrtónus
💇‍♀️;nő fodrásznál;fodrász|fodrászat|haj|hajvágás|nő|nő fodrásznál
	💇🏻‍♀️;nő fodrásznál: világos bőrtónus;fodrász|fodrászat|haj|hajvágás|nő|nő fodrásznál|nő fodrásznál: világos bőrtónus|világos bőrtónus
	💇🏼‍♀️;nő fodrásznál: közepesen világos bőrtónus;fodrász|fodrászat|haj|hajvágás|közepesen világos bőrtónus|nő|nő fodrásznál|nő fodrásznál: közepesen világos bőrtónus
	💇🏽‍♀️;nő fodrásznál: közepes bőrtónus;fodrász|fodrászat|haj|hajvágás|közepes bőrtónus|nő|nő fodrásznál|nő fodrásznál: közepes bőrtónus
	💇🏾‍♀️;nő fodrásznál: közepesen sötét bőrtónus;fodrász|fodrászat|haj|hajvágás|közepesen sötét bőrtónus|nő|nő fodrásznál|nő fodrásznál: közepesen sötét bőrtónus
	💇🏿‍♀️;nő fodrásznál: sötét bőrtónus;fodrász|fodrászat|haj|hajvágás|nő|nő fodrásznál|nő fodrásznál: sötét bőrtónus|sötét bőrtónus
🚶;gyalogos;gyaloglás|gyalogos|séta
	🚶🏻;gyalogos: világos bőrtónus;gyaloglás|gyalogos|gyalogos: világos bőrtónus|séta|világos bőrtónus
	🚶🏼;gyalogos: közepesen világos bőrtónus;gyaloglás|gyalogos|gyalogos: közepesen világos bőrtónus|közepesen világos bőrtónus|séta
	🚶🏽;gyalogos: közepes bőrtónus;gyaloglás|gyalogos|gyalogos: közepes bőrtónus|közepes bőrtónus|séta
	🚶🏾;gyalogos: közepesen sötét bőrtónus;gyaloglás|gyalogos|gyalogos: közepesen sötét bőrtónus|közepesen sötét bőrtónus|séta
	🚶🏿;gyalogos: sötét bőrtónus;gyaloglás|gyalogos|gyalogos: sötét bőrtónus|séta|sötét bőrtónus
🚶‍♂️;sétáló férfi;férfi|séta|sétáló|túra
	🚶🏻‍♂️;sétáló férfi: világos bőrtónus;férfi|séta|sétáló|sétáló férfi: világos bőrtónus|túra|világos bőrtónus
	🚶🏼‍♂️;sétáló férfi: közepesen világos bőrtónus;férfi|közepesen világos bőrtónus|séta|sétáló|sétáló férfi: közepesen világos bőrtónus|túra
	🚶🏽‍♂️;sétáló férfi: közepes bőrtónus;férfi|közepes bőrtónus|séta|sétáló|sétáló férfi: közepes bőrtónus|túra
	🚶🏾‍♂️;sétáló férfi: közepesen sötét bőrtónus;férfi|közepesen sötét bőrtónus|séta|sétáló|sétáló férfi: közepesen sötét bőrtónus|túra
	🚶🏿‍♂️;sétáló férfi: sötét bőrtónus;férfi|séta|sétáló|sétáló férfi: sötét bőrtónus|sötét bőrtónus|túra
🚶‍♀️;sétáló nő;nő|séta|sétáló|túra
	🚶🏻‍♀️;sétáló nő: világos bőrtónus;nő|séta|sétáló|sétáló nő: világos bőrtónus|túra|világos bőrtónus
	🚶🏼‍♀️;sétáló nő: közepesen világos bőrtónus;közepesen világos bőrtónus|nő|séta|sétáló|sétáló nő: közepesen világos bőrtónus|túra
	🚶🏽‍♀️;sétáló nő: közepes bőrtónus;közepes bőrtónus|nő|séta|sétáló|sétáló nő: közepes bőrtónus|túra
	🚶🏾‍♀️;sétáló nő: közepesen sötét bőrtónus;közepesen sötét bőrtónus|nő|séta|sétáló|sétáló nő: közepesen sötét bőrtónus|túra
	🚶🏿‍♀️;sétáló nő: sötét bőrtónus;nő|séta|sétáló|sétáló nő: sötét bőrtónus|sötét bőrtónus|túra
🚶‍➡️;jobbra néző gyalogos;gyaloglás|gyalogos|jobbra néző gyalogos|séta
	🚶🏻‍➡️;jobbra néző gyalogos;gyaloglás|gyalogos|jobbra néző gyalogos|séta
	🚶🏼‍➡️;jobbra néző gyalogos;gyaloglás|gyalogos|jobbra néző gyalogos|séta
	🚶🏽‍➡️;jobbra néző gyalogos;gyaloglás|gyalogos|jobbra néző gyalogos|séta
	🚶🏾‍➡️;jobbra néző gyalogos;gyaloglás|gyalogos|jobbra néző gyalogos|séta
	🚶🏿‍➡️;jobbra néző gyalogos;gyaloglás|gyalogos|jobbra néző gyalogos|séta
🚶‍♀️‍➡️;jobbra néző sétáló nő;jobbra néző sétáló nő|nő|séta|sétáló|túra
	🚶🏻‍♀️‍➡️;jobbra néző sétáló nő;jobbra néző sétáló nő|nő|séta|sétáló|túra
	🚶🏼‍♀️‍➡️;jobbra néző sétáló nő;jobbra néző sétáló nő|nő|séta|sétáló|túra
	🚶🏽‍♀️‍➡️;jobbra néző sétáló nő;jobbra néző sétáló nő|nő|séta|sétáló|túra
	🚶🏾‍♀️‍➡️;jobbra néző sétáló nő;jobbra néző sétáló nő|nő|séta|sétáló|túra
	🚶🏿‍♀️‍➡️;jobbra néző sétáló nő;jobbra néző sétáló nő|nő|séta|sétáló|túra
🚶‍♂️‍➡️;jobbra néző sétáló férfi;férfi|jobbra néző sétáló férfi|séta|sétáló|túra
	🚶🏻‍♂️‍➡️;jobbra néző sétáló férfi;férfi|jobbra néző sétáló férfi|séta|sétáló|túra
	🚶🏼‍♂️‍➡️;jobbra néző sétáló férfi;férfi|jobbra néző sétáló férfi|séta|sétáló|túra
	🚶🏽‍♂️‍➡️;jobbra néző sétáló férfi;férfi|jobbra néző sétáló férfi|séta|sétáló|túra
	🚶🏾‍♂️‍➡️;jobbra néző sétáló férfi;férfi|jobbra néző sétáló férfi|séta|sétáló|túra
	🚶🏿‍♂️‍➡️;jobbra néző sétáló férfi;férfi|jobbra néző sétáló férfi|séta|sétáló|túra
🧍;álló ember;áll|álló|álló ember
	🧍🏻;álló ember: világos bőrtónus;áll|álló|álló ember|álló ember: világos bőrtónus|világos bőrtónus
	🧍🏼;álló ember: közepesen világos bőrtónus;áll|álló|álló ember|álló ember: közepesen világos bőrtónus|közepesen világos bőrtónus
	🧍🏽;álló ember: közepes bőrtónus;áll|álló|álló ember|álló ember: közepes bőrtónus|közepes bőrtónus
	🧍🏾;álló ember: közepesen sötét bőrtónus;áll|álló|álló ember|álló ember: közepesen sötét bőrtónus|közepesen sötét bőrtónus
	🧍🏿;álló ember: sötét bőrtónus;áll|álló|álló ember|álló ember: sötét bőrtónus|sötét bőrtónus
🧍‍♂️;álló férfi;áll|álló férfi|férfi
	🧍🏻‍♂️;álló férfi: világos bőrtónus;áll|álló férfi|álló férfi: világos bőrtónus|férfi|világos bőrtónus
	🧍🏼‍♂️;álló férfi: közepesen világos bőrtónus;áll|álló férfi|álló férfi: közepesen világos bőrtónus|férfi|közepesen világos bőrtónus
	🧍🏽‍♂️;álló férfi: közepes bőrtónus;áll|álló férfi|álló férfi: közepes bőrtónus|férfi|közepes bőrtónus
	🧍🏾‍♂️;álló férfi: közepesen sötét bőrtónus;áll|álló férfi|álló férfi: közepesen sötét bőrtónus|férfi|közepesen sötét bőrtónus
	🧍🏿‍♂️;álló férfi: sötét bőrtónus;áll|álló férfi|álló férfi: sötét bőrtónus|férfi|sötét bőrtónus
🧍‍♀️;álló nő;áll|álló nő|nő
	🧍🏻‍♀️;álló nő: világos bőrtónus;áll|álló nő|álló nő: világos bőrtónus|nő|világos bőrtónus
	🧍🏼‍♀️;álló nő: közepesen világos bőrtónus;áll|álló nő|álló nő: közepesen világos bőrtónus|közepesen világos bőrtónus|nő
	🧍🏽‍♀️;álló nő: közepes bőrtónus;áll|álló nő|álló nő: közepes bőrtónus|közepes bőrtónus|nő
	🧍🏾‍♀️;álló nő: közepesen sötét bőrtónus;áll|álló nő|álló nő: közepesen sötét bőrtónus|közepesen sötét bőrtónus|nő
	🧍🏿‍♀️;álló nő: sötét bőrtónus;áll|álló nő|álló nő: sötét bőrtónus|nő|sötét bőrtónus
🧎;térdelő ember;térdel|térdelő|térdelő ember
	🧎🏻;térdelő ember: világos bőrtónus;térdel|térdelő|térdelő ember|térdelő ember: világos bőrtónus|világos bőrtónus
	🧎🏼;térdelő ember: közepesen világos bőrtónus;közepesen világos bőrtónus|térdel|térdelő|térdelő ember|térdelő ember: közepesen világos bőrtónus
	🧎🏽;térdelő ember: közepes bőrtónus;közepes bőrtónus|térdel|térdelő|térdelő ember|térdelő ember: közepes bőrtónus
	🧎🏾;térdelő ember: közepesen sötét bőrtónus;közepesen sötét bőrtónus|térdel|térdelő|térdelő ember|térdelő ember: közepesen sötét bőrtónus
	🧎🏿;térdelő ember: sötét bőrtónus;sötét bőrtónus|térdel|térdelő|térdelő ember|térdelő ember: sötét bőrtónus
🧎‍♂️;térdelő férfi;férfi|térdel|térdelő férfi
	🧎🏻‍♂️;térdelő férfi: világos bőrtónus;férfi|térdel|térdelő férfi|térdelő férfi: világos bőrtónus|világos bőrtónus
	🧎🏼‍♂️;térdelő férfi: közepesen világos bőrtónus;férfi|közepesen világos bőrtónus|térdel|térdelő férfi|térdelő férfi: közepesen világos bőrtónus
	🧎🏽‍♂️;térdelő férfi: közepes bőrtónus;férfi|közepes bőrtónus|térdel|térdelő férfi|térdelő férfi: közepes bőrtónus
	🧎🏾‍♂️;térdelő férfi: közepesen sötét bőrtónus;férfi|közepesen sötét bőrtónus|térdel|térdelő férfi|térdelő férfi: közepesen sötét bőrtónus
	🧎🏿‍♂️;térdelő férfi: sötét bőrtónus;férfi|sötét bőrtónus|térdel|térdelő férfi|térdelő férfi: sötét bőrtónus
🧎‍♀️;térdelő nő;nő|térdel|térdelő nő
	🧎🏻‍♀️;térdelő nő: világos bőrtónus;nő|térdel|térdelő nő|térdelő nő: világos bőrtónus|világos bőrtónus
	🧎🏼‍♀️;térdelő nő: közepesen világos bőrtónus;közepesen világos bőrtónus|nő|térdel|térdelő nő|térdelő nő: közepesen világos bőrtónus
	🧎🏽‍♀️;térdelő nő: közepes bőrtónus;közepes bőrtónus|nő|térdel|térdelő nő|térdelő nő: közepes bőrtónus
	🧎🏾‍♀️;térdelő nő: közepesen sötét bőrtónus;közepesen sötét bőrtónus|nő|térdel|térdelő nő|térdelő nő: közepesen sötét bőrtónus
	🧎🏿‍♀️;térdelő nő: sötét bőrtónus;nő|sötét bőrtónus|térdel|térdelő nő|térdelő nő: sötét bőrtónus
🧎‍➡️;jobbra néző térdelő ember;jobbra néző térdelő ember|térdel|térdelő|térdelő ember
	🧎🏻‍➡️;jobbra néző térdelő ember;jobbra néző térdelő ember|térdel|térdelő|térdelő ember
	🧎🏼‍➡️;jobbra néző térdelő ember;jobbra néző térdelő ember|térdel|térdelő|térdelő ember
	🧎🏽‍➡️;jobbra néző térdelő ember;jobbra néző térdelő ember|térdel|térdelő|térdelő ember
	🧎🏾‍➡️;jobbra néző térdelő ember;jobbra néző térdelő ember|térdel|térdelő|térdelő ember
	🧎🏿‍➡️;jobbra néző térdelő ember;jobbra néző térdelő ember|térdel|térdelő|térdelő ember
🧎‍♀️‍➡️;jobbra néző térdelő nő;jobbra néző térdelő nő|nő|térdel|térdelő nő
	🧎🏻‍♀️‍➡️;jobbra néző térdelő nő;jobbra néző térdelő nő|nő|térdel|térdelő nő
	🧎🏼‍♀️‍➡️;jobbra néző térdelő nő;jobbra néző térdelő nő|nő|térdel|térdelő nő
	🧎🏽‍♀️‍➡️;jobbra néző térdelő nő;jobbra néző térdelő nő|nő|térdel|térdelő nő
	🧎🏾‍♀️‍➡️;jobbra néző térdelő nő;jobbra néző térdelő nő|nő|térdel|térdelő nő
	🧎🏿‍♀️‍➡️;jobbra néző térdelő nő;jobbra néző térdelő nő|nő|térdel|térdelő nő
🧎‍♂️‍➡️;jobbra néző térdelő férfi;férfi|jobbra néző térdelő férfi|térdel|térdelő férfi
	🧎🏻‍♂️‍➡️;jobbra néző térdelő férfi;férfi|jobbra néző térdelő férfi|térdel|térdelő férfi
	🧎🏼‍♂️‍➡️;jobbra néző térdelő férfi;férfi|jobbra néző térdelő férfi|térdel|térdelő férfi
	🧎🏽‍♂️‍➡️;jobbra néző térdelő férfi;férfi|jobbra néző térdelő férfi|térdel|térdelő férfi
	🧎🏾‍♂️‍➡️;jobbra néző térdelő férfi;férfi|jobbra néző térdelő férfi|térdel|térdelő férfi
	🧎🏿‍♂️‍➡️;jobbra néző térdelő férfi;férfi|jobbra néző térdelő férfi|térdel|térdelő férfi
🧑‍🦯;ember fehér bottal;akadálymentesség|ember fehér bottal|vak
	🧑🏻‍🦯;ember fehér bottal: világos bőrtónus;akadálymentesség|ember fehér bottal|ember fehér bottal: világos bőrtónus|vak|világos bőrtónus
	🧑🏼‍🦯;ember fehér bottal: közepesen világos bőrtónus;akadálymentesség|ember fehér bottal|ember fehér bottal: közepesen világos bőrtónus|közepesen világos bőrtónus|vak
	🧑🏽‍🦯;ember fehér bottal: közepes bőrtónus;akadálymentesség|ember fehér bottal|ember fehér bottal: közepes bőrtónus|közepes bőrtónus|vak
	🧑🏾‍🦯;ember fehér bottal: közepesen sötét bőrtónus;akadálymentesség|ember fehér bottal|ember fehér bottal: közepesen sötét bőrtónus|közepesen sötét bőrtónus|vak
	🧑🏿‍🦯;ember fehér bottal: sötét bőrtónus;akadálymentesség|ember fehér bottal|ember fehér bottal: sötét bőrtónus|sötét bőrtónus|vak
🧑‍🦯‍➡️;jobbra néző ember fehér bottal;akadálymentesség|ember fehér bottal|jobbra néző ember fehér bottal|vak
	🧑🏻‍🦯‍➡️;jobbra néző ember fehér bottal;akadálymentesség|ember fehér bottal|jobbra néző ember fehér bottal|vak
	🧑🏼‍🦯‍➡️;jobbra néző ember fehér bottal;akadálymentesség|ember fehér bottal|jobbra néző ember fehér bottal|vak
	🧑🏽‍🦯‍➡️;jobbra néző ember fehér bottal;akadálymentesség|ember fehér bottal|jobbra néző ember fehér bottal|vak
	🧑🏾‍🦯‍➡️;jobbra néző ember fehér bottal;akadálymentesség|ember fehér bottal|jobbra néző ember fehér bottal|vak
	🧑🏿‍🦯‍➡️;jobbra néző ember fehér bottal;akadálymentesség|ember fehér bottal|jobbra néző ember fehér bottal|vak
👨‍🦯;férfi fehér bottal;akadálymentesség|férfi|férfi fehér bottal|vak
	👨🏻‍🦯;férfi fehér bottal: világos bőrtónus;akadálymentesség|férfi|férfi fehér bottal|férfi fehér bottal: világos bőrtónus|vak|világos bőrtónus
	👨🏼‍🦯;férfi fehér bottal: közepesen világos bőrtónus;akadálymentesség|férfi|férfi fehér bottal|férfi fehér bottal: közepesen világos bőrtónus|közepesen világos bőrtónus|vak
	👨🏽‍🦯;férfi fehér bottal: közepes bőrtónus;akadálymentesség|férfi|férfi fehér bottal|férfi fehér bottal: közepes bőrtónus|közepes bőrtónus|vak
	👨🏾‍🦯;férfi fehér bottal: közepesen sötét bőrtónus;akadálymentesség|férfi|férfi fehér bottal|férfi fehér bottal: közepesen sötét bőrtónus|közepesen sötét bőrtónus|vak
	👨🏿‍🦯;férfi fehér bottal: sötét bőrtónus;akadálymentesség|férfi|férfi fehér bottal|férfi fehér bottal: sötét bőrtónus|sötét bőrtónus|vak
👨‍🦯‍➡️;jobbra néző férfi fehér bottal;akadálymentesség|férfi|férfi fehér bottal|jobbra néző férfi fehér bottal|vak
	👨🏻‍🦯‍➡️;jobbra néző férfi fehér bottal;akadálymentesség|férfi|férfi fehér bottal|jobbra néző férfi fehér bottal|vak
	👨🏼‍🦯‍➡️;jobbra néző férfi fehér bottal;akadálymentesség|férfi|férfi fehér bottal|jobbra néző férfi fehér bottal|vak
	👨🏽‍🦯‍➡️;jobbra néző férfi fehér bottal;akadálymentesség|férfi|férfi fehér bottal|jobbra néző férfi fehér bottal|vak
	👨🏾‍🦯‍➡️;jobbra néző férfi fehér bottal;akadálymentesség|férfi|férfi fehér bottal|jobbra néző férfi fehér bottal|vak
	👨🏿‍🦯‍➡️;jobbra néző férfi fehér bottal;akadálymentesség|férfi|férfi fehér bottal|jobbra néző férfi fehér bottal|vak
👩‍🦯;nő fehér bottal;akadálymentesség|nő|nő fehér bottal|vak
	👩🏻‍🦯;nő fehér bottal: világos bőrtónus;akadálymentesség|nő|nő fehér bottal|nő fehér bottal: világos bőrtónus|vak|világos bőrtónus
	👩🏼‍🦯;nő fehér bottal: közepesen világos bőrtónus;akadálymentesség|közepesen világos bőrtónus|nő|nő fehér bottal|nő fehér bottal: közepesen világos bőrtónus|vak
	👩🏽‍🦯;nő fehér bottal: közepes bőrtónus;akadálymentesség|közepes bőrtónus|nő|nő fehér bottal|nő fehér bottal: közepes bőrtónus|vak
	👩🏾‍🦯;nő fehér bottal: közepesen sötét bőrtónus;akadálymentesség|közepesen sötét bőrtónus|nő|nő fehér bottal|nő fehér bottal: közepesen sötét bőrtónus|vak
	👩🏿‍🦯;nő fehér bottal: sötét bőrtónus;akadálymentesség|nő|nő fehér bottal|nő fehér bottal: sötét bőrtónus|sötét bőrtónus|vak
👩‍🦯‍➡️;jobbra néző nő fehér bottal;akadálymentesség|jobbra néző nő fehér bottal|nő|nő fehér bottal|vak
	👩🏻‍🦯‍➡️;jobbra néző nő fehér bottal;akadálymentesség|jobbra néző nő fehér bottal|nő|nő fehér bottal|vak
	👩🏼‍🦯‍➡️;jobbra néző nő fehér bottal;akadálymentesség|jobbra néző nő fehér bottal|nő|nő fehér bottal|vak
	👩🏽‍🦯‍➡️;jobbra néző nő fehér bottal;akadálymentesség|jobbra néző nő fehér bottal|nő|nő fehér bottal|vak
	👩🏾‍🦯‍➡️;jobbra néző nő fehér bottal;akadálymentesség|jobbra néző nő fehér bottal|nő|nő fehér bottal|vak
	👩🏿‍🦯‍➡️;jobbra néző nő fehér bottal;akadálymentesség|jobbra néző nő fehér bottal|nő|nő fehér bottal|vak
🧑‍🦼;ember motoros kerekesszékben;akadálymentesség|ember motoros kerekesszékben|kerekesszék
	🧑🏻‍🦼;ember motoros kerekesszékben: világos bőrtónus;akadálymentesség|ember motoros kerekesszékben|ember motoros kerekesszékben: világos bőrtónus|kerekesszék|világos bőrtónus
	🧑🏼‍🦼;ember motoros kerekesszékben: közepesen világos bőrtónus;akadálymentesség|ember motoros kerekesszékben|ember motoros kerekesszékben: közepesen világos bőrtónus|kerekesszék|közepesen világos bőrtónus
	🧑🏽‍🦼;ember motoros kerekesszékben: közepes bőrtónus;akadálymentesség|ember motoros kerekesszékben|ember motoros kerekesszékben: közepes bőrtónus|kerekesszék|közepes bőrtónus
	🧑🏾‍🦼;ember motoros kerekesszékben: közepesen sötét bőrtónus;akadálymentesség|ember motoros kerekesszékben|ember motoros kerekesszékben: közepesen sötét bőrtónus|kerekesszék|közepesen sötét bőrtónus
	🧑🏿‍🦼;ember motoros kerekesszékben: sötét bőrtónus;akadálymentesség|ember motoros kerekesszékben|ember motoros kerekesszékben: sötét bőrtónus|kerekesszék|sötét bőrtónus
🧑‍🦼‍➡️;jobbra néző ember motoros kerekesszékben;akadálymentesség|ember motoros kerekesszékben|jobbra néző ember motoros kerekesszékben|kerekesszék
	🧑🏻‍🦼‍➡️;jobbra néző ember motoros kerekesszékben;akadálymentesség|ember motoros kerekesszékben|jobbra néző ember motoros kerekesszékben|kerekesszék
	🧑🏼‍🦼‍➡️;jobbra néző ember motoros kerekesszékben;akadálymentesség|ember motoros kerekesszékben|jobbra néző ember motoros kerekesszékben|kerekesszék
	🧑🏽‍🦼‍➡️;jobbra néző ember motoros kerekesszékben;akadálymentesség|ember motoros kerekesszékben|jobbra néző ember motoros kerekesszékben|kerekesszék
	🧑🏾‍🦼‍➡️;jobbra néző ember motoros kerekesszékben;akadálymentesség|ember motoros kerekesszékben|jobbra néző ember motoros kerekesszékben|kerekesszék
	🧑🏿‍🦼‍➡️;jobbra néző ember motoros kerekesszékben;akadálymentesség|ember motoros kerekesszékben|jobbra néző ember motoros kerekesszékben|kerekesszék
👨‍🦼;férfi motoros kerekesszékben;akadálymentesség|férfi|férfi motoros kerekesszékben|kerekesszék
	👨🏻‍🦼;férfi motoros kerekesszékben: világos bőrtónus;akadálymentesség|férfi|férfi motoros kerekesszékben|férfi motoros kerekesszékben: világos bőrtónus|kerekesszék|világos bőrtónus
	👨🏼‍🦼;férfi motoros kerekesszékben: közepesen világos bőrtónus;akadálymentesség|férfi|férfi motoros kerekesszékben|férfi motoros kerekesszékben: közepesen világos bőrtónus|kerekesszék|közepesen világos bőrtónus
	👨🏽‍🦼;férfi motoros kerekesszékben: közepes bőrtónus;akadálymentesség|férfi|férfi motoros kerekesszékben|férfi motoros kerekesszékben: közepes bőrtónus|kerekesszék|közepes bőrtónus
	👨🏾‍🦼;férfi motoros kerekesszékben: közepesen sötét bőrtónus;akadálymentesség|férfi|férfi motoros kerekesszékben|férfi motoros kerekesszékben: közepesen sötét bőrtónus|kerekesszék|közepesen sötét bőrtónus
	👨🏿‍🦼;férfi motoros kerekesszékben: sötét bőrtónus;akadálymentesség|férfi|férfi motoros kerekesszékben|férfi motoros kerekesszékben: sötét bőrtónus|kerekesszék|sötét bőrtónus
👨‍🦼‍➡️;jobbra néző férfi motoros kerekesszékben;akadálymentesség|férfi|férfi motoros kerekesszékben|jobbra néző férfi motoros kerekesszékben|kerekesszék
	👨🏻‍🦼‍➡️;jobbra néző férfi motoros kerekesszékben;akadálymentesség|férfi|férfi motoros kerekesszékben|jobbra néző férfi motoros kerekesszékben|kerekesszék
	👨🏼‍🦼‍➡️;jobbra néző férfi motoros kerekesszékben;akadálymentesség|férfi|férfi motoros kerekesszékben|jobbra néző férfi motoros kerekesszékben|kerekesszék
	👨🏽‍🦼‍➡️;jobbra néző férfi motoros kerekesszékben;akadálymentesség|férfi|férfi motoros kerekesszékben|jobbra néző férfi motoros kerekesszékben|kerekesszék
	👨🏾‍🦼‍➡️;jobbra néző férfi motoros kerekesszékben;akadálymentesség|férfi|férfi motoros kerekesszékben|jobbra néző férfi motoros kerekesszékben|kerekesszék
	👨🏿‍🦼‍➡️;jobbra néző férfi motoros kerekesszékben;akadálymentesség|férfi|férfi motoros kerekesszékben|jobbra néző férfi motoros kerekesszékben|kerekesszék
👩‍🦼;nő motoros kerekesszékben;akadálymentesség|kerekesszék|nő|nő motoros kerekesszékben
	👩🏻‍🦼;nő motoros kerekesszékben: világos bőrtónus;akadálymentesség|kerekesszék|nő|nő motoros kerekesszékben|nő motoros kerekesszékben: világos bőrtónus|világos bőrtónus
	👩🏼‍🦼;nő motoros kerekesszékben: közepesen világos bőrtónus;akadálymentesség|kerekesszék|közepesen világos bőrtónus|nő|nő motoros kerekesszékben|nő motoros kerekesszékben: közepesen világos bőrtónus
