# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;рӯи хандон;рӯи хандон|рӯй|фарох табассум кардан
	💆🏾;шахсе, ки паём гирифта истодааст: ранги торики миёнаи пӯст;ки паём гирифта истодааст|паём|ранги торики миёнаи пӯст|рӯй|толор|шахсе|шахсе, ки паём гирифта истодааст|шахсе, ки паём гирифта истодааст: ранги торики миёнаи пӯст
	💆🏿;шахсе, ки паём гирифта истодааст: ранги торики пӯст;ки паём гирифта истодааст|паём|ранги торики пӯст|рӯй|толор|шахсе|шахсе, ки паём гирифта истодааст|шахсе, ки паём гирифта истодааст: ранги торики пӯст
💆‍♂️;марде, ки паём гирифта истодааст;ки паём гирифта истодааст|мард|марде|марде, ки паём гирифта истодааст|паём|рӯй
	💆🏻‍♂️;марде, ки паём гирифта истодааст: ранги равшани пӯст;ки паём гирифта истодааст|мард|марде|марде, ки паём гирифта истодааст|марде, ки паём гирифта истодааст: ранги равшани пӯст|паём|ранги равшани пӯст|рӯй
	💆🏼‍♂️;марде, ки паём гирифта истодааст: ранги равшании миёнаи пӯст;ки паём гирифта истодааст|мард|марде|марде, ки паём гирифта истодааст|марде, ки паём гирифта истодааст: ранги равшании миёнаи пӯст|паём|ранги равшании миёнаи пӯст|рӯй
	💆🏽‍♂️;марде, ки паём гирифта истодааст: ранги миёнаи пӯст;ки паём гирифта истодааст|мард|марде|марде, ки паём гирифта истодааст|марде, ки паём гирифта истодааст: ранги миёнаи пӯст|паём|ранги миёнаи пӯст|рӯй
	💆🏾‍♂️;марде, ки паём гирифта истодааст: ранги торики миёнаи пӯст;ки паём гирифта истодааст|мард|марде|марде, ки паём гирифта истодааст|марде, ки паём гирифта истодааст: ранги торики миёнаи пӯст|паём|ранги торики миёнаи пӯст|рӯй
	💆🏿‍♂️;марде, ки паём гирифта истодааст: ранги торики пӯст;ки паём гирифта истодааст|мард|марде|марде, ки паём гирифта истодааст|марде, ки паём гирифта истодааст: ранги торики пӯст|паём|ранги торики пӯст|рӯй
💆‍♀️;зане, ки паём гирифта истодааст;зан|зане|зане, ки паём гирифта истодааст|ки паём гирифта истодааст|паём|рӯй
	💆🏻‍♀️;зане, ки паём гирифта истодааст: ранги равшани пӯст;зан|зане|зане, ки паём гирифта истодааст|зане, ки паём гирифта истодааст: ранги равшани пӯст|ки паём гирифта истодааст|паём|ранги равшани пӯст|рӯй
	💆🏼‍♀️;зане, ки паём гирифта истодааст: ранги равшании миёнаи пӯст;зан|зане|зане, ки паём гирифта истодааст|зане, ки паём гирифта истодааст: ранги равшании миёнаи пӯст|ки паём гирифта истодааст|паём|ранги равшании миёнаи пӯст|рӯй
	💆🏽‍♀️;зане, ки паём гирифта истодааст: ранги миёнаи пӯст;зан|зане|зане, ки паём гирифта истодааст|зане, ки паём гирифта истодааст: ранги миёнаи пӯст|ки паём гирифта истодааст|паём|ранги миёнаи пӯст|рӯй
	💆🏾‍♀️;зане, ки паём гирифта истодааст: ранги торики миёнаи пӯст;зан|зане|зане, ки паём гирифта истодааст|зане, ки паём гирифта истодааст: ранги торики миёнаи пӯст|ки паём гирифта истодааст|паём|ранги торики миёнаи пӯст|рӯй
	💆🏿‍♀️;зане, ки паём гирифта истодааст: ранги торики пӯст;зан|зане|зане, ки паём гирифта истодааст|зане, ки паём гирифта истодааст: ранги торики пӯст|ки паём гирифта истодааст|паём|ранги торики пӯст|рӯй
💇;шахсе, ки мӯи сарашро гирифта истодааст;кабинет|ки мӯи сарашро гирифта истодааст|мӯйгирӣ|сартарош|ҳусн|шахсе|шахсе, ки мӯи сарашро гирифта истодааст
	💇🏻;шахсе, ки мӯи сарашро гирифта истодааст: ранги равшани пӯст;кабинет|ки мӯи сарашро гирифта истодааст|мӯйгирӣ|ранги равшани пӯст|сартарош|ҳусн|шахсе|шахсе, ки мӯи сарашро гирифта истодааст|шахсе, ки мӯи сарашро гирифта истодааст: ранги равшани пӯст
	💇🏼;шахсе, ки мӯи сарашро гирифта истодааст: ранги равшании миёнаи пӯст;кабинет|ки мӯи сарашро гирифта истодааст|мӯйгирӣ|ранги равшании миёнаи пӯст|сартарош|ҳусн|шахсе|шахсе, ки мӯи сарашро гирифта истодааст|шахсе, ки мӯи сарашро гирифта истодааст: ранги равшании миёнаи пӯст
	💇🏽;шахсе, ки мӯи сарашро гирифта истодааст: ранги миёнаи пӯст;кабинет|ки мӯи сарашро гирифта истодааст|мӯйгирӣ|ранги миёнаи пӯст|сартарош|ҳусн|шахсе|шахсе, ки мӯи сарашро гирифта истодааст|шахсе, ки мӯи сарашро гирифта истодааст: ранги миёнаи пӯст
	💇🏾;шахсе, ки мӯи сарашро гирифта истодааст: ранги торики миёнаи пӯст;кабинет|ки мӯи сарашро гирифта истодааст|мӯйгирӣ|ранги торики миёнаи пӯст|сартарош|ҳусн|шахсе|шахсе, ки мӯи сарашро гирифта истодааст|шахсе, ки мӯи сарашро гирифта истодааст: ранги торики миёнаи пӯст
	💇🏿;шахсе, ки мӯи сарашро гирифта истодааст: ранги торики пӯст;кабинет|ки мӯи сарашро гирифта истодааст|мӯйгирӣ|ранги торики пӯст|сартарош|ҳусн|шахсе|шахсе, ки мӯи сарашро гирифта истодааст|шахсе, ки мӯи сарашро гирифта истодааст: ранги торики пӯст
💇‍♂️;марде, ки мӯи сарашро гирифта истодааст;ки мӯи сарашро гирифта истодааст|мард|марде|марде, ки мӯи сарашро гирифта истодааст|мӯйгирӣ
	💇🏻‍♂️;марде, ки мӯи сарашро гирифта истодааст: ранги равшани пӯст;ки мӯи сарашро гирифта истодааст|мард|марде|марде, ки мӯи сарашро гирифта истодааст|марде, ки мӯи сарашро гирифта истодааст: ранги равшани пӯст|мӯйгирӣ|ранги равшани пӯст
	💇🏼‍♂️;марде, ки мӯи сарашро гирифта истодааст: ранги равшании миёнаи пӯст;ки мӯи сарашро гирифта истодааст|мард|марде|марде, ки мӯи сарашро гирифта истодааст|марде, ки мӯи сарашро гирифта истодааст: ранги равшании миёнаи пӯст|мӯйгирӣ|ранги равшании миёнаи пӯст
	💇🏽‍♂️;марде, ки мӯи сарашро гирифта истодааст: ранги миёнаи пӯст;ки мӯи сарашро гирифта истодааст|мард|марде|марде, ки мӯи сарашро гирифта истодааст|марде, ки мӯи сарашро гирифта истодааст: ранги миёнаи пӯст|мӯйгирӣ|ранги миёнаи пӯст
	💇🏾‍♂️;марде, ки мӯи сарашро гирифта истодааст: ранги торики миёнаи пӯст;ки мӯи сарашро гирифта истодааст|мард|марде|марде, ки мӯи сарашро гирифта истодааст|марде, ки мӯи сарашро гирифта истодааст: ранги торики миёнаи пӯст|мӯйгирӣ|ранги торики миёнаи пӯст
	💇🏿‍♂️;марде, ки мӯи сарашро гирифта истодааст: ранги торики пӯст;ки мӯи сарашро гирифта истодааст|мард|марде|марде, ки мӯи сарашро гирифта истодааст|марде, ки мӯи сарашро гирифта истодааст: ранги торики пӯст|мӯйгирӣ|ранги торики пӯст
💇‍♀️;зане, ки мӯи сарашро гирифта истодааст;зан|зане|зане, ки мӯи сарашро гирифта истодааст|ки мӯи сарашро гирифта истодааст|мӯйгирӣ
	💇🏻‍♀️;зане, ки мӯи сарашро гирифта истодааст: ранги равшани пӯст;зан|зане|зане, ки мӯи сарашро гирифта истодааст|зане, ки мӯи сарашро гирифта истодааст: ранги равшани пӯст|ки мӯи сарашро гирифта истодааст|мӯйгирӣ|ранги равшани пӯст
	💇🏼‍♀️;зане, ки мӯи сарашро гирифта истодааст: ранги равшании миёнаи пӯст;зан|зане|зане, ки мӯи сарашро гирифта истодааст|зане, ки мӯи сарашро гирифта истодааст: ранги равшании миёнаи пӯст|ки мӯи сарашро гирифта истодааст|мӯйгирӣ|ранги равшании миёнаи пӯст
	💇🏽‍♀️;зане, ки мӯи сарашро гирифта истодааст: ранги миёнаи пӯст;зан|зане|зане, ки мӯи сарашро гирифта истодааст|зане, ки мӯи сарашро гирифта истодааст: ранги миёнаи пӯст|ки мӯи сарашро гирифта истодааст|мӯйгирӣ|ранги миёнаи пӯст
	💇🏾‍♀️;зане, ки мӯи сарашро гирифта истодааст: ранги торики миёнаи пӯст;зан|зане|зане, ки мӯи сарашро гирифта истодааст|зане, ки мӯи сарашро гирифта истодааст: ранги торики миёнаи пӯст|ки мӯи сарашро гирифта истодааст|мӯйгирӣ|ранги торики миёнаи пӯст
	💇🏿‍♀️;зане, ки мӯи сарашро гирифта истодааст: ранги торики пӯст;зан|зане|зане, ки мӯи сарашро гирифта истодааст|зане, ки мӯи сарашро гирифта истодааст: ранги торики пӯст|ки мӯи сарашро гирифта истодааст|мӯйгирӣ|ранги торики пӯст
🚶;шахсе, ки роҳ гашта истодааст;ки роҳ гашта истодааст|роҳ гаштан|роҳгардӣ|саёҳат кардан|шахсе|шахсе, ки роҳ гашта истодааст
	🚶🏻;шахсе, ки роҳ гашта истодааст: ранги равшани пӯст;ки роҳ гашта истодааст|ранги равшани пӯст|роҳ гаштан|роҳгардӣ|саёҳат кардан|шахсе|шахсе, ки роҳ гашта истодааст|шахсе, ки роҳ гашта истодааст: ранги равшани пӯст
	🚶🏼;шахсе, ки роҳ гашта истодааст: ранги равшании миёнаи пӯст;ки роҳ гашта истодааст|ранги равшании миёнаи пӯст|роҳ гаштан|роҳгардӣ|саёҳат кардан|шахсе|шахсе, ки роҳ гашта истодааст|шахсе, ки роҳ гашта истодааст: ранги равшании миёнаи пӯст
	🚶🏽;шахсе, ки роҳ гашта истодааст: ранги миёнаи пӯст;ки роҳ гашта истодааст|ранги миёнаи пӯст|роҳ гаштан|роҳгардӣ|саёҳат кардан|шахсе|шахсе, ки роҳ гашта истодааст|шахсе, ки роҳ гашта истодааст: ранги миёнаи пӯст
	🚶🏾;шахсе, ки роҳ гашта истодааст: ранги торики миёнаи пӯст;ки роҳ гашта истодааст|ранги торики миёнаи пӯст|роҳ гаштан|роҳгардӣ|саёҳат кардан|шахсе|шахсе, ки роҳ гашта истодааст|шахсе, ки роҳ гашта истодааст: ранги торики миёнаи пӯст
	🚶🏿;шахсе, ки роҳ гашта истодааст: ранги торики пӯст;ки роҳ гашта истодааст|ранги торики пӯст|роҳ гаштан|роҳгардӣ|саёҳат кардан|шахсе|шахсе, ки роҳ гашта истодааст|шахсе, ки роҳ гашта истодааст: ранги торики пӯст
🚶‍♂️;марде, роҳ гашта истодааст;мард|марде|марде, роҳ гашта истодааст|роҳ гашта истодааст|роҳ гаштан|саёҳат кардан
	🚶🏻‍♂️;марде, роҳ гашта истодааст: ранги равшани пӯст;мард|марде|марде, роҳ гашта истодааст|марде, роҳ гашта истодааст: ранги равшани пӯст|ранги равшани пӯст|роҳ гашта истодааст|роҳ гаштан|саёҳат кардан
	🚶🏼‍♂️;марде, роҳ гашта истодааст: ранги равшании миёнаи пӯст;мард|марде|марде, роҳ гашта истодааст|марде, роҳ гашта истодааст: ранги равшании миёнаи пӯст|ранги равшании миёнаи пӯст|роҳ гашта истодааст|роҳ гаштан|саёҳат кардан
	🚶🏽‍♂️;марде, роҳ гашта истодааст: ранги миёнаи пӯст;мард|марде|марде, роҳ гашта истодааст|марде, роҳ гашта истодааст: ранги миёнаи пӯст|ранги миёнаи пӯст|роҳ гашта истодааст|роҳ гаштан|саёҳат кардан
	🚶🏾‍♂️;марде, роҳ гашта истодааст: ранги торики миёнаи пӯст;мард|марде|марде, роҳ гашта истодааст|марде, роҳ гашта истодааст: ранги торики миёнаи пӯст|ранги торики миёнаи пӯст|роҳ гашта истодааст|роҳ гаштан|саёҳат кардан
	🚶🏿‍♂️;марде, роҳ гашта истодааст: ранги торики пӯст;мард|марде|марде, роҳ гашта истодааст|марде, роҳ гашта истодааст: ранги торики пӯст|ранги торики пӯст|роҳ гашта истодааст|роҳ гаштан|саёҳат кардан
🚶‍♀️;зане, роҳ гашта истодааст;зан|зане|зане, роҳ гашта истодааст|роҳ гашта истодааст|роҳ гаштан|саёҳат кардан
	🚶🏻‍♀️;зане, роҳ гашта истодааст: ранги равшани пӯст;зан|зане|зане, роҳ гашта истодааст|зане, роҳ гашта истодааст: ранги равшани пӯст|ранги равшани пӯст|роҳ гашта истодааст|роҳ гаштан|саёҳат кардан
	🚶🏼‍♀️;зане, роҳ гашта истодааст: ранги равшании миёнаи пӯст;зан|зане|зане, роҳ гашта истодааст|зане, роҳ гашта истодааст: ранги равшании миёнаи пӯст|ранги равшании миёнаи пӯст|роҳ гашта истодааст|роҳ гаштан|саёҳат кардан
	🚶🏽‍♀️;зане, роҳ гашта истодааст: ранги миёнаи пӯст;зан|зане|зане, роҳ гашта истодааст|зане, роҳ гашта истодааст: ранги миёнаи пӯст|ранги миёнаи пӯст|роҳ гашта истодааст|роҳ гаштан|саёҳат кардан
	🚶🏾‍♀️;зане, роҳ гашта истодааст: ранги торики миёнаи пӯст;зан|зане|зане, роҳ гашта истодааст|зане, роҳ гашта истодааст: ранги торики миёнаи пӯст|ранги торики миёнаи пӯст|роҳ гашта истодааст|роҳ гаштан|саёҳат кардан
	🚶🏿‍♀️;зане, роҳ гашта истодааст: ранги торики пӯст;зан|зане|зане, роҳ гашта истодааст|зане, роҳ гашта истодааст: ранги торики пӯст|ранги торики пӯст|роҳ гашта истодааст|роҳ гаштан|саёҳат кардан
🚶‍➡️;;
	🚶🏻‍➡️;;
	🚶🏼‍➡️;;
	🚶🏽‍➡️;;
	🚶🏾‍➡️;;
	🚶🏿‍➡️;;
🚶‍♀️‍➡️;;
	🚶🏻‍♀️‍➡️;;
	🚶🏼‍♀️‍➡️;;
	🚶🏽‍♀️‍➡️;;
	🚶🏾‍♀️‍➡️;;
	🚶🏿‍♀️‍➡️;;
🚶‍♂️‍➡️;;
	🚶🏻‍♂️‍➡️;;
	🚶🏼‍♂️‍➡️;;
	🚶🏽‍♂️‍➡️;;
	🚶🏾‍♂️‍➡️;;
	🚶🏿‍♂️‍➡️;;
🧍;;
	🧍🏻;;
	🧍🏼;;
	🧍🏽;;
	🧍🏾;;
	🧍🏿;;
🧍‍♂️;;
	🧍🏻‍♂️;;
	🧍🏼‍♂️;;
	🧍🏽‍♂️;;
	🧍🏾‍♂️;;
	🧍🏿‍♂️;;
🧍‍♀️;;
	🧍🏻‍♀️;;
	🧍🏼‍♀️;;
	🧍🏽‍♀️;;
	🧍🏾‍♀️;;
	🧍🏿‍♀️;;
🧎;;
	🧎🏻;;
	🧎🏼;;
	🧎🏽;;
	🧎🏾;;
	🧎🏿;;
🧎‍♂️;;
	🧎🏻‍♂️;;
	🧎🏼‍♂️;;
	🧎🏽‍♂️;;
	🧎🏾‍♂️;;
	🧎🏿‍♂️;;
🧎‍♀️;;
	🧎🏻‍♀️;;
	🧎🏼‍♀️;;
	🧎🏽‍♀️;;
	🧎🏾‍♀️;;
	🧎🏿‍♀️;;
🧎‍➡️;;
	🧎🏻‍➡️;;
	🧎🏼‍➡️;;
	🧎🏽‍➡️;;
	🧎🏾‍➡️;;
	🧎🏿‍➡️;;
🧎‍♀️‍➡️;;
	🧎🏻‍♀️‍➡️;;
	🧎🏼‍♀️‍➡️;;
	🧎🏽‍♀️‍➡️;;
	🧎🏾‍♀️‍➡️;;
	🧎🏿‍♀️‍➡️;;
🧎‍♂️‍➡️;;
	🧎🏻‍♂️‍➡️;;
	🧎🏼‍♂️‍➡️;;
	🧎🏽‍♂️‍➡️;;
	🧎🏾‍♂️‍➡️;;
	🧎🏿‍♂️‍➡️;;
🧑‍🦯;;
	🧑🏻‍🦯;;
	🧑🏼‍🦯;;
	🧑🏽‍🦯;;
	🧑🏾‍🦯;;
	🧑🏿‍🦯;;
🧑‍🦯‍➡️;;
	🧑🏻‍🦯‍➡️;;
	🧑🏼‍🦯‍➡️;;
	🧑🏽‍🦯‍➡️;;
	🧑🏾‍🦯‍➡️;;
	🧑🏿‍🦯‍➡️;;
👨‍🦯;;
	👨🏻‍🦯;;
	👨🏼‍🦯;;
	👨🏽‍🦯;;
	👨🏾‍🦯;;
	👨🏿‍🦯;;
👨‍🦯‍➡️;;
	👨🏻‍🦯‍➡️;;
	👨🏼‍🦯‍➡️;;
	👨🏽‍🦯‍➡️;;
	👨🏾‍🦯‍➡️;;
	👨🏿‍🦯‍➡️;;
👩‍🦯;;
	👩🏻‍🦯;;
	👩🏼‍🦯;;
	👩🏽‍🦯;;
	👩🏾‍🦯;;
	👩🏿‍🦯;;
👩‍🦯‍➡️;;
	👩🏻‍🦯‍➡️;;
	👩🏼‍🦯‍➡️;;
	👩🏽‍🦯‍➡️;;
	👩🏾‍🦯‍➡️;;
	👩🏿‍🦯‍➡️;;
🧑‍🦼;;
	🧑🏻‍🦼;;
	🧑🏼‍🦼;;
	🧑🏽‍🦼;;
	🧑🏾‍🦼;;
	🧑🏿‍🦼;;
🧑‍🦼‍➡️;;
	🧑🏻‍🦼‍➡️;;
	🧑🏼‍🦼‍➡️;;
	🧑🏽‍🦼‍➡️;;
	🧑🏾‍🦼‍➡️;;
	🧑🏿‍🦼‍➡️;;
👨‍🦼;;
	👨🏻‍🦼;;
	👨🏼‍🦼;;
	👨🏽‍🦼;;
	👨🏾‍🦼;;
	👨🏿‍🦼;;
👨‍🦼‍➡️;;
	👨🏻‍🦼‍➡️;;
	👨🏼‍🦼‍➡️;;
	👨🏽‍🦼‍➡️;;
	👨🏾‍🦼‍➡️;;
	👨🏿‍🦼‍➡️;;
👩‍🦼;;
	👩🏻‍🦼;;
	👩🏼‍🦼;;
	👩🏽‍🦼;;
	👩🏾‍🦼;;
	👩🏿‍🦼;;
👩‍🦼‍➡️;;
	👩🏻‍🦼‍➡️;;
	👩🏼‍🦼‍➡️;;
	👩🏽‍🦼‍➡️;;
	👩🏾‍🦼‍➡️;;
	👩🏿‍🦼‍➡️;;
🧑‍🦽;;
	🧑🏻‍🦽;;
	🧑🏼‍🦽;;
	🧑🏽‍🦽;;
	🧑🏾‍🦽;;
	🧑🏿‍🦽;;
🧑‍🦽‍➡️;;
	🧑🏻‍🦽‍➡️;;
	🧑🏼‍🦽‍➡️;;
	🧑🏽‍🦽‍➡️;;
	🧑🏾‍🦽‍➡️;;
	🧑🏿‍🦽‍➡️;;
👨‍🦽;;
	👨🏻‍🦽;;
	👨🏼‍🦽;;
	👨🏽‍🦽;;
	👨🏾‍🦽;;
	👨🏿‍🦽;;
👨‍🦽‍➡️;;
	👨🏻‍🦽‍➡️;;
	👨🏼‍🦽‍➡️;;
	👨🏽‍🦽‍➡️;;
	👨🏾‍🦽‍➡️;;
	👨🏿‍🦽‍➡️;;
👩‍🦽;;
	👩🏻‍🦽;;
	👩🏼‍🦽;;
	👩🏽‍🦽;;
	👩🏾‍🦽;;
	👩🏿‍🦽;;
👩‍🦽‍➡️;;
	👩🏻‍🦽‍➡️;;
	👩🏼‍🦽‍➡️;;
	👩🏽‍🦽‍➡️;;
	👩🏾‍🦽‍➡️;;
	👩🏿‍🦽‍➡️;;
🏃;шахсе, ки давида истодааст;давида истода|ки давида истодааст|марафон|шахсе|шахсе, ки давида истодааст
	🏃🏻;шахсе, ки давида истодааст: ранги равшани пӯст;давида истода|ки давида истодааст|марафон|ранги равшани пӯст|шахсе|шахсе, ки давида истодааст|шахсе, ки давида истодааст: ранги равшани пӯст
	🏃🏼;шахсе, ки давида истодааст: ранги равшании миёнаи пӯст;давида истода|ки давида истодааст|марафон|ранги равшании миёнаи пӯст|шахсе|шахсе, ки давида истодааст|шахсе, ки давида истодааст: ранги равшании миёнаи пӯст
	🏃🏽;шахсе, ки давида истодааст: ранги миёнаи пӯст;давида истода|ки давида истодааст|марафон|ранги миёнаи пӯст|шахсе|шахсе, ки давида истодааст|шахсе, ки давида истодааст: ранги миёнаи пӯст
	🏃🏾;шахсе, ки давида истодааст: ранги торики миёнаи пӯст;давида истода|ки давида истодааст|марафон|ранги торики миёнаи пӯст|шахсе|шахсе, ки давида истодааст|шахсе, ки давида истодааст: ранги торики миёнаи пӯст
	🏃🏿;шахсе, ки давида истодааст: ранги торики пӯст;давида истода|ки давида истодааст|марафон|ранги торики пӯст|шахсе|шахсе, ки давида истодааст|шахсе, ки давида истодааст: ранги торики пӯст
🏃‍♂️;марде, ки давида истодааст;давида истода|ки давида истодааст|марафон|мард|марде|марде, ки давида истодааст|пойга
	🏃🏻‍♂️;марде, ки давида истодааст: ранги равшани пӯст;давида истода|ки давида истодааст|марафон|мард|марде|марде, ки давида истодааст|марде, ки давида истодааст: ранги равшани пӯст|пойга|ранги равшани пӯст
	🏃🏼‍♂️;марде, ки давида истодааст: ранги равшании миёнаи пӯст;давида истода|ки давида истодааст|марафон|мард|марде|марде, ки давида истодааст|марде, ки давида истодааст: ранги равшании миёнаи пӯст|пойга|ранги равшании миёнаи пӯст
	🏃🏽‍♂️;марде, ки давида истодааст: ранги миёнаи пӯст;давида истода|ки давида истодааст|марафон|мард|марде|марде, ки давида истодааст|марде, ки давида истодааст: ранги миёнаи пӯст|пойга|ранги миёнаи пӯст
	🏃🏾‍♂️;марде, ки давида истодааст: ранги торики миёнаи пӯст;давида истода|ки давида истодааст|марафон|мард|марде|марде, ки давида истодааст|марде, ки давида истодааст: ранги торики миёнаи пӯст|пойга|ранги торики миёнаи пӯст
	🏃🏿‍♂️;марде, ки давида истодааст: ранги торики пӯст;давида истода|ки давида истодааст|марафон|мард|марде|марде, ки давида истодааст|марде, ки давида истодааст: ранги торики пӯст|пойга|ранги торики пӯст
🏃‍♀️;зане, ки давида истодааст;давида истода|зан|зане|зане, ки давида истодааст|ки давида истодааст|марафон|пойга
	🏃🏻‍♀️;зане, ки давида истодааст: ранги равшани пӯст;давида истода|зан|зане|зане, ки давида истодааст|зане, ки давида истодааст: ранги равшани пӯст|ки давида истодааст|марафон|пойга|ранги равшани пӯст
	🏃🏼‍♀️;зане, ки давида истодааст: ранги равшании миёнаи пӯст;давида истода|зан|зане|зане, ки давида истодааст|зане, ки давида истодааст: ранги равшании миёнаи пӯст|ки давида истодааст|марафон|пойга|ранги равшании миёнаи пӯст
	🏃🏽‍♀️;зане, ки давида истодааст: ранги миёнаи пӯст;давида истода|зан|зане|зане, ки давида истодааст|зане, ки давида истодааст: ранги миёнаи пӯст|ки давида истодааст|марафон|пойга|ранги миёнаи пӯст
	🏃🏾‍♀️;зане, ки давида истодааст: ранги торики миёнаи пӯст;давида истода|зан|зане|зане, ки давида истодааст|зане, ки давида истодааст: ранги торики миёнаи пӯст|ки давида истодааст|марафон|пойга|ранги торики миёнаи пӯст
	🏃🏿‍♀️;зане, ки давида истодааст: ранги торики пӯст;давида истода|зан|зане|зане, ки давида истодааст|зане, ки давида истодааст: ранги торики пӯст|ки давида истодааст|марафон|пойга|ранги торики пӯст
🏃‍➡️;;
	🏃🏻‍➡️;;
	🏃🏼‍➡️;;
	🏃🏽‍➡️;;
	🏃🏾‍➡️;;
	🏃🏿‍➡️;;
🏃‍♀️‍➡️;;
	🏃🏻‍♀️‍➡️;;
	🏃🏼‍♀️‍➡️;;
	🏃🏽‍♀️‍➡️;;
	🏃🏾‍♀️‍➡️;;
	🏃🏿‍♀️‍➡️;;
🏃‍♂️‍➡️;;
	🏃🏻‍♂️‍➡️;;
	🏃🏼‍♂️‍➡️;;
	🏃🏽‍♂️‍➡️;;
	🏃🏾‍♂️‍➡️;;
	🏃🏿‍♂️‍➡️;;
💃;зане, ки рақс карда истодааст;зане|зане, ки рақс карда истодааст|ки рақс карда истодааст|рақс кардан
	💃🏻;зане, ки рақс карда истодааст: ранги равшани пӯст;зане|зане, ки рақс карда истодааст|зане, ки рақс карда истодааст: ранги равшани пӯст|ки рақс карда истодааст|рақс кардан|ранги равшани пӯст
	💃🏼;зане, ки рақс карда истодааст: ранги равшании миёнаи пӯст;зане|зане, ки рақс карда истодааст|зане, ки рақс карда истодааст: ранги равшании миёнаи пӯст|ки рақс карда истодааст|рақс кардан|ранги равшании миёнаи пӯст
	💃🏽;зане, ки рақс карда истодааст: ранги миёнаи пӯст;зане|зане, ки рақс карда истодааст|зане, ки рақс карда истодааст: ранги миёнаи пӯст|ки рақс карда истодааст|рақс кардан|ранги миёнаи пӯст
	💃🏾;зане, ки рақс карда истодааст: ранги торики миёнаи пӯст;зане|зане, ки рақс карда истодааст|зане, ки рақс карда истодааст: ранги торики миёнаи пӯст|ки рақс карда истодааст|рақс кардан|ранги торики миёнаи пӯст
	💃🏿;зане, ки рақс карда истодааст: ранги торики пӯст;зане|зане, ки рақс карда истодааст|зане, ки рақс карда истодааст: ранги торики пӯст|ки рақс карда истодааст|рақс кардан|ранги торики пӯст
🕺;марде, ки рақс карда истодааст;ки рақс карда истодааст|мард|марде|марде, ки рақс карда истодааст|рақс
	🕺🏻;марде, ки рақс карда истодааст: ранги равшани пӯст;ки рақс карда истодааст|мард|марде|марде, ки рақс карда истодааст|марде, ки рақс карда истодааст: ранги равшани пӯст|рақс|ранги равшани пӯст
	🕺🏼;марде, ки рақс карда истодааст: ранги равшании миёнаи пӯст;ки рақс карда истодааст|мард|марде|марде, ки рақс карда истодааст|марде, ки рақс карда истодааст: ранги равшании миёнаи пӯст|рақс|ранги равшании миёнаи пӯст
	🕺🏽;марде, ки рақс карда истодааст: ранги миёнаи пӯст;ки рақс карда истодааст|мард|марде|марде, ки рақс карда истодааст|марде, ки рақс карда истодааст: ранги миёнаи пӯст|рақс|ранги миёнаи пӯст
	🕺🏾;марде, ки рақс карда истодааст: ранги торики миёнаи пӯст;ки рақс карда истодааст|мард|марде|марде, ки рақс карда истодааст|марде, ки рақс карда истодааст: ранги торики миёнаи пӯст|рақс|ранги торики миёнаи пӯст
	🕺🏿;марде, ки рақс карда истодааст: ранги торики пӯст;ки рақс карда истодааст|мард|марде|марде, ки рақс карда истодааст|марде, ки рақс карда истодааст: ранги торики пӯст|рақс|ранги торики пӯст
🕴️;марде, ки бо костюми корӣ баланд шуда истодааст;ки бо костюми корӣ баланд шуда истодааст|костюм|мард|марде|марде, ки бо костюми корӣ баланд шуда истодааст|соҳибкорӣ
	🕴🏻;марде, ки бо костюми корӣ баланд шуда истодааст: ранги равшани пӯст;ки бо костюми корӣ баланд шуда истодааст|костюм|мард|марде|марде, ки бо костюми корӣ баланд шуда истодааст|марде, ки бо костюми корӣ баланд шуда истодааст: ранги равшани пӯст|ранги равшани пӯст|соҳибкорӣ
	🕴🏼;марде, ки бо костюми корӣ баланд шуда истодааст: ранги равшании миёнаи пӯст;ки бо костюми корӣ баланд шуда истодааст|костюм|мард|марде|марде, ки бо костюми корӣ баланд шуда истодааст|марде, ки бо костюми корӣ баланд шуда истодааст: ранги равшании миёнаи пӯст|ранги равшании миёнаи пӯст|соҳибкорӣ
	🕴🏽;марде, ки бо костюми корӣ баланд шуда истодааст: ранги миёнаи пӯст;ки бо костюми корӣ баланд шуда истодааст|костюм|мард|марде|марде, ки бо костюми корӣ баланд шуда истодааст|марде, ки бо костюми корӣ баланд шуда истодааст: ранги миёнаи пӯст|ранги миёнаи пӯст|соҳибкорӣ
	🕴🏾;марде, ки бо костюми корӣ баланд шуда истодааст: ранги торики миёнаи пӯст;ки бо костюми корӣ баланд шуда истодааст|костюм|мард|марде|марде, ки бо костюми корӣ баланд шуда истодааст|марде, ки бо костюми корӣ баланд шуда истодааст: ранги торики миёнаи пӯст|ранги торики миёнаи пӯст|соҳибкорӣ
	🕴🏿;марде, ки бо костюми корӣ баланд шуда истодааст: ранги торики пӯст;ки бо костюми корӣ баланд шуда истодааст|костюм|мард|марде|марде, ки бо костюми корӣ баланд шуда истодааст|марде, ки бо костюми корӣ баланд шуда истодааст: ранги торики пӯст|ранги торики пӯст|соҳибкорӣ
👯;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|хурсандӣ кардан
