# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;रमाएको अनुहार;अनुहार|रमाएको अनुहार|हँसिलो
	🧙🏿;जादुगर: छालाको प्रकार-६;छालाको प्रकार-६|जादुगर|जादुगर: छालाको प्रकार-६|टुनामुना जान्ने छोरामान्छे|टुनामुना जान्ने छोरीमान्छे|बोक्सा|बोक्सी
🧙‍♂️;छोरामान्छे जादुगर;छोरामान्छे जादुगर|टुनामुना जान्ने छोरामान्छे|बोक्सा
	🧙🏻‍♂️;छोरामान्छे जादुगर: छालाको प्रकार-१-२;छालाको प्रकार-१-२|छोरामान्छे जादुगर|छोरामान्छे जादुगर: छालाको प्रकार-१-२|टुनामुना जान्ने छोरामान्छे|बोक्सा
	🧙🏼‍♂️;छोरामान्छे जादुगर: छालाको प्रकार-३;छालाको प्रकार-३|छोरामान्छे जादुगर|छोरामान्छे जादुगर: छालाको प्रकार-३|टुनामुना जान्ने छोरामान्छे|बोक्सा
	🧙🏽‍♂️;छोरामान्छे जादुगर: छालाको प्रकार-४;छालाको प्रकार-४|छोरामान्छे जादुगर|छोरामान्छे जादुगर: छालाको प्रकार-४|टुनामुना जान्ने छोरामान्छे|बोक्सा
	🧙🏾‍♂️;छोरामान्छे जादुगर: छालाको प्रकार-५;छालाको प्रकार-५|छोरामान्छे जादुगर|छोरामान्छे जादुगर: छालाको प्रकार-५|टुनामुना जान्ने छोरामान्छे|बोक्सा
	🧙🏿‍♂️;छोरामान्छे जादुगर: छालाको प्रकार-६;छालाको प्रकार-६|छोरामान्छे जादुगर|छोरामान्छे जादुगर: छालाको प्रकार-६|टुनामुना जान्ने छोरामान्छे|बोक्सा
🧙‍♀️;छोरीमान्छे जादुगर;छोरीमान्छे जादुगर|टुनामुना जान्ने छोरीमान्छे|बोक्सी
	🧙🏻‍♀️;छोरीमान्छे जादुगर: छालाको प्रकार-१-२;छालाको प्रकार-१-२|छोरीमान्छे जादुगर|छोरीमान्छे जादुगर: छालाको प्रकार-१-२|टुनामुना जान्ने छोरीमान्छे|बोक्सी
	🧙🏼‍♀️;छोरीमान्छे जादुगर: छालाको प्रकार-३;छालाको प्रकार-३|छोरीमान्छे जादुगर|छोरीमान्छे जादुगर: छालाको प्रकार-३|टुनामुना जान्ने छोरीमान्छे|बोक्सी
	🧙🏽‍♀️;छोरीमान्छे जादुगर: छालाको प्रकार-४;छालाको प्रकार-४|छोरीमान्छे जादुगर|छोरीमान्छे जादुगर: छालाको प्रकार-४|टुनामुना जान्ने छोरीमान्छे|बोक्सी
	🧙🏾‍♀️;छोरीमान्छे जादुगर: छालाको प्रकार-५;छालाको प्रकार-५|छोरीमान्छे जादुगर|छोरीमान्छे जादुगर: छालाको प्रकार-५|टुनामुना जान्ने छोरीमान्छे|बोक्सी
	🧙🏿‍♀️;छोरीमान्छे जादुगर: छालाको प्रकार-६;छालाको प्रकार-६|छोरीमान्छे जादुगर|छोरीमान्छे जादुगर: छालाको प्रकार-६|टुनामुना जान्ने छोरीमान्छे|बोक्सी
🧚;परी;ओबेरन|टिटानिया|पक|परी
	🧚🏻;परी: छालाको प्रकार-१-२;ओबेरन|छालाको प्रकार-१-२|टिटानिया|पक|परी|परी: छालाको प्रकार-१-२
	🧚🏼;परी: छालाको प्रकार-३;ओबेरन|छालाको प्रकार-३|टिटानिया|पक|परी|परी: छालाको प्रकार-३
	🧚🏽;परी: छालाको प्रकार-४;ओबेरन|छालाको प्रकार-४|टिटानिया|पक|परी|परी: छालाको प्रकार-४
	🧚🏾;परी: छालाको प्रकार-५;ओबेरन|छालाको प्रकार-५|टिटानिया|पक|परी|परी: छालाको प्रकार-५
	🧚🏿;परी: छालाको प्रकार-६;ओबेरन|छालाको प्रकार-६|टिटानिया|पक|परी|परी: छालाको प्रकार-६
🧚‍♂️;देवदूत;ओबेरन|देवदूत|पक
	🧚🏻‍♂️;देवदूत: छालाको प्रकार-१-२;ओबेरन|छालाको प्रकार-१-२|देवदूत|देवदूत: छालाको प्रकार-१-२|पक
	🧚🏼‍♂️;देवदूत: छालाको प्रकार-३;ओबेरन|छालाको प्रकार-३|देवदूत|देवदूत: छालाको प्रकार-३|पक
	🧚🏽‍♂️;देवदूत: छालाको प्रकार-४;ओबेरन|छालाको प्रकार-४|देवदूत|देवदूत: छालाको प्रकार-४|पक
	🧚🏾‍♂️;देवदूत: छालाको प्रकार-५;ओबेरन|छालाको प्रकार-५|देवदूत|देवदूत: छालाको प्रकार-५|पक
	🧚🏿‍♂️;देवदूत: छालाको प्रकार-६;ओबेरन|छालाको प्रकार-६|देवदूत|देवदूत: छालाको प्रकार-६|पक
🧚‍♀️;छोरीमान्छे परी;छोरीमान्छे परी|टिटानिया
	🧚🏻‍♀️;छोरीमान्छे परी: छालाको प्रकार-१-२;छालाको प्रकार-१-२|छोरीमान्छे परी|छोरीमान्छे परी: छालाको प्रकार-१-२|टिटानिया
	🧚🏼‍♀️;छोरीमान्छे परी: छालाको प्रकार-३;छालाको प्रकार-३|छोरीमान्छे परी|छोरीमान्छे परी: छालाको प्रकार-३|टिटानिया
	🧚🏽‍♀️;छोरीमान्छे परी: छालाको प्रकार-४;छालाको प्रकार-४|छोरीमान्छे परी|छोरीमान्छे परी: छालाको प्रकार-४|टिटानिया
	🧚🏾‍♀️;छोरीमान्छे परी: छालाको प्रकार-५;छालाको प्रकार-५|छोरीमान्छे परी|छोरीमान्छे परी: छालाको प्रकार-५|टिटानिया
	🧚🏿‍♀️;छोरीमान्छे परी: छालाको प्रकार-६;छालाको प्रकार-६|छोरीमान्छे परी|छोरीमान्छे परी: छालाको प्रकार-६|टिटानिया
🧛;पिशाच;पिशाच|भूत|मृत आत्मा
	🧛🏻;पिशाच: छालाको प्रकार-१-२;छालाको प्रकार-१-२|पिशाच|पिशाच: छालाको प्रकार-१-२|भूत|मृत आत्मा
	🧛🏼;पिशाच: छालाको प्रकार-३;छालाको प्रकार-३|पिशाच|पिशाच: छालाको प्रकार-३|भूत|मृत आत्मा
	🧛🏽;पिशाच: छालाको प्रकार-४;छालाको प्रकार-४|पिशाच|पिशाच: छालाको प्रकार-४|भूत|मृत आत्मा
	🧛🏾;पिशाच: छालाको प्रकार-५;छालाको प्रकार-५|पिशाच|पिशाच: छालाको प्रकार-५|भूत|मृत आत्मा
	🧛🏿;पिशाच: छालाको प्रकार-६;छालाको प्रकार-६|पिशाच|पिशाच: छालाको प्रकार-६|भूत|मृत आत्मा
🧛‍♂️;मुर्कट्टा;भूत|मुर्कट्टा|मृत आत्मा
	🧛🏻‍♂️;मुर्कट्टा: छालाको प्रकार-१-२;छालाको प्रकार-१-२|भूत|मुर्कट्टा|मुर्कट्टा: छालाको प्रकार-१-२|मृत आत्मा
	🧛🏼‍♂️;मुर्कट्टा: छालाको प्रकार-३;छालाको प्रकार-३|भूत|मुर्कट्टा|मुर्कट्टा: छालाको प्रकार-३|मृत आत्मा
	🧛🏽‍♂️;मुर्कट्टा: छालाको प्रकार-४;छालाको प्रकार-४|भूत|मुर्कट्टा|मुर्कट्टा: छालाको प्रकार-४|मृत आत्मा
	🧛🏾‍♂️;मुर्कट्टा: छालाको प्रकार-५;छालाको प्रकार-५|भूत|मुर्कट्टा|मुर्कट्टा: छालाको प्रकार-५|मृत आत्मा
	🧛🏿‍♂️;मुर्कट्टा: छालाको प्रकार-६;छालाको प्रकार-६|भूत|मुर्कट्टा|मुर्कट्टा: छालाको प्रकार-६|मृत आत्मा
🧛‍♀️;किचकन्नी;किचकन्नी|मृत आत्मा
	🧛🏻‍♀️;किचकन्नी: छालाको प्रकार-१-२;किचकन्नी|किचकन्नी: छालाको प्रकार-१-२|छालाको प्रकार-१-२|मृत आत्मा
	🧛🏼‍♀️;किचकन्नी: छालाको प्रकार-३;किचकन्नी|किचकन्नी: छालाको प्रकार-३|छालाको प्रकार-३|मृत आत्मा
	🧛🏽‍♀️;किचकन्नी: छालाको प्रकार-४;किचकन्नी|किचकन्नी: छालाको प्रकार-४|छालाको प्रकार-४|मृत आत्मा
	🧛🏾‍♀️;किचकन्नी: छालाको प्रकार-५;किचकन्नी|किचकन्नी: छालाको प्रकार-५|छालाको प्रकार-५|मृत आत्मा
	🧛🏿‍♀️;किचकन्नी: छालाको प्रकार-६;किचकन्नी|किचकन्नी: छालाको प्रकार-६|छालाको प्रकार-६|मृत आत्मा
🧜;मत्स्यमान्छे;जलपरी|मत्स्यछोरामान्छे|मत्स्यछोरीमान्छे|मत्स्यमान्छे
	🧜🏻;मत्स्यमान्छे: छालाको प्रकार-१-२;छालाको प्रकार-१-२|जलपरी|मत्स्यछोरामान्छे|मत्स्यछोरीमान्छे|मत्स्यमान्छे|मत्स्यमान्छे: छालाको प्रकार-१-२
	🧜🏼;मत्स्यमान्छे: छालाको प्रकार-३;छालाको प्रकार-३|जलपरी|मत्स्यछोरामान्छे|मत्स्यछोरीमान्छे|मत्स्यमान्छे|मत्स्यमान्छे: छालाको प्रकार-३
	🧜🏽;मत्स्यमान्छे: छालाको प्रकार-४;छालाको प्रकार-४|जलपरी|मत्स्यछोरामान्छे|मत्स्यछोरीमान्छे|मत्स्यमान्छे|मत्स्यमान्छे: छालाको प्रकार-४
	🧜🏾;मत्स्यमान्छे: छालाको प्रकार-५;छालाको प्रकार-५|जलपरी|मत्स्यछोरामान्छे|मत्स्यछोरीमान्छे|मत्स्यमान्छे|मत्स्यमान्छे: छालाको प्रकार-५
	🧜🏿;मत्स्यमान्छे: छालाको प्रकार-६;छालाको प्रकार-६|जलपरी|मत्स्यछोरामान्छे|मत्स्यछोरीमान्छे|मत्स्यमान्छे|मत्स्यमान्छे: छालाको प्रकार-६
🧜‍♂️;मत्स्यछोरामान्छे;ट्रिटन|मत्स्यछोरामान्छे
	🧜🏻‍♂️;मत्स्यछोरामान्छे: छालाको प्रकार-१-२;छालाको प्रकार-१-२|ट्रिटन|मत्स्यछोरामान्छे|मत्स्यछोरामान्छे: छालाको प्रकार-१-२
	🧜🏼‍♂️;मत्स्यछोरामान्छे: छालाको प्रकार-३;छालाको प्रकार-३|ट्रिटन|मत्स्यछोरामान्छे|मत्स्यछोरामान्छे: छालाको प्रकार-३
	🧜🏽‍♂️;मत्स्यछोरामान्छे: छालाको प्रकार-४;छालाको प्रकार-४|ट्रिटन|मत्स्यछोरामान्छे|मत्स्यछोरामान्छे: छालाको प्रकार-४
	🧜🏾‍♂️;मत्स्यछोरामान्छे: छालाको प्रकार-५;छालाको प्रकार-५|ट्रिटन|मत्स्यछोरामान्छे|मत्स्यछोरामान्छे: छालाको प्रकार-५
	🧜🏿‍♂️;मत्स्यछोरामान्छे: छालाको प्रकार-६;छालाको प्रकार-६|ट्रिटन|मत्स्यछोरामान्छे|मत्स्यछोरामान्छे: छालाको प्रकार-६
🧜‍♀️;जलपरी;जलपरी|मत्स्यछोरीमान्छे
	🧜🏻‍♀️;जलपरी: छालाको प्रकार-१-२;छालाको प्रकार-१-२|जलपरी|जलपरी: छालाको प्रकार-१-२|मत्स्यछोरीमान्छे
	🧜🏼‍♀️;जलपरी: छालाको प्रकार-३;छालाको प्रकार-३|जलपरी|जलपरी: छालाको प्रकार-३|मत्स्यछोरीमान्छे
	🧜🏽‍♀️;जलपरी: छालाको प्रकार-४;छालाको प्रकार-४|जलपरी|जलपरी: छालाको प्रकार-४|मत्स्यछोरीमान्छे
	🧜🏾‍♀️;जलपरी: छालाको प्रकार-५;छालाको प्रकार-५|जलपरी|जलपरी: छालाको प्रकार-५|मत्स्यछोरीमान्छे
	🧜🏿‍♀️;जलपरी: छालाको प्रकार-६;छालाको प्रकार-६|जलपरी|जलपरी: छालाको प्रकार-६|मत्स्यछोरीमान्छे
🧝;सानो मानव जस्तो जीव;जादुमय|सानो मानव जस्तो जीव
	🧝🏻;सानो मानव जस्तो जीव: छालाको प्रकार-१-२;छालाको प्रकार-१-२|जादुमय|सानो मानव जस्तो जीव|सानो मानव जस्तो जीव: छालाको प्रकार-१-२
	🧝🏼;सानो मानव जस्तो जीव: छालाको प्रकार-३;छालाको प्रकार-३|जादुमय|सानो मानव जस्तो जीव|सानो मानव जस्तो जीव: छालाको प्रकार-३
	🧝🏽;सानो मानव जस्तो जीव: छालाको प्रकार-४;छालाको प्रकार-४|जादुमय|सानो मानव जस्तो जीव|सानो मानव जस्तो जीव: छालाको प्रकार-४
	🧝🏾;सानो मानव जस्तो जीव: छालाको प्रकार-५;छालाको प्रकार-५|जादुमय|सानो मानव जस्तो जीव|सानो मानव जस्तो जीव: छालाको प्रकार-५
	🧝🏿;सानो मानव जस्तो जीव: छालाको प्रकार-६;छालाको प्रकार-६|जादुमय|सानो मानव जस्तो जीव|सानो मानव जस्तो जीव: छालाको प्रकार-६
🧝‍♂️;सानो छोरोमान्छेको स्वरुप भएको जीव;जादुमय|सानो छोरोमान्छेको स्वरुप भएको जीव
	🧝🏻‍♂️;सानो छोरोमान्छेको स्वरुप भएको जीव: छालाको प्रकार-१-२;छालाको प्रकार-१-२|जादुमय|सानो छोरोमान्छेको स्वरुप भएको जीव|सानो छोरोमान्छेको स्वरुप भएको जीव: छालाको प्रकार-१-२
	🧝🏼‍♂️;सानो छोरोमान्छेको स्वरुप भएको जीव: छालाको प्रकार-३;छालाको प्रकार-३|जादुमय|सानो छोरोमान्छेको स्वरुप भएको जीव|सानो छोरोमान्छेको स्वरुप भएको जीव: छालाको प्रकार-३
	🧝🏽‍♂️;सानो छोरोमान्छेको स्वरुप भएको जीव: छालाको प्रकार-४;छालाको प्रकार-४|जादुमय|सानो छोरोमान्छेको स्वरुप भएको जीव|सानो छोरोमान्छेको स्वरुप भएको जीव: छालाको प्रकार-४
	🧝🏾‍♂️;सानो छोरोमान्छेको स्वरुप भएको जीव: छालाको प्रकार-५;छालाको प्रकार-५|जादुमय|सानो छोरोमान्छेको स्वरुप भएको जीव|सानो छोरोमान्छेको स्वरुप भएको जीव: छालाको प्रकार-५
	🧝🏿‍♂️;सानो छोरोमान्छेको स्वरुप भएको जीव: छालाको प्रकार-६;छालाको प्रकार-६|जादुमय|सानो छोरोमान्छेको स्वरुप भएको जीव|सानो छोरोमान्छेको स्वरुप भएको जीव: छालाको प्रकार-६
🧝‍♀️;सानो छोरीमान्छेको स्वरुप भएको जीव;जादुमय|सानो छोरीमान्छेको स्वरुप भएको जीव
	🧝🏻‍♀️;सानो छोरीमान्छेको स्वरुप भएको जीव: छालाको प्रकार-१-२;छालाको प्रकार-१-२|जादुमय|सानो छोरीमान्छेको स्वरुप भएको जीव|सानो छोरीमान्छेको स्वरुप भएको जीव: छालाको प्रकार-१-२
	🧝🏼‍♀️;सानो छोरीमान्छेको स्वरुप भएको जीव: छालाको प्रकार-३;छालाको प्रकार-३|जादुमय|सानो छोरीमान्छेको स्वरुप भएको जीव|सानो छोरीमान्छेको स्वरुप भएको जीव: छालाको प्रकार-३
	🧝🏽‍♀️;सानो छोरीमान्छेको स्वरुप भएको जीव: छालाको प्रकार-४;छालाको प्रकार-४|जादुमय|सानो छोरीमान्छेको स्वरुप भएको जीव|सानो छोरीमान्छेको स्वरुप भएको जीव: छालाको प्रकार-४
	🧝🏾‍♀️;सानो छोरीमान्छेको स्वरुप भएको जीव: छालाको प्रकार-५;छालाको प्रकार-५|जादुमय|सानो छोरीमान्छेको स्वरुप भएको जीव|सानो छोरीमान्छेको स्वरुप भएको जीव: छालाको प्रकार-५
	🧝🏿‍♀️;सानो छोरीमान्छेको स्वरुप भएको जीव: छालाको प्रकार-६;छालाको प्रकार-६|जादुमय|सानो छोरीमान्छेको स्वरुप भएको जीव|सानो छोरीमान्छेको स्वरुप भएको जीव: छालाको प्रकार-६
🧞;अलौंकिक शक्ति;अलौंकिक शक्ति|जिन
🧞‍♂️;अलौंकिक शक्ति भएको छोरामान्छे;अलौंकिक शक्ति भएको छोरामान्छे|जिन
🧞‍♀️;अलौंकिक शक्ति भएकी छोरीमान्छे;अलौंकिक शक्ति भएकी छोरीमान्छे|जिन
🧟;व्युँतेको मृत मान्छे;मुर्कट्टा|मृत आत्मा|व्युँतेको मृत मान्छे
🧟‍♂️;व्युँतेको मृत छोरामान्छे;मुर्कट्टा|मृत आत्मा|व्युँतेको मृत छोरामान्छे
🧟‍♀️;व्युँतेको मृत छोरीमान्छे;मुर्कट्टा|मृत आत्मा|व्युँतेको मृत छोरीमान्छे
🧌;ट्रोल;कल्पना|ट्रोल|दैत्य|परी कथा
💆;अनुहारको मसाज;अनुहारको मसाज|मसाज|सैलुन
	💆🏻;अनुहारको मसाज: छालाको प्रकार-१-२;अनुहारको मसाज|अनुहारको मसाज: छालाको प्रकार-१-२|छालाको प्रकार-१-२|मसाज|सैलुन
	💆🏼;अनुहारको मसाज: छालाको प्रकार-३;अनुहारको मसाज|अनुहारको मसाज: छालाको प्रकार-३|छालाको प्रकार-३|मसाज|सैलुन
	💆🏽;अनुहारको मसाज: छालाको प्रकार-४;अनुहारको मसाज|अनुहारको मसाज: छालाको प्रकार-४|छालाको प्रकार-४|मसाज|सैलुन
	💆🏾;अनुहारको मसाज: छालाको प्रकार-५;अनुहारको मसाज|अनुहारको मसाज: छालाको प्रकार-५|छालाको प्रकार-५|मसाज|सैलुन
	💆🏿;अनुहारको मसाज: छालाको प्रकार-६;अनुहारको मसाज|अनुहारको मसाज: छालाको प्रकार-६|छालाको प्रकार-६|मसाज|सैलुन
💆‍♂️;अनुहारको मसाज लिइरहेको छोरामान्छे;अनुहार|अनुहारको मसाज लिइरहेको छोरामान्छे|छोरामान्छे|पुरूष|मसाज
	💆🏻‍♂️;अनुहारको मसाज लिइरहेको छोरामान्छे: छालाको प्रकार-१-२;अनुहार|अनुहारको मसाज लिइरहेको छोरामान्छे|अनुहारको मसाज लिइरहेको छोरामान्छे: छालाको प्रकार-१-२|छालाको प्रकार-१-२|छोरामान्छे|पुरूष|मसाज
	💆🏼‍♂️;अनुहारको मसाज लिइरहेको छोरामान्छे: छालाको प्रकार-३;अनुहार|अनुहारको मसाज लिइरहेको छोरामान्छे|अनुहारको मसाज लिइरहेको छोरामान्छे: छालाको प्रकार-३|छालाको प्रकार-३|छोरामान्छे|पुरूष|मसाज
	💆🏽‍♂️;अनुहारको मसाज लिइरहेको छोरामान्छे: छालाको प्रकार-४;अनुहार|अनुहारको मसाज लिइरहेको छोरामान्छे|अनुहारको मसाज लिइरहेको छोरामान्छे: छालाको प्रकार-४|छालाको प्रकार-४|छोरामान्छे|पुरूष|मसाज
	💆🏾‍♂️;अनुहारको मसाज लिइरहेको छोरामान्छे: छालाको प्रकार-५;अनुहार|अनुहारको मसाज लिइरहेको छोरामान्छे|अनुहारको मसाज लिइरहेको छोरामान्छे: छालाको प्रकार-५|छालाको प्रकार-५|छोरामान्छे|पुरूष|मसाज
	💆🏿‍♂️;अनुहारको मसाज लिइरहेको छोरामान्छे: छालाको प्रकार-६;अनुहार|अनुहारको मसाज लिइरहेको छोरामान्छे|अनुहारको मसाज लिइरहेको छोरामान्छे: छालाको प्रकार-६|छालाको प्रकार-६|छोरामान्छे|पुरूष|मसाज
💆‍♀️;अनुहारको मसाज लिइरहेकी छोरीमान्छे;अनुहार|अनुहारको मसाज लिइरहेकी छोरीमान्छे|छोरीमान्छे|मसाज|महिला
	💆🏻‍♀️;अनुहारको मसाज लिइरहेकी छोरीमान्छे: छालाको प्रकार-१-२;अनुहार|अनुहारको मसाज लिइरहेकी छोरीमान्छे|अनुहारको मसाज लिइरहेकी छोरीमान्छे: छालाको प्रकार-१-२|छालाको प्रकार-१-२|छोरीमान्छे|मसाज|महिला
	💆🏼‍♀️;अनुहारको मसाज लिइरहेकी छोरीमान्छे: छालाको प्रकार-३;अनुहार|अनुहारको मसाज लिइरहेकी छोरीमान्छे|अनुहारको मसाज लिइरहेकी छोरीमान्छे: छालाको प्रकार-३|छालाको प्रकार-३|छोरीमान्छे|मसाज|महिला
	💆🏽‍♀️;अनुहारको मसाज लिइरहेकी छोरीमान्छे: छालाको प्रकार-४;अनुहार|अनुहारको मसाज लिइरहेकी छोरीमान्छे|अनुहारको मसाज लिइरहेकी छोरीमान्छे: छालाको प्रकार-४|छालाको प्रकार-४|छोरीमान्छे|मसाज|महिला
	💆🏾‍♀️;अनुहारको मसाज लिइरहेकी छोरीमान्छे: छालाको प्रकार-५;अनुहार|अनुहारको मसाज लिइरहेकी छोरीमान्छे|अनुहारको मसाज लिइरहेकी छोरीमान्छे: छालाको प्रकार-५|छालाको प्रकार-५|छोरीमान्छे|मसाज|महिला
	💆🏿‍♀️;अनुहारको मसाज लिइरहेकी छोरीमान्छे: छालाको प्रकार-६;अनुहार|अनुहारको मसाज लिइरहेकी छोरीमान्छे|अनुहारको मसाज लिइरहेकी छोरीमान्छे: छालाको प्रकार-६|छालाको प्रकार-६|छोरीमान्छे|मसाज|महिला
💇;कपाल काट्ने;कपाल काट्ने|पार्लर|सुन्दर
	💇🏻;कपाल काट्ने: छालाको प्रकार-१-२;कपाल काट्ने|कपाल काट्ने: छालाको प्रकार-१-२|छालाको प्रकार-१-२|पार्लर|सुन्दर
	💇🏼;कपाल काट्ने: छालाको प्रकार-३;कपाल काट्ने|कपाल काट्ने: छालाको प्रकार-३|छालाको प्रकार-३|पार्लर|सुन्दर
	💇🏽;कपाल काट्ने: छालाको प्रकार-४;कपाल काट्ने|कपाल काट्ने: छालाको प्रकार-४|छालाको प्रकार-४|पार्लर|सुन्दर
	💇🏾;कपाल काट्ने: छालाको प्रकार-५;कपाल काट्ने|कपाल काट्ने: छालाको प्रकार-५|छालाको प्रकार-५|पार्लर|सुन्दर
	💇🏿;कपाल काट्ने: छालाको प्रकार-६;कपाल काट्ने|कपाल काट्ने: छालाको प्रकार-६|छालाको प्रकार-६|पार्लर|सुन्दर
💇‍♂️;कपाल कटाइरहेको छोरामान्छे;कपाल कटाइ|कपाल कटाइरहेको छोरामान्छे|छोरामान्छे|पुरूष
	💇🏻‍♂️;कपाल कटाइरहेको छोरामान्छे: छालाको प्रकार-१-२;कपाल कटाइ|कपाल कटाइरहेको छोरामान्छे|कपाल कटाइरहेको छोरामान्छे: छालाको प्रकार-१-२|छालाको प्रकार-१-२|छोरामान्छे|पुरूष
	💇🏼‍♂️;कपाल कटाइरहेको छोरामान्छे: छालाको प्रकार-३;कपाल कटाइ|कपाल कटाइरहेको छोरामान्छे|कपाल कटाइरहेको छोरामान्छे: छालाको प्रकार-३|छालाको प्रकार-३|छोरामान्छे|पुरूष
	💇🏽‍♂️;कपाल कटाइरहेको छोरामान्छे: छालाको प्रकार-४;कपाल कटाइ|कपाल कटाइरहेको छोरामान्छे|कपाल कटाइरहेको छोरामान्छे: छालाको प्रकार-४|छालाको प्रकार-४|छोरामान्छे|पुरूष
	💇🏾‍♂️;कपाल कटाइरहेको छोरामान्छे: छालाको प्रकार-५;कपाल कटाइ|कपाल कटाइरहेको छोरामान्छे|कपाल कटाइरहेको छोरामान्छे: छालाको प्रकार-५|छालाको प्रकार-५|छोरामान्छे|पुरूष
	💇🏿‍♂️;कपाल कटाइरहेको छोरामान्छे: छालाको प्रकार-६;कपाल कटाइ|कपाल कटाइरहेको छोरामान्छे|कपाल कटाइरहेको छोरामान्छे: छालाको प्रकार-६|छालाको प्रकार-६|छोरामान्छे|पुरूष
💇‍♀️;कपाल कटाइरहेेकी छोरीमान्छे;कपाल कटाइ|कपाल कटाइरहेकी छोरीमान्छे|कपाल कटाइरहेेकी छोरीमान्छे|छोरीमान्छे|महिला
	💇🏻‍♀️;कपाल कटाइरहेेकी छोरीमान्छे: छालाको प्रकार-१-२;कपाल कटाइ|कपाल कटाइरहेकी छोरीमान्छे|कपाल कटाइरहेेकी छोरीमान्छे|कपाल कटाइरहेेकी छोरीमान्छे: छालाको प्रकार-१-२|छालाको प्रकार-१-२|छोरीमान्छे|महिला
	💇🏼‍♀️;कपाल कटाइरहेेकी छोरीमान्छे: छालाको प्रकार-३;कपाल कटाइ|कपाल कटाइरहेकी छोरीमान्छे|कपाल कटाइरहेेकी छोरीमान्छे|कपाल कटाइरहेेकी छोरीमान्छे: छालाको प्रकार-३|छालाको प्रकार-३|छोरीमान्छे|महिला
	💇🏽‍♀️;कपाल कटाइरहेेकी छोरीमान्छे: छालाको प्रकार-४;कपाल कटाइ|कपाल कटाइरहेकी छोरीमान्छे|कपाल कटाइरहेेकी छोरीमान्छे|कपाल कटाइरहेेकी छोरीमान्छे: छालाको प्रकार-४|छालाको प्रकार-४|छोरीमान्छे|महिला
	💇🏾‍♀️;कपाल कटाइरहेेकी छोरीमान्छे: छालाको प्रकार-५;कपाल कटाइ|कपाल कटाइरहेकी छोरीमान्छे|कपाल कटाइरहेेकी छोरीमान्छे|कपाल कटाइरहेेकी छोरीमान्छे: छालाको प्रकार-५|छालाको प्रकार-५|छोरीमान्छे|महिला
	💇🏿‍♀️;कपाल कटाइरहेेकी छोरीमान्छे: छालाको प्रकार-६;कपाल कटाइ|कपाल कटाइरहेकी छोरीमान्छे|कपाल कटाइरहेेकी छोरीमान्छे|कपाल कटाइरहेेकी छोरीमान्छे: छालाको प्रकार-६|छालाको प्रकार-६|छोरीमान्छे|महिला
🚶;पदयात्री;पदयात्री|हाइक|हिँडिरहेको|हिड्ने
	🚶🏻;पदयात्री: छालाको प्रकार-१-२;छालाको प्रकार-१-२|पदयात्री|पदयात्री: छालाको प्रकार-१-२|हाइक|हिँडिरहेको|हिड्ने
	🚶🏼;पदयात्री: छालाको प्रकार-३;छालाको प्रकार-३|पदयात्री|पदयात्री: छालाको प्रकार-३|हाइक|हिँडिरहेको|हिड्ने
	🚶🏽;पदयात्री: छालाको प्रकार-४;छालाको प्रकार-४|पदयात्री|पदयात्री: छालाको प्रकार-४|हाइक|हिँडिरहेको|हिड्ने
	🚶🏾;पदयात्री: छालाको प्रकार-५;छालाको प्रकार-५|पदयात्री|पदयात्री: छालाको प्रकार-५|हाइक|हिँडिरहेको|हिड्ने
	🚶🏿;पदयात्री: छालाको प्रकार-६;छालाको प्रकार-६|पदयात्री|पदयात्री: छालाको प्रकार-६|हाइक|हिँडिरहेको|हिड्ने
🚶‍♂️;पैदल हिडिरहेको छोरामान्छे;छोरामान्छे|पुरूष|पैदल यात्रा|पैदल हिडिरहेको छोरामान्छे|हिड्ने कार्य
	🚶🏻‍♂️;पैदल हिडिरहेको छोरामान्छे: छालाको प्रकार-१-२;छालाको प्रकार-१-२|छोरामान्छे|पुरूष|पैदल यात्रा|पैदल हिडिरहेको छोरामान्छे|पैदल हिडिरहेको छोरामान्छे: छालाको प्रकार-१-२|हिड्ने कार्य
	🚶🏼‍♂️;पैदल हिडिरहेको छोरामान्छे: छालाको प्रकार-३;छालाको प्रकार-३|छोरामान्छे|पुरूष|पैदल यात्रा|पैदल हिडिरहेको छोरामान्छे|पैदल हिडिरहेको छोरामान्छे: छालाको प्रकार-३|हिड्ने कार्य
	🚶🏽‍♂️;पैदल हिडिरहेको छोरामान्छे: छालाको प्रकार-४;छालाको प्रकार-४|छोरामान्छे|पुरूष|पैदल यात्रा|पैदल हिडिरहेको छोरामान्छे|पैदल हिडिरहेको छोरामान्छे: छालाको प्रकार-४|हिड्ने कार्य
	🚶🏾‍♂️;पैदल हिडिरहेको छोरामान्छे: छालाको प्रकार-५;छालाको प्रकार-५|छोरामान्छे|पुरूष|पैदल यात्रा|पैदल हिडिरहेको छोरामान्छे|पैदल हिडिरहेको छोरामान्छे: छालाको प्रकार-५|हिड्ने कार्य
	🚶🏿‍♂️;पैदल हिडिरहेको छोरामान्छे: छालाको प्रकार-६;छालाको प्रकार-६|छोरामान्छे|पुरूष|पैदल यात्रा|पैदल हिडिरहेको छोरामान्छे|पैदल हिडिरहेको छोरामान्छे: छालाको प्रकार-६|हिड्ने कार्य
