# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;وجه بابتسامة عريضة;ابتسام|ضحك|وجه بابتسامة عريضة|وجه مبتسم
	🧍🏼‍♀️;سيدة واقفة: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|تقف|سيدة|سيدة واقفة: بشرة بلون فاتح ومعتدل|واقفة|وقوف
	🧍🏽‍♀️;سيدة واقفة: بشرة بلون معتدل;بشرة بلون معتدل|تقف|سيدة|سيدة واقفة: بشرة بلون معتدل|واقفة|وقوف
	🧍🏾‍♀️;سيدة واقفة: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|تقف|سيدة|سيدة واقفة: بشرة بلون معتدل مائل للغامق|واقفة|وقوف
	🧍🏿‍♀️;سيدة واقفة: بشرة بلون غامق;بشرة بلون غامق|تقف|سيدة|سيدة واقفة: بشرة بلون غامق|واقفة|وقوف
🧎;شخص جالس على ركبتيه;ركبة|ركبتان|ركبتين|ركوع|شخص جالس على ركبتيه
	🧎🏻;شخص جالس على ركبتيه: بشرة بلون فاتح;بشرة بلون فاتح|ركبة|ركبتان|ركبتين|ركوع|شخص جالس على ركبتيه|شخص جالس على ركبتيه: بشرة بلون فاتح
	🧎🏼;شخص جالس على ركبتيه: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|ركبة|ركبتان|ركبتين|ركوع|شخص جالس على ركبتيه|شخص جالس على ركبتيه: بشرة بلون فاتح ومعتدل
	🧎🏽;شخص جالس على ركبتيه: بشرة بلون معتدل;بشرة بلون معتدل|ركبة|ركبتان|ركبتين|ركوع|شخص جالس على ركبتيه|شخص جالس على ركبتيه: بشرة بلون معتدل
	🧎🏾;شخص جالس على ركبتيه: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|ركبة|ركبتان|ركبتين|ركوع|شخص جالس على ركبتيه|شخص جالس على ركبتيه: بشرة بلون معتدل مائل للغامق
	🧎🏿;شخص جالس على ركبتيه: بشرة بلون غامق;بشرة بلون غامق|ركبة|ركبتان|ركبتين|ركوع|شخص جالس على ركبتيه|شخص جالس على ركبتيه: بشرة بلون غامق
🧎‍♂️;رجل جالس على ركبتيه;رجل|رجل جالس على ركبتيه|ركبة|ركبتان|ركبتين|ركوع
	🧎🏻‍♂️;رجل جالس على ركبتيه: بشرة بلون فاتح;بشرة بلون فاتح|رجل|رجل جالس على ركبتيه|رجل جالس على ركبتيه: بشرة بلون فاتح|ركبة|ركبتان|ركبتين|ركوع
	🧎🏼‍♂️;رجل جالس على ركبتيه: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|رجل|رجل جالس على ركبتيه|رجل جالس على ركبتيه: بشرة بلون فاتح ومعتدل|ركبة|ركبتان|ركبتين|ركوع
	🧎🏽‍♂️;رجل جالس على ركبتيه: بشرة بلون معتدل;بشرة بلون معتدل|رجل|رجل جالس على ركبتيه|رجل جالس على ركبتيه: بشرة بلون معتدل|ركبة|ركبتان|ركبتين|ركوع
	🧎🏾‍♂️;رجل جالس على ركبتيه: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|رجل|رجل جالس على ركبتيه|رجل جالس على ركبتيه: بشرة بلون معتدل مائل للغامق|ركبة|ركبتان|ركبتين|ركوع
	🧎🏿‍♂️;رجل جالس على ركبتيه: بشرة بلون غامق;بشرة بلون غامق|رجل|رجل جالس على ركبتيه|رجل جالس على ركبتيه: بشرة بلون غامق|ركبة|ركبتان|ركبتين|ركوع
🧎‍♀️;سيدة جالسة على ركبتيها;ركبة|ركبتان|ركبتين|ركوع|سيدة|سيدة جالسة على ركبتيها
	🧎🏻‍♀️;سيدة جالسة على ركبتيها: بشرة بلون فاتح;بشرة بلون فاتح|ركبة|ركبتان|ركبتين|ركوع|سيدة|سيدة جالسة على ركبتيها|سيدة جالسة على ركبتيها: بشرة بلون فاتح
	🧎🏼‍♀️;سيدة جالسة على ركبتيها: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|ركبة|ركبتان|ركبتين|ركوع|سيدة|سيدة جالسة على ركبتيها|سيدة جالسة على ركبتيها: بشرة بلون فاتح ومعتدل
	🧎🏽‍♀️;سيدة جالسة على ركبتيها: بشرة بلون معتدل;بشرة بلون معتدل|ركبة|ركبتان|ركبتين|ركوع|سيدة|سيدة جالسة على ركبتيها|سيدة جالسة على ركبتيها: بشرة بلون معتدل
	🧎🏾‍♀️;سيدة جالسة على ركبتيها: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|ركبة|ركبتان|ركبتين|ركوع|سيدة|سيدة جالسة على ركبتيها|سيدة جالسة على ركبتيها: بشرة بلون معتدل مائل للغامق
	🧎🏿‍♀️;سيدة جالسة على ركبتيها: بشرة بلون غامق;بشرة بلون غامق|ركبة|ركبتان|ركبتين|ركوع|سيدة|سيدة جالسة على ركبتيها|سيدة جالسة على ركبتيها: بشرة بلون غامق
🧎‍➡️;شخص جالس على ركبتيه متجه لليمين;ركبة|ركبتان|ركبتين|ركوع|شخص جالس على ركبتيه|شخص جالس على ركبتيه متجه لليمين
	🧎🏻‍➡️;شخص جالس على ركبتيه متجه لليمين;ركبة|ركبتان|ركبتين|ركوع|شخص جالس على ركبتيه|شخص جالس على ركبتيه متجه لليمين
	🧎🏼‍➡️;شخص جالس على ركبتيه متجه لليمين;ركبة|ركبتان|ركبتين|ركوع|شخص جالس على ركبتيه|شخص جالس على ركبتيه متجه لليمين
	🧎🏽‍➡️;شخص جالس على ركبتيه متجه لليمين;ركبة|ركبتان|ركبتين|ركوع|شخص جالس على ركبتيه|شخص جالس على ركبتيه متجه لليمين
	🧎🏾‍➡️;شخص جالس على ركبتيه متجه لليمين;ركبة|ركبتان|ركبتين|ركوع|شخص جالس على ركبتيه|شخص جالس على ركبتيه متجه لليمين
	🧎🏿‍➡️;شخص جالس على ركبتيه متجه لليمين;ركبة|ركبتان|ركبتين|ركوع|شخص جالس على ركبتيه|شخص جالس على ركبتيه متجه لليمين
🧎‍♀️‍➡️;سيدة جالسة على ركبتيها متجه لليمين;ركبة|ركبتان|ركبتين|ركوع|سيدة|سيدة جالسة على ركبتيها|سيدة جالسة على ركبتيها متجه لليمين
	🧎🏻‍♀️‍➡️;سيدة جالسة على ركبتيها متجه لليمين;ركبة|ركبتان|ركبتين|ركوع|سيدة|سيدة جالسة على ركبتيها|سيدة جالسة على ركبتيها متجه لليمين
	🧎🏼‍♀️‍➡️;سيدة جالسة على ركبتيها متجه لليمين;ركبة|ركبتان|ركبتين|ركوع|سيدة|سيدة جالسة على ركبتيها|سيدة جالسة على ركبتيها متجه لليمين
	🧎🏽‍♀️‍➡️;سيدة جالسة على ركبتيها متجه لليمين;ركبة|ركبتان|ركبتين|ركوع|سيدة|سيدة جالسة على ركبتيها|سيدة جالسة على ركبتيها متجه لليمين
	🧎🏾‍♀️‍➡️;سيدة جالسة على ركبتيها متجه لليمين;ركبة|ركبتان|ركبتين|ركوع|سيدة|سيدة جالسة على ركبتيها|سيدة جالسة على ركبتيها متجه لليمين
	🧎🏿‍♀️‍➡️;سيدة جالسة على ركبتيها متجه لليمين;ركبة|ركبتان|ركبتين|ركوع|سيدة|سيدة جالسة على ركبتيها|سيدة جالسة على ركبتيها متجه لليمين
🧎‍♂️‍➡️;رجل جالس على ركبتيه متجه لليمين;رجل|رجل جالس على ركبتيه|رجل جالس على ركبتيه متجه لليمين|ركبة|ركبتان|ركبتين|ركوع
	🧎🏻‍♂️‍➡️;رجل جالس على ركبتيه متجه لليمين;رجل|رجل جالس على ركبتيه|رجل جالس على ركبتيه متجه لليمين|ركبة|ركبتان|ركبتين|ركوع
	🧎🏼‍♂️‍➡️;رجل جالس على ركبتيه متجه لليمين;رجل|رجل جالس على ركبتيه|رجل جالس على ركبتيه متجه لليمين|ركبة|ركبتان|ركبتين|ركوع
	🧎🏽‍♂️‍➡️;رجل جالس على ركبتيه متجه لليمين;رجل|رجل جالس على ركبتيه|رجل جالس على ركبتيه متجه لليمين|ركبة|ركبتان|ركبتين|ركوع
	🧎🏾‍♂️‍➡️;رجل جالس على ركبتيه متجه لليمين;رجل|رجل جالس على ركبتيه|رجل جالس على ركبتيه متجه لليمين|ركبة|ركبتان|ركبتين|ركوع
	🧎🏿‍♂️‍➡️;رجل جالس على ركبتيه متجه لليمين;رجل|رجل جالس على ركبتيه|رجل جالس على ركبتيه متجه لليمين|ركبة|ركبتان|ركبتين|ركوع
🧑‍🦯;شخص مع عصا سير;أعمى|احتياجات خاصة|شخص مع عصا سير|ضرير|كفيف
	🧑🏻‍🦯;شخص مع عصا سير: بشرة بلون فاتح;أعمى|احتياجات خاصة|بشرة بلون فاتح|شخص مع عصا سير|شخص مع عصا سير: بشرة بلون فاتح|ضرير|كفيف
	🧑🏼‍🦯;شخص مع عصا سير: بشرة بلون فاتح ومعتدل;أعمى|احتياجات خاصة|بشرة بلون فاتح ومعتدل|شخص مع عصا سير|شخص مع عصا سير: بشرة بلون فاتح ومعتدل|ضرير|كفيف
	🧑🏽‍🦯;شخص مع عصا سير: بشرة بلون معتدل;أعمى|احتياجات خاصة|بشرة بلون معتدل|شخص مع عصا سير|شخص مع عصا سير: بشرة بلون معتدل|ضرير|كفيف
	🧑🏾‍🦯;شخص مع عصا سير: بشرة بلون معتدل مائل للغامق;أعمى|احتياجات خاصة|بشرة بلون معتدل مائل للغامق|شخص مع عصا سير|شخص مع عصا سير: بشرة بلون معتدل مائل للغامق|ضرير|كفيف
	🧑🏿‍🦯;شخص مع عصا سير: بشرة بلون غامق;أعمى|احتياجات خاصة|بشرة بلون غامق|شخص مع عصا سير|شخص مع عصا سير: بشرة بلون غامق|ضرير|كفيف
🧑‍🦯‍➡️;شخص مع عصا سير متجه لليمين;أعمى|احتياجات خاصة|شخص مع عصا سير|شخص مع عصا سير متجه لليمين|ضرير|كفيف
	🧑🏻‍🦯‍➡️;شخص مع عصا سير متجه لليمين;أعمى|احتياجات خاصة|شخص مع عصا سير|شخص مع عصا سير متجه لليمين|ضرير|كفيف
	🧑🏼‍🦯‍➡️;شخص مع عصا سير متجه لليمين;أعمى|احتياجات خاصة|شخص مع عصا سير|شخص مع عصا سير متجه لليمين|ضرير|كفيف
	🧑🏽‍🦯‍➡️;شخص مع عصا سير متجه لليمين;أعمى|احتياجات خاصة|شخص مع عصا سير|شخص مع عصا سير متجه لليمين|ضرير|كفيف
	🧑🏾‍🦯‍➡️;شخص مع عصا سير متجه لليمين;أعمى|احتياجات خاصة|شخص مع عصا سير|شخص مع عصا سير متجه لليمين|ضرير|كفيف
	🧑🏿‍🦯‍➡️;شخص مع عصا سير متجه لليمين;أعمى|احتياجات خاصة|شخص مع عصا سير|شخص مع عصا سير متجه لليمين|ضرير|كفيف
👨‍🦯;رجل بعصا سير;أعمى|إمكانية الوصول|احتياجات خاصة|رجل|رجل بعصا سير|كفيف
	👨🏻‍🦯;رجل بعصا سير: بشرة بلون فاتح;أعمى|إمكانية الوصول|احتياجات خاصة|بشرة بلون فاتح|رجل|رجل بعصا سير|رجل بعصا سير: بشرة بلون فاتح|كفيف
	👨🏼‍🦯;رجل بعصا سير: بشرة بلون فاتح ومعتدل;أعمى|إمكانية الوصول|احتياجات خاصة|بشرة بلون فاتح ومعتدل|رجل|رجل بعصا سير|رجل بعصا سير: بشرة بلون فاتح ومعتدل|كفيف
	👨🏽‍🦯;رجل بعصا سير: بشرة بلون معتدل;أعمى|إمكانية الوصول|احتياجات خاصة|بشرة بلون معتدل|رجل|رجل بعصا سير|رجل بعصا سير: بشرة بلون معتدل|كفيف
	👨🏾‍🦯;رجل بعصا سير: بشرة بلون معتدل مائل للغامق;أعمى|إمكانية الوصول|احتياجات خاصة|بشرة بلون معتدل مائل للغامق|رجل|رجل بعصا سير|رجل بعصا سير: بشرة بلون معتدل مائل للغامق|كفيف
	👨🏿‍🦯;رجل بعصا سير: بشرة بلون غامق;أعمى|إمكانية الوصول|احتياجات خاصة|بشرة بلون غامق|رجل|رجل بعصا سير|رجل بعصا سير: بشرة بلون غامق|كفيف
👨‍🦯‍➡️;رجل بعصا سير متجه لليمين;أعمى|إمكانية الوصول|احتياجات خاصة|رجل|رجل بعصا سير|رجل بعصا سير متجه لليمين|كفيف
	👨🏻‍🦯‍➡️;رجل بعصا سير متجه لليمين;أعمى|إمكانية الوصول|احتياجات خاصة|رجل|رجل بعصا سير|رجل بعصا سير متجه لليمين|كفيف
	👨🏼‍🦯‍➡️;رجل بعصا سير متجه لليمين;أعمى|إمكانية الوصول|احتياجات خاصة|رجل|رجل بعصا سير|رجل بعصا سير متجه لليمين|كفيف
	👨🏽‍🦯‍➡️;رجل بعصا سير متجه لليمين;أعمى|إمكانية الوصول|احتياجات خاصة|رجل|رجل بعصا سير|رجل بعصا سير متجه لليمين|كفيف
	👨🏾‍🦯‍➡️;رجل بعصا سير متجه لليمين;أعمى|إمكانية الوصول|احتياجات خاصة|رجل|رجل بعصا سير|رجل بعصا سير متجه لليمين|كفيف
	👨🏿‍🦯‍➡️;رجل بعصا سير متجه لليمين;أعمى|إمكانية الوصول|احتياجات خاصة|رجل|رجل بعصا سير|رجل بعصا سير متجه لليمين|كفيف
👩‍🦯;سيدة بعصا سير;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة بعصا سير|عمياء|كفيفة
	👩🏻‍🦯;سيدة بعصا سير: بشرة بلون فاتح;إمكانية الوصول|احتياجات خاصة|بشرة بلون فاتح|سيدة|سيدة بعصا سير|سيدة بعصا سير: بشرة بلون فاتح|عمياء|كفيفة
	👩🏼‍🦯;سيدة بعصا سير: بشرة بلون فاتح ومعتدل;إمكانية الوصول|احتياجات خاصة|بشرة بلون فاتح ومعتدل|سيدة|سيدة بعصا سير|سيدة بعصا سير: بشرة بلون فاتح ومعتدل|عمياء|كفيفة
	👩🏽‍🦯;سيدة بعصا سير: بشرة بلون معتدل;إمكانية الوصول|احتياجات خاصة|بشرة بلون معتدل|سيدة|سيدة بعصا سير|سيدة بعصا سير: بشرة بلون معتدل|عمياء|كفيفة
	👩🏾‍🦯;سيدة بعصا سير: بشرة بلون معتدل مائل للغامق;إمكانية الوصول|احتياجات خاصة|بشرة بلون معتدل مائل للغامق|سيدة|سيدة بعصا سير|سيدة بعصا سير: بشرة بلون معتدل مائل للغامق|عمياء|كفيفة
	👩🏿‍🦯;سيدة بعصا سير: بشرة بلون غامق;إمكانية الوصول|احتياجات خاصة|بشرة بلون غامق|سيدة|سيدة بعصا سير|سيدة بعصا سير: بشرة بلون غامق|عمياء|كفيفة
👩‍🦯‍➡️;سيدة بعصا سير متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة بعصا سير|سيدة بعصا سير متجه لليمين|عمياء|كفيفة
	👩🏻‍🦯‍➡️;سيدة بعصا سير متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة بعصا سير|سيدة بعصا سير متجه لليمين|عمياء|كفيفة
	👩🏼‍🦯‍➡️;سيدة بعصا سير متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة بعصا سير|سيدة بعصا سير متجه لليمين|عمياء|كفيفة
	👩🏽‍🦯‍➡️;سيدة بعصا سير متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة بعصا سير|سيدة بعصا سير متجه لليمين|عمياء|كفيفة
	👩🏾‍🦯‍➡️;سيدة بعصا سير متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة بعصا سير|سيدة بعصا سير متجه لليمين|عمياء|كفيفة
	👩🏿‍🦯‍➡️;سيدة بعصا سير متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة بعصا سير|سيدة بعصا سير متجه لليمين|عمياء|كفيفة
🧑‍🦼;شخص على كرسي متحرك كهربائي;احتياجات خاصة|شخص على كرسي متحرك كهربائي|كرسي متحرك
	🧑🏻‍🦼;شخص على كرسي متحرك كهربائي: بشرة بلون فاتح;احتياجات خاصة|بشرة بلون فاتح|شخص على كرسي متحرك كهربائي|شخص على كرسي متحرك كهربائي: بشرة بلون فاتح|كرسي متحرك
	🧑🏼‍🦼;شخص على كرسي متحرك كهربائي: بشرة بلون فاتح ومعتدل;احتياجات خاصة|بشرة بلون فاتح ومعتدل|شخص على كرسي متحرك كهربائي|شخص على كرسي متحرك كهربائي: بشرة بلون فاتح ومعتدل|كرسي متحرك
	🧑🏽‍🦼;شخص على كرسي متحرك كهربائي: بشرة بلون معتدل;احتياجات خاصة|بشرة بلون معتدل|شخص على كرسي متحرك كهربائي|شخص على كرسي متحرك كهربائي: بشرة بلون معتدل|كرسي متحرك
	🧑🏾‍🦼;شخص على كرسي متحرك كهربائي: بشرة بلون معتدل مائل للغامق;احتياجات خاصة|بشرة بلون معتدل مائل للغامق|شخص على كرسي متحرك كهربائي|شخص على كرسي متحرك كهربائي: بشرة بلون معتدل مائل للغامق|كرسي متحرك
	🧑🏿‍🦼;شخص على كرسي متحرك كهربائي: بشرة بلون غامق;احتياجات خاصة|بشرة بلون غامق|شخص على كرسي متحرك كهربائي|شخص على كرسي متحرك كهربائي: بشرة بلون غامق|كرسي متحرك
🧑‍🦼‍➡️;شخص على كرسي متحرك كهربائي متجه لليمين;احتياجات خاصة|شخص على كرسي متحرك كهربائي|شخص على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
	🧑🏻‍🦼‍➡️;شخص على كرسي متحرك كهربائي متجه لليمين;احتياجات خاصة|شخص على كرسي متحرك كهربائي|شخص على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
	🧑🏼‍🦼‍➡️;شخص على كرسي متحرك كهربائي متجه لليمين;احتياجات خاصة|شخص على كرسي متحرك كهربائي|شخص على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
	🧑🏽‍🦼‍➡️;شخص على كرسي متحرك كهربائي متجه لليمين;احتياجات خاصة|شخص على كرسي متحرك كهربائي|شخص على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
	🧑🏾‍🦼‍➡️;شخص على كرسي متحرك كهربائي متجه لليمين;احتياجات خاصة|شخص على كرسي متحرك كهربائي|شخص على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
	🧑🏿‍🦼‍➡️;شخص على كرسي متحرك كهربائي متجه لليمين;احتياجات خاصة|شخص على كرسي متحرك كهربائي|شخص على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
👨‍🦼;رجل على كرسي متحرك كهربائي;إمكانية الوصول|احتياجات خاصة|رجل|رجل على كرسي متحرك كهربائي|كرسي متحرك
	👨🏻‍🦼;رجل على كرسي متحرك كهربائي: بشرة بلون فاتح;إمكانية الوصول|احتياجات خاصة|بشرة بلون فاتح|رجل|رجل على كرسي متحرك كهربائي|رجل على كرسي متحرك كهربائي: بشرة بلون فاتح|كرسي متحرك
	👨🏼‍🦼;رجل على كرسي متحرك كهربائي: بشرة بلون فاتح ومعتدل;إمكانية الوصول|احتياجات خاصة|بشرة بلون فاتح ومعتدل|رجل|رجل على كرسي متحرك كهربائي|رجل على كرسي متحرك كهربائي: بشرة بلون فاتح ومعتدل|كرسي متحرك
	👨🏽‍🦼;رجل على كرسي متحرك كهربائي: بشرة بلون معتدل;إمكانية الوصول|احتياجات خاصة|بشرة بلون معتدل|رجل|رجل على كرسي متحرك كهربائي|رجل على كرسي متحرك كهربائي: بشرة بلون معتدل|كرسي متحرك
	👨🏾‍🦼;رجل على كرسي متحرك كهربائي: بشرة بلون معتدل مائل للغامق;إمكانية الوصول|احتياجات خاصة|بشرة بلون معتدل مائل للغامق|رجل|رجل على كرسي متحرك كهربائي|رجل على كرسي متحرك كهربائي: بشرة بلون معتدل مائل للغامق|كرسي متحرك
	👨🏿‍🦼;رجل على كرسي متحرك كهربائي: بشرة بلون غامق;إمكانية الوصول|احتياجات خاصة|بشرة بلون غامق|رجل|رجل على كرسي متحرك كهربائي|رجل على كرسي متحرك كهربائي: بشرة بلون غامق|كرسي متحرك
👨‍🦼‍➡️;رجل على كرسي متحرك كهربائي متجه لليمين;إمكانية الوصول|احتياجات خاصة|رجل|رجل على كرسي متحرك كهربائي|رجل على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
	👨🏻‍🦼‍➡️;رجل على كرسي متحرك كهربائي متجه لليمين;إمكانية الوصول|احتياجات خاصة|رجل|رجل على كرسي متحرك كهربائي|رجل على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
	👨🏼‍🦼‍➡️;رجل على كرسي متحرك كهربائي متجه لليمين;إمكانية الوصول|احتياجات خاصة|رجل|رجل على كرسي متحرك كهربائي|رجل على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
	👨🏽‍🦼‍➡️;رجل على كرسي متحرك كهربائي متجه لليمين;إمكانية الوصول|احتياجات خاصة|رجل|رجل على كرسي متحرك كهربائي|رجل على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
	👨🏾‍🦼‍➡️;رجل على كرسي متحرك كهربائي متجه لليمين;إمكانية الوصول|احتياجات خاصة|رجل|رجل على كرسي متحرك كهربائي|رجل على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
	👨🏿‍🦼‍➡️;رجل على كرسي متحرك كهربائي متجه لليمين;إمكانية الوصول|احتياجات خاصة|رجل|رجل على كرسي متحرك كهربائي|رجل على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
👩‍🦼;سيدة على كرسي متحرك كهربائي;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة على كرسي متحرك كهربائي|كرسي متحرك
	👩🏻‍🦼;سيدة على كرسي متحرك كهربائي: بشرة بلون فاتح;إمكانية الوصول|احتياجات خاصة|بشرة بلون فاتح|سيدة|سيدة على كرسي متحرك كهربائي|سيدة على كرسي متحرك كهربائي: بشرة بلون فاتح|كرسي متحرك
	👩🏼‍🦼;سيدة على كرسي متحرك كهربائي: بشرة بلون فاتح ومعتدل;إمكانية الوصول|احتياجات خاصة|بشرة بلون فاتح ومعتدل|سيدة|سيدة على كرسي متحرك كهربائي|سيدة على كرسي متحرك كهربائي: بشرة بلون فاتح ومعتدل|كرسي متحرك
	👩🏽‍🦼;سيدة على كرسي متحرك كهربائي: بشرة بلون معتدل;إمكانية الوصول|احتياجات خاصة|بشرة بلون معتدل|سيدة|سيدة على كرسي متحرك كهربائي|سيدة على كرسي متحرك كهربائي: بشرة بلون معتدل|كرسي متحرك
	👩🏾‍🦼;سيدة على كرسي متحرك كهربائي: بشرة بلون معتدل مائل للغامق;إمكانية الوصول|احتياجات خاصة|بشرة بلون معتدل مائل للغامق|سيدة|سيدة على كرسي متحرك كهربائي|سيدة على كرسي متحرك كهربائي: بشرة بلون معتدل مائل للغامق|كرسي متحرك
	👩🏿‍🦼;سيدة على كرسي متحرك كهربائي: بشرة بلون غامق;إمكانية الوصول|احتياجات خاصة|بشرة بلون غامق|سيدة|سيدة على كرسي متحرك كهربائي|سيدة على كرسي متحرك كهربائي: بشرة بلون غامق|كرسي متحرك
👩‍🦼‍➡️;سيدة على كرسي متحرك كهربائي متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة على كرسي متحرك كهربائي|سيدة على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
	👩🏻‍🦼‍➡️;سيدة على كرسي متحرك كهربائي متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة على كرسي متحرك كهربائي|سيدة على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
	👩🏼‍🦼‍➡️;سيدة على كرسي متحرك كهربائي متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة على كرسي متحرك كهربائي|سيدة على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
	👩🏽‍🦼‍➡️;سيدة على كرسي متحرك كهربائي متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة على كرسي متحرك كهربائي|سيدة على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
	👩🏾‍🦼‍➡️;سيدة على كرسي متحرك كهربائي متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة على كرسي متحرك كهربائي|سيدة على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
	👩🏿‍🦼‍➡️;سيدة على كرسي متحرك كهربائي متجه لليمين;إمكانية الوصول|احتياجات خاصة|سيدة|سيدة على كرسي متحرك كهربائي|سيدة على كرسي متحرك كهربائي متجه لليمين|كرسي متحرك
🧑‍🦽;شخص على كرسي متحرك يدوي;احتياجات خاصة|شخص على كرسي متحرك يدوي|كرسي متحرك
	🧑🏻‍🦽;شخص على كرسي متحرك يدوي: بشرة بلون فاتح;احتياجات خاصة|بشرة بلون فاتح|شخص على كرسي متحرك يدوي|شخص على كرسي متحرك يدوي: بشرة بلون فاتح|كرسي متحرك
	🧑🏼‍🦽;شخص على كرسي متحرك يدوي: بشرة بلون فاتح ومعتدل;احتياجات خاصة|بشرة بلون فاتح ومعتدل|شخص على كرسي متحرك يدوي|شخص على كرسي متحرك يدوي: بشرة بلون فاتح ومعتدل|كرسي متحرك
	🧑🏽‍🦽;شخص على كرسي متحرك يدوي: بشرة بلون معتدل;احتياجات خاصة|بشرة بلون معتدل|شخص على كرسي متحرك يدوي|شخص على كرسي متحرك يدوي: بشرة بلون معتدل|كرسي متحرك
	🧑🏾‍🦽;شخص على كرسي متحرك يدوي: بشرة بلون معتدل مائل للغامق;احتياجات خاصة|بشرة بلون معتدل مائل للغامق|شخص على كرسي متحرك يدوي|شخص على كرسي متحرك يدوي: بشرة بلون معتدل مائل للغامق|كرسي متحرك
	🧑🏿‍🦽;شخص على كرسي متحرك يدوي: بشرة بلون غامق;احتياجات خاصة|بشرة بلون غامق|شخص على كرسي متحرك يدوي|شخص على كرسي متحرك يدوي: بشرة بلون غامق|كرسي متحرك
🧑‍🦽‍➡️;شخص على كرسي متحرك يدوي متجه لليمين;احتياجات خاصة|شخص على كرسي متحرك يدوي|شخص على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
	🧑🏻‍🦽‍➡️;شخص على كرسي متحرك يدوي متجه لليمين;احتياجات خاصة|شخص على كرسي متحرك يدوي|شخص على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
	🧑🏼‍🦽‍➡️;شخص على كرسي متحرك يدوي متجه لليمين;احتياجات خاصة|شخص على كرسي متحرك يدوي|شخص على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
	🧑🏽‍🦽‍➡️;شخص على كرسي متحرك يدوي متجه لليمين;احتياجات خاصة|شخص على كرسي متحرك يدوي|شخص على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
	🧑🏾‍🦽‍➡️;شخص على كرسي متحرك يدوي متجه لليمين;احتياجات خاصة|شخص على كرسي متحرك يدوي|شخص على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
	🧑🏿‍🦽‍➡️;شخص على كرسي متحرك يدوي متجه لليمين;احتياجات خاصة|شخص على كرسي متحرك يدوي|شخص على كرسي متحرك يدوي متجه لليمين|كرسي متحرك
👨‍🦽;رجل على كرسي متحرك يدوي;إمكانية الوصول|احتياجات خاصة|رجل|رجل على كرسي متحرك يدوي|كرسي متحرك
	👨🏻‍🦽;رجل على كرسي متحرك يدوي: بشرة بلون فاتح;إمكانية الوصول|احتياجات خاصة|بشرة بلون فاتح|رجل|رجل على كرسي متحرك يدوي|رجل على كرسي متحرك يدوي: بشرة بلون فاتح|كرسي متحرك
	👨🏼‍🦽;رجل على كرسي متحرك يدوي: بشرة بلون فاتح ومعتدل;إمكانية الوصول|احتياجات خاصة|بشرة بلون فاتح ومعتدل|رجل|رجل على كرسي متحرك يدوي|رجل على كرسي متحرك يدوي: بشرة بلون فاتح ومعتدل|كرسي متحرك
