# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;چىشلىق كۈلگەن چىراي;چىراي|چىشلىق|چىشلىق كۈلگەن چىراي
	⛹🏽‍♀️;توپ ئويناۋاتقان ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|توپ|توپ ئويناۋاتقان ئايال
	⛹🏾‍♀️;توپ ئويناۋاتقان ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|توپ|توپ ئويناۋاتقان ئايال
	⛹🏿‍♀️;توپ ئويناۋاتقان ئايال: توق تېرە رەڭ;ئايال|توپ|توپ ئويناۋاتقان ئايال|توق تېرە رەڭ
🏋️;ئېغىرلىق كۆتۈرگۈچى;ئېغىر|ئېغىرلىق كۆتۈرگۈچى|كۆتۈرگۈچى
	🏋🏻;ئېغىرلىق كۆتۈرگۈچى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئېغىر|ئېغىرلىق كۆتۈرگۈچى|كۆتۈرگۈچى
	🏋🏼;ئېغىرلىق كۆتۈرگۈچى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئېغىر|ئېغىرلىق كۆتۈرگۈچى|كۆتۈرگۈچى
	🏋🏽;ئېغىرلىق كۆتۈرگۈچى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئېغىر|ئېغىرلىق كۆتۈرگۈچى|كۆتۈرگۈچى
	🏋🏾;ئېغىرلىق كۆتۈرگۈچى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئېغىر|ئېغىرلىق كۆتۈرگۈچى|كۆتۈرگۈچى
	🏋🏿;ئېغىرلىق كۆتۈرگۈچى: توق تېرە رەڭ;ئېغىر|ئېغىرلىق كۆتۈرگۈچى|توق تېرە رەڭ|كۆتۈرگۈچى
🏋️‍♂️;ئېغىرلىق كۆتۈرگۈچى ئەر;ئەر|ئېغىرلىق كۆتۈرگۈچى|ئېغىرلىق كۆتۈرگۈچى ئەر
	🏋🏻‍♂️;ئېغىرلىق كۆتۈرگۈچى ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|ئېغىرلىق كۆتۈرگۈچى|ئېغىرلىق كۆتۈرگۈچى ئەر
	🏋🏼‍♂️;ئېغىرلىق كۆتۈرگۈچى ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|ئېغىرلىق كۆتۈرگۈچى|ئېغىرلىق كۆتۈرگۈچى ئەر
	🏋🏽‍♂️;ئېغىرلىق كۆتۈرگۈچى ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|ئېغىرلىق كۆتۈرگۈچى|ئېغىرلىق كۆتۈرگۈچى ئەر
	🏋🏾‍♂️;ئېغىرلىق كۆتۈرگۈچى ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|ئېغىرلىق كۆتۈرگۈچى|ئېغىرلىق كۆتۈرگۈچى ئەر
	🏋🏿‍♂️;ئېغىرلىق كۆتۈرگۈچى ئەر: توق تېرە رەڭ;ئەر|ئېغىرلىق كۆتۈرگۈچى|ئېغىرلىق كۆتۈرگۈچى ئەر|توق تېرە رەڭ
🏋️‍♀️;ئېغىرلىق كۆتۈرگۈچى ئايال;ئايال|ئېغىرلىق كۆتۈرگۈچى|ئېغىرلىق كۆتۈرگۈچى ئايال
	🏋🏻‍♀️;ئېغىرلىق كۆتۈرگۈچى ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|ئېغىرلىق كۆتۈرگۈچى|ئېغىرلىق كۆتۈرگۈچى ئايال
	🏋🏼‍♀️;ئېغىرلىق كۆتۈرگۈچى ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|ئېغىرلىق كۆتۈرگۈچى|ئېغىرلىق كۆتۈرگۈچى ئايال
	🏋🏽‍♀️;ئېغىرلىق كۆتۈرگۈچى ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|ئېغىرلىق كۆتۈرگۈچى|ئېغىرلىق كۆتۈرگۈچى ئايال
	🏋🏾‍♀️;ئېغىرلىق كۆتۈرگۈچى ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|ئېغىرلىق كۆتۈرگۈچى|ئېغىرلىق كۆتۈرگۈچى ئايال
	🏋🏿‍♀️;ئېغىرلىق كۆتۈرگۈچى ئايال: توق تېرە رەڭ;ئايال|ئېغىرلىق كۆتۈرگۈچى|ئېغىرلىق كۆتۈرگۈچى ئايال|توق تېرە رەڭ
🚴;ۋېلىسىپىتلىك كىشى;مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك كىشى
	🚴🏻;ۋېلىسىپىتلىك كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك كىشى
	🚴🏼;ۋېلىسىپىتلىك كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك كىشى
	🚴🏽;ۋېلىسىپىتلىك كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك كىشى
	🚴🏾;ۋېلىسىپىتلىك كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك كىشى
	🚴🏿;ۋېلىسىپىتلىك كىشى: توق تېرە رەڭ;توق تېرە رەڭ|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك كىشى
🚴‍♂️;ۋېلىسىپىتلىك ئەر;ئەر|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك ئەر
	🚴🏻‍♂️;ۋېلىسىپىتلىك ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك ئەر
	🚴🏼‍♂️;ۋېلىسىپىتلىك ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك ئەر
	🚴🏽‍♂️;ۋېلىسىپىتلىك ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك ئەر
	🚴🏾‍♂️;ۋېلىسىپىتلىك ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك ئەر
	🚴🏿‍♂️;ۋېلىسىپىتلىك ئەر: توق تېرە رەڭ;ئەر|توق تېرە رەڭ|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك ئەر
🚴‍♀️;ۋېلىسىپىتلىك ئايال;ئايال|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك ئايال
	🚴🏻‍♀️;ۋېلىسىپىتلىك ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك ئايال
	🚴🏼‍♀️;ۋېلىسىپىتلىك ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك ئايال
	🚴🏽‍♀️;ۋېلىسىپىتلىك ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك ئايال
	🚴🏾‍♀️;ۋېلىسىپىتلىك ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك ئايال
	🚴🏿‍♀️;ۋېلىسىپىتلىك ئايال: توق تېرە رەڭ;ئايال|توق تېرە رەڭ|مىنگۈچى|مىنىش|ۋېلىسىپىت|ۋېلىسىپىتلىك ئايال
🚵;تاغ ۋېلىسىپىتى مىنگەن كىشى;تاغ|تاغ ۋېلىسىپىتى مىنگەن كىشى|مىن|مىنگۈچى|ۋېلىسىپىت|ۋېلىسىپىتلىك
	🚵🏻;تاغ ۋېلىسىپىتى مىنگەن كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|تاغ|تاغ ۋېلىسىپىتى مىنگەن كىشى|مىن|مىنگۈچى|ۋېلىسىپىت|ۋېلىسىپىتلىك
	🚵🏼;تاغ ۋېلىسىپىتى مىنگەن كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|تاغ|تاغ ۋېلىسىپىتى مىنگەن كىشى|مىن|مىنگۈچى|ۋېلىسىپىت|ۋېلىسىپىتلىك
	🚵🏽;تاغ ۋېلىسىپىتى مىنگەن كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|تاغ|تاغ ۋېلىسىپىتى مىنگەن كىشى|مىن|مىنگۈچى|ۋېلىسىپىت|ۋېلىسىپىتلىك
	🚵🏾;تاغ ۋېلىسىپىتى مىنگەن كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|تاغ|تاغ ۋېلىسىپىتى مىنگەن كىشى|مىن|مىنگۈچى|ۋېلىسىپىت|ۋېلىسىپىتلىك
	🚵🏿;تاغ ۋېلىسىپىتى مىنگەن كىشى: توق تېرە رەڭ;تاغ|تاغ ۋېلىسىپىتى مىنگەن كىشى|توق تېرە رەڭ|مىن|مىنگۈچى|ۋېلىسىپىت|ۋېلىسىپىتلىك
🚵‍♂️;تاغ ۋېلىسىپىتى مىنگەن ئەر;ئەر|تاغ|تاغ ۋېلىسىپىتى مىنگەن ئەر|مىنگۈچى|مىنىش|ۋېلىسىپىت
	🚵🏻‍♂️;تاغ ۋېلىسىپىتى مىنگەن ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|تاغ|تاغ ۋېلىسىپىتى مىنگەن ئەر|مىنگۈچى|مىنىش|ۋېلىسىپىت
	🚵🏼‍♂️;تاغ ۋېلىسىپىتى مىنگەن ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|تاغ|تاغ ۋېلىسىپىتى مىنگەن ئەر|مىنگۈچى|مىنىش|ۋېلىسىپىت
	🚵🏽‍♂️;تاغ ۋېلىسىپىتى مىنگەن ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|تاغ|تاغ ۋېلىسىپىتى مىنگەن ئەر|مىنگۈچى|مىنىش|ۋېلىسىپىت
	🚵🏾‍♂️;تاغ ۋېلىسىپىتى مىنگەن ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|تاغ|تاغ ۋېلىسىپىتى مىنگەن ئەر|مىنگۈچى|مىنىش|ۋېلىسىپىت
	🚵🏿‍♂️;تاغ ۋېلىسىپىتى مىنگەن ئەر: توق تېرە رەڭ;ئەر|تاغ|تاغ ۋېلىسىپىتى مىنگەن ئەر|توق تېرە رەڭ|مىنگۈچى|مىنىش|ۋېلىسىپىت
🚵‍♀️;تاغ ۋېلىسىپىتى مىنگەن ئايال;ئايال|تاغ|تاغ ۋېلىسىپىتى مىنگەن ئايال|مىنگۈچى|مىنىش|ۋېلىسىپىت
	🚵🏻‍♀️;تاغ ۋېلىسىپىتى مىنگەن ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|تاغ|تاغ ۋېلىسىپىتى مىنگەن ئايال|مىنگۈچى|مىنىش|ۋېلىسىپىت
	🚵🏼‍♀️;تاغ ۋېلىسىپىتى مىنگەن ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|تاغ|تاغ ۋېلىسىپىتى مىنگەن ئايال|مىنگۈچى|مىنىش|ۋېلىسىپىت
	🚵🏽‍♀️;تاغ ۋېلىسىپىتى مىنگەن ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|تاغ|تاغ ۋېلىسىپىتى مىنگەن ئايال|مىنگۈچى|مىنىش|ۋېلىسىپىت
	🚵🏾‍♀️;تاغ ۋېلىسىپىتى مىنگەن ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|تاغ|تاغ ۋېلىسىپىتى مىنگەن ئايال|مىنگۈچى|مىنىش|ۋېلىسىپىت
	🚵🏿‍♀️;تاغ ۋېلىسىپىتى مىنگەن ئايال: توق تېرە رەڭ;ئايال|تاغ|تاغ ۋېلىسىپىتى مىنگەن ئايال|توق تېرە رەڭ|مىنگۈچى|مىنىش|ۋېلىسىپىت
🤸;پەي سوزۇۋاتقان كىشى;پەي سوزۇش|پەي سوزۇۋاتقان كىشى|گىمناستىكا
	🤸🏻;پەي سوزۇۋاتقان كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|پەي سوزۇش|پەي سوزۇۋاتقان كىشى|گىمناستىكا
	🤸🏼;پەي سوزۇۋاتقان كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|پەي سوزۇش|پەي سوزۇۋاتقان كىشى|گىمناستىكا
	🤸🏽;پەي سوزۇۋاتقان كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|پەي سوزۇش|پەي سوزۇۋاتقان كىشى|گىمناستىكا
	🤸🏾;پەي سوزۇۋاتقان كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|پەي سوزۇش|پەي سوزۇۋاتقان كىشى|گىمناستىكا
	🤸🏿;پەي سوزۇۋاتقان كىشى: توق تېرە رەڭ;پەي سوزۇش|پەي سوزۇۋاتقان كىشى|توق تېرە رەڭ|گىمناستىكا
🤸‍♂️;پەي سوزۇۋاتقان ئەر;ئەر|پەي سوزۇش|پەي سوزۇۋاتقان ئەر|گىمناستىكا
	🤸🏻‍♂️;پەي سوزۇۋاتقان ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|پەي سوزۇش|پەي سوزۇۋاتقان ئەر|گىمناستىكا
	🤸🏼‍♂️;پەي سوزۇۋاتقان ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|پەي سوزۇش|پەي سوزۇۋاتقان ئەر|گىمناستىكا
	🤸🏽‍♂️;پەي سوزۇۋاتقان ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|پەي سوزۇش|پەي سوزۇۋاتقان ئەر|گىمناستىكا
	🤸🏾‍♂️;پەي سوزۇۋاتقان ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|پەي سوزۇش|پەي سوزۇۋاتقان ئەر|گىمناستىكا
	🤸🏿‍♂️;پەي سوزۇۋاتقان ئەر: توق تېرە رەڭ;ئەر|پەي سوزۇش|پەي سوزۇۋاتقان ئەر|توق تېرە رەڭ|گىمناستىكا
🤸‍♀️;پەي سوزۇۋاتقان ئايال;ئايال|پەي سوزۇش|پەي سوزۇۋاتقان ئايال|گىمناستىكا
	🤸🏻‍♀️;پەي سوزۇۋاتقان ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|پەي سوزۇش|پەي سوزۇۋاتقان ئايال|گىمناستىكا
	🤸🏼‍♀️;پەي سوزۇۋاتقان ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|پەي سوزۇش|پەي سوزۇۋاتقان ئايال|گىمناستىكا
	🤸🏽‍♀️;پەي سوزۇۋاتقان ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|پەي سوزۇش|پەي سوزۇۋاتقان ئايال|گىمناستىكا
	🤸🏾‍♀️;پەي سوزۇۋاتقان ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|پەي سوزۇش|پەي سوزۇۋاتقان ئايال|گىمناستىكا
	🤸🏿‍♀️;پەي سوزۇۋاتقان ئايال: توق تېرە رەڭ;ئايال|پەي سوزۇش|پەي سوزۇۋاتقان ئايال|توق تېرە رەڭ|گىمناستىكا
🤼;چېلىشچى;چېلىش|چېلىشچى|چېلىشىش
	🤼🏻;چېلىشچى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|چېلىش|چېلىشچى|چېلىشىش
	🤼🏼;چېلىشچى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|چېلىش|چېلىشچى|چېلىشىش
	🤼🏽;چېلىشچى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|چېلىش|چېلىشچى|چېلىشىش
	🤼🏾;چېلىشچى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|چېلىش|چېلىشچى|چېلىشىش
	🤼🏿;چېلىشچى: توق تېرە رەڭ;توق تېرە رەڭ|چېلىش|چېلىشچى|چېلىشىش
🤼‍♂️;ئەر چېلىشچى;ئەر|چېلىشچى
	🤼🏻‍♂️;ئەر چېلىشچى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|چېلىشچى
	🤼🏼‍♂️;ئەر چېلىشچى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|چېلىشچى
	🤼🏽‍♂️;ئەر چېلىشچى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|چېلىشچى
	🤼🏾‍♂️;ئەر چېلىشچى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|چېلىشچى
	🤼🏿‍♂️;ئەر چېلىشچى: توق تېرە رەڭ;ئەر|توق تېرە رەڭ|چېلىشچى
🤼‍♀️;ئايال چېلىشچى;ئايال|چېلىشچى
	🤼🏻‍♀️;ئايال چېلىشچى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|چېلىشچى
	🤼🏼‍♀️;ئايال چېلىشچى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|چېلىشچى
	🤼🏽‍♀️;ئايال چېلىشچى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|چېلىشچى
	🤼🏾‍♀️;ئايال چېلىشچى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|چېلىشچى
	🤼🏿‍♀️;ئايال چېلىشچى: توق تېرە رەڭ;ئايال|توق تېرە رەڭ|چېلىشچى
	🧑🏻‍🫯‍🧑🏼;چېلىشچى: ئاچ تېرە رەڭ and ئارا ئاچ تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|چېلىش|چېلىشچى|چېلىشىش
	🧑🏻‍🫯‍🧑🏽;چېلىشچى: ئاچ تېرە رەڭ and ئارا تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|چېلىش|چېلىشچى|چېلىشىش
	🧑🏻‍🫯‍🧑🏾;چېلىشچى: ئاچ تېرە رەڭ and ئارا توق تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|چېلىش|چېلىشچى|چېلىشىش
	🧑🏻‍🫯‍🧑🏿;چېلىشچى: ئاچ تېرە رەڭ and توق تېرە رەڭ;ئاچ تېرە رەڭ|توق تېرە رەڭ|چېلىش|چېلىشچى|چېلىشىش
	🧑🏼‍🫯‍🧑🏻;چېلىشچى: ئارا ئاچ تېرە رەڭگى and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|چېلىش|چېلىشچى|چېلىشىش
	🧑🏼‍🫯‍🧑🏽;چېلىشچى: ئارا ئاچ تېرە رەڭگى and ئارا تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا تېرە رەڭگى|چېلىش|چېلىشچى|چېلىشىش
	🧑🏼‍🫯‍🧑🏾;چېلىشچى: ئارا ئاچ تېرە رەڭگى and ئارا توق تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا توق تېرە رەڭگى|چېلىش|چېلىشچى|چېلىشىش
	🧑🏼‍🫯‍🧑🏿;چېلىشچى: ئارا ئاچ تېرە رەڭگى and توق تېرە رەڭ;ئارا ئاچ تېرە رەڭگى|توق تېرە رەڭ|چېلىش|چېلىشچى|چېلىشىش
	🧑🏽‍🫯‍🧑🏻;چېلىشچى: ئارا تېرە رەڭگى and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|چېلىش|چېلىشچى|چېلىشىش
	🧑🏽‍🫯‍🧑🏼;چېلىشچى: ئارا تېرە رەڭگى and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا تېرە رەڭگى|چېلىش|چېلىشچى|چېلىشىش
	🧑🏽‍🫯‍🧑🏾;چېلىشچى: ئارا تېرە رەڭگى and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارا تېرە رەڭگى|چېلىش|چېلىشچى|چېلىشىش
	🧑🏽‍🫯‍🧑🏿;چېلىشچى: ئارا تېرە رەڭگى and توق تېرە رەڭ;ئارا تېرە رەڭگى|توق تېرە رەڭ|چېلىش|چېلىشچى|چېلىشىش
	🧑🏾‍🫯‍🧑🏻;چېلىشچى: ئارا توق تېرە رەڭگى and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|چېلىش|چېلىشچى|چېلىشىش
	🧑🏾‍🫯‍🧑🏼;چېلىشچى: ئارا توق تېرە رەڭگى and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا توق تېرە رەڭگى|چېلىش|چېلىشچى|چېلىشىش
	🧑🏾‍🫯‍🧑🏽;چېلىشچى: ئارا توق تېرە رەڭگى and ئارا تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارا تېرە رەڭگى|چېلىش|چېلىشچى|چېلىشىش
	🧑🏾‍🫯‍🧑🏿;چېلىشچى: ئارا توق تېرە رەڭگى and توق تېرە رەڭ;ئارا توق تېرە رەڭگى|توق تېرە رەڭ|چېلىش|چېلىشچى|چېلىشىش
	🧑🏿‍🫯‍🧑🏻;چېلىشچى: توق تېرە رەڭ and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|توق تېرە رەڭ|چېلىش|چېلىشچى|چېلىشىش
	🧑🏿‍🫯‍🧑🏼;چېلىشچى: توق تېرە رەڭ and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|توق تېرە رەڭ|چېلىش|چېلىشچى|چېلىشىش
	🧑🏿‍🫯‍🧑🏽;چېلىشچى: توق تېرە رەڭ and ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|توق تېرە رەڭ|چېلىش|چېلىشچى|چېلىشىش
	🧑🏿‍🫯‍🧑🏾;چېلىشچى: توق تېرە رەڭ and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|توق تېرە رەڭ|چېلىش|چېلىشچى|چېلىشىش
	👨🏻‍🫯‍👨🏼;ئەر چېلىشچى: ئاچ تېرە رەڭ and ئارا ئاچ تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|ئەر|چېلىشچى
	👨🏻‍🫯‍👨🏽;ئەر چېلىشچى: ئاچ تېرە رەڭ and ئارا تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|ئەر|چېلىشچى
	👨🏻‍🫯‍👨🏾;ئەر چېلىشچى: ئاچ تېرە رەڭ and ئارا توق تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|ئەر|چېلىشچى
	👨🏻‍🫯‍👨🏿;ئەر چېلىشچى: ئاچ تېرە رەڭ and توق تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|توق تېرە رەڭ|چېلىشچى
	👨🏼‍🫯‍👨🏻;ئەر چېلىشچى: ئارا ئاچ تېرە رەڭگى and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|ئەر|چېلىشچى
	👨🏼‍🫯‍👨🏽;ئەر چېلىشچى: ئارا ئاچ تېرە رەڭگى and ئارا تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا تېرە رەڭگى|ئەر|چېلىشچى
	👨🏼‍🫯‍👨🏾;ئەر چېلىشچى: ئارا ئاچ تېرە رەڭگى and ئارا توق تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا توق تېرە رەڭگى|ئەر|چېلىشچى
	👨🏼‍🫯‍👨🏿;ئەر چېلىشچى: ئارا ئاچ تېرە رەڭگى and توق تېرە رەڭ;ئارا ئاچ تېرە رەڭگى|ئەر|توق تېرە رەڭ|چېلىشچى
	👨🏽‍🫯‍👨🏻;ئەر چېلىشچى: ئارا تېرە رەڭگى and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|ئەر|چېلىشچى
	👨🏽‍🫯‍👨🏼;ئەر چېلىشچى: ئارا تېرە رەڭگى and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا تېرە رەڭگى|ئەر|چېلىشچى
	👨🏽‍🫯‍👨🏾;ئەر چېلىشچى: ئارا تېرە رەڭگى and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارا تېرە رەڭگى|ئەر|چېلىشچى
	👨🏽‍🫯‍👨🏿;ئەر چېلىشچى: ئارا تېرە رەڭگى and توق تېرە رەڭ;ئارا تېرە رەڭگى|ئەر|توق تېرە رەڭ|چېلىشچى
	👨🏾‍🫯‍👨🏻;ئەر چېلىشچى: ئارا توق تېرە رەڭگى and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|ئەر|چېلىشچى
	👨🏾‍🫯‍👨🏼;ئەر چېلىشچى: ئارا توق تېرە رەڭگى and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا توق تېرە رەڭگى|ئەر|چېلىشچى
	👨🏾‍🫯‍👨🏽;ئەر چېلىشچى: ئارا توق تېرە رەڭگى and ئارا تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارا تېرە رەڭگى|ئەر|چېلىشچى
	👨🏾‍🫯‍👨🏿;ئەر چېلىشچى: ئارا توق تېرە رەڭگى and توق تېرە رەڭ;ئارا توق تېرە رەڭگى|ئەر|توق تېرە رەڭ|چېلىشچى
	👨🏿‍🫯‍👨🏻;ئەر چېلىشچى: توق تېرە رەڭ and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|توق تېرە رەڭ|چېلىشچى
	👨🏿‍🫯‍👨🏼;ئەر چېلىشچى: توق تېرە رەڭ and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|توق تېرە رەڭ|چېلىشچى
	👨🏿‍🫯‍👨🏽;ئەر چېلىشچى: توق تېرە رەڭ and ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|توق تېرە رەڭ|چېلىشچى
	👨🏿‍🫯‍👨🏾;ئەر چېلىشچى: توق تېرە رەڭ and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|توق تېرە رەڭ|چېلىشچى
