# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grínandi andlit;andlit|grín|grínandi andlit
	🖕🏽;longutong peikar uppeftir: miðal húðarlitur;fingur|hond|longutong|longutong peikar uppeftir|longutong peikar uppeftir: miðal húðarlitur|miðal húðarlitur|upp|uppeftir
	🖕🏾;longutong peikar uppeftir: miðalmyrkur húðarlitur;fingur|hond|longutong|longutong peikar uppeftir|longutong peikar uppeftir: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|upp|uppeftir
	🖕🏿;longutong peikar uppeftir: myrkur húðarlitur;fingur|hond|longutong|longutong peikar uppeftir|longutong peikar uppeftir: myrkur húðarlitur|myrkur húðarlitur|upp|uppeftir
👇;longutong peikar niðureftir;fingur|hond|longutong|longutong peikar niðureftir|niður|niðureftir
	👇🏻;longutong peikar niðureftir: ljósur húðarlitur;fingur|hond|ljósur húðarlitur|longutong|longutong peikar niðureftir|longutong peikar niðureftir: ljósur húðarlitur|niður|niðureftir
	👇🏼;longutong peikar niðureftir: miðalljósur húðarlitur;fingur|hond|longutong|longutong peikar niðureftir|longutong peikar niðureftir: miðalljósur húðarlitur|miðalljósur húðarlitur|niður|niðureftir
	👇🏽;longutong peikar niðureftir: miðal húðarlitur;fingur|hond|longutong|longutong peikar niðureftir|longutong peikar niðureftir: miðal húðarlitur|miðal húðarlitur|niður|niðureftir
	👇🏾;longutong peikar niðureftir: miðalmyrkur húðarlitur;fingur|hond|longutong|longutong peikar niðureftir|longutong peikar niðureftir: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|niður|niðureftir
	👇🏿;longutong peikar niðureftir: myrkur húðarlitur;fingur|hond|longutong|longutong peikar niðureftir|longutong peikar niðureftir: myrkur húðarlitur|myrkur húðarlitur|niður|niðureftir
☝️;lógvi og fremstifingur peikar uppeftir;fingur|fremstifingur|hond|lógvi|lógvi og fremstifingur peikar uppeftir|peikifingur|upp|uppeftir
	☝🏻;lógvi og fremstifingur peikar uppeftir: ljósur húðarlitur;fingur|fremstifingur|hond|ljósur húðarlitur|lógvi|lógvi og fremstifingur peikar uppeftir|lógvi og fremstifingur peikar uppeftir: ljósur húðarlitur|peikifingur|upp|uppeftir
	☝🏼;lógvi og fremstifingur peikar uppeftir: miðalljósur húðarlitur;fingur|fremstifingur|hond|lógvi|lógvi og fremstifingur peikar uppeftir|lógvi og fremstifingur peikar uppeftir: miðalljósur húðarlitur|miðalljósur húðarlitur|peikifingur|upp|uppeftir
	☝🏽;lógvi og fremstifingur peikar uppeftir: miðal húðarlitur;fingur|fremstifingur|hond|lógvi|lógvi og fremstifingur peikar uppeftir|lógvi og fremstifingur peikar uppeftir: miðal húðarlitur|miðal húðarlitur|peikifingur|upp|uppeftir
	☝🏾;lógvi og fremstifingur peikar uppeftir: miðalmyrkur húðarlitur;fingur|fremstifingur|hond|lógvi|lógvi og fremstifingur peikar uppeftir|lógvi og fremstifingur peikar uppeftir: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|peikifingur|upp|uppeftir
	☝🏿;lógvi og fremstifingur peikar uppeftir: myrkur húðarlitur;fingur|fremstifingur|hond|lógvi|lógvi og fremstifingur peikar uppeftir|lógvi og fremstifingur peikar uppeftir: myrkur húðarlitur|myrkur húðarlitur|peikifingur|upp|uppeftir
🫵;;
	🫵🏻;;
	🫵🏼;;
	🫵🏽;;
	🫵🏾;;
	🫵🏿;;
👍;tummil upp;gott|samdur|tummil|tummil upp
	👍🏻;tummil upp: ljósur húðarlitur;gott|ljósur húðarlitur|samdur|tummil|tummil upp|tummil upp: ljósur húðarlitur
	👍🏼;tummil upp: miðalljósur húðarlitur;gott|miðalljósur húðarlitur|samdur|tummil|tummil upp|tummil upp: miðalljósur húðarlitur
	👍🏽;tummil upp: miðal húðarlitur;gott|miðal húðarlitur|samdur|tummil|tummil upp|tummil upp: miðal húðarlitur
	👍🏾;tummil upp: miðalmyrkur húðarlitur;gott|miðalmyrkur húðarlitur|samdur|tummil|tummil upp|tummil upp: miðalmyrkur húðarlitur
	👍🏿;tummil upp: myrkur húðarlitur;gott|myrkur húðarlitur|samdur|tummil|tummil upp|tummil upp: myrkur húðarlitur
👎;tummil niður;niður|ósamdur|tummil|vánaligt
	👎🏻;tummil niður: ljósur húðarlitur;ljósur húðarlitur|niður|ósamdur|tummil|tummil niður: ljósur húðarlitur|vánaligt
	👎🏼;tummil niður: miðalljósur húðarlitur;miðalljósur húðarlitur|niður|ósamdur|tummil|tummil niður: miðalljósur húðarlitur|vánaligt
	👎🏽;tummil niður: miðal húðarlitur;miðal húðarlitur|niður|ósamdur|tummil|tummil niður: miðal húðarlitur|vánaligt
	👎🏾;tummil niður: miðalmyrkur húðarlitur;miðalmyrkur húðarlitur|niður|ósamdur|tummil|tummil niður: miðalmyrkur húðarlitur|vánaligt
	👎🏿;tummil niður: myrkur húðarlitur;myrkur húðarlitur|niður|ósamdur|tummil|tummil niður: myrkur húðarlitur|vánaligt
✊;knýttur nevi;knýttur|nevi
	✊🏻;knýttur nevi: ljósur húðarlitur;knýttur|knýttur nevi: ljósur húðarlitur|ljósur húðarlitur|nevi
	✊🏼;knýttur nevi: miðalljósur húðarlitur;knýttur|knýttur nevi: miðalljósur húðarlitur|miðalljósur húðarlitur|nevi
	✊🏽;knýttur nevi: miðal húðarlitur;knýttur|knýttur nevi: miðal húðarlitur|miðal húðarlitur|nevi
	✊🏾;knýttur nevi: miðalmyrkur húðarlitur;knýttur|knýttur nevi: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|nevi
	✊🏿;knýttur nevi: myrkur húðarlitur;knýttur|knýttur nevi: myrkur húðarlitur|myrkur húðarlitur|nevi
👊;sláandi knýttur nevi;knýttur|nevi|sláandi knýttur nevi|slær
	👊🏻;sláandi knýttur nevi: ljósur húðarlitur;knýttur|ljósur húðarlitur|nevi|sláandi knýttur nevi|sláandi knýttur nevi: ljósur húðarlitur|slær
	👊🏼;sláandi knýttur nevi: miðalljósur húðarlitur;knýttur|miðalljósur húðarlitur|nevi|sláandi knýttur nevi|sláandi knýttur nevi: miðalljósur húðarlitur|slær
	👊🏽;sláandi knýttur nevi: miðal húðarlitur;knýttur|miðal húðarlitur|nevi|sláandi knýttur nevi|sláandi knýttur nevi: miðal húðarlitur|slær
	👊🏾;sláandi knýttur nevi: miðalmyrkur húðarlitur;knýttur|miðalmyrkur húðarlitur|nevi|sláandi knýttur nevi|sláandi knýttur nevi: miðalmyrkur húðarlitur|slær
	👊🏿;sláandi knýttur nevi: myrkur húðarlitur;knýttur|myrkur húðarlitur|nevi|sláandi knýttur nevi|sláandi knýttur nevi: myrkur húðarlitur|slær
🤛;nevi í vendur til vinstru;knýttur|nevi|nevi í vendur til vinstru|vinstru
	🤛🏻;nevi í vendur til vinstru: ljósur húðarlitur;knýttur|ljósur húðarlitur|nevi|nevi í vendur til vinstru|nevi í vendur til vinstru: ljósur húðarlitur|vinstru
	🤛🏼;nevi í vendur til vinstru: miðalljósur húðarlitur;knýttur|miðalljósur húðarlitur|nevi|nevi í vendur til vinstru|nevi í vendur til vinstru: miðalljósur húðarlitur|vinstru
	🤛🏽;nevi í vendur til vinstru: miðal húðarlitur;knýttur|miðal húðarlitur|nevi|nevi í vendur til vinstru|nevi í vendur til vinstru: miðal húðarlitur|vinstru
	🤛🏾;nevi í vendur til vinstru: miðalmyrkur húðarlitur;knýttur|miðalmyrkur húðarlitur|nevi|nevi í vendur til vinstru|nevi í vendur til vinstru: miðalmyrkur húðarlitur|vinstru
	🤛🏿;nevi í vendur til vinstru: myrkur húðarlitur;knýttur|myrkur húðarlitur|nevi|nevi í vendur til vinstru|nevi í vendur til vinstru: myrkur húðarlitur|vinstru
🤜;nevi í vendur til høgru;høgru|knýttur|nevi|nevi í vendur til høgru
	🤜🏻;nevi í vendur til høgru: ljósur húðarlitur;høgru|knýttur|ljósur húðarlitur|nevi|nevi í vendur til høgru|nevi í vendur til høgru: ljósur húðarlitur
	🤜🏼;nevi í vendur til høgru: miðalljósur húðarlitur;høgru|knýttur|miðalljósur húðarlitur|nevi|nevi í vendur til høgru|nevi í vendur til høgru: miðalljósur húðarlitur
	🤜🏽;nevi í vendur til høgru: miðal húðarlitur;høgru|knýttur|miðal húðarlitur|nevi|nevi í vendur til høgru|nevi í vendur til høgru: miðal húðarlitur
	🤜🏾;nevi í vendur til høgru: miðalmyrkur húðarlitur;høgru|knýttur|miðalmyrkur húðarlitur|nevi|nevi í vendur til høgru|nevi í vendur til høgru: miðalmyrkur húðarlitur
	🤜🏿;nevi í vendur til høgru: myrkur húðarlitur;høgru|knýttur|myrkur húðarlitur|nevi|nevi í vendur til høgru|nevi í vendur til høgru: myrkur húðarlitur
👏;klappandi hendur;hendur|hond|klapp|klappandi hendur
	👏🏻;klappandi hendur: ljósur húðarlitur;hendur|hond|klapp|klappandi hendur|klappandi hendur: ljósur húðarlitur|ljósur húðarlitur
	👏🏼;klappandi hendur: miðalljósur húðarlitur;hendur|hond|klapp|klappandi hendur|klappandi hendur: miðalljósur húðarlitur|miðalljósur húðarlitur
	👏🏽;klappandi hendur: miðal húðarlitur;hendur|hond|klapp|klappandi hendur|klappandi hendur: miðal húðarlitur|miðal húðarlitur
	👏🏾;klappandi hendur: miðalmyrkur húðarlitur;hendur|hond|klapp|klappandi hendur|klappandi hendur: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur
	👏🏿;klappandi hendur: myrkur húðarlitur;hendur|hond|klapp|klappandi hendur|klappandi hendur: myrkur húðarlitur|myrkur húðarlitur
🙌;upplyftar hendur;hendur|hond|upp|upplyftar hendur
	🙌🏻;upplyftar hendur: ljósur húðarlitur;hendur|hond|ljósur húðarlitur|upp|upplyftar hendur|upplyftar hendur: ljósur húðarlitur
	🙌🏼;upplyftar hendur: miðalljósur húðarlitur;hendur|hond|miðalljósur húðarlitur|upp|upplyftar hendur|upplyftar hendur: miðalljósur húðarlitur
	🙌🏽;upplyftar hendur: miðal húðarlitur;hendur|hond|miðal húðarlitur|upp|upplyftar hendur|upplyftar hendur: miðal húðarlitur
	🙌🏾;upplyftar hendur: miðalmyrkur húðarlitur;hendur|hond|miðalmyrkur húðarlitur|upp|upplyftar hendur|upplyftar hendur: miðalmyrkur húðarlitur
	🙌🏿;upplyftar hendur: myrkur húðarlitur;hendur|hond|myrkur húðarlitur|upp|upplyftar hendur|upplyftar hendur: myrkur húðarlitur
🫶;;
	🫶🏻;;
	🫶🏼;;
	🫶🏽;;
	🫶🏾;;
	🫶🏿;;
👐;opnar hendur;hendur|hond|opin|opnar hendur
	👐🏻;opnar hendur: ljósur húðarlitur;hendur|hond|ljósur húðarlitur|opin|opnar hendur|opnar hendur: ljósur húðarlitur
	👐🏼;opnar hendur: miðalljósur húðarlitur;hendur|hond|miðalljósur húðarlitur|opin|opnar hendur|opnar hendur: miðalljósur húðarlitur
	👐🏽;opnar hendur: miðal húðarlitur;hendur|hond|miðal húðarlitur|opin|opnar hendur|opnar hendur: miðal húðarlitur
	👐🏾;opnar hendur: miðalmyrkur húðarlitur;hendur|hond|miðalmyrkur húðarlitur|opin|opnar hendur|opnar hendur: miðalmyrkur húðarlitur
	👐🏿;opnar hendur: myrkur húðarlitur;hendur|hond|myrkur húðarlitur|opin|opnar hendur|opnar hendur: myrkur húðarlitur
🤲;lógvar sum eru saman;bøn|hendur|hond|lógvar|lógvar sum eru saman|lógvi|saman
	🤲🏻;lógvar sum eru saman: ljósur húðarlitur;bøn|hendur|hond|ljósur húðarlitur|lógvar|lógvar sum eru saman|lógvar sum eru saman: ljósur húðarlitur|lógvi|saman
	🤲🏼;lógvar sum eru saman: miðalljósur húðarlitur;bøn|hendur|hond|lógvar|lógvar sum eru saman|lógvar sum eru saman: miðalljósur húðarlitur|lógvi|miðalljósur húðarlitur|saman
	🤲🏽;lógvar sum eru saman: miðal húðarlitur;bøn|hendur|hond|lógvar|lógvar sum eru saman|lógvar sum eru saman: miðal húðarlitur|lógvi|miðal húðarlitur|saman
	🤲🏾;lógvar sum eru saman: miðalmyrkur húðarlitur;bøn|hendur|hond|lógvar|lógvar sum eru saman|lógvar sum eru saman: miðalmyrkur húðarlitur|lógvi|miðalmyrkur húðarlitur|saman
	🤲🏿;lógvar sum eru saman: myrkur húðarlitur;bøn|hendur|hond|lógvar|lógvar sum eru saman|lógvar sum eru saman: myrkur húðarlitur|lógvi|myrkur húðarlitur|saman
🤝;lógvatak;hendur|hond|lógvatak|taka í
	🤝🏻;lógvatak: ljósur húðarlitur;hendur|hond|ljósur húðarlitur|lógvatak|lógvatak: ljósur húðarlitur|taka í
	🤝🏼;lógvatak: miðalljósur húðarlitur;hendur|hond|lógvatak|lógvatak: miðalljósur húðarlitur|miðalljósur húðarlitur|taka í
	🤝🏽;lógvatak: miðal húðarlitur;hendur|hond|lógvatak|lógvatak: miðal húðarlitur|miðal húðarlitur|taka í
	🤝🏾;lógvatak: miðalmyrkur húðarlitur;hendur|hond|lógvatak|lógvatak: miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|taka í
	🤝🏿;lógvatak: myrkur húðarlitur;hendur|hond|lógvatak|lógvatak: myrkur húðarlitur|myrkur húðarlitur|taka í
	🫱🏻‍🫲🏼;lógvatak: ljósur húðarlitur, miðalljósur húðarlitur;hendur|hond|ljósur húðarlitur|lógvatak|lógvatak: ljósur húðarlitur, miðalljósur húðarlitur|miðalljósur húðarlitur|taka í
	🫱🏻‍🫲🏽;lógvatak: ljósur húðarlitur, miðal húðarlitur;hendur|hond|ljósur húðarlitur|lógvatak|lógvatak: ljósur húðarlitur, miðal húðarlitur|miðal húðarlitur|taka í
	🫱🏻‍🫲🏾;lógvatak: ljósur húðarlitur, miðalmyrkur húðarlitur;hendur|hond|ljósur húðarlitur|lógvatak|lógvatak: ljósur húðarlitur, miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|taka í
	🫱🏻‍🫲🏿;lógvatak: ljósur húðarlitur, myrkur húðarlitur;hendur|hond|ljósur húðarlitur|lógvatak|lógvatak: ljósur húðarlitur, myrkur húðarlitur|myrkur húðarlitur|taka í
	🫱🏼‍🫲🏻;lógvatak: miðalljósur húðarlitur, ljósur húðarlitur;hendur|hond|ljósur húðarlitur|lógvatak|lógvatak: miðalljósur húðarlitur, ljósur húðarlitur|miðalljósur húðarlitur|taka í
	🫱🏼‍🫲🏽;lógvatak: miðalljósur húðarlitur, miðal húðarlitur;hendur|hond|lógvatak|lógvatak: miðalljósur húðarlitur, miðal húðarlitur|miðal húðarlitur|miðalljósur húðarlitur|taka í
	🫱🏼‍🫲🏾;lógvatak: miðalljósur húðarlitur, miðalmyrkur húðarlitur;hendur|hond|lógvatak|lógvatak: miðalljósur húðarlitur, miðalmyrkur húðarlitur|miðalljósur húðarlitur|miðalmyrkur húðarlitur|taka í
	🫱🏼‍🫲🏿;lógvatak: miðalljósur húðarlitur, myrkur húðarlitur;hendur|hond|lógvatak|lógvatak: miðalljósur húðarlitur, myrkur húðarlitur|miðalljósur húðarlitur|myrkur húðarlitur|taka í
	🫱🏽‍🫲🏻;lógvatak: miðal húðarlitur, ljósur húðarlitur;hendur|hond|ljósur húðarlitur|lógvatak|lógvatak: miðal húðarlitur, ljósur húðarlitur|miðal húðarlitur|taka í
	🫱🏽‍🫲🏼;lógvatak: miðal húðarlitur, miðalljósur húðarlitur;hendur|hond|lógvatak|lógvatak: miðal húðarlitur, miðalljósur húðarlitur|miðal húðarlitur|miðalljósur húðarlitur|taka í
	🫱🏽‍🫲🏾;lógvatak: miðal húðarlitur, miðalmyrkur húðarlitur;hendur|hond|lógvatak|lógvatak: miðal húðarlitur, miðalmyrkur húðarlitur|miðal húðarlitur|miðalmyrkur húðarlitur|taka í
	🫱🏽‍🫲🏿;lógvatak: miðal húðarlitur, myrkur húðarlitur;hendur|hond|lógvatak|lógvatak: miðal húðarlitur, myrkur húðarlitur|miðal húðarlitur|myrkur húðarlitur|taka í
	🫱🏾‍🫲🏻;lógvatak: miðalmyrkur húðarlitur, ljósur húðarlitur;hendur|hond|ljósur húðarlitur|lógvatak|lógvatak: miðalmyrkur húðarlitur, ljósur húðarlitur|miðalmyrkur húðarlitur|taka í
	🫱🏾‍🫲🏼;lógvatak: miðalmyrkur húðarlitur, miðalljósur húðarlitur;hendur|hond|lógvatak|lógvatak: miðalmyrkur húðarlitur, miðalljósur húðarlitur|miðalljósur húðarlitur|miðalmyrkur húðarlitur|taka í
	🫱🏾‍🫲🏽;lógvatak: miðalmyrkur húðarlitur, miðal húðarlitur;hendur|hond|lógvatak|lógvatak: miðalmyrkur húðarlitur, miðal húðarlitur|miðal húðarlitur|miðalmyrkur húðarlitur|taka í
	🫱🏾‍🫲🏿;lógvatak: miðalmyrkur húðarlitur, myrkur húðarlitur;hendur|hond|lógvatak|lógvatak: miðalmyrkur húðarlitur, myrkur húðarlitur|miðalmyrkur húðarlitur|myrkur húðarlitur|taka í
	🫱🏿‍🫲🏻;lógvatak: myrkur húðarlitur, ljósur húðarlitur;hendur|hond|ljósur húðarlitur|lógvatak|lógvatak: myrkur húðarlitur, ljósur húðarlitur|myrkur húðarlitur|taka í
	🫱🏿‍🫲🏼;lógvatak: myrkur húðarlitur, miðalljósur húðarlitur;hendur|hond|lógvatak|lógvatak: myrkur húðarlitur, miðalljósur húðarlitur|miðalljósur húðarlitur|myrkur húðarlitur|taka í
	🫱🏿‍🫲🏽;lógvatak: myrkur húðarlitur, miðal húðarlitur;hendur|hond|lógvatak|lógvatak: myrkur húðarlitur, miðal húðarlitur|miðal húðarlitur|myrkur húðarlitur|taka í
	🫱🏿‍🫲🏾;lógvatak: myrkur húðarlitur, miðalmyrkur húðarlitur;hendur|hond|lógvatak|lógvatak: myrkur húðarlitur, miðalmyrkur húðarlitur|miðalmyrkur húðarlitur|myrkur húðarlitur|taka í
🙏;falda hendur;bøn|eggja saman hendur|falda|hendur
	🙏🏻;falda hendur: ljósur húðarlitur;bøn|eggja saman hendur|falda|falda hendur: ljósur húðarlitur|hendur|ljósur húðarlitur
	🙏🏼;falda hendur: miðalljósur húðarlitur;bøn|eggja saman hendur|falda|falda hendur: miðalljósur húðarlitur|hendur|miðalljósur húðarlitur
	🙏🏽;falda hendur: miðal húðarlitur;bøn|eggja saman hendur|falda|falda hendur: miðal húðarlitur|hendur|miðal húðarlitur
	🙏🏾;falda hendur: miðalmyrkur húðarlitur;bøn|eggja saman hendur|falda|falda hendur: miðalmyrkur húðarlitur|hendur|miðalmyrkur húðarlitur
	🙏🏿;falda hendur: myrkur húðarlitur;bøn|eggja saman hendur|falda|falda hendur: myrkur húðarlitur|hendur|myrkur húðarlitur
✍️;skrivandi hond;hond|skriva|skrivandi hond
	✍🏻;skrivandi hond: ljósur húðarlitur;hond|ljósur húðarlitur|skriva|skrivandi hond|skrivandi hond: ljósur húðarlitur
	✍🏼;skrivandi hond: miðalljósur húðarlitur;hond|miðalljósur húðarlitur|skriva|skrivandi hond|skrivandi hond: miðalljósur húðarlitur
	✍🏽;skrivandi hond: miðal húðarlitur;hond|miðal húðarlitur|skriva|skrivandi hond|skrivandi hond: miðal húðarlitur
	✍🏾;skrivandi hond: miðalmyrkur húðarlitur;hond|miðalmyrkur húðarlitur|skriva|skrivandi hond|skrivandi hond: miðalmyrkur húðarlitur
	✍🏿;skrivandi hond: myrkur húðarlitur;hond|myrkur húðarlitur|skriva|skrivandi hond|skrivandi hond: myrkur húðarlitur
💅;neglalakk;fríðkanarevni|negl|neglalakk|vakurleikarøkt
	💅🏻;neglalakk: ljósur húðarlitur;fríðkanarevni|ljósur húðarlitur|negl|neglalakk|neglalakk: ljósur húðarlitur|vakurleikarøkt
	💅🏼;neglalakk: miðalljósur húðarlitur;fríðkanarevni|miðalljósur húðarlitur|negl|neglalakk|neglalakk: miðalljósur húðarlitur|vakurleikarøkt
	💅🏽;neglalakk: miðal húðarlitur;fríðkanarevni|miðal húðarlitur|negl|neglalakk|neglalakk: miðal húðarlitur|vakurleikarøkt
	💅🏾;neglalakk: miðalmyrkur húðarlitur;fríðkanarevni|miðalmyrkur húðarlitur|negl|neglalakk|neglalakk: miðalmyrkur húðarlitur|vakurleikarøkt
	💅🏿;neglalakk: myrkur húðarlitur;fríðkanarevni|myrkur húðarlitur|negl|neglalakk|neglalakk: myrkur húðarlitur|vakurleikarøkt
🤳;sjálvsmynd;selfie|sjálvsmynd
	🤳🏻;sjálvsmynd: ljósur húðarlitur;ljósur húðarlitur|selfie|sjálvsmynd|sjálvsmynd: ljósur húðarlitur
	🤳🏼;sjálvsmynd: miðalljósur húðarlitur;miðalljósur húðarlitur|selfie|sjálvsmynd|sjálvsmynd: miðalljósur húðarlitur
	🤳🏽;sjálvsmynd: miðal húðarlitur;miðal húðarlitur|selfie|sjálvsmynd|sjálvsmynd: miðal húðarlitur
	🤳🏾;sjálvsmynd: miðalmyrkur húðarlitur;miðalmyrkur húðarlitur|selfie|sjálvsmynd|sjálvsmynd: miðalmyrkur húðarlitur
	🤳🏿;sjálvsmynd: myrkur húðarlitur;myrkur húðarlitur|selfie|sjálvsmynd|sjálvsmynd: myrkur húðarlitur
💪;spentur biseps;biseps|spentur|tvíhøvdavøddi
	💪🏻;spentur biseps: ljósur húðarlitur;biseps|ljósur húðarlitur|spentur|spentur biseps: ljósur húðarlitur|tvíhøvdavøddi
	💪🏼;spentur biseps: miðalljósur húðarlitur;biseps|miðalljósur húðarlitur|spentur|spentur biseps: miðalljósur húðarlitur|tvíhøvdavøddi
