[smileys_emotion]
😀;ಹಾಸ್ಯದ ಮುಖ;ಮುಖ|ಹಾಸ್ಯ|ಹಾಸ್ಯದ ಮುಖ
	👰🏻;ವೇಲ್‌ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮದುವೆ|ವಧು|ವೇಲ್‌|ವೇಲ್‌ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ|ವೇಲ್‌ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👰🏼;ವೇಲ್‌ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಮದುವೆ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವಧು|ವೇಲ್‌|ವೇಲ್‌ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ|ವೇಲ್‌ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👰🏽;ವೇಲ್‌ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಮದುವೆ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ವಧು|ವೇಲ್‌|ವೇಲ್‌ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ|ವೇಲ್‌ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👰🏾;ವೇಲ್‌ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಮದುವೆ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವಧು|ವೇಲ್‌|ವೇಲ್‌ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ|ವೇಲ್‌ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👰🏿;ವೇಲ್‌ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮದುವೆ|ವಧು|ವೇಲ್‌|ವೇಲ್‌ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ|ವೇಲ್‌ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
👰‍♂️;ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ;ಪುರುಷ|ವೇಲ್‌|ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ
	👰🏻‍♂️;ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ವೇಲ್‌|ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ|ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👰🏼‍♂️;ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಪುರುಷ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವೇಲ್‌|ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ|ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👰🏽‍♂️;ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಪುರುಷ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ವೇಲ್‌|ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ|ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	👰🏾‍♂️;ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಪುರುಷ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವೇಲ್‌|ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ|ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	👰🏿‍♂️;ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ವೇಲ್‌|ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ|ವೇಲ್‌ ಧರಿಸಿದ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👰‍♀️;ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ;ಮಹಿಳೆ|ವೇಲ್|ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ
	👰🏻‍♀️;ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ವೇಲ್|ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ|ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👰🏼‍♀️;ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ವೇಲ್|ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ|ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👰🏽‍♀️;ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ವೇಲ್|ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ|ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	👰🏾‍♀️;ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ವೇಲ್|ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ|ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	👰🏿‍♀️;ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ವೇಲ್|ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ|ವೇಲ್‌ ಧರಿಸಿದ ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🤰;ಗರ್ಭಿಣಿ;ಗರ್ಭಿಣಿ|ಮಹಿಳೆ
	🤰🏻;ಗರ್ಭಿಣಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಗರ್ಭಿಣಿ|ಗರ್ಭಿಣಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ
	🤰🏼;ಗರ್ಭಿಣಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಗರ್ಭಿಣಿ|ಗರ್ಭಿಣಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ
	🤰🏽;ಗರ್ಭಿಣಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಗರ್ಭಿಣಿ|ಗರ್ಭಿಣಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ
	🤰🏾;ಗರ್ಭಿಣಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗರ್ಭಿಣಿ|ಗರ್ಭಿಣಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ
	🤰🏿;ಗರ್ಭಿಣಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗರ್ಭಿಣಿ|ಗರ್ಭಿಣಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ
🫃;ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ;ಉಬ್ಬಿದ|ಗರ್ಭಿಣಿ|ಪೂರ್ಣ|ಹೊಟ್ಟೆ|ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ
	🫃🏻;ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಉಬ್ಬಿದ|ಗರ್ಭಿಣಿ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪೂರ್ಣ|ಹೊಟ್ಟೆ|ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ|ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🫃🏼;ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಉಬ್ಬಿದ|ಗರ್ಭಿಣಿ|ಪೂರ್ಣ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೊಟ್ಟೆ|ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ|ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🫃🏽;ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಉಬ್ಬಿದ|ಗರ್ಭಿಣಿ|ಪೂರ್ಣ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಹೊಟ್ಟೆ|ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ|ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	🫃🏾;ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಉಬ್ಬಿದ|ಗರ್ಭಿಣಿ|ಪೂರ್ಣ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹೊಟ್ಟೆ|ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ|ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	🫃🏿;ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಉಬ್ಬಿದ|ಗರ್ಭಿಣಿ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪೂರ್ಣ|ಹೊಟ್ಟೆ|ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ|ಹೊಟ್ಟೆ ಬಂದಿರುವ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🫄;ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ;ಉಬ್ಬಿದ|ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ|ಗರ್ಭಿಣಿ|ಪೂರ್ಣ|ಹೊಟ್ಟೆ
	🫄🏻;ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಉಬ್ಬಿದ|ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ|ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಗರ್ಭಿಣಿ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪೂರ್ಣ|ಹೊಟ್ಟೆ
	🫄🏼;ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಉಬ್ಬಿದ|ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ|ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಗರ್ಭಿಣಿ|ಪೂರ್ಣ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೊಟ್ಟೆ
	🫄🏽;ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಉಬ್ಬಿದ|ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ|ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಗರ್ಭಿಣಿ|ಪೂರ್ಣ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಹೊಟ್ಟೆ
	🫄🏾;ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಉಬ್ಬಿದ|ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ|ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಗರ್ಭಿಣಿ|ಪೂರ್ಣ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹೊಟ್ಟೆ
	🫄🏿;ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಉಬ್ಬಿದ|ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ|ಗರ್ಭ ಧರಿಸಿರುವ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಗರ್ಭಿಣಿ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪೂರ್ಣ|ಹೊಟ್ಟೆ
🤱;ಸ್ತನಪಾನ;ಬಾಣಂತಿ|ಸ್ತನ|ಸ್ತನಪಾನ|ಹಸುಳೆ
	🤱🏻;ಸ್ತನಪಾನ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಬಾಣಂತಿ|ಸ್ತನ|ಸ್ತನಪಾನ|ಸ್ತನಪಾನ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹಸುಳೆ
	🤱🏼;ಸ್ತನಪಾನ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಬಾಣಂತಿ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಸ್ತನ|ಸ್ತನಪಾನ|ಸ್ತನಪಾನ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹಸುಳೆ
	🤱🏽;ಸ್ತನಪಾನ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಬಾಣಂತಿ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಸ್ತನ|ಸ್ತನಪಾನ|ಸ್ತನಪಾನ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಹಸುಳೆ
	🤱🏾;ಸ್ತನಪಾನ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಬಾಣಂತಿ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಸ್ತನ|ಸ್ತನಪಾನ|ಸ್ತನಪಾನ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹಸುಳೆ
	🤱🏿;ಸ್ತನಪಾನ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಬಾಣಂತಿ|ಸ್ತನ|ಸ್ತನಪಾನ|ಸ್ತನಪಾನ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹಸುಳೆ
👩‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ;ಆರೈಕೆ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ|ಮಹಿಳೆ|ಹಾಲೂಡಿಸುವುದು
	👩🏻‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಆರೈಕೆ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಹಾಲೂಡಿಸುವುದು
	👩🏼‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಆರೈಕೆ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಹಾಲೂಡಿಸುವುದು
	👩🏽‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಆರೈಕೆ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಹಾಲೂಡಿಸುವುದು
	👩🏾‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಆರೈಕೆ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಹಾಲೂಡಿಸುವುದು
	👩🏿‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಆರೈಕೆ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಹಾಲೂಡಿಸುವುದು
👨‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ;ಆರೈಕೆ|ಪುರುಷ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ|ಹಾಲೂಡಿಸುವುದು
	👨🏻‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಆರೈಕೆ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹಾಲೂಡಿಸುವುದು
	👨🏼‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಆರೈಕೆ|ಪುರುಷ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹಾಲೂಡಿಸುವುದು
	👨🏽‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಆರೈಕೆ|ಪುರುಷ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಹಾಲೂಡಿಸುವುದು
	👨🏾‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಆರೈಕೆ|ಪುರುಷ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹಾಲೂಡಿಸುವುದು
	👨🏿‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಆರೈಕೆ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹಾಲೂಡಿಸುವುದು
🧑‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ;ಆರೈಕೆ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ|ಹಾಲೂಡಿಸುವುದು
	🧑🏻‍🍼;ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಆರೈಕೆ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಗು|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ|ಮಗುವಿಗೆ ಹಾಲೂಡಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ|ಹಾಲೂಡಿಸುವುದು
