# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;dareenka wajiga;dareenka wajiga|gariir|wajiga
	👨🏾‍❤️‍👨🏾;lammaane is jecel: ninka, ninka, jidh nooc madaw oo dhexe;Jaceyl|jidh nooc madaw oo dhexe|lammaane|lammaane is jecel|lammaane is jecel: ninka, ninka, jidh nooc madaw oo dhexe|ninka
	👨🏾‍❤️‍👨🏿;lammaane is jecel: ninka, ninka, jidh nooc madaw oo dhexe, jidh madaw;Jaceyl|jidh madaw|jidh nooc madaw oo dhexe|lammaane|lammaane is jecel|lammaane is jecel: ninka, ninka, jidh nooc madaw oo dhexe, jidh madaw|ninka
	👨🏿‍❤️‍👨🏻;lammaane is jecel: ninka, ninka, jidh madaw, jidh fudud;Jaceyl|jidh fudud|jidh madaw|lammaane|lammaane is jecel|lammaane is jecel: ninka, ninka, jidh madaw, jidh fudud|ninka
	👨🏿‍❤️‍👨🏼;lammaane is jecel: ninka, ninka, jidh madaw, jidh fudud oo dhexe;Jaceyl|jidh fudud oo dhexe|jidh madaw|lammaane|lammaane is jecel|lammaane is jecel: ninka, ninka, jidh madaw, jidh fudud oo dhexe|ninka
	👨🏿‍❤️‍👨🏽;lammaane is jecel: ninka, ninka, jidh madaw, jidh nooc dhexe;Jaceyl|jidh madaw|jidh nooc dhexe|lammaane|lammaane is jecel|lammaane is jecel: ninka, ninka, jidh madaw, jidh nooc dhexe|ninka
	👨🏿‍❤️‍👨🏾;lammaane is jecel: ninka, ninka, jidh madaw, jidh nooc madaw oo dhexe;Jaceyl|jidh madaw|jidh nooc madaw oo dhexe|lammaane|lammaane is jecel|lammaane is jecel: ninka, ninka, jidh madaw, jidh nooc madaw oo dhexe|ninka
	👨🏿‍❤️‍👨🏿;lammaane is jecel: ninka, ninka, jidh madaw;Jaceyl|jidh madaw|lammaane|lammaane is jecel|lammaane is jecel: ninka, ninka, jidh madaw|ninka
👩‍❤️‍👩;lammaane is jecel: naag, naag;Jaceyl|lammaane|lammaane is jecel|lammaane is jecel: naag, naag|naag
	👩🏻‍❤️‍👩🏻;lammaane is jecel: naag, naag, jidh fudud;Jaceyl|jidh fudud|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh fudud|naag
	👩🏻‍❤️‍👩🏼;lammaane is jecel: naag, naag, jidh fudud, jidh fudud oo dhexe;Jaceyl|jidh fudud|jidh fudud oo dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh fudud, jidh fudud oo dhexe|naag
	👩🏻‍❤️‍👩🏽;lammaane is jecel: naag, naag, jidh fudud, jidh nooc dhexe;Jaceyl|jidh fudud|jidh nooc dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh fudud, jidh nooc dhexe|naag
	👩🏻‍❤️‍👩🏾;lammaane is jecel: naag, naag, jidh fudud, jidh nooc madaw oo dhexe;Jaceyl|jidh fudud|jidh nooc madaw oo dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh fudud, jidh nooc madaw oo dhexe|naag
	👩🏻‍❤️‍👩🏿;lammaane is jecel: naag, naag, jidh fudud, jidh madaw;Jaceyl|jidh fudud|jidh madaw|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh fudud, jidh madaw|naag
	👩🏼‍❤️‍👩🏻;lammaane is jecel: naag, naag, jidh fudud oo dhexe, jidh fudud;Jaceyl|jidh fudud|jidh fudud oo dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh fudud oo dhexe, jidh fudud|naag
	👩🏼‍❤️‍👩🏼;lammaane is jecel: naag, naag, jidh fudud oo dhexe;Jaceyl|jidh fudud oo dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh fudud oo dhexe|naag
	👩🏼‍❤️‍👩🏽;lammaane is jecel: naag, naag, jidh fudud oo dhexe, jidh nooc dhexe;Jaceyl|jidh fudud oo dhexe|jidh nooc dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh fudud oo dhexe, jidh nooc dhexe|naag
	👩🏼‍❤️‍👩🏾;lammaane is jecel: naag, naag, jidh fudud oo dhexe, jidh nooc madaw oo dhexe;Jaceyl|jidh fudud oo dhexe|jidh nooc madaw oo dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh fudud oo dhexe, jidh nooc madaw oo dhexe|naag
	👩🏼‍❤️‍👩🏿;lammaane is jecel: naag, naag, jidh fudud oo dhexe, jidh madaw;Jaceyl|jidh fudud oo dhexe|jidh madaw|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh fudud oo dhexe, jidh madaw|naag
	👩🏽‍❤️‍👩🏻;lammaane is jecel: naag, naag, jidh nooc dhexe, jidh fudud;Jaceyl|jidh fudud|jidh nooc dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh nooc dhexe, jidh fudud|naag
	👩🏽‍❤️‍👩🏼;lammaane is jecel: naag, naag, jidh nooc dhexe, jidh fudud oo dhexe;Jaceyl|jidh fudud oo dhexe|jidh nooc dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh nooc dhexe, jidh fudud oo dhexe|naag
	👩🏽‍❤️‍👩🏽;lammaane is jecel: naag, naag, jidh nooc dhexe;Jaceyl|jidh nooc dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh nooc dhexe|naag
	👩🏽‍❤️‍👩🏾;lammaane is jecel: naag, naag, jidh nooc dhexe, jidh nooc madaw oo dhexe;Jaceyl|jidh nooc dhexe|jidh nooc madaw oo dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh nooc dhexe, jidh nooc madaw oo dhexe|naag
	👩🏽‍❤️‍👩🏿;lammaane is jecel: naag, naag, jidh nooc dhexe, jidh madaw;Jaceyl|jidh madaw|jidh nooc dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh nooc dhexe, jidh madaw|naag
	👩🏾‍❤️‍👩🏻;lammaane is jecel: naag, naag, jidh nooc madaw oo dhexe, jidh fudud;Jaceyl|jidh fudud|jidh nooc madaw oo dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh nooc madaw oo dhexe, jidh fudud|naag
	👩🏾‍❤️‍👩🏼;lammaane is jecel: naag, naag, jidh nooc madaw oo dhexe, jidh fudud oo dhexe;Jaceyl|jidh fudud oo dhexe|jidh nooc madaw oo dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh nooc madaw oo dhexe, jidh fudud oo dhexe|naag
	👩🏾‍❤️‍👩🏽;lammaane is jecel: naag, naag, jidh nooc madaw oo dhexe, jidh nooc dhexe;Jaceyl|jidh nooc dhexe|jidh nooc madaw oo dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh nooc madaw oo dhexe, jidh nooc dhexe|naag
	👩🏾‍❤️‍👩🏾;lammaane is jecel: naag, naag, jidh nooc madaw oo dhexe;Jaceyl|jidh nooc madaw oo dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh nooc madaw oo dhexe|naag
	👩🏾‍❤️‍👩🏿;lammaane is jecel: naag, naag, jidh nooc madaw oo dhexe, jidh madaw;Jaceyl|jidh madaw|jidh nooc madaw oo dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh nooc madaw oo dhexe, jidh madaw|naag
	👩🏿‍❤️‍👩🏻;lammaane is jecel: naag, naag, jidh madaw, jidh fudud;Jaceyl|jidh fudud|jidh madaw|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh madaw, jidh fudud|naag
	👩🏿‍❤️‍👩🏼;lammaane is jecel: naag, naag, jidh madaw, jidh fudud oo dhexe;Jaceyl|jidh fudud oo dhexe|jidh madaw|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh madaw, jidh fudud oo dhexe|naag
	👩🏿‍❤️‍👩🏽;lammaane is jecel: naag, naag, jidh madaw, jidh nooc dhexe;Jaceyl|jidh madaw|jidh nooc dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh madaw, jidh nooc dhexe|naag
	👩🏿‍❤️‍👩🏾;lammaane is jecel: naag, naag, jidh madaw, jidh nooc madaw oo dhexe;Jaceyl|jidh madaw|jidh nooc madaw oo dhexe|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh madaw, jidh nooc madaw oo dhexe|naag
	👩🏿‍❤️‍👩🏿;lammaane is jecel: naag, naag, jidh madaw;Jaceyl|jidh madaw|lammaane|lammaane is jecel|lammaane is jecel: naag, naag, jidh madaw|naag
👨‍👩‍👦;Qooys caruur ah: ninka, naag, wiil;naag|ninka|Qooys|Qooys caruur ah|Qooys caruur ah: ninka, naag, wiil|wiil
👨‍👩‍👧;Qooys caruur ah: ninka, naag, gabar;gabar|naag|ninka|Qooys|Qooys caruur ah|Qooys caruur ah: ninka, naag, gabar
👨‍👩‍👧‍👦;Qooys caruur ah: ninka, naag, gabar, wiil;gabar|naag|ninka|Qooys|Qooys caruur ah|Qooys caruur ah: ninka, naag, gabar, wiil|wiil
👨‍👩‍👦‍👦;Qooys caruur ah: ninka, naag, wiil, wiil;naag|ninka|Qooys|Qooys caruur ah|Qooys caruur ah: ninka, naag, wiil, wiil|wiil
👨‍👩‍👧‍👧;Qooys caruur ah: ninka, naag, gabar, gabar;gabar|naag|ninka|Qooys|Qooys caruur ah|Qooys caruur ah: ninka, naag, gabar, gabar
👨‍👨‍👦;Qooys caruur ah: ninka, ninka, wiil;ninka|Qooys|Qooys caruur ah|Qooys caruur ah: ninka, ninka, wiil|wiil
👨‍👨‍👧;Qooys caruur ah: ninka, ninka, gabar;gabar|ninka|Qooys|Qooys caruur ah|Qooys caruur ah: ninka, ninka, gabar
👨‍👨‍👧‍👦;Qooys caruur ah: ninka, ninka, gabar, wiil;gabar|ninka|Qooys|Qooys caruur ah|Qooys caruur ah: ninka, ninka, gabar, wiil|wiil
👨‍👨‍👦‍👦;Qooys caruur ah: ninka, ninka, wiil, wiil;ninka|Qooys|Qooys caruur ah|Qooys caruur ah: ninka, ninka, wiil, wiil|wiil
👨‍👨‍👧‍👧;Qooys caruur ah: ninka, ninka, gabar, gabar;gabar|ninka|Qooys|Qooys caruur ah|Qooys caruur ah: ninka, ninka, gabar, gabar
👩‍👩‍👦;Qooys caruur ah: naag, naag, wiil;naag|Qooys|Qooys caruur ah|Qooys caruur ah: naag, naag, wiil|wiil
👩‍👩‍👧;Qooys caruur ah: naag, naag, gabar;gabar|naag|Qooys|Qooys caruur ah|Qooys caruur ah: naag, naag, gabar
👩‍👩‍👧‍👦;Qooys caruur ah: naag, naag, gabar, wiil;gabar|naag|Qooys|Qooys caruur ah|Qooys caruur ah: naag, naag, gabar, wiil|wiil
👩‍👩‍👦‍👦;Qooys caruur ah: naag, naag, wiil, wiil;naag|Qooys|Qooys caruur ah|Qooys caruur ah: naag, naag, wiil, wiil|wiil
👩‍👩‍👧‍👧;Qooys caruur ah: naag, naag, gabar, gabar;gabar|naag|Qooys|Qooys caruur ah|Qooys caruur ah: naag, naag, gabar, gabar
👨‍👦;Qooys caruur ah: ninka, wiil;ninka|Qooys|Qooys caruur ah|Qooys caruur ah: ninka, wiil|wiil
👨‍👦‍👦;Qooys caruur ah: ninka, wiil, wiil;ninka|Qooys|Qooys caruur ah|Qooys caruur ah: ninka, wiil, wiil|wiil
👨‍👧;Qooys caruur ah: ninka, gabar;gabar|ninka|Qooys|Qooys caruur ah|Qooys caruur ah: ninka, gabar
👨‍👧‍👦;Qooys caruur ah: ninka, gabar, wiil;gabar|ninka|Qooys|Qooys caruur ah|Qooys caruur ah: ninka, gabar, wiil|wiil
👨‍👧‍👧;Qooys caruur ah: ninka, gabar, gabar;gabar|ninka|Qooys|Qooys caruur ah|Qooys caruur ah: ninka, gabar, gabar
👩‍👦;Qooys caruur ah: naag, wiil;naag|Qooys|Qooys caruur ah|Qooys caruur ah: naag, wiil|wiil
👩‍👦‍👦;Qooys caruur ah: naag, wiil, wiil;naag|Qooys|Qooys caruur ah|Qooys caruur ah: naag, wiil, wiil|wiil
👩‍👧;Qooys caruur ah: naag, gabar;gabar|naag|Qooys|Qooys caruur ah|Qooys caruur ah: naag, gabar
👩‍👧‍👦;Qooys caruur ah: naag, gabar, wiil;gabar|naag|Qooys|Qooys caruur ah|Qooys caruur ah: naag, gabar, wiil|wiil
👩‍👧‍👧;Qooys caruur ah: naag, gabar, gabar;gabar|naag|Qooys|Qooys caruur ah|Qooys caruur ah: naag, gabar, gabar
🗣️;Madax hadlaya;farshaxan sawir mugdi ah|hadal|hadlaya|madax|waji
👤;Sawir muuqaal dumar qaarka hore mugdi ah;farshaxan sawir oo mugdi ah|Farshaxan sawir xabad dumar ah|Sawir muuqaal dumar qaarka hore mugdi ah|sawir muuqaal rag mugdi ah
👥;Farshaxan sawir xabad dumar oo mugdi ah;farshaxan sawir oo mugdi ah|Farshaxan sawir xabad dumar ah|Farshaxan sawir xabad dumar oo mugdi ah|sawir muuqaal rag mugdi ah
🫂;dad hab isi siinaya;dad hab isi siinaya|hab siin|haloow|macsalaama|mahadsanid
👪;Qooys caruur ah;Qooys|Qooys caruur ah
🧑‍🧑‍🧒;qoys: qof weyn, qof weyn, ilmo;ilmo|qof weyn|qoys: qof weyn|qoys: qof weyn, qof weyn, ilmo
🧑‍🧑‍🧒‍🧒;qoys: qof weyn, qof weyn, ilmo, ilmo;ilmo|qof weyn|qoys: qof weyn|qoys: qof weyn, qof weyn, ilmo, ilmo
🧑‍🧒;qoys: qof weyn, ilmo;ilmo|qoys: qof weyn|qoys: qof weyn, ilmo
🧑‍🧒‍🧒;qoys: qof weyn, ilmo, ilmo;ilmo|qoys: qof weyn|qoys: qof weyn, ilmo, ilmo
👣;raadad;calaamad|dharka|raad|raadad

[animals_nature]
🐵;waji daanyeer;daanyeer|waji
🐒;daanyeer;daanyeer
🦍;goriilla;goriilla
🦧;danyeer weyn cas;daanyeer|danyeer weyn cas
🐶;waji eey;dab-joog|eey|waji
🐕;eey;dab-joog|eey
🦮;eyga haggaha;eyga haggaha|hagge|indhoole|la heli karo
🐕‍🦺;eyga adeegga;adeeg|ey|eyga adeegga|gargaar|la heli karo
🐩;dhogorta;dhogor|dhogorta|eey
🐺;yeey;waji|yeey
🦊;dawaco;dawaco|waji
🦝;dabacaddeeye;cajiib|dabacaddeeye|khiyaamo leh
🐱;waji bisad;bisad|dab-joog|waji
🐈;bisad;bisad|dab-joog
🐈‍⬛;bisadda madoow;bisadda madoow|bissad|madow|nasiib darro
🦁;libaax;hara|jodo|libaax|waji
🐯;waji shabeel;shabeel|waji
🐅;shabeel;shabeel
🐆;haramacad;haramacad
🐴;waji faras;faras|waji
🫎;deero maraykan;deero maraykan|ilko|naasley|quraanjada|xoolaha
🫏;dameer;baqal|burro|dabo|dameer|madax adag|naasley|xoolaha
🐎;faras;faras|faras wadid|faraska orodka|tartanka
🦄;xayawaan khuraafi ah;waji|xayawaan khuraafi ah
🦓;dameer-farow;dameer-farow|jiitin
🦌;deero;deero
🦬;dibi reer galbeed;dibi reer galbeed|dibiga yurub|lo gisi|raxan
🐮;waji sac;sac|waji
🐂;baqay;baqay|dibbi|meecaad|urur
🐃;lo’ gisida biyaha;biyo|lo’ gisi|lo’ gisida biyaha
🐄;sac;lo’|sac
🐷;waji doofaar;doofaar|waji
🐖;doofaar;beer|doofaar
🐗;khinsiir;doofaar|khinsiir
🐽;san doofaar;doofaar|san|waji
🐏;wan;cutubka meecaad|ido|lab|laxo|wan
🐑;lax;dheddig|ido|lax
🐐;ri;cutubka meecaad|ri|riyo
🐪;geel;geel|geela carabta|tuurta
🐫;geel laba-tuure;geel|geel laba tuure|geel laba-tuure|tuur
🦙;geel bakayle;dhoogorta|faraca geela|geel bakayle|geela alpaka
🦒;geri;dhibco|geri
🐘;maroodi;maroodi
🦣;Maroodiga weeyn;dabar go’a|dhogor leh|fool dheer|maroodi|Maroodiga weeyn|weyn
🦏;wiyil;wiyil
🦛;jeer;faraska yaxaaska|jeer
🐭;waji walasandheer;waji|walasandheer
🐁;walasandheer;walasandheer
🐀;jiir;jiir
🐹;jiir booge;dab-joog|jiir booge|waji
🐰;waji;bakayle|bakayle dhal|dab-joog|waji
🐇;bakayle;bakayle|bakayle dhal|dab-joog
🐿️;bushucle boor;bushucle|bushucle boor|dabaggaale
🦫;oorso yar oo xeeb kunool;oorso yar oo xeeb kunool|war
🦔;xiddig-dhul;kashiito|xiddig-dhul
🦇;fiidmeer;dhiigyacab|fiidmeer
🐻;oorso;oorso|waji
🐻‍❄️;oorso waqooyi;aktik|cadaan|oorso|oorso waqooyi
🐨;korow;korow|oorso
🐼;ooroso madow;ooroso madow|oorso madow|waji
🦥;wahsi;caajis|tartiib|wahsi
🦦;kalluunka casiirka;ciyaara|kalluumaysiga|kalluunka casiirka
🦨;xayawaan uuro leh;xayawaab qurmuun|xayawaan uuro leh
🦘;kangaaruu;Awstaraaliya|bood|kangaaruu|kangaaruu yar
🦡;xoor;xoor|xoor malab
🐾;raad xayawaan;cag xayawaan|caggo|raad|raad xayawaan
🦃;diikh rumiin;diikh rumiin|shimbir
🐔;diggaag;diggaag|shimbir
🐓;diiq;diiq|shimbir
🐣;jiiw dhalanay;cunug|jiiw|jiiw dhalanay|jiiw dhalanaya|shimbir
🐤;cunug diggaag;cunug|cunug diggaag|jiiw|shimbir
🐥;cunugga diggaaga hor soo eegaya;cunug|cunug diggaag hor soo eegaya|cunugga diggaaga hor soo eegaya|jiiw|shimbir
🐦;shimbir;shimbir
🐧;shimbir baraf;shimbir|shimbir baraf
🕊️;qoolleey;buubid|nabad|qoolleey|shimbir
🦅;gorgor;gorgor|shimbir
🦆;muwaata;muwaata|shimbir
🦢;shimbiraha booloboolada;booloboolo|cunug booloboolo|cunug muwaata|shimbir|shimbiraha booloboolada
🦉;guumays;caqli|guumays|shimbir
🦤;shimbir boolo;booloboolo|dabar go’a|Mauritius|shimbir boolo|weyn
🪶;baalal;baalal|duulimaad|gooynta|shimbir
🦩;qudunquuto;dhaldhalaalaya|kulaylaha|qudunquuto
🦚;daa’uus;birbirqaya|daa’uus|dheddig dagiiran|shimbir
🦜;baqbaqaaq;baqbaqaaq|hadal|shimbir|tuug
🪽;wing;duulaya|duulista|khuraafaad|malaa’ig|shimbiraha|wing
🐦‍⬛;shimbir madoow;madoow|shimbir|shimbir tuke xigeen ah|shimbir weyn oo madoow|tuke
🪿;booloboolo;booloboolo|haad|honk|nacasnimo|shimbiraha
🐦‍🔥;phoenix;dib u dhalashada|naf dib ugu dhalashada jidh cusub|phoenix|qiyaali|shinbirta dabka
🐸;rah;rah|waji
🐊;yaxaas;yaxaas
🐢;qubo;diin|qubo|qubo dhal ah
🦎;qoroto;qoroto|xammaarato
🐍;mas;abeeso|dhala|mactab meecaad|mas|sangaaba
🐲;waji masduulaagi;masduulaagi|sheeko quraafi|waji
🐉;masduulaagi;masduulaagi|sheeko quraafi
🦕;sauropod-ka;dhaynasoorkii danbe|sauropod-ka
🦖;waa wax la aqoon;lama yaqaano|waa wax la aqoon
🐳;nibiriga mataga;mataggaya|nibiri|nibiriga mataga|waji
🐋;nibiri;nibiri
🐬;hoon-baro;hoon-baro|sayn dabaal
🦭;shaabad;libaax badeed|shaabad
🐟;kalluun;kalluun|kalluun kolonyo|mactab meecaad
🐠;kalluunka kulaylaha;kalluun|kalluunka kulaylaha|kulaylaha
🐡;kalluunka baaqa;kalluun|kalluunka baaqa
🦈;kalluun libaax;kalluun|kalluun libaax
🐙;farammugo;farammugo
🐚;xanjaleel wareegaya;kor u wareegaya|xanjaleel|xanjaleel wareegaya
🪸;dhagax badeed;badweynta|dhagax badeed|dhagax dixeed
🪼;kaluun qolof leh;ahaa|badda|gubi|jelly|kaluun qolof leh|laf dhabarta|qaniinyo
🐌;dixiri qolof leh;dixiri qolof leh
🦋;balanbaalis;balanbaalis|cayayaan|qurux badan
🐛;kutaan;cayayaan|kutaan
🐜;quraanjo;cayayaan|quraanjo
🐝;shinni malab;cayayaan|shinni|shinni malab
🪲;faraanfar;cayayaan|faraanfar|kutaan
🐞;duqsiyada dheddiga;cayayaan|duqsiyada dheddiga|duqsiyo|kutaan dheddig|shimbir bay ah
🦗;jiiq-jiiqle;jiiq-jiiqle|jirriqaa
🪳;baranbaro;baranbaro|baranbarooyin|cayayaan
🕷️;caaro;caaro|cayayaan
🕸️;xuub caaro;xuub caaro
🦂;dib qallooc;dib qallooc|mactab meecaad|qoyska dib qallooc
🦟;kaneeco;cayayaan|cudur|duumada|fayruus|kaneeco|qandho
🪰;duqsi;cayayaan|cudur|dixri|duqsi|qudhmay
🪱;dirxi;dirxi|dirxiga dhulka|dulle|hooryaan
🦠;mikrobe;amiiba|bakteeriya|mikrobe
💐;ubaxyo;ubax|ubaxyo|ubayo
🌸;ubaxa buundada;ubax|ubax cas|ubax geed|ubaxa buundada
💮;ubax cad;ubax|ubax cad
🪷;lotus;Budhiism|daahirnimo|Fiyatnaam|Hindiya|Hinduuga|lotus|ubax
🏵️;ubaxa sharraxa;dhir|ubaxa sharraxa
🌹;ubax koob;ubax|ubax koob
🥀;ubaxa didilaaca;ubax|ubaxa didilaaca
🌺;jirrid leh;jirrid leh|Ubax
🌻;gabbaldaye;gabbaldaye|qorrax|ubax
🌼;ubax geed;ubax|ubax geed
🌷;ubax caano;ubax|ubax caano
🪻;hyacinth;bluebonnet|hyacinth|lavender|lupine|snapdragon|ubaxa
🌱;geed naqan;geed naqan|soo baxaya
🪴;dhirta guriga;aan waxtar lahayn|caaajis|dhir|dhirta guriga|guri|kobcinta|korin
🌲;geed abaareed;geed|geed abaareed
🌳;geed magool;caleen daadin|geed|magool
🌴;geed timir;geed|timir
🌵;tiin;dhir|tiin
🌾;geedka bariiska;dhag|geed bariis|geedka bariiska|haruur
🌿;geed;caleen|geed
☘️;dhir gaaban saddex caleen leh;dhir|dhir gaaban saddex caleen leh
🍀;geed afar caleenle;4|afar|caleen|geed|geed afar caleenle
🍁;caleen jiifta;caleen|dhacaysa|jiifta
🍂;caleen dhacday;caleen|caleen dhacday|dhacaysa
🍃;caleen dhex buubaysa dabaysha;buubid|caleen|caleen dhex buubaysa dabaysha|dabayl|heebaabid
🪹;buul faaruq ah;buul faaruq ah|buul samay
🪺;buul leh ukumo;buul leh ukumo|buul samayn
🍄;barkin waraabe;baaraabuq|barkin waraabe

[food_drink]
🍇;canab;canab|khudaar
🍈;qare;khudaar|qare
🍉;xab-xab;khudaar|xab-xab
🍊;liin banbeelo;khudaar|liin|liin banbeelo|oranji
🍋;liin dhannaan;khudaar|liin bambeelmo|liin dhannaan
🍋‍🟩;lin;liin|liin dhanaan|lin|miro|trobikal
🍌;moos;khudaar|moos
🍍;caananaas;caananaas|khudaar
🥭;cambe;cambe|khudaar|kulaylaha
🍎;tufaax guduud;guduud|khudaar|tufaax
🍏;tufaax cagaar;cagaar|khudaar|tufaax
🍐;cambaruud;cambaruud|khudaar
🍑;miro guduud;khudaar|miro guduud
🍒;jeerigga;canuuni|guduud|jeerigga|khudaar
🍓;frawla;canuuni|frawla|istaroobeeri|khudaar
🫐;canabka baluuga ah;canab|canabka baluuga ah|canabka gaduudan
🥝;miraha qamboob;cunto|khudaar|miraha qamboob|qamboob
🍅;yaanyo;khudaar|khudradda|yaanyo
🫒;saytuun;cunno|saytuun
🥥;qumbe;caananaas &amp; qumbe|qumbe|timir
🥑;afokaadho;afokaadho|cunto|khudaar
🍆;dhir ukun;dhir ukun|khudrad|qajaar dibadeed
🥔;baradha;baradha|cunto|khudradda
🥕;dabocase;cunto|dabocase|khudrad
🌽;sabuul galley;dhag|galley|sabuul galley|xabbaasha
🌶️;basbaas;basbaas|kulul
🫑;basbaas dawan;basbaas|basbaas dawan|capsicum|khudradda
🥒;qajaar;cunto|khudrad|qajaar|qajaar dhanaanin
🥬;caleenta cagaaran;ansalaata|caggaar|caleen caggaar|caleenta cagaaran|kaabash
🥦;barakooli;barakooli|kaabashka diggaaga
🧄;toon;iidaan|toon
🧅;basal;basal|dhadhan u yeela
🥜;loows;cunto|khudrad|loows|loowska|mir loows
🫘;digir;badar|cuntada|digir|kilyaha
🌰;loows duban;dhir|loows duban
🫚;xidid sinjibiil;biir|xawaashka|xidid|xidid sinjibiil
🫛;Qubka digirta;digir|digirta|edamame|hadhuudh|khudradda|podska|Qubka digirta
🍄‍🟫;boqoshaa bunni ah;boqoshaa bunni ah|cuntada|dabiici ah|fangaska|khudaar
🍞;rooti;gabal|rooti
🥐;qureec faransiis macaan;cunto|faransiis|qureec faransiis macaan|rooti duuban
🥖;rootiga baguette-ka;baguette-ka|cunto|faransiis|rooti|rootiga baguette-ka
🫓;rooti bafloow;rooti bafloow|rooti carbeed|rooti laatiin|rootiga labada isugu xiran
🥨;buskud ulo ah;buskud ulo ah|marmaroogsan
🥯;pagel-ka;bagel-ka|foornada rootiga|pagel-ka
🥞;canjeelo;canjeelo|canjeelooyin|cunto|keeg kulul
🧇;doolshe;bir|doolshe|go’aan darro
🧀;gabal burcad;burcad|gabal burcad|gabal burcad ah
🍖;hilibka lafta;hilib|hilibka lafta|laf
🍗;lug diggaag;diggaag|diggaagga|laf|lug|lug durbaan
🥩;gooyo hilib;booddada|gooyo hilib|jar-jar|jar-jar doofaar|jar-jar nayl
🥓;hilib doofaar;cunto|hiib|hilib doofaar
🍔;hambaagar;baagarka|hambaagar
🍟;shiilid faransiis;faransiis|shiilid faransiis|shiilidda
🍕;pizza-da;burcad|cad|Pizza-da
🌭;eey kulul;duuban|eey kulul|hilib duuban
🥪;saanbuus;rooti|saanbuus
🌮;taako;taakada meksikaanka|taako
🌯;toortiilada meksikaanka;duub ah|meksikaan|toortiila|toortiilada meksikaanka
🫔;unno maksikaan;duuban|mexican|tamale|unno maksikaan
🥙;rooti khudrad laga buuxiyay;cunto|falafeel|rooti khudrad laga buuxiyay
🧆;falafeel;diggaag-digir|falafeel|hilibka jarjaran
🥚;ukun;cunto|ukun
🍳;karinta;bir daawo|karinta|shiilidda|ukun
🥘;bir daawo gun-dhow oo cunno ah;bariis isbaanish|bir daawo|bir daawo gun-dhow oo cunno ah|cuno fuud foornaysan|gun dhow
🍲;digsi cunno ah;digsi|digsi cunno ah|fuud
🫕;digsi cunnno lagu diyaariyay;dhalaalay|dheriga|digsi cunnno lagu diyaariyay|fondue|jiis|shukulaatada|Switzerland
🥣;baaquli iyo qaaddo;baaquli iyo qaaddo|badar|qureec
🥗;anslaata cagaaran;ansalaata|anslaata cagaaran|cagaar|cunto
🍿;salool;salool
🧈;subag;caano|subag
🧂;cusbo;cusbo|ruxaha|walxaha cusbada
🥫;cunno qasacadaysan;cunno qasacadaysan|qasacad
🍱;sanduuq qado;sanduuq qado|suuq qado
🍘;qubka bariis;bariis|qubka
🍙;bariis kubbad;bariis|jabbaanka|kubbad
🍚;bariis karsan;bariis karsan
🍛;bariis khudrad hilib leh;bariis khudrad hilib leh
🍜;baaquligga uumigga;baaquli|baaquligga uumigga|baasta dheer|baastada ramen|uuminta
🍝;isbageeti;baasta|isbageeti
🍠;bataata la solay;bataata|bataata la solay|la solay|macaan
🍢;cunno hal digsi wax badan ka kooban;cunno badeed|cunno hal digsi wax badan ka kooban|keebaab|ul
🍣;cunnada jabbaanka;cunnada jabbaanka
🍤;kalluun la shiilay;kalluun|kalluun la shiilay|shiilan|xayawaan badeed qolof ah
🍥;kalluun keeg oo duuban;kalluun|kalluun keeg oo duuban|keeg
🥮;kalluunka dayaxa;dayrta|diggaaga qoyan|kalluunka dayaxa|xaflad
🍡;daango;daango|jabbaanka|macaanl|macmacaan|ul
🥟;cajiimid;cajiimid|cajiimidda iyo ul ku dhajinta
