[smileys_emotion]
😀;ubuso obusinekile;osinekile|ubuso obusinekile
	🧚🏽‍♀️;ngelosi yesifazane: uhlobo-4;i-Titania|ngelosi yesifazane|ngelosi yesifazane: uhlobo-4|uhlobo-4
	🧚🏾‍♀️;ngelosi yesifazane: uhlobo-5;i-Titania|ngelosi yesifazane|ngelosi yesifazane: uhlobo-5|uhlobo-5
	🧚🏿‍♀️;ngelosi yesifazane: uhlobo-6;i-Titania|ngelosi yesifazane|ngelosi yesifazane: uhlobo-6|uhlobo-6
🧛;ivemphaya;ivemphaya|ongafile|u-Dracula
	🧛🏻;ivemphaya: uhlobo-1-2;ivemphaya|ivemphaya: uhlobo-1-2|ongafile|u-Dracula|uhlobo-1-2
	🧛🏼;ivemphaya: uhlobo-3;ivemphaya|ivemphaya: uhlobo-3|ongafile|u-Dracula|uhlobo-3
	🧛🏽;ivemphaya: uhlobo-4;ivemphaya|ivemphaya: uhlobo-4|ongafile|u-Dracula|uhlobo-4
	🧛🏾;ivemphaya: uhlobo-5;ivemphaya|ivemphaya: uhlobo-5|ongafile|u-Dracula|uhlobo-5
	🧛🏿;ivemphaya: uhlobo-6;ivemphaya|ivemphaya: uhlobo-6|ongafile|u-Dracula|uhlobo-6
🧛‍♂️;ivemphaya lendoda;ivemphaya lendoda|udracula ongafile
	🧛🏻‍♂️;ivemphaya lendoda: uhlobo-1-2;ivemphaya lendoda|ivemphaya lendoda: uhlobo-1-2|udracula ongafile|uhlobo-1-2
	🧛🏼‍♂️;ivemphaya lendoda: uhlobo-3;ivemphaya lendoda|ivemphaya lendoda: uhlobo-3|udracula ongafile|uhlobo-3
	🧛🏽‍♂️;ivemphaya lendoda: uhlobo-4;ivemphaya lendoda|ivemphaya lendoda: uhlobo-4|udracula ongafile|uhlobo-4
	🧛🏾‍♂️;ivemphaya lendoda: uhlobo-5;ivemphaya lendoda|ivemphaya lendoda: uhlobo-5|udracula ongafile|uhlobo-5
	🧛🏿‍♂️;ivemphaya lendoda: uhlobo-6;ivemphaya lendoda|ivemphaya lendoda: uhlobo-6|udracula ongafile|uhlobo-6
🧛‍♀️;ivemphaya lesifazane;ivemphaya lesifazane|ngafile
	🧛🏻‍♀️;ivemphaya lesifazane: uhlobo-1-2;ivemphaya lesifazane|ivemphaya lesifazane: uhlobo-1-2|ngafile|uhlobo-1-2
	🧛🏼‍♀️;ivemphaya lesifazane: uhlobo-3;ivemphaya lesifazane|ivemphaya lesifazane: uhlobo-3|ngafile|uhlobo-3
	🧛🏽‍♀️;ivemphaya lesifazane: uhlobo-4;ivemphaya lesifazane|ivemphaya lesifazane: uhlobo-4|ngafile|uhlobo-4
	🧛🏾‍♀️;ivemphaya lesifazane: uhlobo-5;ivemphaya lesifazane|ivemphaya lesifazane: uhlobo-5|ngafile|uhlobo-5
	🧛🏿‍♀️;ivemphaya lesifazane: uhlobo-6;ivemphaya lesifazane|ivemphaya lesifazane: uhlobo-6|ngafile|uhlobo-6
🧜;i-merperson;i-mermaid|i-merman|i-merperson|i-merwoman
	🧜🏻;i-merperson: uhlobo-1-2;i-mermaid|i-merman|i-merperson|i-merperson: uhlobo-1-2|i-merwoman|uhlobo-1-2
	🧜🏼;i-merperson: uhlobo-3;i-mermaid|i-merman|i-merperson|i-merperson: uhlobo-3|i-merwoman|uhlobo-3
	🧜🏽;i-merperson: uhlobo-4;i-mermaid|i-merman|i-merperson|i-merperson: uhlobo-4|i-merwoman|uhlobo-4
	🧜🏾;i-merperson: uhlobo-5;i-mermaid|i-merman|i-merperson|i-merperson: uhlobo-5|i-merwoman|uhlobo-5
	🧜🏿;i-merperson: uhlobo-6;i-mermaid|i-merman|i-merperson|i-merperson: uhlobo-6|i-merwoman|uhlobo-6
🧜‍♂️;i-merman;i-merman|i-Triton
	🧜🏻‍♂️;i-merman: uhlobo-1-2;i-merman|i-merman: uhlobo-1-2|i-Triton|uhlobo-1-2
	🧜🏼‍♂️;i-merman: uhlobo-3;i-merman|i-merman: uhlobo-3|i-Triton|uhlobo-3
	🧜🏽‍♂️;i-merman: uhlobo-4;i-merman|i-merman: uhlobo-4|i-Triton|uhlobo-4
	🧜🏾‍♂️;i-merman: uhlobo-5;i-merman|i-merman: uhlobo-5|i-Triton|uhlobo-5
	🧜🏿‍♂️;i-merman: uhlobo-6;i-merman|i-merman: uhlobo-6|i-Triton|uhlobo-6
🧜‍♀️;i-mermaid;i-mermaid|i-merwoman
	🧜🏻‍♀️;i-mermaid: uhlobo-1-2;i-mermaid|i-mermaid: uhlobo-1-2|i-merwoman|uhlobo-1-2
	🧜🏼‍♀️;i-mermaid: uhlobo-3;i-mermaid|i-mermaid: uhlobo-3|i-merwoman|uhlobo-3
	🧜🏽‍♀️;i-mermaid: uhlobo-4;i-mermaid|i-mermaid: uhlobo-4|i-merwoman|uhlobo-4
	🧜🏾‍♀️;i-mermaid: uhlobo-5;i-mermaid|i-mermaid: uhlobo-5|i-merwoman|uhlobo-5
	🧜🏿‍♀️;i-mermaid: uhlobo-6;i-mermaid|i-mermaid: uhlobo-6|i-merwoman|uhlobo-6
🧝;i-elf;i-elf|mlingo
	🧝🏻;i-elf: uhlobo-1-2;i-elf|i-elf: uhlobo-1-2|mlingo|uhlobo-1-2
	🧝🏼;i-elf: uhlobo-3;i-elf|i-elf: uhlobo-3|mlingo|uhlobo-3
	🧝🏽;i-elf: uhlobo-4;i-elf|i-elf: uhlobo-4|mlingo|uhlobo-4
	🧝🏾;i-elf: uhlobo-5;i-elf|i-elf: uhlobo-5|mlingo|uhlobo-5
	🧝🏿;i-elf: uhlobo-6;i-elf|i-elf: uhlobo-6|mlingo|uhlobo-6
🧝‍♂️;i-elf yesilisa;i-elf yesilisa|mlingo
	🧝🏻‍♂️;i-elf yesilisa: uhlobo-1-2;i-elf yesilisa|i-elf yesilisa: uhlobo-1-2|mlingo|uhlobo-1-2
	🧝🏼‍♂️;i-elf yesilisa: uhlobo-3;i-elf yesilisa|i-elf yesilisa: uhlobo-3|mlingo|uhlobo-3
	🧝🏽‍♂️;i-elf yesilisa: uhlobo-4;i-elf yesilisa|i-elf yesilisa: uhlobo-4|mlingo|uhlobo-4
	🧝🏾‍♂️;i-elf yesilisa: uhlobo-5;i-elf yesilisa|i-elf yesilisa: uhlobo-5|mlingo|uhlobo-5
	🧝🏿‍♂️;i-elf yesilisa: uhlobo-6;i-elf yesilisa|i-elf yesilisa: uhlobo-6|mlingo|uhlobo-6
🧝‍♀️;i-elf yesifazane;i-elf yesifazane|okomlingo
	🧝🏻‍♀️;i-elf yesifazane: uhlobo-1-2;i-elf yesifazane|i-elf yesifazane: uhlobo-1-2|okomlingo|uhlobo-1-2
	🧝🏼‍♀️;i-elf yesifazane: uhlobo-3;i-elf yesifazane|i-elf yesifazane: uhlobo-3|okomlingo|uhlobo-3
	🧝🏽‍♀️;i-elf yesifazane: uhlobo-4;i-elf yesifazane|i-elf yesifazane: uhlobo-4|okomlingo|uhlobo-4
	🧝🏾‍♀️;i-elf yesifazane: uhlobo-5;i-elf yesifazane|i-elf yesifazane: uhlobo-5|okomlingo|uhlobo-5
	🧝🏿‍♀️;i-elf yesifazane: uhlobo-6;i-elf yesifazane|i-elf yesifazane: uhlobo-6|okomlingo|uhlobo-6
🧞;ijeni;i-djinn|ijeni
🧞‍♂️;ijeni yesilisa;i-djinn|ijeni yesilisa
🧞‍♀️;ijeni yesifazane;i-djinn|ijeni yesifazane
🧟;isilwane;hamba efile|isilwane|ngafile
🧟‍♂️;isipoki sowesilisa;hamba efile|isipoki sowesilisa|ngafile
🧟‍♀️;isilwane sowesifazane;hamba efile|isilwane sowesifazane|ngafile
🧌;troll;fairy tale|fantasy|monster|troll
💆;umuntu othola imasaji;imasaji|isaluni|ubuso|umuntu othola imasaji
	💆🏻;umuntu othola imasaji: uhlobo-1-2;imasaji|isaluni|ubuso|uhlobo-1-2|umuntu othola imasaji|umuntu othola imasaji: uhlobo-1-2
	💆🏼;umuntu othola imasaji: uhlobo-3;imasaji|isaluni|ubuso|uhlobo-3|umuntu othola imasaji|umuntu othola imasaji: uhlobo-3
	💆🏽;umuntu othola imasaji: uhlobo-4;imasaji|isaluni|ubuso|uhlobo-4|umuntu othola imasaji|umuntu othola imasaji: uhlobo-4
	💆🏾;umuntu othola imasaji: uhlobo-5;imasaji|isaluni|ubuso|uhlobo-5|umuntu othola imasaji|umuntu othola imasaji: uhlobo-5
	💆🏿;umuntu othola imasaji: uhlobo-6;imasaji|isaluni|ubuso|uhlobo-6|umuntu othola imasaji|umuntu othola imasaji: uhlobo-6
💆‍♂️;indoda ethola imasaji ebusweni;imasaji|indoda|indoda ethola imasaji ebusweni|ubuso
	💆🏻‍♂️;indoda ethola imasaji ebusweni: uhlobo-1-2;imasaji|indoda|indoda ethola imasaji ebusweni|indoda ethola imasaji ebusweni: uhlobo-1-2|ubuso|uhlobo-1-2
	💆🏼‍♂️;indoda ethola imasaji ebusweni: uhlobo-3;imasaji|indoda|indoda ethola imasaji ebusweni|indoda ethola imasaji ebusweni: uhlobo-3|ubuso|uhlobo-3
	💆🏽‍♂️;indoda ethola imasaji ebusweni: uhlobo-4;imasaji|indoda|indoda ethola imasaji ebusweni|indoda ethola imasaji ebusweni: uhlobo-4|ubuso|uhlobo-4
	💆🏾‍♂️;indoda ethola imasaji ebusweni: uhlobo-5;imasaji|indoda|indoda ethola imasaji ebusweni|indoda ethola imasaji ebusweni: uhlobo-5|ubuso|uhlobo-5
	💆🏿‍♂️;indoda ethola imasaji ebusweni: uhlobo-6;imasaji|indoda|indoda ethola imasaji ebusweni|indoda ethola imasaji ebusweni: uhlobo-6|ubuso|uhlobo-6
💆‍♀️;owesimame othola imasaji ebusweni;imasaji|owesimame|owesimame othola imasaji ebusweni|ubuso
	💆🏻‍♀️;owesimame othola imasaji ebusweni: uhlobo-1-2;imasaji|owesimame|owesimame othola imasaji ebusweni|owesimame othola imasaji ebusweni: uhlobo-1-2|ubuso|uhlobo-1-2
	💆🏼‍♀️;owesimame othola imasaji ebusweni: uhlobo-3;imasaji|owesimame|owesimame othola imasaji ebusweni|owesimame othola imasaji ebusweni: uhlobo-3|ubuso|uhlobo-3
	💆🏽‍♀️;owesimame othola imasaji ebusweni: uhlobo-4;imasaji|owesimame|owesimame othola imasaji ebusweni|owesimame othola imasaji ebusweni: uhlobo-4|ubuso|uhlobo-4
	💆🏾‍♀️;owesimame othola imasaji ebusweni: uhlobo-5;imasaji|owesimame|owesimame othola imasaji ebusweni|owesimame othola imasaji ebusweni: uhlobo-5|ubuso|uhlobo-5
	💆🏿‍♀️;owesimame othola imasaji ebusweni: uhlobo-6;imasaji|owesimame|owesimame othola imasaji ebusweni|owesimame othola imasaji ebusweni: uhlobo-6|ubuso|uhlobo-6
💇;umuntu ogundayo;isaluni|ubuhle|ukugunda izimwele|umgundi|umuntu ogundayo
	💇🏻;umuntu ogundayo: uhlobo-1-2;isaluni|ubuhle|uhlobo-1-2|ukugunda izimwele|umgundi|umuntu ogundayo|umuntu ogundayo: uhlobo-1-2
	💇🏼;umuntu ogundayo: uhlobo-3;isaluni|ubuhle|uhlobo-3|ukugunda izimwele|umgundi|umuntu ogundayo|umuntu ogundayo: uhlobo-3
	💇🏽;umuntu ogundayo: uhlobo-4;isaluni|ubuhle|uhlobo-4|ukugunda izimwele|umgundi|umuntu ogundayo|umuntu ogundayo: uhlobo-4
	💇🏾;umuntu ogundayo: uhlobo-5;isaluni|ubuhle|uhlobo-5|ukugunda izimwele|umgundi|umuntu ogundayo|umuntu ogundayo: uhlobo-5
	💇🏿;umuntu ogundayo: uhlobo-6;isaluni|ubuhle|uhlobo-6|ukugunda izimwele|umgundi|umuntu ogundayo|umuntu ogundayo: uhlobo-6
💇‍♂️;indoda egundayo;indoda|indoda egundayo|ukugunda izinwele
	💇🏻‍♂️;indoda egundayo: uhlobo-1-2;indoda|indoda egundayo|indoda egundayo: uhlobo-1-2|uhlobo-1-2|ukugunda izinwele
	💇🏼‍♂️;indoda egundayo: uhlobo-3;indoda|indoda egundayo|indoda egundayo: uhlobo-3|uhlobo-3|ukugunda izinwele
	💇🏽‍♂️;indoda egundayo: uhlobo-4;indoda|indoda egundayo|indoda egundayo: uhlobo-4|uhlobo-4|ukugunda izinwele
	💇🏾‍♂️;indoda egundayo: uhlobo-5;indoda|indoda egundayo|indoda egundayo: uhlobo-5|uhlobo-5|ukugunda izinwele
	💇🏿‍♂️;indoda egundayo: uhlobo-6;indoda|indoda egundayo|indoda egundayo: uhlobo-6|uhlobo-6|ukugunda izinwele
💇‍♀️;owesimame ogundayo;owesimame|owesimame ogundayo|ukugunda izinwele
	💇🏻‍♀️;owesimame ogundayo: uhlobo-1-2;owesimame|owesimame ogundayo|owesimame ogundayo: uhlobo-1-2|uhlobo-1-2|ukugunda izinwele
	💇🏼‍♀️;owesimame ogundayo: uhlobo-3;owesimame|owesimame ogundayo|owesimame ogundayo: uhlobo-3|uhlobo-3|ukugunda izinwele
	💇🏽‍♀️;owesimame ogundayo: uhlobo-4;owesimame|owesimame ogundayo|owesimame ogundayo: uhlobo-4|uhlobo-4|ukugunda izinwele
	💇🏾‍♀️;owesimame ogundayo: uhlobo-5;owesimame|owesimame ogundayo|owesimame ogundayo: uhlobo-5|uhlobo-5|ukugunda izinwele
	💇🏿‍♀️;owesimame ogundayo: uhlobo-6;owesimame|owesimame ogundayo|owesimame ogundayo: uhlobo-6|uhlobo-6|ukugunda izinwele
🚶;umuntu ohambayo;ukuhamba|umuntu ohambayo
	🚶🏻;umuntu ohambayo: uhlobo-1-2;uhlobo-1-2|ukuhamba|umuntu ohambayo|umuntu ohambayo: uhlobo-1-2
	🚶🏼;umuntu ohambayo: uhlobo-3;uhlobo-3|ukuhamba|umuntu ohambayo|umuntu ohambayo: uhlobo-3
	🚶🏽;umuntu ohambayo: uhlobo-4;uhlobo-4|ukuhamba|umuntu ohambayo|umuntu ohambayo: uhlobo-4
	🚶🏾;umuntu ohambayo: uhlobo-5;uhlobo-5|ukuhamba|umuntu ohambayo|umuntu ohambayo: uhlobo-5
	🚶🏿;umuntu ohambayo: uhlobo-6;uhlobo-6|ukuhamba|umuntu ohambayo|umuntu ohambayo: uhlobo-6
🚶‍♂️;indoda ehambayo;indoda|indoda ehambayo|ukuhamba
	🚶🏻‍♂️;indoda ehambayo: uhlobo-1-2;indoda|indoda ehambayo|indoda ehambayo: uhlobo-1-2|uhlobo-1-2|ukuhamba
	🚶🏼‍♂️;indoda ehambayo: uhlobo-3;indoda|indoda ehambayo|indoda ehambayo: uhlobo-3|uhlobo-3|ukuhamba
	🚶🏽‍♂️;indoda ehambayo: uhlobo-4;indoda|indoda ehambayo|indoda ehambayo: uhlobo-4|uhlobo-4|ukuhamba
	🚶🏾‍♂️;indoda ehambayo: uhlobo-5;indoda|indoda ehambayo|indoda ehambayo: uhlobo-5|uhlobo-5|ukuhamba
	🚶🏿‍♂️;indoda ehambayo: uhlobo-6;indoda|indoda ehambayo|indoda ehambayo: uhlobo-6|uhlobo-6|ukuhamba
🚶‍♀️;owesimame ohambayo;owesimame|owesimame ohambayo|ukuhamba
	🚶🏻‍♀️;owesimame ohambayo: uhlobo-1-2;owesimame|owesimame ohambayo|owesimame ohambayo: uhlobo-1-2|uhlobo-1-2|ukuhamba
	🚶🏼‍♀️;owesimame ohambayo: uhlobo-3;owesimame|owesimame ohambayo|owesimame ohambayo: uhlobo-3|uhlobo-3|ukuhamba
	🚶🏽‍♀️;owesimame ohambayo: uhlobo-4;owesimame|owesimame ohambayo|owesimame ohambayo: uhlobo-4|uhlobo-4|ukuhamba
	🚶🏾‍♀️;owesimame ohambayo: uhlobo-5;owesimame|owesimame ohambayo|owesimame ohambayo: uhlobo-5|uhlobo-5|ukuhamba
	🚶🏿‍♀️;owesimame ohambayo: uhlobo-6;owesimame|owesimame ohambayo|owesimame ohambayo: uhlobo-6|uhlobo-6|ukuhamba
🚶‍➡️;;
	🚶🏻‍➡️;;
	🚶🏼‍➡️;;
	🚶🏽‍➡️;;
	🚶🏾‍➡️;;
	🚶🏿‍➡️;;
🚶‍♀️‍➡️;;
	🚶🏻‍♀️‍➡️;;
	🚶🏼‍♀️‍➡️;;
	🚶🏽‍♀️‍➡️;;
	🚶🏾‍♀️‍➡️;;
	🚶🏿‍♀️‍➡️;;
🚶‍♂️‍➡️;;
	🚶🏻‍♂️‍➡️;;
	🚶🏼‍♂️‍➡️;;
	🚶🏽‍♂️‍➡️;;
	🚶🏾‍♂️‍➡️;;
	🚶🏿‍♂️‍➡️;;
🧍;umuntu omile;ima|ukuma|umuntu omile
	🧍🏻;umuntu omile: uhlobo-1-2;ima|uhlobo-1-2|ukuma|umuntu omile|umuntu omile: uhlobo-1-2
	🧍🏼;umuntu omile: uhlobo-3;ima|uhlobo-3|ukuma|umuntu omile|umuntu omile: uhlobo-3
	🧍🏽;umuntu omile: uhlobo-4;ima|uhlobo-4|ukuma|umuntu omile|umuntu omile: uhlobo-4
	🧍🏾;umuntu omile: uhlobo-5;ima|uhlobo-5|ukuma|umuntu omile|umuntu omile: uhlobo-5
	🧍🏿;umuntu omile: uhlobo-6;ima|uhlobo-6|ukuma|umuntu omile|umuntu omile: uhlobo-6
🧍‍♂️;indoda emile;indoda|indoda emile|ukuma
	🧍🏻‍♂️;indoda emile: uhlobo-1-2;indoda|indoda emile|indoda emile: uhlobo-1-2|uhlobo-1-2|ukuma
	🧍🏼‍♂️;indoda emile: uhlobo-3;indoda|indoda emile|indoda emile: uhlobo-3|uhlobo-3|ukuma
	🧍🏽‍♂️;indoda emile: uhlobo-4;indoda|indoda emile|indoda emile: uhlobo-4|uhlobo-4|ukuma
	🧍🏾‍♂️;indoda emile: uhlobo-5;indoda|indoda emile|indoda emile: uhlobo-5|uhlobo-5|ukuma
	🧍🏿‍♂️;indoda emile: uhlobo-6;indoda|indoda emile|indoda emile: uhlobo-6|uhlobo-6|ukuma
🧍‍♀️;umama omile;ukuma|umama|umama omile
	🧍🏻‍♀️;umama omile: uhlobo-1-2;uhlobo-1-2|ukuma|umama|umama omile|umama omile: uhlobo-1-2
	🧍🏼‍♀️;umama omile: uhlobo-3;uhlobo-3|ukuma|umama|umama omile|umama omile: uhlobo-3
	🧍🏽‍♀️;umama omile: uhlobo-4;uhlobo-4|ukuma|umama|umama omile|umama omile: uhlobo-4
	🧍🏾‍♀️;umama omile: uhlobo-5;uhlobo-5|ukuma|umama|umama omile|umama omile: uhlobo-5
	🧍🏿‍♀️;umama omile: uhlobo-6;uhlobo-6|ukuma|umama|umama omile|umama omile: uhlobo-6
🧎;umuntu oguqile;guqa|ukuguqa|umuntu oguqile
	🧎🏻;umuntu oguqile: uhlobo-1-2;guqa|uhlobo-1-2|ukuguqa|umuntu oguqile|umuntu oguqile: uhlobo-1-2
	🧎🏼;umuntu oguqile: uhlobo-3;guqa|uhlobo-3|ukuguqa|umuntu oguqile|umuntu oguqile: uhlobo-3
	🧎🏽;umuntu oguqile: uhlobo-4;guqa|uhlobo-4|ukuguqa|umuntu oguqile|umuntu oguqile: uhlobo-4
	🧎🏾;umuntu oguqile: uhlobo-5;guqa|uhlobo-5|ukuguqa|umuntu oguqile|umuntu oguqile: uhlobo-5
	🧎🏿;umuntu oguqile: uhlobo-6;guqa|uhlobo-6|ukuguqa|umuntu oguqile|umuntu oguqile: uhlobo-6
🧎‍♂️;indoda eguqlile;indoda|indoda eguqlile|ukuguqa
	🧎🏻‍♂️;indoda eguqlile: uhlobo-1-2;indoda|indoda eguqlile|indoda eguqlile: uhlobo-1-2|uhlobo-1-2|ukuguqa
	🧎🏼‍♂️;indoda eguqlile: uhlobo-3;indoda|indoda eguqlile|indoda eguqlile: uhlobo-3|uhlobo-3|ukuguqa
	🧎🏽‍♂️;indoda eguqlile: uhlobo-4;indoda|indoda eguqlile|indoda eguqlile: uhlobo-4|uhlobo-4|ukuguqa
	🧎🏾‍♂️;indoda eguqlile: uhlobo-5;indoda|indoda eguqlile|indoda eguqlile: uhlobo-5|uhlobo-5|ukuguqa
	🧎🏿‍♂️;indoda eguqlile: uhlobo-6;indoda|indoda eguqlile|indoda eguqlile: uhlobo-6|uhlobo-6|ukuguqa
🧎‍♀️;umama ogulile;ukuguqa|umama|umama ogulile
	🧎🏻‍♀️;umama ogulile: uhlobo-1-2;uhlobo-1-2|ukuguqa|umama|umama ogulile|umama ogulile: uhlobo-1-2
	🧎🏼‍♀️;umama ogulile: uhlobo-3;uhlobo-3|ukuguqa|umama|umama ogulile|umama ogulile: uhlobo-3
	🧎🏽‍♀️;umama ogulile: uhlobo-4;uhlobo-4|ukuguqa|umama|umama ogulile|umama ogulile: uhlobo-4
	🧎🏾‍♀️;umama ogulile: uhlobo-5;uhlobo-5|ukuguqa|umama|umama ogulile|umama ogulile: uhlobo-5
	🧎🏿‍♀️;umama ogulile: uhlobo-6;uhlobo-6|ukuguqa|umama|umama ogulile|umama ogulile: uhlobo-6
🧎‍➡️;;
	🧎🏻‍➡️;;
	🧎🏼‍➡️;;
	🧎🏽‍➡️;;
	🧎🏾‍➡️;;
	🧎🏿‍➡️;;
🧎‍♀️‍➡️;;
	🧎🏻‍♀️‍➡️;;
	🧎🏼‍♀️‍➡️;;
	🧎🏽‍♀️‍➡️;;
	🧎🏾‍♀️‍➡️;;
	🧎🏿‍♀️‍➡️;;
🧎‍♂️‍➡️;;
	🧎🏻‍♂️‍➡️;;
	🧎🏼‍♂️‍➡️;;
	🧎🏽‍♂️‍➡️;;
	🧎🏾‍♂️‍➡️;;
	🧎🏿‍♂️‍➡️;;
🧑‍🦯;umuntu onenkinga yokungena;mpumputhe|ukufinyeleleka|umuntu onenkinga yokungena
	🧑🏻‍🦯;umuntu onenkinga yokungena: uhlobo-1-2;mpumputhe|uhlobo-1-2|ukufinyeleleka|umuntu onenkinga yokungena|umuntu onenkinga yokungena: uhlobo-1-2
	🧑🏼‍🦯;umuntu onenkinga yokungena: uhlobo-3;mpumputhe|uhlobo-3|ukufinyeleleka|umuntu onenkinga yokungena|umuntu onenkinga yokungena: uhlobo-3
	🧑🏽‍🦯;umuntu onenkinga yokungena: uhlobo-4;mpumputhe|uhlobo-4|ukufinyeleleka|umuntu onenkinga yokungena|umuntu onenkinga yokungena: uhlobo-4
	🧑🏾‍🦯;umuntu onenkinga yokungena: uhlobo-5;mpumputhe|uhlobo-5|ukufinyeleleka|umuntu onenkinga yokungena|umuntu onenkinga yokungena: uhlobo-5
	🧑🏿‍🦯;umuntu onenkinga yokungena: uhlobo-6;mpumputhe|uhlobo-6|ukufinyeleleka|umuntu onenkinga yokungena|umuntu onenkinga yokungena: uhlobo-6
🧑‍🦯‍➡️;;
	🧑🏻‍🦯‍➡️;;
	🧑🏼‍🦯‍➡️;;
	🧑🏽‍🦯‍➡️;;
	🧑🏾‍🦯‍➡️;;
	🧑🏿‍🦯‍➡️;;
👨‍🦯;indoda enekheni lokuhlola;indoda|indoda enekheni lokuhlola|ukufinyelela|ukuphophala
	👨🏻‍🦯;indoda enekheni lokuhlola: uhlobo-1-2;indoda|indoda enekheni lokuhlola|indoda enekheni lokuhlola: uhlobo-1-2|uhlobo-1-2|ukufinyelela|ukuphophala
	👨🏼‍🦯;indoda enekheni lokuhlola: uhlobo-3;indoda|indoda enekheni lokuhlola|indoda enekheni lokuhlola: uhlobo-3|uhlobo-3|ukufinyelela|ukuphophala
	👨🏽‍🦯;indoda enekheni lokuhlola: uhlobo-4;indoda|indoda enekheni lokuhlola|indoda enekheni lokuhlola: uhlobo-4|uhlobo-4|ukufinyelela|ukuphophala
	👨🏾‍🦯;indoda enekheni lokuhlola: uhlobo-5;indoda|indoda enekheni lokuhlola|indoda enekheni lokuhlola: uhlobo-5|uhlobo-5|ukufinyelela|ukuphophala
	👨🏿‍🦯;indoda enekheni lokuhlola: uhlobo-6;indoda|indoda enekheni lokuhlola|indoda enekheni lokuhlola: uhlobo-6|uhlobo-6|ukufinyelela|ukuphophala
👨‍🦯‍➡️;;
	👨🏻‍🦯‍➡️;;
	👨🏼‍🦯‍➡️;;
	👨🏽‍🦯‍➡️;;
	👨🏾‍🦯‍➡️;;
	👨🏿‍🦯‍➡️;;
👩‍🦯;umama onekheni lokuhlola;ukufinyelela|ukuphophala|umama onekheni lokuhlola
	👩🏻‍🦯;umama onekheni lokuhlola: uhlobo-1-2;uhlobo-1-2|ukufinyelela|ukuphophala|umama onekheni lokuhlola|umama onekheni lokuhlola: uhlobo-1-2
	👩🏼‍🦯;umama onekheni lokuhlola: uhlobo-3;uhlobo-3|ukufinyelela|ukuphophala|umama onekheni lokuhlola|umama onekheni lokuhlola: uhlobo-3
	👩🏽‍🦯;umama onekheni lokuhlola: uhlobo-4;uhlobo-4|ukufinyelela|ukuphophala|umama onekheni lokuhlola|umama onekheni lokuhlola: uhlobo-4
	👩🏾‍🦯;umama onekheni lokuhlola: uhlobo-5;uhlobo-5|ukufinyelela|ukuphophala|umama onekheni lokuhlola|umama onekheni lokuhlola: uhlobo-5
	👩🏿‍🦯;umama onekheni lokuhlola: uhlobo-6;uhlobo-6|ukufinyelela|ukuphophala|umama onekheni lokuhlola|umama onekheni lokuhlola: uhlobo-6
👩‍🦯‍➡️;;
	👩🏻‍🦯‍➡️;;
	👩🏼‍🦯‍➡️;;
	👩🏽‍🦯‍➡️;;
	👩🏾‍🦯‍➡️;;
	👩🏿‍🦯‍➡️;;
🧑‍🦼;umuntu onesihlalo sabakhubazekile;isihlalo sabakhubazekile|ukufinyeleleka|umuntu onesihlalo sabakhubazekile
	🧑🏻‍🦼;umuntu onesihlalo sabakhubazekile: uhlobo-1-2;isihlalo sabakhubazekile|uhlobo-1-2|ukufinyeleleka|umuntu onesihlalo sabakhubazekile|umuntu onesihlalo sabakhubazekile: uhlobo-1-2
	🧑🏼‍🦼;umuntu onesihlalo sabakhubazekile: uhlobo-3;isihlalo sabakhubazekile|uhlobo-3|ukufinyeleleka|umuntu onesihlalo sabakhubazekile|umuntu onesihlalo sabakhubazekile: uhlobo-3
	🧑🏽‍🦼;umuntu onesihlalo sabakhubazekile: uhlobo-4;isihlalo sabakhubazekile|uhlobo-4|ukufinyeleleka|umuntu onesihlalo sabakhubazekile|umuntu onesihlalo sabakhubazekile: uhlobo-4
	🧑🏾‍🦼;umuntu onesihlalo sabakhubazekile: uhlobo-5;isihlalo sabakhubazekile|uhlobo-5|ukufinyeleleka|umuntu onesihlalo sabakhubazekile|umuntu onesihlalo sabakhubazekile: uhlobo-5
	🧑🏿‍🦼;umuntu onesihlalo sabakhubazekile: uhlobo-6;isihlalo sabakhubazekile|uhlobo-6|ukufinyeleleka|umuntu onesihlalo sabakhubazekile|umuntu onesihlalo sabakhubazekile: uhlobo-6
🧑‍🦼‍➡️;;
	🧑🏻‍🦼‍➡️;;
	🧑🏼‍🦼‍➡️;;
	🧑🏽‍🦼‍➡️;;
	🧑🏾‍🦼‍➡️;;
	🧑🏿‍🦼‍➡️;;
👨‍🦼;indoda esesitulweni esizihambelayo;indoda|indoda esesitulweni esizihambelayo|isitula sokuhamba|ukufinyelela
	👨🏻‍🦼;indoda esesitulweni esizihambelayo: uhlobo-1-2;indoda|indoda esesitulweni esizihambelayo|indoda esesitulweni esizihambelayo: uhlobo-1-2|isitula sokuhamba|uhlobo-1-2|ukufinyelela
	👨🏼‍🦼;indoda esesitulweni esizihambelayo: uhlobo-3;indoda|indoda esesitulweni esizihambelayo|indoda esesitulweni esizihambelayo: uhlobo-3|isitula sokuhamba|uhlobo-3|ukufinyelela
	👨🏽‍🦼;indoda esesitulweni esizihambelayo: uhlobo-4;indoda|indoda esesitulweni esizihambelayo|indoda esesitulweni esizihambelayo: uhlobo-4|isitula sokuhamba|uhlobo-4|ukufinyelela
