[smileys_emotion]
😀;шырока ўсміхаецца;зубы|усмешка|шырока ўсміхаецца
	🏄🏾‍♀️;серфінгістка: сярэдняцёмны тон скуры;жанчына|сёрфінг|серфінгістка|серфінгістка: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры
	🏄🏿‍♀️;серфінгістка: цёмны тон скуры;жанчына|сёрфінг|серфінгістка|серфінгістка: цёмны тон скуры|цёмны тон скуры
🚣;веславанне;веславанне|вёслы|лодка|човен
	🚣🏻;веславанне: светлы тон скуры;веславанне|веславанне: светлы тон скуры|вёслы|лодка|светлы тон скуры|човен
	🚣🏼;веславанне: сярэднясветлы тон скуры;веславанне|веславанне: сярэднясветлы тон скуры|вёслы|лодка|сярэднясветлы тон скуры|човен
	🚣🏽;веславанне: сярэдні тон скуры;веславанне|веславанне: сярэдні тон скуры|вёслы|лодка|сярэдні тон скуры|човен
	🚣🏾;веславанне: сярэдняцёмны тон скуры;веславанне|веславанне: сярэдняцёмны тон скуры|вёслы|лодка|сярэдняцёмны тон скуры|човен
	🚣🏿;веславанне: цёмны тон скуры;веславанне|веславанне: цёмны тон скуры|вёслы|лодка|цёмны тон скуры|човен
🚣‍♂️;вясляр;веславанне|вясляр|лодка|мужчына|човен
	🚣🏻‍♂️;вясляр: светлы тон скуры;веславанне|вясляр|вясляр: светлы тон скуры|лодка|мужчына|светлы тон скуры|човен
	🚣🏼‍♂️;вясляр: сярэднясветлы тон скуры;веславанне|вясляр|вясляр: сярэднясветлы тон скуры|лодка|мужчына|сярэднясветлы тон скуры|човен
	🚣🏽‍♂️;вясляр: сярэдні тон скуры;веславанне|вясляр|вясляр: сярэдні тон скуры|лодка|мужчына|сярэдні тон скуры|човен
	🚣🏾‍♂️;вясляр: сярэдняцёмны тон скуры;веславанне|вясляр|вясляр: сярэдняцёмны тон скуры|лодка|мужчына|сярэдняцёмны тон скуры|човен
	🚣🏿‍♂️;вясляр: цёмны тон скуры;веславанне|вясляр|вясляр: цёмны тон скуры|лодка|мужчына|цёмны тон скуры|човен
🚣‍♀️;вяслярка;веславанне|вяслярка|жанчына|лодка|човен
	🚣🏻‍♀️;вяслярка: светлы тон скуры;веславанне|вяслярка|вяслярка: светлы тон скуры|жанчына|лодка|светлы тон скуры|човен
	🚣🏼‍♀️;вяслярка: сярэднясветлы тон скуры;веславанне|вяслярка|вяслярка: сярэднясветлы тон скуры|жанчына|лодка|сярэднясветлы тон скуры|човен
	🚣🏽‍♀️;вяслярка: сярэдні тон скуры;веславанне|вяслярка|вяслярка: сярэдні тон скуры|жанчына|лодка|сярэдні тон скуры|човен
	🚣🏾‍♀️;вяслярка: сярэдняцёмны тон скуры;веславанне|вяслярка|вяслярка: сярэдняцёмны тон скуры|жанчына|лодка|сярэдняцёмны тон скуры|човен
	🚣🏿‍♀️;вяслярка: цёмны тон скуры;веславанне|вяслярка|вяслярка: цёмны тон скуры|жанчына|лодка|цёмны тон скуры|човен
🏊;чалавек плыве;плаванне|чалавек плыве
	🏊🏻;чалавек плыве: светлы тон скуры;плаванне|светлы тон скуры|чалавек плыве|чалавек плыве: светлы тон скуры
	🏊🏼;чалавек плыве: сярэднясветлы тон скуры;плаванне|сярэднясветлы тон скуры|чалавек плыве|чалавек плыве: сярэднясветлы тон скуры
	🏊🏽;чалавек плыве: сярэдні тон скуры;плаванне|сярэдні тон скуры|чалавек плыве|чалавек плыве: сярэдні тон скуры
	🏊🏾;чалавек плыве: сярэдняцёмны тон скуры;плаванне|сярэдняцёмны тон скуры|чалавек плыве|чалавек плыве: сярэдняцёмны тон скуры
	🏊🏿;чалавек плыве: цёмны тон скуры;плаванне|цёмны тон скуры|чалавек плыве|чалавек плыве: цёмны тон скуры
🏊‍♂️;плывец;мужчына|плаванне|плывец
	🏊🏻‍♂️;плывец: светлы тон скуры;мужчына|плаванне|плывец|плывец: светлы тон скуры|светлы тон скуры
	🏊🏼‍♂️;плывец: сярэднясветлы тон скуры;мужчына|плаванне|плывец|плывец: сярэднясветлы тон скуры|сярэднясветлы тон скуры
	🏊🏽‍♂️;плывец: сярэдні тон скуры;мужчына|плаванне|плывец|плывец: сярэдні тон скуры|сярэдні тон скуры
	🏊🏾‍♂️;плывец: сярэдняцёмны тон скуры;мужчына|плаванне|плывец|плывец: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры
	🏊🏿‍♂️;плывец: цёмны тон скуры;мужчына|плаванне|плывец|плывец: цёмны тон скуры|цёмны тон скуры
🏊‍♀️;плыўчыха;жанчына|плаванне|плыўчыха
	🏊🏻‍♀️;плыўчыха: светлы тон скуры;жанчына|плаванне|плыўчыха|плыўчыха: светлы тон скуры|светлы тон скуры
	🏊🏼‍♀️;плыўчыха: сярэднясветлы тон скуры;жанчына|плаванне|плыўчыха|плыўчыха: сярэднясветлы тон скуры|сярэднясветлы тон скуры
	🏊🏽‍♀️;плыўчыха: сярэдні тон скуры;жанчына|плаванне|плыўчыха|плыўчыха: сярэдні тон скуры|сярэдні тон скуры
	🏊🏾‍♀️;плыўчыха: сярэдняцёмны тон скуры;жанчына|плаванне|плыўчыха|плыўчыха: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры
	🏊🏿‍♀️;плыўчыха: цёмны тон скуры;жанчына|плаванне|плыўчыха|плыўчыха: цёмны тон скуры|цёмны тон скуры
⛹️;чалавек з мячом;гульня|мяч|чалавек з мячом
	⛹🏻;чалавек з мячом: светлы тон скуры;гульня|мяч|светлы тон скуры|чалавек з мячом|чалавек з мячом: светлы тон скуры
	⛹🏼;чалавек з мячом: сярэднясветлы тон скуры;гульня|мяч|сярэднясветлы тон скуры|чалавек з мячом|чалавек з мячом: сярэднясветлы тон скуры
	⛹🏽;чалавек з мячом: сярэдні тон скуры;гульня|мяч|сярэдні тон скуры|чалавек з мячом|чалавек з мячом: сярэдні тон скуры
	⛹🏾;чалавек з мячом: сярэдняцёмны тон скуры;гульня|мяч|сярэдняцёмны тон скуры|чалавек з мячом|чалавек з мячом: сярэдняцёмны тон скуры
	⛹🏿;чалавек з мячом: цёмны тон скуры;гульня|мяч|цёмны тон скуры|чалавек з мячом|чалавек з мячом: цёмны тон скуры
⛹️‍♂️;мужчына з мячом;гульня|мужчына|мужчына з мячом|мяч
	⛹🏻‍♂️;мужчына з мячом: светлы тон скуры;гульня|мужчына|мужчына з мячом|мужчына з мячом: светлы тон скуры|мяч|светлы тон скуры
	⛹🏼‍♂️;мужчына з мячом: сярэднясветлы тон скуры;гульня|мужчына|мужчына з мячом|мужчына з мячом: сярэднясветлы тон скуры|мяч|сярэднясветлы тон скуры
	⛹🏽‍♂️;мужчына з мячом: сярэдні тон скуры;гульня|мужчына|мужчына з мячом|мужчына з мячом: сярэдні тон скуры|мяч|сярэдні тон скуры
	⛹🏾‍♂️;мужчына з мячом: сярэдняцёмны тон скуры;гульня|мужчына|мужчына з мячом|мужчына з мячом: сярэдняцёмны тон скуры|мяч|сярэдняцёмны тон скуры
	⛹🏿‍♂️;мужчына з мячом: цёмны тон скуры;гульня|мужчына|мужчына з мячом|мужчына з мячом: цёмны тон скуры|мяч|цёмны тон скуры
⛹️‍♀️;жанчына з мячом;гульня|жанчына|жанчына з мячом|мяч
	⛹🏻‍♀️;жанчына з мячом: светлы тон скуры;гульня|жанчына|жанчына з мячом|жанчына з мячом: светлы тон скуры|мяч|светлы тон скуры
	⛹🏼‍♀️;жанчына з мячом: сярэднясветлы тон скуры;гульня|жанчына|жанчына з мячом|жанчына з мячом: сярэднясветлы тон скуры|мяч|сярэднясветлы тон скуры
	⛹🏽‍♀️;жанчына з мячом: сярэдні тон скуры;гульня|жанчына|жанчына з мячом|жанчына з мячом: сярэдні тон скуры|мяч|сярэдні тон скуры
	⛹🏾‍♀️;жанчына з мячом: сярэдняцёмны тон скуры;гульня|жанчына|жанчына з мячом|жанчына з мячом: сярэдняцёмны тон скуры|мяч|сярэдняцёмны тон скуры
	⛹🏿‍♀️;жанчына з мячом: цёмны тон скуры;гульня|жанчына|жанчына з мячом|жанчына з мячом: цёмны тон скуры|мяч|цёмны тон скуры
🏋️;чалавек са штангай;атлетыка|цяжкая|чалавек са штангай|штанга
	🏋🏻;чалавек са штангай: светлы тон скуры;атлетыка|светлы тон скуры|цяжкая|чалавек са штангай|чалавек са штангай: светлы тон скуры|штанга
	🏋🏼;чалавек са штангай: сярэднясветлы тон скуры;атлетыка|сярэднясветлы тон скуры|цяжкая|чалавек са штангай|чалавек са штангай: сярэднясветлы тон скуры|штанга
	🏋🏽;чалавек са штангай: сярэдні тон скуры;атлетыка|сярэдні тон скуры|цяжкая|чалавек са штангай|чалавек са штангай: сярэдні тон скуры|штанга
	🏋🏾;чалавек са штангай: сярэдняцёмны тон скуры;атлетыка|сярэдняцёмны тон скуры|цяжкая|чалавек са штангай|чалавек са штангай: сярэдняцёмны тон скуры|штанга
	🏋🏿;чалавек са штангай: цёмны тон скуры;атлетыка|цёмны тон скуры|цяжкая|чалавек са штангай|чалавек са штангай: цёмны тон скуры|штанга
🏋️‍♂️;цяжкаатлет;атлетыка|мужчына|цяжкаатлет|цяжкая|штанга
	🏋🏻‍♂️;цяжкаатлет: светлы тон скуры;атлетыка|мужчына|светлы тон скуры|цяжкаатлет|цяжкаатлет: светлы тон скуры|цяжкая|штанга
	🏋🏼‍♂️;цяжкаатлет: сярэднясветлы тон скуры;атлетыка|мужчына|сярэднясветлы тон скуры|цяжкаатлет|цяжкаатлет: сярэднясветлы тон скуры|цяжкая|штанга
	🏋🏽‍♂️;цяжкаатлет: сярэдні тон скуры;атлетыка|мужчына|сярэдні тон скуры|цяжкаатлет|цяжкаатлет: сярэдні тон скуры|цяжкая|штанга
	🏋🏾‍♂️;цяжкаатлет: сярэдняцёмны тон скуры;атлетыка|мужчына|сярэдняцёмны тон скуры|цяжкаатлет|цяжкаатлет: сярэдняцёмны тон скуры|цяжкая|штанга
	🏋🏿‍♂️;цяжкаатлет: цёмны тон скуры;атлетыка|мужчына|цёмны тон скуры|цяжкаатлет|цяжкаатлет: цёмны тон скуры|цяжкая|штанга
🏋️‍♀️;цяжкаатлетка;атлетыка|жанчына|цяжкаатлетка|цяжкая|штанга
	🏋🏻‍♀️;цяжкаатлетка: светлы тон скуры;атлетыка|жанчына|светлы тон скуры|цяжкаатлетка|цяжкаатлетка: светлы тон скуры|цяжкая|штанга
	🏋🏼‍♀️;цяжкаатлетка: сярэднясветлы тон скуры;атлетыка|жанчына|сярэднясветлы тон скуры|цяжкаатлетка|цяжкаатлетка: сярэднясветлы тон скуры|цяжкая|штанга
	🏋🏽‍♀️;цяжкаатлетка: сярэдні тон скуры;атлетыка|жанчына|сярэдні тон скуры|цяжкаатлетка|цяжкаатлетка: сярэдні тон скуры|цяжкая|штанга
	🏋🏾‍♀️;цяжкаатлетка: сярэдняцёмны тон скуры;атлетыка|жанчына|сярэдняцёмны тон скуры|цяжкаатлетка|цяжкаатлетка: сярэдняцёмны тон скуры|цяжкая|штанга
	🏋🏿‍♀️;цяжкаатлетка: цёмны тон скуры;атлетыка|жанчына|цёмны тон скуры|цяжкаатлетка|цяжкаатлетка: цёмны тон скуры|цяжкая|штанга
🚴;чалавек на веласіпедзе;веласіпед|педалі|ровар|чалавек на веласіпедзе
	🚴🏻;чалавек на веласіпедзе: светлы тон скуры;веласіпед|педалі|ровар|светлы тон скуры|чалавек на веласіпедзе|чалавек на веласіпедзе: светлы тон скуры
	🚴🏼;чалавек на веласіпедзе: сярэднясветлы тон скуры;веласіпед|педалі|ровар|сярэднясветлы тон скуры|чалавек на веласіпедзе|чалавек на веласіпедзе: сярэднясветлы тон скуры
	🚴🏽;чалавек на веласіпедзе: сярэдні тон скуры;веласіпед|педалі|ровар|сярэдні тон скуры|чалавек на веласіпедзе|чалавек на веласіпедзе: сярэдні тон скуры
	🚴🏾;чалавек на веласіпедзе: сярэдняцёмны тон скуры;веласіпед|педалі|ровар|сярэдняцёмны тон скуры|чалавек на веласіпедзе|чалавек на веласіпедзе: сярэдняцёмны тон скуры
	🚴🏿;чалавек на веласіпедзе: цёмны тон скуры;веласіпед|педалі|ровар|цёмны тон скуры|чалавек на веласіпедзе|чалавек на веласіпедзе: цёмны тон скуры
🚴‍♂️;веласіпедыст;веласіпед|веласіпедыст|мужчына|педалі|ровар
	🚴🏻‍♂️;веласіпедыст: светлы тон скуры;веласіпед|веласіпедыст|веласіпедыст: светлы тон скуры|мужчына|педалі|ровар|светлы тон скуры
	🚴🏼‍♂️;веласіпедыст: сярэднясветлы тон скуры;веласіпед|веласіпедыст|веласіпедыст: сярэднясветлы тон скуры|мужчына|педалі|ровар|сярэднясветлы тон скуры
	🚴🏽‍♂️;веласіпедыст: сярэдні тон скуры;веласіпед|веласіпедыст|веласіпедыст: сярэдні тон скуры|мужчына|педалі|ровар|сярэдні тон скуры
	🚴🏾‍♂️;веласіпедыст: сярэдняцёмны тон скуры;веласіпед|веласіпедыст|веласіпедыст: сярэдняцёмны тон скуры|мужчына|педалі|ровар|сярэдняцёмны тон скуры
	🚴🏿‍♂️;веласіпедыст: цёмны тон скуры;веласіпед|веласіпедыст|веласіпедыст: цёмны тон скуры|мужчына|педалі|ровар|цёмны тон скуры
🚴‍♀️;веласіпедыстка;веласіпед|веласіпедыстка|жанчына|педалі|ровар
	🚴🏻‍♀️;веласіпедыстка: светлы тон скуры;веласіпед|веласіпедыстка|веласіпедыстка: светлы тон скуры|жанчына|педалі|ровар|светлы тон скуры
	🚴🏼‍♀️;веласіпедыстка: сярэднясветлы тон скуры;веласіпед|веласіпедыстка|веласіпедыстка: сярэднясветлы тон скуры|жанчына|педалі|ровар|сярэднясветлы тон скуры
	🚴🏽‍♀️;веласіпедыстка: сярэдні тон скуры;веласіпед|веласіпедыстка|веласіпедыстка: сярэдні тон скуры|жанчына|педалі|ровар|сярэдні тон скуры
	🚴🏾‍♀️;веласіпедыстка: сярэдняцёмны тон скуры;веласіпед|веласіпедыстка|веласіпедыстка: сярэдняцёмны тон скуры|жанчына|педалі|ровар|сярэдняцёмны тон скуры
	🚴🏿‍♀️;веласіпедыстка: цёмны тон скуры;веласіпед|веласіпедыстка|веласіпедыстка: цёмны тон скуры|жанчына|педалі|ровар|цёмны тон скуры
🚵;чалавек на горным веласіпедзе;веласіпед|гара|горнік|ровар|чалавек на горным веласіпедзе
	🚵🏻;чалавек на горным веласіпедзе: светлы тон скуры;веласіпед|гара|горнік|ровар|светлы тон скуры|чалавек на горным веласіпедзе|чалавек на горным веласіпедзе: светлы тон скуры
	🚵🏼;чалавек на горным веласіпедзе: сярэднясветлы тон скуры;веласіпед|гара|горнік|ровар|сярэднясветлы тон скуры|чалавек на горным веласіпедзе|чалавек на горным веласіпедзе: сярэднясветлы тон скуры
	🚵🏽;чалавек на горным веласіпедзе: сярэдні тон скуры;веласіпед|гара|горнік|ровар|сярэдні тон скуры|чалавек на горным веласіпедзе|чалавек на горным веласіпедзе: сярэдні тон скуры
	🚵🏾;чалавек на горным веласіпедзе: сярэдняцёмны тон скуры;веласіпед|гара|горнік|ровар|сярэдняцёмны тон скуры|чалавек на горным веласіпедзе|чалавек на горным веласіпедзе: сярэдняцёмны тон скуры
	🚵🏿;чалавек на горным веласіпедзе: цёмны тон скуры;веласіпед|гара|горнік|ровар|цёмны тон скуры|чалавек на горным веласіпедзе|чалавек на горным веласіпедзе: цёмны тон скуры
🚵‍♂️;мужчына на горным веласіпедзе;веласіпед|гара|горнік|мужчына|мужчына на горным веласіпедзе|ровар
	🚵🏻‍♂️;мужчына на горным веласіпедзе: светлы тон скуры;веласіпед|гара|горнік|мужчына|мужчына на горным веласіпедзе|мужчына на горным веласіпедзе: светлы тон скуры|ровар|светлы тон скуры
	🚵🏼‍♂️;мужчына на горным веласіпедзе: сярэднясветлы тон скуры;веласіпед|гара|горнік|мужчына|мужчына на горным веласіпедзе|мужчына на горным веласіпедзе: сярэднясветлы тон скуры|ровар|сярэднясветлы тон скуры
	🚵🏽‍♂️;мужчына на горным веласіпедзе: сярэдні тон скуры;веласіпед|гара|горнік|мужчына|мужчына на горным веласіпедзе|мужчына на горным веласіпедзе: сярэдні тон скуры|ровар|сярэдні тон скуры
	🚵🏾‍♂️;мужчына на горным веласіпедзе: сярэдняцёмны тон скуры;веласіпед|гара|горнік|мужчына|мужчына на горным веласіпедзе|мужчына на горным веласіпедзе: сярэдняцёмны тон скуры|ровар|сярэдняцёмны тон скуры
	🚵🏿‍♂️;мужчына на горным веласіпедзе: цёмны тон скуры;веласіпед|гара|горнік|мужчына|мужчына на горным веласіпедзе|мужчына на горным веласіпедзе: цёмны тон скуры|ровар|цёмны тон скуры
🚵‍♀️;жанчына на горным веласіпедзе;веласіпед|гара|горнік|жанчына|жанчына на горным веласіпедзе|ровар
	🚵🏻‍♀️;жанчына на горным веласіпедзе: светлы тон скуры;веласіпед|гара|горнік|жанчына|жанчына на горным веласіпедзе|жанчына на горным веласіпедзе: светлы тон скуры|ровар|светлы тон скуры
	🚵🏼‍♀️;жанчына на горным веласіпедзе: сярэднясветлы тон скуры;веласіпед|гара|горнік|жанчына|жанчына на горным веласіпедзе|жанчына на горным веласіпедзе: сярэднясветлы тон скуры|ровар|сярэднясветлы тон скуры
	🚵🏽‍♀️;жанчына на горным веласіпедзе: сярэдні тон скуры;веласіпед|гара|горнік|жанчына|жанчына на горным веласіпедзе|жанчына на горным веласіпедзе: сярэдні тон скуры|ровар|сярэдні тон скуры
	🚵🏾‍♀️;жанчына на горным веласіпедзе: сярэдняцёмны тон скуры;веласіпед|гара|горнік|жанчына|жанчына на горным веласіпедзе|жанчына на горным веласіпедзе: сярэдняцёмны тон скуры|ровар|сярэдняцёмны тон скуры
	🚵🏿‍♀️;жанчына на горным веласіпедзе: цёмны тон скуры;веласіпед|гара|горнік|жанчына|жанчына на горным веласіпедзе|жанчына на горным веласіпедзе: цёмны тон скуры|ровар|цёмны тон скуры
🤸;ходзіць колам;акрабатыка|гімнастыка|кола|спорт|ходзіць колам|чалавек
	🤸🏻;ходзіць колам: светлы тон скуры;акрабатыка|гімнастыка|кола|светлы тон скуры|спорт|ходзіць колам|ходзіць колам: светлы тон скуры|чалавек
	🤸🏼;ходзіць колам: сярэднясветлы тон скуры;акрабатыка|гімнастыка|кола|спорт|сярэднясветлы тон скуры|ходзіць колам|ходзіць колам: сярэднясветлы тон скуры|чалавек
	🤸🏽;ходзіць колам: сярэдні тон скуры;акрабатыка|гімнастыка|кола|спорт|сярэдні тон скуры|ходзіць колам|ходзіць колам: сярэдні тон скуры|чалавек
	🤸🏾;ходзіць колам: сярэдняцёмны тон скуры;акрабатыка|гімнастыка|кола|спорт|сярэдняцёмны тон скуры|ходзіць колам|ходзіць колам: сярэдняцёмны тон скуры|чалавек
	🤸🏿;ходзіць колам: цёмны тон скуры;акрабатыка|гімнастыка|кола|спорт|ходзіць колам|ходзіць колам: цёмны тон скуры|цёмны тон скуры|чалавек
🤸‍♂️;мужчына ходзіць колам;акрабатыка|гімнастыка|кола|мужчына|мужчына ходзіць колам|спорт
	🤸🏻‍♂️;мужчына ходзіць колам: светлы тон скуры;акрабатыка|гімнастыка|кола|мужчына|мужчына ходзіць колам|мужчына ходзіць колам: светлы тон скуры|светлы тон скуры|спорт
	🤸🏼‍♂️;мужчына ходзіць колам: сярэднясветлы тон скуры;акрабатыка|гімнастыка|кола|мужчына|мужчына ходзіць колам|мужчына ходзіць колам: сярэднясветлы тон скуры|спорт|сярэднясветлы тон скуры
	🤸🏽‍♂️;мужчына ходзіць колам: сярэдні тон скуры;акрабатыка|гімнастыка|кола|мужчына|мужчына ходзіць колам|мужчына ходзіць колам: сярэдні тон скуры|спорт|сярэдні тон скуры
	🤸🏾‍♂️;мужчына ходзіць колам: сярэдняцёмны тон скуры;акрабатыка|гімнастыка|кола|мужчына|мужчына ходзіць колам|мужчына ходзіць колам: сярэдняцёмны тон скуры|спорт|сярэдняцёмны тон скуры
	🤸🏿‍♂️;мужчына ходзіць колам: цёмны тон скуры;акрабатыка|гімнастыка|кола|мужчына|мужчына ходзіць колам|мужчына ходзіць колам: цёмны тон скуры|спорт|цёмны тон скуры
🤸‍♀️;жанчына ходзіць колам;акрабатыка|гімнастыка|жанчына|жанчына ходзіць колам|кола|спорт
	🤸🏻‍♀️;жанчына ходзіць колам: светлы тон скуры;акрабатыка|гімнастыка|жанчына|жанчына ходзіць колам|жанчына ходзіць колам: светлы тон скуры|кола|светлы тон скуры|спорт
	🤸🏼‍♀️;жанчына ходзіць колам: сярэднясветлы тон скуры;акрабатыка|гімнастыка|жанчына|жанчына ходзіць колам|жанчына ходзіць колам: сярэднясветлы тон скуры|кола|спорт|сярэднясветлы тон скуры
	🤸🏽‍♀️;жанчына ходзіць колам: сярэдні тон скуры;акрабатыка|гімнастыка|жанчына|жанчына ходзіць колам|жанчына ходзіць колам: сярэдні тон скуры|кола|спорт|сярэдні тон скуры
	🤸🏾‍♀️;жанчына ходзіць колам: сярэдняцёмны тон скуры;акрабатыка|гімнастыка|жанчына|жанчына ходзіць колам|жанчына ходзіць колам: сярэдняцёмны тон скуры|кола|спорт|сярэдняцёмны тон скуры
	🤸🏿‍♀️;жанчына ходзіць колам: цёмны тон скуры;акрабатыка|гімнастыка|жанчына|жанчына ходзіць колам|жанчына ходзіць колам: цёмны тон скуры|кола|спорт|цёмны тон скуры
🤼;барцы;барацьба|барцы|спорт|чалавек
🤼‍♂️;барацьба мужчын;барацьба|барацьба мужчын|мужчына|спорт
🤼‍♀️;жанчыны-барцы;барацьба|жанчына|жанчыны-барцы|спорт
🤽;воднае пола;воднае|пола|спорт|чалавек
	🤽🏻;воднае пола: светлы тон скуры;воднае|воднае пола: светлы тон скуры|пола|светлы тон скуры|спорт|чалавек
	🤽🏼;воднае пола: сярэднясветлы тон скуры;воднае|воднае пола: сярэднясветлы тон скуры|пола|спорт|сярэднясветлы тон скуры|чалавек
	🤽🏽;воднае пола: сярэдні тон скуры;воднае|воднае пола: сярэдні тон скуры|пола|спорт|сярэдні тон скуры|чалавек
	🤽🏾;воднае пола: сярэдняцёмны тон скуры;воднае|воднае пола: сярэдняцёмны тон скуры|пола|спорт|сярэдняцёмны тон скуры|чалавек
	🤽🏿;воднае пола: цёмны тон скуры;воднае|воднае пола: цёмны тон скуры|пола|спорт|цёмны тон скуры|чалавек
🤽‍♂️;мужчына гуляе ў воднае пола;воднае|мужчына|мужчына гуляе ў воднае пола|пола|спорт
	🤽🏻‍♂️;мужчына гуляе ў воднае пола: светлы тон скуры;воднае|мужчына|мужчына гуляе ў воднае пола|мужчына гуляе ў воднае пола: светлы тон скуры|пола|светлы тон скуры|спорт
	🤽🏼‍♂️;мужчына гуляе ў воднае пола: сярэднясветлы тон скуры;воднае|мужчына|мужчына гуляе ў воднае пола|мужчына гуляе ў воднае пола: сярэднясветлы тон скуры|пола|спорт|сярэднясветлы тон скуры
	🤽🏽‍♂️;мужчына гуляе ў воднае пола: сярэдні тон скуры;воднае|мужчына|мужчына гуляе ў воднае пола|мужчына гуляе ў воднае пола: сярэдні тон скуры|пола|спорт|сярэдні тон скуры
	🤽🏾‍♂️;мужчына гуляе ў воднае пола: сярэдняцёмны тон скуры;воднае|мужчына|мужчына гуляе ў воднае пола|мужчына гуляе ў воднае пола: сярэдняцёмны тон скуры|пола|спорт|сярэдняцёмны тон скуры
	🤽🏿‍♂️;мужчына гуляе ў воднае пола: цёмны тон скуры;воднае|мужчына|мужчына гуляе ў воднае пола|мужчына гуляе ў воднае пола: цёмны тон скуры|пола|спорт|цёмны тон скуры
🤽‍♀️;жанчына гуляе ў воднае пола;воднае|жанчына|жанчына гуляе ў воднае пола|пола|спорт
	🤽🏻‍♀️;жанчына гуляе ў воднае пола: светлы тон скуры;воднае|жанчына|жанчына гуляе ў воднае пола|жанчына гуляе ў воднае пола: светлы тон скуры|пола|светлы тон скуры|спорт
	🤽🏼‍♀️;жанчына гуляе ў воднае пола: сярэднясветлы тон скуры;воднае|жанчына|жанчына гуляе ў воднае пола|жанчына гуляе ў воднае пола: сярэднясветлы тон скуры|пола|спорт|сярэднясветлы тон скуры
	🤽🏽‍♀️;жанчына гуляе ў воднае пола: сярэдні тон скуры;воднае|жанчына|жанчына гуляе ў воднае пола|жанчына гуляе ў воднае пола: сярэдні тон скуры|пола|спорт|сярэдні тон скуры
	🤽🏾‍♀️;жанчына гуляе ў воднае пола: сярэдняцёмны тон скуры;воднае|жанчына|жанчына гуляе ў воднае пола|жанчына гуляе ў воднае пола: сярэдняцёмны тон скуры|пола|спорт|сярэдняцёмны тон скуры
	🤽🏿‍♀️;жанчына гуляе ў воднае пола: цёмны тон скуры;воднае|жанчына|жанчына гуляе ў воднае пола|жанчына гуляе ў воднае пола: цёмны тон скуры|пола|спорт|цёмны тон скуры
🤾;гандбол;гандбол|мяч|спорт|чалавек
	🤾🏻;гандбол: светлы тон скуры;гандбол|гандбол: светлы тон скуры|мяч|светлы тон скуры|спорт|чалавек
	🤾🏼;гандбол: сярэднясветлы тон скуры;гандбол|гандбол: сярэднясветлы тон скуры|мяч|спорт|сярэднясветлы тон скуры|чалавек
	🤾🏽;гандбол: сярэдні тон скуры;гандбол|гандбол: сярэдні тон скуры|мяч|спорт|сярэдні тон скуры|чалавек
	🤾🏾;гандбол: сярэдняцёмны тон скуры;гандбол|гандбол: сярэдняцёмны тон скуры|мяч|спорт|сярэдняцёмны тон скуры|чалавек
	🤾🏿;гандбол: цёмны тон скуры;гандбол|гандбол: цёмны тон скуры|мяч|спорт|цёмны тон скуры|чалавек
🤾‍♂️;гандбаліст;гандбаліст|гандбол|мужчына|спорт
	🤾🏻‍♂️;гандбаліст: светлы тон скуры;гандбаліст|гандбаліст: светлы тон скуры|гандбол|мужчына|светлы тон скуры|спорт
	🤾🏼‍♂️;гандбаліст: сярэднясветлы тон скуры;гандбаліст|гандбаліст: сярэднясветлы тон скуры|гандбол|мужчына|спорт|сярэднясветлы тон скуры
	🤾🏽‍♂️;гандбаліст: сярэдні тон скуры;гандбаліст|гандбаліст: сярэдні тон скуры|гандбол|мужчына|спорт|сярэдні тон скуры
	🤾🏾‍♂️;гандбаліст: сярэдняцёмны тон скуры;гандбаліст|гандбаліст: сярэдняцёмны тон скуры|гандбол|мужчына|спорт|сярэдняцёмны тон скуры
	🤾🏿‍♂️;гандбаліст: цёмны тон скуры;гандбаліст|гандбаліст: цёмны тон скуры|гандбол|мужчына|спорт|цёмны тон скуры
🤾‍♀️;гандбалістка;гандбалістка|гандбол|жанчына|спорт
	🤾🏻‍♀️;гандбалістка: светлы тон скуры;гандбалістка|гандбалістка: светлы тон скуры|гандбол|жанчына|светлы тон скуры|спорт
	🤾🏼‍♀️;гандбалістка: сярэднясветлы тон скуры;гандбалістка|гандбалістка: сярэднясветлы тон скуры|гандбол|жанчына|спорт|сярэднясветлы тон скуры
	🤾🏽‍♀️;гандбалістка: сярэдні тон скуры;гандбалістка|гандбалістка: сярэдні тон скуры|гандбол|жанчына|спорт|сярэдні тон скуры
	🤾🏾‍♀️;гандбалістка: сярэдняцёмны тон скуры;гандбалістка|гандбалістка: сярэдняцёмны тон скуры|гандбол|жанчына|спорт|сярэдняцёмны тон скуры
	🤾🏿‍♀️;гандбалістка: цёмны тон скуры;гандбалістка|гандбалістка: цёмны тон скуры|гандбол|жанчына|спорт|цёмны тон скуры
🤹;жанглёр;жанглёр|раўнавага|умельства|шматзадачнасць
	🤹🏻;жанглёр: светлы тон скуры;жанглёр|жанглёр: светлы тон скуры|раўнавага|светлы тон скуры|умельства|шматзадачнасць
	🤹🏼;жанглёр: сярэднясветлы тон скуры;жанглёр|жанглёр: сярэднясветлы тон скуры|раўнавага|сярэднясветлы тон скуры|умельства|шматзадачнасць
