[smileys_emotion]
😀;સ્મિત કરતો ચહેરો;ચહેરો|સ્મિત|સ્મિત કરતો ચહેરો
	🏃🏻‍♂️‍➡️;દોડતો પુરુષ જમણી દિશામાં;ખેલ કૂદ|દોડ|દોડતો પુરુષ|દોડતો પુરુષ જમણી દિશામાં|પુરુષ|મેરાથોન
	🏃🏼‍♂️‍➡️;દોડતો પુરુષ જમણી દિશામાં;ખેલ કૂદ|દોડ|દોડતો પુરુષ|દોડતો પુરુષ જમણી દિશામાં|પુરુષ|મેરાથોન
	🏃🏽‍♂️‍➡️;દોડતો પુરુષ જમણી દિશામાં;ખેલ કૂદ|દોડ|દોડતો પુરુષ|દોડતો પુરુષ જમણી દિશામાં|પુરુષ|મેરાથોન
	🏃🏾‍♂️‍➡️;દોડતો પુરુષ જમણી દિશામાં;ખેલ કૂદ|દોડ|દોડતો પુરુષ|દોડતો પુરુષ જમણી દિશામાં|પુરુષ|મેરાથોન
	🏃🏿‍♂️‍➡️;દોડતો પુરુષ જમણી દિશામાં;ખેલ કૂદ|દોડ|દોડતો પુરુષ|દોડતો પુરુષ જમણી દિશામાં|પુરુષ|મેરાથોન
💃;નૃત્યાંગના;નૃત્ય|નૃત્યાંગના|લોકો
	💃🏻;નૃત્યાંગના: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|નૃત્ય|નૃત્યાંગના|નૃત્યાંગના: ચામડીનો આછો રંગ|લોકો
	💃🏼;નૃત્યાંગના: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|નૃત્ય|નૃત્યાંગના|નૃત્યાંગના: ચામડીનો મધ્યમ આછો રંગ|લોકો
	💃🏽;નૃત્યાંગના: મધ્યમ ચામડીનો રંગ;નૃત્ય|નૃત્યાંગના|નૃત્યાંગના: મધ્યમ ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ|લોકો
	💃🏾;નૃત્યાંગના: મધ્યમ ઘેરો ચામડીનો રંગ;નૃત્ય|નૃત્યાંગના|નૃત્યાંગના: મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|લોકો
	💃🏿;નૃત્યાંગના: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|નૃત્ય|નૃત્યાંગના|નૃત્યાંગના: ઘેરો ચામડીનો રંગ|લોકો
🕺;ડાન્સ કરતો માણસ;ડાન્સ|ડાન્સ કરતો માણસ|માણસ
	🕺🏻;ડાન્સ કરતો માણસ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|ડાન્સ|ડાન્સ કરતો માણસ|ડાન્સ કરતો માણસ: ચામડીનો આછો રંગ|માણસ
	🕺🏼;ડાન્સ કરતો માણસ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|ડાન્સ|ડાન્સ કરતો માણસ|ડાન્સ કરતો માણસ: ચામડીનો મધ્યમ આછો રંગ|માણસ
	🕺🏽;ડાન્સ કરતો માણસ: મધ્યમ ચામડીનો રંગ;ડાન્સ|ડાન્સ કરતો માણસ|ડાન્સ કરતો માણસ: મધ્યમ ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ|માણસ
	🕺🏾;ડાન્સ કરતો માણસ: મધ્યમ ઘેરો ચામડીનો રંગ;ડાન્સ|ડાન્સ કરતો માણસ|ડાન્સ કરતો માણસ: મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|માણસ
	🕺🏿;ડાન્સ કરતો માણસ: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|ડાન્સ|ડાન્સ કરતો માણસ|ડાન્સ કરતો માણસ: ઘેરો ચામડીનો રંગ|માણસ
🕴️;સૂટવાળો વ્યક્તિ;પુરુષ|બિઝનેસ|વેપાર|વ્યવસાય|સૂટ|સૂટવાળો વ્યક્તિ
	🕴🏻;સૂટવાળો વ્યક્તિ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|પુરુષ|બિઝનેસ|વેપાર|વ્યવસાય|સૂટ|સૂટવાળો વ્યક્તિ|સૂટવાળો વ્યક્તિ: ચામડીનો આછો રંગ
	🕴🏼;સૂટવાળો વ્યક્તિ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|પુરુષ|બિઝનેસ|વેપાર|વ્યવસાય|સૂટ|સૂટવાળો વ્યક્તિ|સૂટવાળો વ્યક્તિ: ચામડીનો મધ્યમ આછો રંગ
	🕴🏽;સૂટવાળો વ્યક્તિ: મધ્યમ ચામડીનો રંગ;પુરુષ|બિઝનેસ|મધ્યમ ચામડીનો રંગ|વેપાર|વ્યવસાય|સૂટ|સૂટવાળો વ્યક્તિ|સૂટવાળો વ્યક્તિ: મધ્યમ ચામડીનો રંગ
	🕴🏾;સૂટવાળો વ્યક્તિ: મધ્યમ ઘેરો ચામડીનો રંગ;પુરુષ|બિઝનેસ|મધ્યમ ઘેરો ચામડીનો રંગ|વેપાર|વ્યવસાય|સૂટ|સૂટવાળો વ્યક્તિ|સૂટવાળો વ્યક્તિ: મધ્યમ ઘેરો ચામડીનો રંગ
	🕴🏿;સૂટવાળો વ્યક્તિ: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|પુરુષ|બિઝનેસ|વેપાર|વ્યવસાય|સૂટ|સૂટવાળો વ્યક્તિ|સૂટવાળો વ્યક્તિ: ઘેરો ચામડીનો રંગ
👯;પાર્ટી કરતી સ્ત્રીઓ;છોકરી|નૃત્યાંગના|પાર્ટી કરતી સ્ત્રીઓ|લોકો|સસલા જેવા કાન|સસલા જેવી લાગતી છોકરી|સ્ત્રી
👯‍♂️;પાર્ટી કરતા પુરુષો;ડાન્સર|નૃત્યાંગના|પાર્ટી|પાર્ટી કરતા પુરુષો|પુરુષો|સસલા જેવા કાન
👯‍♀️;સ્ત્રીઓ પાર્ટી કરે છે;ડાન્સર|નૃત્યાંગના|પાર્ટી|સસલા જેવા કાન|સ્ત્રીઓ|સ્ત્રીઓ પાર્ટી કરે છે
🧖;બાફવાળા રૂમમાં વ્યક્તિ;બાફવાળા રૂમમાં વ્યક્તિ|સૉના|સ્ટીમ રૂમ
	🧖🏻;બાફવાળા રૂમમાં વ્યક્તિ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|બાફવાળા રૂમમાં વ્યક્તિ|બાફવાળા રૂમમાં વ્યક્તિ: ચામડીનો આછો રંગ|સૉના|સ્ટીમ રૂમ
	🧖🏼;બાફવાળા રૂમમાં વ્યક્તિ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|બાફવાળા રૂમમાં વ્યક્તિ|બાફવાળા રૂમમાં વ્યક્તિ: ચામડીનો મધ્યમ આછો રંગ|સૉના|સ્ટીમ રૂમ
	🧖🏽;બાફવાળા રૂમમાં વ્યક્તિ: મધ્યમ ચામડીનો રંગ;બાફવાળા રૂમમાં વ્યક્તિ|બાફવાળા રૂમમાં વ્યક્તિ: મધ્યમ ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ|સૉના|સ્ટીમ રૂમ
	🧖🏾;બાફવાળા રૂમમાં વ્યક્તિ: મધ્યમ ઘેરો ચામડીનો રંગ;બાફવાળા રૂમમાં વ્યક્તિ|બાફવાળા રૂમમાં વ્યક્તિ: મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|સૉના|સ્ટીમ રૂમ
	🧖🏿;બાફવાળા રૂમમાં વ્યક્તિ: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|બાફવાળા રૂમમાં વ્યક્તિ|બાફવાળા રૂમમાં વ્યક્તિ: ઘેરો ચામડીનો રંગ|સૉના|સ્ટીમ રૂમ
🧖‍♂️;સ્ટીમવાળા રૂમમાં પુરુષ;સૉના|સ્ટીમ રૂમ|સ્ટીમવાળા રૂમમાં પુરુષ
	🧖🏻‍♂️;સ્ટીમવાળા રૂમમાં પુરુષ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|સૉના|સ્ટીમ રૂમ|સ્ટીમવાળા રૂમમાં પુરુષ|સ્ટીમવાળા રૂમમાં પુરુષ: ચામડીનો આછો રંગ
	🧖🏼‍♂️;સ્ટીમવાળા રૂમમાં પુરુષ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|સૉના|સ્ટીમ રૂમ|સ્ટીમવાળા રૂમમાં પુરુષ|સ્ટીમવાળા રૂમમાં પુરુષ: ચામડીનો મધ્યમ આછો રંગ
	🧖🏽‍♂️;સ્ટીમવાળા રૂમમાં પુરુષ: મધ્યમ ચામડીનો રંગ;મધ્યમ ચામડીનો રંગ|સૉના|સ્ટીમ રૂમ|સ્ટીમવાળા રૂમમાં પુરુષ|સ્ટીમવાળા રૂમમાં પુરુષ: મધ્યમ ચામડીનો રંગ
	🧖🏾‍♂️;સ્ટીમવાળા રૂમમાં પુરુષ: મધ્યમ ઘેરો ચામડીનો રંગ;મધ્યમ ઘેરો ચામડીનો રંગ|સૉના|સ્ટીમ રૂમ|સ્ટીમવાળા રૂમમાં પુરુષ|સ્ટીમવાળા રૂમમાં પુરુષ: મધ્યમ ઘેરો ચામડીનો રંગ
	🧖🏿‍♂️;સ્ટીમવાળા રૂમમાં પુરુષ: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|સૉના|સ્ટીમ રૂમ|સ્ટીમવાળા રૂમમાં પુરુષ|સ્ટીમવાળા રૂમમાં પુરુષ: ઘેરો ચામડીનો રંગ
🧖‍♀️;સ્ટીમી રૂમમાં સ્ત્રી;સૉના|સ્ટીમ રૂમ|સ્ટીમી રૂમમાં સ્ત્રી
	🧖🏻‍♀️;સ્ટીમી રૂમમાં સ્ત્રી: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|સૉના|સ્ટીમ રૂમ|સ્ટીમી રૂમમાં સ્ત્રી|સ્ટીમી રૂમમાં સ્ત્રી: ચામડીનો આછો રંગ
	🧖🏼‍♀️;સ્ટીમી રૂમમાં સ્ત્રી: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|સૉના|સ્ટીમ રૂમ|સ્ટીમી રૂમમાં સ્ત્રી|સ્ટીમી રૂમમાં સ્ત્રી: ચામડીનો મધ્યમ આછો રંગ
	🧖🏽‍♀️;સ્ટીમી રૂમમાં સ્ત્રી: મધ્યમ ચામડીનો રંગ;મધ્યમ ચામડીનો રંગ|સૉના|સ્ટીમ રૂમ|સ્ટીમી રૂમમાં સ્ત્રી|સ્ટીમી રૂમમાં સ્ત્રી: મધ્યમ ચામડીનો રંગ
	🧖🏾‍♀️;સ્ટીમી રૂમમાં સ્ત્રી: મધ્યમ ઘેરો ચામડીનો રંગ;મધ્યમ ઘેરો ચામડીનો રંગ|સૉના|સ્ટીમ રૂમ|સ્ટીમી રૂમમાં સ્ત્રી|સ્ટીમી રૂમમાં સ્ત્રી: મધ્યમ ઘેરો ચામડીનો રંગ
	🧖🏿‍♀️;સ્ટીમી રૂમમાં સ્ત્રી: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|સૉના|સ્ટીમ રૂમ|સ્ટીમી રૂમમાં સ્ત્રી|સ્ટીમી રૂમમાં સ્ત્રી: ઘેરો ચામડીનો રંગ
🧗;વ્યક્તિ ચઢાઈ પર;ઉપર ચઢનાર|વ્યક્તિ ચઢાઈ પર
	🧗🏻;વ્યક્તિ ચઢાઈ પર: ચામડીનો આછો રંગ;ઉપર ચઢનાર|ચામડીનો આછો રંગ|વ્યક્તિ ચઢાઈ પર|વ્યક્તિ ચઢાઈ પર: ચામડીનો આછો રંગ
	🧗🏼;વ્યક્તિ ચઢાઈ પર: ચામડીનો મધ્યમ આછો રંગ;ઉપર ચઢનાર|ચામડીનો મધ્યમ આછો રંગ|વ્યક્તિ ચઢાઈ પર|વ્યક્તિ ચઢાઈ પર: ચામડીનો મધ્યમ આછો રંગ
	🧗🏽;વ્યક્તિ ચઢાઈ પર: મધ્યમ ચામડીનો રંગ;ઉપર ચઢનાર|મધ્યમ ચામડીનો રંગ|વ્યક્તિ ચઢાઈ પર|વ્યક્તિ ચઢાઈ પર: મધ્યમ ચામડીનો રંગ
	🧗🏾;વ્યક્તિ ચઢાઈ પર: મધ્યમ ઘેરો ચામડીનો રંગ;ઉપર ચઢનાર|મધ્યમ ઘેરો ચામડીનો રંગ|વ્યક્તિ ચઢાઈ પર|વ્યક્તિ ચઢાઈ પર: મધ્યમ ઘેરો ચામડીનો રંગ
	🧗🏿;વ્યક્તિ ચઢાઈ પર: ઘેરો ચામડીનો રંગ;ઉપર ચઢનાર|ઘેરો ચામડીનો રંગ|વ્યક્તિ ચઢાઈ પર|વ્યક્તિ ચઢાઈ પર: ઘેરો ચામડીનો રંગ
🧗‍♂️;પુરુષ ચઢાઈ પર;ઉપર ચઢનાર|પુરુષ ચઢાઈ પર
	🧗🏻‍♂️;પુરુષ ચઢાઈ પર: ચામડીનો આછો રંગ;ઉપર ચઢનાર|ચામડીનો આછો રંગ|પુરુષ ચઢાઈ પર|પુરુષ ચઢાઈ પર: ચામડીનો આછો રંગ
	🧗🏼‍♂️;પુરુષ ચઢાઈ પર: ચામડીનો મધ્યમ આછો રંગ;ઉપર ચઢનાર|ચામડીનો મધ્યમ આછો રંગ|પુરુષ ચઢાઈ પર|પુરુષ ચઢાઈ પર: ચામડીનો મધ્યમ આછો રંગ
	🧗🏽‍♂️;પુરુષ ચઢાઈ પર: મધ્યમ ચામડીનો રંગ;ઉપર ચઢનાર|પુરુષ ચઢાઈ પર|પુરુષ ચઢાઈ પર: મધ્યમ ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ
	🧗🏾‍♂️;પુરુષ ચઢાઈ પર: મધ્યમ ઘેરો ચામડીનો રંગ;ઉપર ચઢનાર|પુરુષ ચઢાઈ પર|પુરુષ ચઢાઈ પર: મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ
	🧗🏿‍♂️;પુરુષ ચઢાઈ પર: ઘેરો ચામડીનો રંગ;ઉપર ચઢનાર|ઘેરો ચામડીનો રંગ|પુરુષ ચઢાઈ પર|પુરુષ ચઢાઈ પર: ઘેરો ચામડીનો રંગ
🧗‍♀️;સ્ત્રી ચઢાઈ પર;ઉપર ચઢનાર|સ્ત્રી ચઢાઈ પર
	🧗🏻‍♀️;સ્ત્રી ચઢાઈ પર: ચામડીનો આછો રંગ;ઉપર ચઢનાર|ચામડીનો આછો રંગ|સ્ત્રી ચઢાઈ પર|સ્ત્રી ચઢાઈ પર: ચામડીનો આછો રંગ
	🧗🏼‍♀️;સ્ત્રી ચઢાઈ પર: ચામડીનો મધ્યમ આછો રંગ;ઉપર ચઢનાર|ચામડીનો મધ્યમ આછો રંગ|સ્ત્રી ચઢાઈ પર|સ્ત્રી ચઢાઈ પર: ચામડીનો મધ્યમ આછો રંગ
	🧗🏽‍♀️;સ્ત્રી ચઢાઈ પર: મધ્યમ ચામડીનો રંગ;ઉપર ચઢનાર|મધ્યમ ચામડીનો રંગ|સ્ત્રી ચઢાઈ પર|સ્ત્રી ચઢાઈ પર: મધ્યમ ચામડીનો રંગ
	🧗🏾‍♀️;સ્ત્રી ચઢાઈ પર: મધ્યમ ઘેરો ચામડીનો રંગ;ઉપર ચઢનાર|મધ્યમ ઘેરો ચામડીનો રંગ|સ્ત્રી ચઢાઈ પર|સ્ત્રી ચઢાઈ પર: મધ્યમ ઘેરો ચામડીનો રંગ
	🧗🏿‍♀️;સ્ત્રી ચઢાઈ પર: ઘેરો ચામડીનો રંગ;ઉપર ચઢનાર|ઘેરો ચામડીનો રંગ|સ્ત્રી ચઢાઈ પર|સ્ત્રી ચઢાઈ પર: ઘેરો ચામડીનો રંગ
🤺;ફેન્સર;તલવાર|ફેન્સર|ફેન્સિંગ|માણસ|સ્પૉર્ટ
🏇;ઘોડા દોડ;ખેલ કૂદ|ઘોડા દોડ|ઘોડો|જોકી|દોડ|રેસનો ઘોડો
	🏇🏻;ઘોડા દોડ: ચામડીનો આછો રંગ;ખેલ કૂદ|ઘોડા દોડ|ઘોડા દોડ: ચામડીનો આછો રંગ|ઘોડો|ચામડીનો આછો રંગ|જોકી|દોડ|રેસનો ઘોડો
	🏇🏼;ઘોડા દોડ: ચામડીનો મધ્યમ આછો રંગ;ખેલ કૂદ|ઘોડા દોડ|ઘોડા દોડ: ચામડીનો મધ્યમ આછો રંગ|ઘોડો|ચામડીનો મધ્યમ આછો રંગ|જોકી|દોડ|રેસનો ઘોડો
	🏇🏽;ઘોડા દોડ: મધ્યમ ચામડીનો રંગ;ખેલ કૂદ|ઘોડા દોડ|ઘોડા દોડ: મધ્યમ ચામડીનો રંગ|ઘોડો|જોકી|દોડ|મધ્યમ ચામડીનો રંગ|રેસનો ઘોડો
	🏇🏾;ઘોડા દોડ: મધ્યમ ઘેરો ચામડીનો રંગ;ખેલ કૂદ|ઘોડા દોડ|ઘોડા દોડ: મધ્યમ ઘેરો ચામડીનો રંગ|ઘોડો|જોકી|દોડ|મધ્યમ ઘેરો ચામડીનો રંગ|રેસનો ઘોડો
	🏇🏿;ઘોડા દોડ: ઘેરો ચામડીનો રંગ;ખેલ કૂદ|ઘેરો ચામડીનો રંગ|ઘોડા દોડ|ઘોડા દોડ: ઘેરો ચામડીનો રંગ|ઘોડો|જોકી|દોડ|રેસનો ઘોડો
⛷️;સ્કી ખેલાડી;બરફ|સ્કી|સ્કી ખેલાડી
🏂;સ્નોબોર્ડર;ખેલ કૂદ|સ્નોબોર્ડ|સ્નોબોર્ડર|સ્નોબોર્ડિંગ
	🏂🏻;સ્નોબોર્ડર: ચામડીનો આછો રંગ;ખેલ કૂદ|ચામડીનો આછો રંગ|સ્નોબોર્ડ|સ્નોબોર્ડર|સ્નોબોર્ડર: ચામડીનો આછો રંગ|સ્નોબોર્ડિંગ
	🏂🏼;સ્નોબોર્ડર: ચામડીનો મધ્યમ આછો રંગ;ખેલ કૂદ|ચામડીનો મધ્યમ આછો રંગ|સ્નોબોર્ડ|સ્નોબોર્ડર|સ્નોબોર્ડર: ચામડીનો મધ્યમ આછો રંગ|સ્નોબોર્ડિંગ
	🏂🏽;સ્નોબોર્ડર: મધ્યમ ચામડીનો રંગ;ખેલ કૂદ|મધ્યમ ચામડીનો રંગ|સ્નોબોર્ડ|સ્નોબોર્ડર|સ્નોબોર્ડર: મધ્યમ ચામડીનો રંગ|સ્નોબોર્ડિંગ
	🏂🏾;સ્નોબોર્ડર: મધ્યમ ઘેરો ચામડીનો રંગ;ખેલ કૂદ|મધ્યમ ઘેરો ચામડીનો રંગ|સ્નોબોર્ડ|સ્નોબોર્ડર|સ્નોબોર્ડર: મધ્યમ ઘેરો ચામડીનો રંગ|સ્નોબોર્ડિંગ
	🏂🏿;સ્નોબોર્ડર: ઘેરો ચામડીનો રંગ;ખેલ કૂદ|ઘેરો ચામડીનો રંગ|સ્નોબોર્ડ|સ્નોબોર્ડર|સ્નોબોર્ડર: ઘેરો ચામડીનો રંગ|સ્નોબોર્ડિંગ
🏌️;ગોલ્ફ રમનાર ખેલાડી;ગોલ્ફ રમનાર ખેલાડી|ગોલ્ફર|બોલ
	🏌🏻;ગોલ્ફ રમનાર ખેલાડી: ચામડીનો આછો રંગ;ગોલ્ફ રમનાર ખેલાડી|ગોલ્ફ રમનાર ખેલાડી: ચામડીનો આછો રંગ|ગોલ્ફર|ચામડીનો આછો રંગ|બોલ
	🏌🏼;ગોલ્ફ રમનાર ખેલાડી: ચામડીનો મધ્યમ આછો રંગ;ગોલ્ફ રમનાર ખેલાડી|ગોલ્ફ રમનાર ખેલાડી: ચામડીનો મધ્યમ આછો રંગ|ગોલ્ફર|ચામડીનો મધ્યમ આછો રંગ|બોલ
	🏌🏽;ગોલ્ફ રમનાર ખેલાડી: મધ્યમ ચામડીનો રંગ;ગોલ્ફ રમનાર ખેલાડી|ગોલ્ફ રમનાર ખેલાડી: મધ્યમ ચામડીનો રંગ|ગોલ્ફર|બોલ|મધ્યમ ચામડીનો રંગ
	🏌🏾;ગોલ્ફ રમનાર ખેલાડી: મધ્યમ ઘેરો ચામડીનો રંગ;ગોલ્ફ રમનાર ખેલાડી|ગોલ્ફ રમનાર ખેલાડી: મધ્યમ ઘેરો ચામડીનો રંગ|ગોલ્ફર|બોલ|મધ્યમ ઘેરો ચામડીનો રંગ
	🏌🏿;ગોલ્ફ રમનાર ખેલાડી: ઘેરો ચામડીનો રંગ;ગોલ્ફ રમનાર ખેલાડી|ગોલ્ફ રમનાર ખેલાડી: ઘેરો ચામડીનો રંગ|ગોલ્ફર|ઘેરો ચામડીનો રંગ|બોલ
🏌️‍♂️;ગોલ્ફ રમનાર પુરુષ;ગોલ્ફ|ગોલ્ફ રમનાર પુરુષ|પુરુષ
	🏌🏻‍♂️;ગોલ્ફ રમનાર પુરુષ: ચામડીનો આછો રંગ;ગોલ્ફ|ગોલ્ફ રમનાર પુરુષ|ગોલ્ફ રમનાર પુરુષ: ચામડીનો આછો રંગ|ચામડીનો આછો રંગ|પુરુષ
	🏌🏼‍♂️;ગોલ્ફ રમનાર પુરુષ: ચામડીનો મધ્યમ આછો રંગ;ગોલ્ફ|ગોલ્ફ રમનાર પુરુષ|ગોલ્ફ રમનાર પુરુષ: ચામડીનો મધ્યમ આછો રંગ|ચામડીનો મધ્યમ આછો રંગ|પુરુષ
	🏌🏽‍♂️;ગોલ્ફ રમનાર પુરુષ: મધ્યમ ચામડીનો રંગ;ગોલ્ફ|ગોલ્ફ રમનાર પુરુષ|ગોલ્ફ રમનાર પુરુષ: મધ્યમ ચામડીનો રંગ|પુરુષ|મધ્યમ ચામડીનો રંગ
	🏌🏾‍♂️;ગોલ્ફ રમનાર પુરુષ: મધ્યમ ઘેરો ચામડીનો રંગ;ગોલ્ફ|ગોલ્ફ રમનાર પુરુષ|ગોલ્ફ રમનાર પુરુષ: મધ્યમ ઘેરો ચામડીનો રંગ|પુરુષ|મધ્યમ ઘેરો ચામડીનો રંગ
	🏌🏿‍♂️;ગોલ્ફ રમનાર પુરુષ: ઘેરો ચામડીનો રંગ;ગોલ્ફ|ગોલ્ફ રમનાર પુરુષ|ગોલ્ફ રમનાર પુરુષ: ઘેરો ચામડીનો રંગ|ઘેરો ચામડીનો રંગ|પુરુષ
🏌️‍♀️;ગોલ્ફ રમનાર સ્ત્રી;ગોલ્ફ|ગોલ્ફ રમનાર સ્ત્રી|સ્ત્રી
	🏌🏻‍♀️;ગોલ્ફ રમનાર સ્ત્રી: ચામડીનો આછો રંગ;ગોલ્ફ|ગોલ્ફ રમનાર સ્ત્રી|ગોલ્ફ રમનાર સ્ત્રી: ચામડીનો આછો રંગ|ચામડીનો આછો રંગ|સ્ત્રી
	🏌🏼‍♀️;ગોલ્ફ રમનાર સ્ત્રી: ચામડીનો મધ્યમ આછો રંગ;ગોલ્ફ|ગોલ્ફ રમનાર સ્ત્રી|ગોલ્ફ રમનાર સ્ત્રી: ચામડીનો મધ્યમ આછો રંગ|ચામડીનો મધ્યમ આછો રંગ|સ્ત્રી
	🏌🏽‍♀️;ગોલ્ફ રમનાર સ્ત્રી: મધ્યમ ચામડીનો રંગ;ગોલ્ફ|ગોલ્ફ રમનાર સ્ત્રી|ગોલ્ફ રમનાર સ્ત્રી: મધ્યમ ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ|સ્ત્રી
	🏌🏾‍♀️;ગોલ્ફ રમનાર સ્ત્રી: મધ્યમ ઘેરો ચામડીનો રંગ;ગોલ્ફ|ગોલ્ફ રમનાર સ્ત્રી|ગોલ્ફ રમનાર સ્ત્રી: મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|સ્ત્રી
	🏌🏿‍♀️;ગોલ્ફ રમનાર સ્ત્રી: ઘેરો ચામડીનો રંગ;ગોલ્ફ|ગોલ્ફ રમનાર સ્ત્રી|ગોલ્ફ રમનાર સ્ત્રી: ઘેરો ચામડીનો રંગ|ઘેરો ચામડીનો રંગ|સ્ત્રી
🏄;સર્ફિંગ;ખેલ કૂદ|સર્ફર|સર્ફિંગ
	🏄🏻;સર્ફિંગ: ચામડીનો આછો રંગ;ખેલ કૂદ|ચામડીનો આછો રંગ|સર્ફર|સર્ફિંગ|સર્ફિંગ: ચામડીનો આછો રંગ
	🏄🏼;સર્ફિંગ: ચામડીનો મધ્યમ આછો રંગ;ખેલ કૂદ|ચામડીનો મધ્યમ આછો રંગ|સર્ફર|સર્ફિંગ|સર્ફિંગ: ચામડીનો મધ્યમ આછો રંગ
	🏄🏽;સર્ફિંગ: મધ્યમ ચામડીનો રંગ;ખેલ કૂદ|મધ્યમ ચામડીનો રંગ|સર્ફર|સર્ફિંગ|સર્ફિંગ: મધ્યમ ચામડીનો રંગ
	🏄🏾;સર્ફિંગ: મધ્યમ ઘેરો ચામડીનો રંગ;ખેલ કૂદ|મધ્યમ ઘેરો ચામડીનો રંગ|સર્ફર|સર્ફિંગ|સર્ફિંગ: મધ્યમ ઘેરો ચામડીનો રંગ
	🏄🏿;સર્ફિંગ: ઘેરો ચામડીનો રંગ;ખેલ કૂદ|ઘેરો ચામડીનો રંગ|સર્ફર|સર્ફિંગ|સર્ફિંગ: ઘેરો ચામડીનો રંગ
🏄‍♂️;સર્ફિંગ કરતો પુરુષ;પુરુષ|સર્ફિંગ|સર્ફિંગ કરતો પુરુષ
	🏄🏻‍♂️;સર્ફિંગ કરતો પુરુષ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|પુરુષ|સર્ફિંગ|સર્ફિંગ કરતો પુરુષ|સર્ફિંગ કરતો પુરુષ: ચામડીનો આછો રંગ
	🏄🏼‍♂️;સર્ફિંગ કરતો પુરુષ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|પુરુષ|સર્ફિંગ|સર્ફિંગ કરતો પુરુષ|સર્ફિંગ કરતો પુરુષ: ચામડીનો મધ્યમ આછો રંગ
	🏄🏽‍♂️;સર્ફિંગ કરતો પુરુષ: મધ્યમ ચામડીનો રંગ;પુરુષ|મધ્યમ ચામડીનો રંગ|સર્ફિંગ|સર્ફિંગ કરતો પુરુષ|સર્ફિંગ કરતો પુરુષ: મધ્યમ ચામડીનો રંગ
	🏄🏾‍♂️;સર્ફિંગ કરતો પુરુષ: મધ્યમ ઘેરો ચામડીનો રંગ;પુરુષ|મધ્યમ ઘેરો ચામડીનો રંગ|સર્ફિંગ|સર્ફિંગ કરતો પુરુષ|સર્ફિંગ કરતો પુરુષ: મધ્યમ ઘેરો ચામડીનો રંગ
	🏄🏿‍♂️;સર્ફિંગ કરતો પુરુષ: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|પુરુષ|સર્ફિંગ|સર્ફિંગ કરતો પુરુષ|સર્ફિંગ કરતો પુરુષ: ઘેરો ચામડીનો રંગ
🏄‍♀️;સર્ફિંગ કરતી સ્ત્રી;સર્ફિંગ|સર્ફિંગ કરતી સ્ત્રી|સ્ત્રી
	🏄🏻‍♀️;સર્ફિંગ કરતી સ્ત્રી: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|સર્ફિંગ|સર્ફિંગ કરતી સ્ત્રી|સર્ફિંગ કરતી સ્ત્રી: ચામડીનો આછો રંગ|સ્ત્રી
	🏄🏼‍♀️;સર્ફિંગ કરતી સ્ત્રી: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|સર્ફિંગ|સર્ફિંગ કરતી સ્ત્રી|સર્ફિંગ કરતી સ્ત્રી: ચામડીનો મધ્યમ આછો રંગ|સ્ત્રી
