[smileys_emotion]
😀;tirjaygan yuz;tirjaygan yuz|tirjayish|yuz
	🧜🏼‍♂️;triton: 3-teri turi;3-teri turi|erkak|triton|triton: 3-teri turi|yarim baliq|yarim erkak
	🧜🏽‍♂️;triton: 4-teri turi;4-teri turi|erkak|triton|triton: 4-teri turi|yarim baliq|yarim erkak
	🧜🏾‍♂️;triton: 5-teri turi;5-teri turi|erkak|triton|triton: 5-teri turi|yarim baliq|yarim erkak
	🧜🏿‍♂️;triton: 6-teri turi;6-teri turi|erkak|triton|triton: 6-teri turi|yarim baliq|yarim erkak
🧜‍♀️;ayol suv parisi;ayol|ayol suv parisi|suv parisi|yarim ayol|yarim baliq
	🧜🏻‍♀️;ayol suv parisi: 1–2-teri turi;1–2-teri turi|ayol|ayol suv parisi|ayol suv parisi: 1–2-teri turi|suv parisi|yarim ayol|yarim baliq
	🧜🏼‍♀️;ayol suv parisi: 3-teri turi;3-teri turi|ayol|ayol suv parisi|ayol suv parisi: 3-teri turi|suv parisi|yarim ayol|yarim baliq
	🧜🏽‍♀️;ayol suv parisi: 4-teri turi;4-teri turi|ayol|ayol suv parisi|ayol suv parisi: 4-teri turi|suv parisi|yarim ayol|yarim baliq
	🧜🏾‍♀️;ayol suv parisi: 5-teri turi;5-teri turi|ayol|ayol suv parisi|ayol suv parisi: 5-teri turi|suv parisi|yarim ayol|yarim baliq
	🧜🏿‍♀️;ayol suv parisi: 6-teri turi;6-teri turi|ayol|ayol suv parisi|ayol suv parisi: 6-teri turi|suv parisi|yarim ayol|yarim baliq
🧝;elf;elf|ertak|quloq|sehrli
	🧝🏻;elf: 1–2-teri turi;1–2-teri turi|elf|elf: 1–2-teri turi|ertak|quloq|sehrli
	🧝🏼;elf: 3-teri turi;3-teri turi|elf|elf: 3-teri turi|ertak|quloq|sehrli
	🧝🏽;elf: 4-teri turi;4-teri turi|elf|elf: 4-teri turi|ertak|quloq|sehrli
	🧝🏾;elf: 5-teri turi;5-teri turi|elf|elf: 5-teri turi|ertak|quloq|sehrli
	🧝🏿;elf: 6-teri turi;6-teri turi|elf|elf: 6-teri turi|ertak|quloq|sehrli
🧝‍♂️;erkak elf;erkak|erkak elf|ertak|quloq|sehrli
	🧝🏻‍♂️;erkak elf: 1–2-teri turi;1–2-teri turi|erkak|erkak elf|erkak elf: 1–2-teri turi|ertak|quloq|sehrli
	🧝🏼‍♂️;erkak elf: 3-teri turi;3-teri turi|erkak|erkak elf|erkak elf: 3-teri turi|ertak|quloq|sehrli
	🧝🏽‍♂️;erkak elf: 4-teri turi;4-teri turi|erkak|erkak elf|erkak elf: 4-teri turi|ertak|quloq|sehrli
	🧝🏾‍♂️;erkak elf: 5-teri turi;5-teri turi|erkak|erkak elf|erkak elf: 5-teri turi|ertak|quloq|sehrli
	🧝🏿‍♂️;erkak elf: 6-teri turi;6-teri turi|erkak|erkak elf|erkak elf: 6-teri turi|ertak|quloq|sehrli
🧝‍♀️;ayol elf;ayol|ayol elf|ertak|quloq|sehrli
	🧝🏻‍♀️;ayol elf: 1–2-teri turi;1–2-teri turi|ayol|ayol elf|ayol elf: 1–2-teri turi|ertak|quloq|sehrli
	🧝🏼‍♀️;ayol elf: 3-teri turi;3-teri turi|ayol|ayol elf|ayol elf: 3-teri turi|ertak|quloq|sehrli
	🧝🏽‍♀️;ayol elf: 4-teri turi;4-teri turi|ayol|ayol elf|ayol elf: 4-teri turi|ertak|quloq|sehrli
	🧝🏾‍♀️;ayol elf: 5-teri turi;5-teri turi|ayol|ayol elf|ayol elf: 5-teri turi|ertak|quloq|sehrli
	🧝🏿‍♀️;ayol elf: 6-teri turi;6-teri turi|ayol|ayol elf|ayol elf: 6-teri turi|ertak|quloq|sehrli
🧞;jin;afsun|chiroq|ertak|jin
🧞‍♂️;erkak jin;afsun|chiroq|erkak|erkak jin|ertak
🧞‍♀️;ayol jin;afsun|ayol|ayol jin|chiroq|ertak
🧟;zombi;murda|tirik|zombi
🧟‍♂️;erkak zombi;erkak|erkak zombi|murda|tirik
🧟‍♀️;ayol zombi;ayol|ayol zombi|murda|tirik
🧌;troll;ertak|fantaziya|monster|troll
💆;yuzni uqalash;massaj|salon|yuzni uqalash
	💆🏻;yuzni uqalash: 1–2-teri turi;1–2-teri turi|massaj|salon|yuzni uqalash|yuzni uqalash: 1–2-teri turi
	💆🏼;yuzni uqalash: 3-teri turi;3-teri turi|massaj|salon|yuzni uqalash|yuzni uqalash: 3-teri turi
	💆🏽;yuzni uqalash: 4-teri turi;4-teri turi|massaj|salon|yuzni uqalash|yuzni uqalash: 4-teri turi
	💆🏾;yuzni uqalash: 5-teri turi;5-teri turi|massaj|salon|yuzni uqalash|yuzni uqalash: 5-teri turi
	💆🏿;yuzni uqalash: 6-teri turi;6-teri turi|massaj|salon|yuzni uqalash|yuzni uqalash: 6-teri turi
💆‍♂️;erkak yuziga massaj olmoqda;erkak|erkak yuziga massaj olmoqda|massaj|yuz
	💆🏻‍♂️;erkak yuziga massaj olmoqda: 1–2-teri turi;1–2-teri turi|erkak|erkak yuziga massaj olmoqda|erkak yuziga massaj olmoqda: 1–2-teri turi|massaj|yuz
	💆🏼‍♂️;erkak yuziga massaj olmoqda: 3-teri turi;3-teri turi|erkak|erkak yuziga massaj olmoqda|erkak yuziga massaj olmoqda: 3-teri turi|massaj|yuz
	💆🏽‍♂️;erkak yuziga massaj olmoqda: 4-teri turi;4-teri turi|erkak|erkak yuziga massaj olmoqda|erkak yuziga massaj olmoqda: 4-teri turi|massaj|yuz
	💆🏾‍♂️;erkak yuziga massaj olmoqda: 5-teri turi;5-teri turi|erkak|erkak yuziga massaj olmoqda|erkak yuziga massaj olmoqda: 5-teri turi|massaj|yuz
	💆🏿‍♂️;erkak yuziga massaj olmoqda: 6-teri turi;6-teri turi|erkak|erkak yuziga massaj olmoqda|erkak yuziga massaj olmoqda: 6-teri turi|massaj|yuz
💆‍♀️;ayol yuziga massaj olmoqda;ayol|ayol yuziga massaj olmoqda|massaj|yuz
	💆🏻‍♀️;ayol yuziga massaj olmoqda: 1–2-teri turi;1–2-teri turi|ayol|ayol yuziga massaj olmoqda|ayol yuziga massaj olmoqda: 1–2-teri turi|massaj|yuz
	💆🏼‍♀️;ayol yuziga massaj olmoqda: 3-teri turi;3-teri turi|ayol|ayol yuziga massaj olmoqda|ayol yuziga massaj olmoqda: 3-teri turi|massaj|yuz
	💆🏽‍♀️;ayol yuziga massaj olmoqda: 4-teri turi;4-teri turi|ayol|ayol yuziga massaj olmoqda|ayol yuziga massaj olmoqda: 4-teri turi|massaj|yuz
	💆🏾‍♀️;ayol yuziga massaj olmoqda: 5-teri turi;5-teri turi|ayol|ayol yuziga massaj olmoqda|ayol yuziga massaj olmoqda: 5-teri turi|massaj|yuz
	💆🏿‍♀️;ayol yuziga massaj olmoqda: 6-teri turi;6-teri turi|ayol|ayol yuziga massaj olmoqda|ayol yuziga massaj olmoqda: 6-teri turi|massaj|yuz
💇;soch qisqartirish;go‘zallik|salon|sartarosh|soch qisqartirish
	💇🏻;soch qisqartirish: 1–2-teri turi;1–2-teri turi|go‘zallik|salon|sartarosh|soch qisqartirish|soch qisqartirish: 1–2-teri turi
	💇🏼;soch qisqartirish: 3-teri turi;3-teri turi|go‘zallik|salon|sartarosh|soch qisqartirish|soch qisqartirish: 3-teri turi
	💇🏽;soch qisqartirish: 4-teri turi;4-teri turi|go‘zallik|salon|sartarosh|soch qisqartirish|soch qisqartirish: 4-teri turi
	💇🏾;soch qisqartirish: 5-teri turi;5-teri turi|go‘zallik|salon|sartarosh|soch qisqartirish|soch qisqartirish: 5-teri turi
	💇🏿;soch qisqartirish: 6-teri turi;6-teri turi|go‘zallik|salon|sartarosh|soch qisqartirish|soch qisqartirish: 6-teri turi
💇‍♂️;erkak soch kaltalatmoqda;erkak|erkak soch kaltalatmoqda|soch oldirish
	💇🏻‍♂️;erkak soch kaltalatmoqda: 1–2-teri turi;1–2-teri turi|erkak|erkak soch kaltalatmoqda|erkak soch kaltalatmoqda: 1–2-teri turi|soch oldirish
	💇🏼‍♂️;erkak soch kaltalatmoqda: 3-teri turi;3-teri turi|erkak|erkak soch kaltalatmoqda|erkak soch kaltalatmoqda: 3-teri turi|soch oldirish
	💇🏽‍♂️;erkak soch kaltalatmoqda: 4-teri turi;4-teri turi|erkak|erkak soch kaltalatmoqda|erkak soch kaltalatmoqda: 4-teri turi|soch oldirish
	💇🏾‍♂️;erkak soch kaltalatmoqda: 5-teri turi;5-teri turi|erkak|erkak soch kaltalatmoqda|erkak soch kaltalatmoqda: 5-teri turi|soch oldirish
	💇🏿‍♂️;erkak soch kaltalatmoqda: 6-teri turi;6-teri turi|erkak|erkak soch kaltalatmoqda|erkak soch kaltalatmoqda: 6-teri turi|soch oldirish
💇‍♀️;ayol soch kaltalatmoqda;ayol|ayol soch kaltalatmoqda|soch kestirish|soch turmagi
	💇🏻‍♀️;ayol soch kaltalatmoqda: 1–2-teri turi;1–2-teri turi|ayol|ayol soch kaltalatmoqda|ayol soch kaltalatmoqda: 1–2-teri turi|soch kestirish|soch turmagi
	💇🏼‍♀️;ayol soch kaltalatmoqda: 3-teri turi;3-teri turi|ayol|ayol soch kaltalatmoqda|ayol soch kaltalatmoqda: 3-teri turi|soch kestirish|soch turmagi
	💇🏽‍♀️;ayol soch kaltalatmoqda: 4-teri turi;4-teri turi|ayol|ayol soch kaltalatmoqda|ayol soch kaltalatmoqda: 4-teri turi|soch kestirish|soch turmagi
	💇🏾‍♀️;ayol soch kaltalatmoqda: 5-teri turi;5-teri turi|ayol|ayol soch kaltalatmoqda|ayol soch kaltalatmoqda: 5-teri turi|soch kestirish|soch turmagi
	💇🏿‍♀️;ayol soch kaltalatmoqda: 6-teri turi;6-teri turi|ayol|ayol soch kaltalatmoqda|ayol soch kaltalatmoqda: 6-teri turi|soch kestirish|soch turmagi
🚶;piyoda odam;piyoda|piyoda odam|piyoda yurish|sayr
	🚶🏻;piyoda odam: 1–2-teri turi;1–2-teri turi|piyoda|piyoda odam|piyoda odam: 1–2-teri turi|piyoda yurish|sayr
	🚶🏼;piyoda odam: 3-teri turi;3-teri turi|piyoda|piyoda odam|piyoda odam: 3-teri turi|piyoda yurish|sayr
	🚶🏽;piyoda odam: 4-teri turi;4-teri turi|piyoda|piyoda odam|piyoda odam: 4-teri turi|piyoda yurish|sayr
	🚶🏾;piyoda odam: 5-teri turi;5-teri turi|piyoda|piyoda odam|piyoda odam: 5-teri turi|piyoda yurish|sayr
	🚶🏿;piyoda odam: 6-teri turi;6-teri turi|piyoda|piyoda odam|piyoda odam: 6-teri turi|piyoda yurish|sayr
🚶‍♂️;yurayotgan erkak;erkak|piyoda yurish|sayr|yurayotgan erkak
	🚶🏻‍♂️;yurayotgan erkak: 1–2-teri turi;1–2-teri turi|erkak|piyoda yurish|sayr|yurayotgan erkak|yurayotgan erkak: 1–2-teri turi
	🚶🏼‍♂️;yurayotgan erkak: 3-teri turi;3-teri turi|erkak|piyoda yurish|sayr|yurayotgan erkak|yurayotgan erkak: 3-teri turi
	🚶🏽‍♂️;yurayotgan erkak: 4-teri turi;4-teri turi|erkak|piyoda yurish|sayr|yurayotgan erkak|yurayotgan erkak: 4-teri turi
	🚶🏾‍♂️;yurayotgan erkak: 5-teri turi;5-teri turi|erkak|piyoda yurish|sayr|yurayotgan erkak|yurayotgan erkak: 5-teri turi
	🚶🏿‍♂️;yurayotgan erkak: 6-teri turi;6-teri turi|erkak|piyoda yurish|sayr|yurayotgan erkak|yurayotgan erkak: 6-teri turi
🚶‍♀️;yurayotgan ayol;ayol|piyoda yurish|sayr|yurayotgan ayol
	🚶🏻‍♀️;yurayotgan ayol: 1–2-teri turi;1–2-teri turi|ayol|piyoda yurish|sayr|yurayotgan ayol|yurayotgan ayol: 1–2-teri turi
	🚶🏼‍♀️;yurayotgan ayol: 3-teri turi;3-teri turi|ayol|piyoda yurish|sayr|yurayotgan ayol|yurayotgan ayol: 3-teri turi
	🚶🏽‍♀️;yurayotgan ayol: 4-teri turi;4-teri turi|ayol|piyoda yurish|sayr|yurayotgan ayol|yurayotgan ayol: 4-teri turi
	🚶🏾‍♀️;yurayotgan ayol: 5-teri turi;5-teri turi|ayol|piyoda yurish|sayr|yurayotgan ayol|yurayotgan ayol: 5-teri turi
	🚶🏿‍♀️;yurayotgan ayol: 6-teri turi;6-teri turi|ayol|piyoda yurish|sayr|yurayotgan ayol|yurayotgan ayol: 6-teri turi
🚶‍➡️;o‘ngga qaragan piyoda odam;o‘ngga qaragan piyoda odam|piyoda|piyoda odam|piyoda yurish|sayr
	🚶🏻‍➡️;o‘ngga qaragan piyoda odam;o‘ngga qaragan piyoda odam|piyoda|piyoda odam|piyoda yurish|sayr
	🚶🏼‍➡️;o‘ngga qaragan piyoda odam;o‘ngga qaragan piyoda odam|piyoda|piyoda odam|piyoda yurish|sayr
	🚶🏽‍➡️;o‘ngga qaragan piyoda odam;o‘ngga qaragan piyoda odam|piyoda|piyoda odam|piyoda yurish|sayr
	🚶🏾‍➡️;o‘ngga qaragan piyoda odam;o‘ngga qaragan piyoda odam|piyoda|piyoda odam|piyoda yurish|sayr
	🚶🏿‍➡️;o‘ngga qaragan piyoda odam;o‘ngga qaragan piyoda odam|piyoda|piyoda odam|piyoda yurish|sayr
🚶‍♀️‍➡️;o‘ngga qaragan yurayotgan ayol;ayol|o‘ngga qaragan yurayotgan ayol|piyoda yurish|sayr|yurayotgan ayol
	🚶🏻‍♀️‍➡️;o‘ngga qaragan yurayotgan ayol;ayol|o‘ngga qaragan yurayotgan ayol|piyoda yurish|sayr|yurayotgan ayol
	🚶🏼‍♀️‍➡️;o‘ngga qaragan yurayotgan ayol;ayol|o‘ngga qaragan yurayotgan ayol|piyoda yurish|sayr|yurayotgan ayol
	🚶🏽‍♀️‍➡️;o‘ngga qaragan yurayotgan ayol;ayol|o‘ngga qaragan yurayotgan ayol|piyoda yurish|sayr|yurayotgan ayol
	🚶🏾‍♀️‍➡️;o‘ngga qaragan yurayotgan ayol;ayol|o‘ngga qaragan yurayotgan ayol|piyoda yurish|sayr|yurayotgan ayol
	🚶🏿‍♀️‍➡️;o‘ngga qaragan yurayotgan ayol;ayol|o‘ngga qaragan yurayotgan ayol|piyoda yurish|sayr|yurayotgan ayol
🚶‍♂️‍➡️;o‘ngga qaragan yurayotgan erkak;erkak|o‘ngga qaragan yurayotgan erkak|piyoda yurish|sayr|yurayotgan erkak
	🚶🏻‍♂️‍➡️;o‘ngga qaragan yurayotgan erkak;erkak|o‘ngga qaragan yurayotgan erkak|piyoda yurish|sayr|yurayotgan erkak
	🚶🏼‍♂️‍➡️;o‘ngga qaragan yurayotgan erkak;erkak|o‘ngga qaragan yurayotgan erkak|piyoda yurish|sayr|yurayotgan erkak
	🚶🏽‍♂️‍➡️;o‘ngga qaragan yurayotgan erkak;erkak|o‘ngga qaragan yurayotgan erkak|piyoda yurish|sayr|yurayotgan erkak
	🚶🏾‍♂️‍➡️;o‘ngga qaragan yurayotgan erkak;erkak|o‘ngga qaragan yurayotgan erkak|piyoda yurish|sayr|yurayotgan erkak
	🚶🏿‍♂️‍➡️;o‘ngga qaragan yurayotgan erkak;erkak|o‘ngga qaragan yurayotgan erkak|piyoda yurish|sayr|yurayotgan erkak
🧍;tik turgan odam;tik turgan odam|tik turish|turish
	🧍🏻;tik turgan odam: 1–2-teri turi;1–2-teri turi|tik turgan odam|tik turgan odam: 1–2-teri turi|tik turish|turish
	🧍🏼;tik turgan odam: 3-teri turi;3-teri turi|tik turgan odam|tik turgan odam: 3-teri turi|tik turish|turish
	🧍🏽;tik turgan odam: 4-teri turi;4-teri turi|tik turgan odam|tik turgan odam: 4-teri turi|tik turish|turish
	🧍🏾;tik turgan odam: 5-teri turi;5-teri turi|tik turgan odam|tik turgan odam: 5-teri turi|tik turish|turish
	🧍🏿;tik turgan odam: 6-teri turi;6-teri turi|tik turgan odam|tik turgan odam: 6-teri turi|tik turish|turish
🧍‍♂️;tik turgan erkak;erkak|tik turgan erkak|tik turish
	🧍🏻‍♂️;tik turgan erkak: 1–2-teri turi;1–2-teri turi|erkak|tik turgan erkak|tik turgan erkak: 1–2-teri turi|tik turish
	🧍🏼‍♂️;tik turgan erkak: 3-teri turi;3-teri turi|erkak|tik turgan erkak|tik turgan erkak: 3-teri turi|tik turish
	🧍🏽‍♂️;tik turgan erkak: 4-teri turi;4-teri turi|erkak|tik turgan erkak|tik turgan erkak: 4-teri turi|tik turish
	🧍🏾‍♂️;tik turgan erkak: 5-teri turi;5-teri turi|erkak|tik turgan erkak|tik turgan erkak: 5-teri turi|tik turish
	🧍🏿‍♂️;tik turgan erkak: 6-teri turi;6-teri turi|erkak|tik turgan erkak|tik turgan erkak: 6-teri turi|tik turish
🧍‍♀️;tik turgan ayol;ayol|tik turgan ayol|tik turish
	🧍🏻‍♀️;tik turgan ayol: 1–2-teri turi;1–2-teri turi|ayol|tik turgan ayol|tik turgan ayol: 1–2-teri turi|tik turish
	🧍🏼‍♀️;tik turgan ayol: 3-teri turi;3-teri turi|ayol|tik turgan ayol|tik turgan ayol: 3-teri turi|tik turish
	🧍🏽‍♀️;tik turgan ayol: 4-teri turi;4-teri turi|ayol|tik turgan ayol|tik turgan ayol: 4-teri turi|tik turish
	🧍🏾‍♀️;tik turgan ayol: 5-teri turi;5-teri turi|ayol|tik turgan ayol|tik turgan ayol: 5-teri turi|tik turish
	🧍🏿‍♀️;tik turgan ayol: 6-teri turi;6-teri turi|ayol|tik turgan ayol|tik turgan ayol: 6-teri turi|tik turish
🧎;tiz choʻkkan odam;tiz choʻkish|tiz choʻkkan odam|tizza
	🧎🏻;tiz choʻkkan odam: 1–2-teri turi;1–2-teri turi|tiz choʻkish|tiz choʻkkan odam|tiz choʻkkan odam: 1–2-teri turi|tizza
	🧎🏼;tiz choʻkkan odam: 3-teri turi;3-teri turi|tiz choʻkish|tiz choʻkkan odam|tiz choʻkkan odam: 3-teri turi|tizza
	🧎🏽;tiz choʻkkan odam: 4-teri turi;4-teri turi|tiz choʻkish|tiz choʻkkan odam|tiz choʻkkan odam: 4-teri turi|tizza
	🧎🏾;tiz choʻkkan odam: 5-teri turi;5-teri turi|tiz choʻkish|tiz choʻkkan odam|tiz choʻkkan odam: 5-teri turi|tizza
	🧎🏿;tiz choʻkkan odam: 6-teri turi;6-teri turi|tiz choʻkish|tiz choʻkkan odam|tiz choʻkkan odam: 6-teri turi|tizza
🧎‍♂️;tiz choʻkkan erkak;erkak|tiz choʻkish|tiz choʻkkan erkak
	🧎🏻‍♂️;tiz choʻkkan erkak: 1–2-teri turi;1–2-teri turi|erkak|tiz choʻkish|tiz choʻkkan erkak|tiz choʻkkan erkak: 1–2-teri turi
	🧎🏼‍♂️;tiz choʻkkan erkak: 3-teri turi;3-teri turi|erkak|tiz choʻkish|tiz choʻkkan erkak|tiz choʻkkan erkak: 3-teri turi
	🧎🏽‍♂️;tiz choʻkkan erkak: 4-teri turi;4-teri turi|erkak|tiz choʻkish|tiz choʻkkan erkak|tiz choʻkkan erkak: 4-teri turi
	🧎🏾‍♂️;tiz choʻkkan erkak: 5-teri turi;5-teri turi|erkak|tiz choʻkish|tiz choʻkkan erkak|tiz choʻkkan erkak: 5-teri turi
	🧎🏿‍♂️;tiz choʻkkan erkak: 6-teri turi;6-teri turi|erkak|tiz choʻkish|tiz choʻkkan erkak|tiz choʻkkan erkak: 6-teri turi
🧎‍♀️;tiz choʻkkan ayol;ayol|tiz choʻkish|tiz choʻkkan ayol
	🧎🏻‍♀️;tiz choʻkkan ayol: 1–2-teri turi;1–2-teri turi|ayol|tiz choʻkish|tiz choʻkkan ayol|tiz choʻkkan ayol: 1–2-teri turi
	🧎🏼‍♀️;tiz choʻkkan ayol: 3-teri turi;3-teri turi|ayol|tiz choʻkish|tiz choʻkkan ayol|tiz choʻkkan ayol: 3-teri turi
	🧎🏽‍♀️;tiz choʻkkan ayol: 4-teri turi;4-teri turi|ayol|tiz choʻkish|tiz choʻkkan ayol|tiz choʻkkan ayol: 4-teri turi
	🧎🏾‍♀️;tiz choʻkkan ayol: 5-teri turi;5-teri turi|ayol|tiz choʻkish|tiz choʻkkan ayol|tiz choʻkkan ayol: 5-teri turi
	🧎🏿‍♀️;tiz choʻkkan ayol: 6-teri turi;6-teri turi|ayol|tiz choʻkish|tiz choʻkkan ayol|tiz choʻkkan ayol: 6-teri turi
🧎‍➡️;o‘ngga qaragan tiz choʻkkan odam;o‘ngga qaragan tiz choʻkkan odam|tiz choʻkish|tiz choʻkkan odam|tizza
	🧎🏻‍➡️;o‘ngga qaragan tiz choʻkkan odam;o‘ngga qaragan tiz choʻkkan odam|tiz choʻkish|tiz choʻkkan odam|tizza
	🧎🏼‍➡️;o‘ngga qaragan tiz choʻkkan odam;o‘ngga qaragan tiz choʻkkan odam|tiz choʻkish|tiz choʻkkan odam|tizza
	🧎🏽‍➡️;o‘ngga qaragan tiz choʻkkan odam;o‘ngga qaragan tiz choʻkkan odam|tiz choʻkish|tiz choʻkkan odam|tizza
	🧎🏾‍➡️;o‘ngga qaragan tiz choʻkkan odam;o‘ngga qaragan tiz choʻkkan odam|tiz choʻkish|tiz choʻkkan odam|tizza
	🧎🏿‍➡️;o‘ngga qaragan tiz choʻkkan odam;o‘ngga qaragan tiz choʻkkan odam|tiz choʻkish|tiz choʻkkan odam|tizza
🧎‍♀️‍➡️;o‘ngga qaragan tiz choʻkkan ayol;ayol|o‘ngga qaragan tiz choʻkkan ayol|tiz choʻkish|tiz choʻkkan ayol
	🧎🏻‍♀️‍➡️;o‘ngga qaragan tiz choʻkkan ayol;ayol|o‘ngga qaragan tiz choʻkkan ayol|tiz choʻkish|tiz choʻkkan ayol
	🧎🏼‍♀️‍➡️;o‘ngga qaragan tiz choʻkkan ayol;ayol|o‘ngga qaragan tiz choʻkkan ayol|tiz choʻkish|tiz choʻkkan ayol
	🧎🏽‍♀️‍➡️;o‘ngga qaragan tiz choʻkkan ayol;ayol|o‘ngga qaragan tiz choʻkkan ayol|tiz choʻkish|tiz choʻkkan ayol
	🧎🏾‍♀️‍➡️;o‘ngga qaragan tiz choʻkkan ayol;ayol|o‘ngga qaragan tiz choʻkkan ayol|tiz choʻkish|tiz choʻkkan ayol
	🧎🏿‍♀️‍➡️;o‘ngga qaragan tiz choʻkkan ayol;ayol|o‘ngga qaragan tiz choʻkkan ayol|tiz choʻkish|tiz choʻkkan ayol
🧎‍♂️‍➡️;o‘ngga qaragan tiz choʻkkan erkak;erkak|o‘ngga qaragan tiz choʻkkan erkak|tiz choʻkish|tiz choʻkkan erkak
	🧎🏻‍♂️‍➡️;o‘ngga qaragan tiz choʻkkan erkak;erkak|o‘ngga qaragan tiz choʻkkan erkak|tiz choʻkish|tiz choʻkkan erkak
	🧎🏼‍♂️‍➡️;o‘ngga qaragan tiz choʻkkan erkak;erkak|o‘ngga qaragan tiz choʻkkan erkak|tiz choʻkish|tiz choʻkkan erkak
	🧎🏽‍♂️‍➡️;o‘ngga qaragan tiz choʻkkan erkak;erkak|o‘ngga qaragan tiz choʻkkan erkak|tiz choʻkish|tiz choʻkkan erkak
	🧎🏾‍♂️‍➡️;o‘ngga qaragan tiz choʻkkan erkak;erkak|o‘ngga qaragan tiz choʻkkan erkak|tiz choʻkish|tiz choʻkkan erkak
	🧎🏿‍♂️‍➡️;o‘ngga qaragan tiz choʻkkan erkak;erkak|o‘ngga qaragan tiz choʻkkan erkak|tiz choʻkish|tiz choʻkkan erkak
🧑‍🦯;hassali odam;hassali odam|koʻr|maxsus imkoniyatlar
	🧑🏻‍🦯;hassali odam: 1–2-teri turi;1–2-teri turi|hassali odam|hassali odam: 1–2-teri turi|koʻr|maxsus imkoniyatlar
	🧑🏼‍🦯;hassali odam: 3-teri turi;3-teri turi|hassali odam|hassali odam: 3-teri turi|koʻr|maxsus imkoniyatlar
	🧑🏽‍🦯;hassali odam: 4-teri turi;4-teri turi|hassali odam|hassali odam: 4-teri turi|koʻr|maxsus imkoniyatlar
	🧑🏾‍🦯;hassali odam: 5-teri turi;5-teri turi|hassali odam|hassali odam: 5-teri turi|koʻr|maxsus imkoniyatlar
	🧑🏿‍🦯;hassali odam: 6-teri turi;6-teri turi|hassali odam|hassali odam: 6-teri turi|koʻr|maxsus imkoniyatlar
🧑‍🦯‍➡️;o‘ngga qaragan hassali odam;hassali odam|koʻr|maxsus imkoniyatlar|o‘ngga qaragan hassali odam
	🧑🏻‍🦯‍➡️;o‘ngga qaragan hassali odam;hassali odam|koʻr|maxsus imkoniyatlar|o‘ngga qaragan hassali odam
	🧑🏼‍🦯‍➡️;o‘ngga qaragan hassali odam;hassali odam|koʻr|maxsus imkoniyatlar|o‘ngga qaragan hassali odam
	🧑🏽‍🦯‍➡️;o‘ngga qaragan hassali odam;hassali odam|koʻr|maxsus imkoniyatlar|o‘ngga qaragan hassali odam
	🧑🏾‍🦯‍➡️;o‘ngga qaragan hassali odam;hassali odam|koʻr|maxsus imkoniyatlar|o‘ngga qaragan hassali odam
	🧑🏿‍🦯‍➡️;o‘ngga qaragan hassali odam;hassali odam|koʻr|maxsus imkoniyatlar|o‘ngga qaragan hassali odam
👨‍🦯;hassali kishi;hassali kishi|hassali odam|koʻr|nogironlik|odam
	👨🏻‍🦯;hassali kishi: 1–2-teri turi;1–2-teri turi|hassali kishi|hassali kishi: 1–2-teri turi|hassali odam|koʻr|nogironlik|odam
	👨🏼‍🦯;hassali kishi: 3-teri turi;3-teri turi|hassali kishi|hassali kishi: 3-teri turi|hassali odam|koʻr|nogironlik|odam
	👨🏽‍🦯;hassali kishi: 4-teri turi;4-teri turi|hassali kishi|hassali kishi: 4-teri turi|hassali odam|koʻr|nogironlik|odam
	👨🏾‍🦯;hassali kishi: 5-teri turi;5-teri turi|hassali kishi|hassali kishi: 5-teri turi|hassali odam|koʻr|nogironlik|odam
	👨🏿‍🦯;hassali kishi: 6-teri turi;6-teri turi|hassali kishi|hassali kishi: 6-teri turi|hassali odam|koʻr|nogironlik|odam
👨‍🦯‍➡️;o‘ngga qaragan hassali kishi;hassali kishi|hassali odam|koʻr|nogironlik|o‘ngga qaragan hassali kishi|odam
	👨🏻‍🦯‍➡️;o‘ngga qaragan hassali kishi;hassali kishi|hassali odam|koʻr|nogironlik|o‘ngga qaragan hassali kishi|odam
	👨🏼‍🦯‍➡️;o‘ngga qaragan hassali kishi;hassali kishi|hassali odam|koʻr|nogironlik|o‘ngga qaragan hassali kishi|odam
	👨🏽‍🦯‍➡️;o‘ngga qaragan hassali kishi;hassali kishi|hassali odam|koʻr|nogironlik|o‘ngga qaragan hassali kishi|odam
	👨🏾‍🦯‍➡️;o‘ngga qaragan hassali kishi;hassali kishi|hassali odam|koʻr|nogironlik|o‘ngga qaragan hassali kishi|odam
	👨🏿‍🦯‍➡️;o‘ngga qaragan hassali kishi;hassali kishi|hassali odam|koʻr|nogironlik|o‘ngga qaragan hassali kishi|odam
👩‍🦯;hassali ayol;ayol|hassali ayol|koʻr|nogironlik
	👩🏻‍🦯;hassali ayol: 1–2-teri turi;1–2-teri turi|ayol|hassali ayol|hassali ayol: 1–2-teri turi|koʻr|nogironlik
	👩🏼‍🦯;hassali ayol: 3-teri turi;3-teri turi|ayol|hassali ayol|hassali ayol: 3-teri turi|koʻr|nogironlik
	👩🏽‍🦯;hassali ayol: 4-teri turi;4-teri turi|ayol|hassali ayol|hassali ayol: 4-teri turi|koʻr|nogironlik
	👩🏾‍🦯;hassali ayol: 5-teri turi;5-teri turi|ayol|hassali ayol|hassali ayol: 5-teri turi|koʻr|nogironlik
	👩🏿‍🦯;hassali ayol: 6-teri turi;6-teri turi|ayol|hassali ayol|hassali ayol: 6-teri turi|koʻr|nogironlik
