[smileys_emotion]
😀;glottandi andlit;andlit|glott|glottandi andlit
	🧚🏽;álfur: millihúðlitur;álfur|álfur: millihúðlitur|Bokki|millihúðlitur|Óberon|Títanía
	🧚🏾;álfur: meðaldökkur húðlitur;álfur|álfur: meðaldökkur húðlitur|Bokki|meðaldökkur húðlitur|Óberon|Títanía
	🧚🏿;álfur: dökkur húðlitur;álfur|álfur: dökkur húðlitur|Bokki|dökkur húðlitur|Óberon|Títanía
🧚‍♂️;álfakarl;álfakarl
	🧚🏻‍♂️;álfakarl: ljós húðlitur;álfakarl|álfakarl: ljós húðlitur|ljós húðlitur
	🧚🏼‍♂️;álfakarl: meðalljós húðlitur;álfakarl|álfakarl: meðalljós húðlitur|meðalljós húðlitur
	🧚🏽‍♂️;álfakarl: millihúðlitur;álfakarl|álfakarl: millihúðlitur|millihúðlitur
	🧚🏾‍♂️;álfakarl: meðaldökkur húðlitur;álfakarl|álfakarl: meðaldökkur húðlitur|meðaldökkur húðlitur
	🧚🏿‍♂️;álfakarl: dökkur húðlitur;álfakarl|álfakarl: dökkur húðlitur|dökkur húðlitur
🧚‍♀️;álfadís;álfadís
	🧚🏻‍♀️;álfadís: ljós húðlitur;álfadís|álfadís: ljós húðlitur|ljós húðlitur
	🧚🏼‍♀️;álfadís: meðalljós húðlitur;álfadís|álfadís: meðalljós húðlitur|meðalljós húðlitur
	🧚🏽‍♀️;álfadís: millihúðlitur;álfadís|álfadís: millihúðlitur|millihúðlitur
	🧚🏾‍♀️;álfadís: meðaldökkur húðlitur;álfadís|álfadís: meðaldökkur húðlitur|meðaldökkur húðlitur
	🧚🏿‍♀️;álfadís: dökkur húðlitur;álfadís|álfadís: dökkur húðlitur|dökkur húðlitur
🧛;vampíra;Drakúla|hinir ódauðlegu|vampíra
	🧛🏻;vampíra: ljós húðlitur;Drakúla|hinir ódauðlegu|ljós húðlitur|vampíra|vampíra: ljós húðlitur
	🧛🏼;vampíra: meðalljós húðlitur;Drakúla|hinir ódauðlegu|meðalljós húðlitur|vampíra|vampíra: meðalljós húðlitur
	🧛🏽;vampíra: millihúðlitur;Drakúla|hinir ódauðlegu|millihúðlitur|vampíra|vampíra: millihúðlitur
	🧛🏾;vampíra: meðaldökkur húðlitur;Drakúla|hinir ódauðlegu|meðaldökkur húðlitur|vampíra|vampíra: meðaldökkur húðlitur
	🧛🏿;vampíra: dökkur húðlitur;dökkur húðlitur|Drakúla|hinir ódauðlegu|vampíra|vampíra: dökkur húðlitur
🧛‍♂️;karlkyns vampíra;Drakúla|hinir ódauðlegu|karlkyns vampíra
	🧛🏻‍♂️;karlkyns vampíra: ljós húðlitur;Drakúla|hinir ódauðlegu|karlkyns vampíra|karlkyns vampíra: ljós húðlitur|ljós húðlitur
	🧛🏼‍♂️;karlkyns vampíra: meðalljós húðlitur;Drakúla|hinir ódauðlegu|karlkyns vampíra|karlkyns vampíra: meðalljós húðlitur|meðalljós húðlitur
	🧛🏽‍♂️;karlkyns vampíra: millihúðlitur;Drakúla|hinir ódauðlegu|karlkyns vampíra|karlkyns vampíra: millihúðlitur|millihúðlitur
	🧛🏾‍♂️;karlkyns vampíra: meðaldökkur húðlitur;Drakúla|hinir ódauðlegu|karlkyns vampíra|karlkyns vampíra: meðaldökkur húðlitur|meðaldökkur húðlitur
	🧛🏿‍♂️;karlkyns vampíra: dökkur húðlitur;dökkur húðlitur|Drakúla|hinir ódauðlegu|karlkyns vampíra|karlkyns vampíra: dökkur húðlitur
🧛‍♀️;kvenkyns vampíra;hinir ódauðlegu|kvenkyns vampíra
	🧛🏻‍♀️;kvenkyns vampíra: ljós húðlitur;hinir ódauðlegu|kvenkyns vampíra|kvenkyns vampíra: ljós húðlitur|ljós húðlitur
	🧛🏼‍♀️;kvenkyns vampíra: meðalljós húðlitur;hinir ódauðlegu|kvenkyns vampíra|kvenkyns vampíra: meðalljós húðlitur|meðalljós húðlitur
	🧛🏽‍♀️;kvenkyns vampíra: millihúðlitur;hinir ódauðlegu|kvenkyns vampíra|kvenkyns vampíra: millihúðlitur|millihúðlitur
	🧛🏾‍♀️;kvenkyns vampíra: meðaldökkur húðlitur;hinir ódauðlegu|kvenkyns vampíra|kvenkyns vampíra: meðaldökkur húðlitur|meðaldökkur húðlitur
	🧛🏿‍♀️;kvenkyns vampíra: dökkur húðlitur;dökkur húðlitur|hinir ódauðlegu|kvenkyns vampíra|kvenkyns vampíra: dökkur húðlitur
🧜;sæbúi;hafmær|hafmeyja|marbendill|sæbúi
	🧜🏻;sæbúi: ljós húðlitur;hafmær|hafmeyja|ljós húðlitur|marbendill|sæbúi|sæbúi: ljós húðlitur
	🧜🏼;sæbúi: meðalljós húðlitur;hafmær|hafmeyja|marbendill|meðalljós húðlitur|sæbúi|sæbúi: meðalljós húðlitur
	🧜🏽;sæbúi: millihúðlitur;hafmær|hafmeyja|marbendill|millihúðlitur|sæbúi|sæbúi: millihúðlitur
	🧜🏾;sæbúi: meðaldökkur húðlitur;hafmær|hafmeyja|marbendill|meðaldökkur húðlitur|sæbúi|sæbúi: meðaldökkur húðlitur
	🧜🏿;sæbúi: dökkur húðlitur;dökkur húðlitur|hafmær|hafmeyja|marbendill|sæbúi|sæbúi: dökkur húðlitur
🧜‍♂️;marbendill;marbendill|Tríton
	🧜🏻‍♂️;marbendill: ljós húðlitur;ljós húðlitur|marbendill|marbendill: ljós húðlitur|Tríton
	🧜🏼‍♂️;marbendill: meðalljós húðlitur;marbendill|marbendill: meðalljós húðlitur|meðalljós húðlitur|Tríton
	🧜🏽‍♂️;marbendill: millihúðlitur;marbendill|marbendill: millihúðlitur|millihúðlitur|Tríton
	🧜🏾‍♂️;marbendill: meðaldökkur húðlitur;marbendill|marbendill: meðaldökkur húðlitur|meðaldökkur húðlitur|Tríton
	🧜🏿‍♂️;marbendill: dökkur húðlitur;dökkur húðlitur|marbendill|marbendill: dökkur húðlitur|Tríton
🧜‍♀️;hafmeyja;hafmær|hafmeyja
	🧜🏻‍♀️;hafmeyja: ljós húðlitur;hafmær|hafmeyja|hafmeyja: ljós húðlitur|ljós húðlitur
	🧜🏼‍♀️;hafmeyja: meðalljós húðlitur;hafmær|hafmeyja|hafmeyja: meðalljós húðlitur|meðalljós húðlitur
	🧜🏽‍♀️;hafmeyja: millihúðlitur;hafmær|hafmeyja|hafmeyja: millihúðlitur|millihúðlitur
	🧜🏾‍♀️;hafmeyja: meðaldökkur húðlitur;hafmær|hafmeyja|hafmeyja: meðaldökkur húðlitur|meðaldökkur húðlitur
	🧜🏿‍♀️;hafmeyja: dökkur húðlitur;dökkur húðlitur|hafmær|hafmeyja|hafmeyja: dökkur húðlitur
🧝;huldumaður;galdrar|huldumaður|töfrandi|töfrar|yfirnáttúrleiki
	🧝🏻;huldumaður: ljós húðlitur;galdrar|huldumaður|huldumaður: ljós húðlitur|ljós húðlitur|töfrandi|töfrar|yfirnáttúrleiki
	🧝🏼;huldumaður: meðalljós húðlitur;galdrar|huldumaður|huldumaður: meðalljós húðlitur|meðalljós húðlitur|töfrandi|töfrar|yfirnáttúrleiki
	🧝🏽;huldumaður: millihúðlitur;galdrar|huldumaður|huldumaður: millihúðlitur|millihúðlitur|töfrandi|töfrar|yfirnáttúrleiki
	🧝🏾;huldumaður: meðaldökkur húðlitur;galdrar|huldumaður|huldumaður: meðaldökkur húðlitur|meðaldökkur húðlitur|töfrandi|töfrar|yfirnáttúrleiki
	🧝🏿;huldumaður: dökkur húðlitur;dökkur húðlitur|galdrar|huldumaður|huldumaður: dökkur húðlitur|töfrandi|töfrar|yfirnáttúrleiki
🧝‍♂️;huldukarl;huldukarl
	🧝🏻‍♂️;huldukarl: ljós húðlitur;huldukarl|huldukarl: ljós húðlitur|ljós húðlitur
	🧝🏼‍♂️;huldukarl: meðalljós húðlitur;huldukarl|huldukarl: meðalljós húðlitur|meðalljós húðlitur
	🧝🏽‍♂️;huldukarl: millihúðlitur;huldukarl|huldukarl: millihúðlitur|millihúðlitur
	🧝🏾‍♂️;huldukarl: meðaldökkur húðlitur;huldukarl|huldukarl: meðaldökkur húðlitur|meðaldökkur húðlitur
	🧝🏿‍♂️;huldukarl: dökkur húðlitur;dökkur húðlitur|huldukarl|huldukarl: dökkur húðlitur
🧝‍♀️;huldukona;huldukona
	🧝🏻‍♀️;huldukona: ljós húðlitur;huldukona|huldukona: ljós húðlitur|ljós húðlitur
	🧝🏼‍♀️;huldukona: meðalljós húðlitur;huldukona|huldukona: meðalljós húðlitur|meðalljós húðlitur
	🧝🏽‍♀️;huldukona: millihúðlitur;huldukona|huldukona: millihúðlitur|millihúðlitur
	🧝🏾‍♀️;huldukona: meðaldökkur húðlitur;huldukona|huldukona: meðaldökkur húðlitur|meðaldökkur húðlitur
	🧝🏿‍♀️;huldukona: dökkur húðlitur;dökkur húðlitur|huldukona|huldukona: dökkur húðlitur
🧞;andi;andi|djinn
🧞‍♂️;karlkyns andi;djinn|karlkyns andi
🧞‍♀️;kvenkyns andi;djinn|kvenkyns andi
🧟;uppvakningur;hinir gangandi dauðu|hinir ódauðlegu|uppvakningur
🧟‍♂️;karlkyns uppvakningur;hinir gangandi dauðu|hinir ódauðlegu|karlkyns uppvakningur
🧟‍♀️;kvenkyns uppvakningur;hinir gangandi dauðu|hinir ódauðlegu|kvenkyns uppvakningur
🧌;jarðálfur;ævintýri|furðusaga|jarðálfur|skrímsli
💆;andlitsnudd;andlitsnudd|nudd|snyrtistofa
	💆🏻;andlitsnudd: ljós húðlitur;andlitsnudd|andlitsnudd: ljós húðlitur|ljós húðlitur|nudd|snyrtistofa
	💆🏼;andlitsnudd: meðalljós húðlitur;andlitsnudd|andlitsnudd: meðalljós húðlitur|meðalljós húðlitur|nudd|snyrtistofa
	💆🏽;andlitsnudd: millihúðlitur;andlitsnudd|andlitsnudd: millihúðlitur|millihúðlitur|nudd|snyrtistofa
	💆🏾;andlitsnudd: meðaldökkur húðlitur;andlitsnudd|andlitsnudd: meðaldökkur húðlitur|meðaldökkur húðlitur|nudd|snyrtistofa
	💆🏿;andlitsnudd: dökkur húðlitur;andlitsnudd|andlitsnudd: dökkur húðlitur|dökkur húðlitur|nudd|snyrtistofa
💆‍♂️;maður fær andlitsnudd;andlitsnudd|karl|maður fær andlitsnudd|nudd
	💆🏻‍♂️;maður fær andlitsnudd: ljós húðlitur;andlitsnudd|karl|ljós húðlitur|maður fær andlitsnudd|maður fær andlitsnudd: ljós húðlitur|nudd
	💆🏼‍♂️;maður fær andlitsnudd: meðalljós húðlitur;andlitsnudd|karl|maður fær andlitsnudd|maður fær andlitsnudd: meðalljós húðlitur|meðalljós húðlitur|nudd
	💆🏽‍♂️;maður fær andlitsnudd: millihúðlitur;andlitsnudd|karl|maður fær andlitsnudd|maður fær andlitsnudd: millihúðlitur|millihúðlitur|nudd
	💆🏾‍♂️;maður fær andlitsnudd: meðaldökkur húðlitur;andlitsnudd|karl|maður fær andlitsnudd|maður fær andlitsnudd: meðaldökkur húðlitur|meðaldökkur húðlitur|nudd
	💆🏿‍♂️;maður fær andlitsnudd: dökkur húðlitur;andlitsnudd|dökkur húðlitur|karl|maður fær andlitsnudd|maður fær andlitsnudd: dökkur húðlitur|nudd
💆‍♀️;kona fær andlitsnudd;andlitsnudd|kona|kona fær andlitsnudd|nudd
	💆🏻‍♀️;kona fær andlitsnudd: ljós húðlitur;andlitsnudd|kona|kona fær andlitsnudd|kona fær andlitsnudd: ljós húðlitur|ljós húðlitur|nudd
	💆🏼‍♀️;kona fær andlitsnudd: meðalljós húðlitur;andlitsnudd|kona|kona fær andlitsnudd|kona fær andlitsnudd: meðalljós húðlitur|meðalljós húðlitur|nudd
	💆🏽‍♀️;kona fær andlitsnudd: millihúðlitur;andlitsnudd|kona|kona fær andlitsnudd|kona fær andlitsnudd: millihúðlitur|millihúðlitur|nudd
	💆🏾‍♀️;kona fær andlitsnudd: meðaldökkur húðlitur;andlitsnudd|kona|kona fær andlitsnudd|kona fær andlitsnudd: meðaldökkur húðlitur|meðaldökkur húðlitur|nudd
	💆🏿‍♀️;kona fær andlitsnudd: dökkur húðlitur;andlitsnudd|dökkur húðlitur|kona|kona fær andlitsnudd|kona fær andlitsnudd: dökkur húðlitur|nudd
💇;klipping;fegurð|hárgreiðslustofa|klipping|snyrtistofa
	💇🏻;klipping: ljós húðlitur;fegurð|hárgreiðslustofa|klipping|klipping: ljós húðlitur|ljós húðlitur|snyrtistofa
	💇🏼;klipping: meðalljós húðlitur;fegurð|hárgreiðslustofa|klipping|klipping: meðalljós húðlitur|meðalljós húðlitur|snyrtistofa
	💇🏽;klipping: millihúðlitur;fegurð|hárgreiðslustofa|klipping|klipping: millihúðlitur|millihúðlitur|snyrtistofa
	💇🏾;klipping: meðaldökkur húðlitur;fegurð|hárgreiðslustofa|klipping|klipping: meðaldökkur húðlitur|meðaldökkur húðlitur|snyrtistofa
	💇🏿;klipping: dökkur húðlitur;dökkur húðlitur|fegurð|hárgreiðslustofa|klipping|klipping: dökkur húðlitur|snyrtistofa
💇‍♂️;maður í klippingu;hár|hárgreiðsla|karl|klipping|maður í klippingu
	💇🏻‍♂️;maður í klippingu: ljós húðlitur;hár|hárgreiðsla|karl|klipping|ljós húðlitur|maður í klippingu|maður í klippingu: ljós húðlitur
	💇🏼‍♂️;maður í klippingu: meðalljós húðlitur;hár|hárgreiðsla|karl|klipping|maður í klippingu|maður í klippingu: meðalljós húðlitur|meðalljós húðlitur
	💇🏽‍♂️;maður í klippingu: millihúðlitur;hár|hárgreiðsla|karl|klipping|maður í klippingu|maður í klippingu: millihúðlitur|millihúðlitur
	💇🏾‍♂️;maður í klippingu: meðaldökkur húðlitur;hár|hárgreiðsla|karl|klipping|maður í klippingu|maður í klippingu: meðaldökkur húðlitur|meðaldökkur húðlitur
	💇🏿‍♂️;maður í klippingu: dökkur húðlitur;dökkur húðlitur|hár|hárgreiðsla|karl|klipping|maður í klippingu|maður í klippingu: dökkur húðlitur
💇‍♀️;kona í klippingu;hár|hárgreiðsla|klipping|kona|kona í klippingu
	💇🏻‍♀️;kona í klippingu: ljós húðlitur;hár|hárgreiðsla|klipping|kona|kona í klippingu|kona í klippingu: ljós húðlitur|ljós húðlitur
	💇🏼‍♀️;kona í klippingu: meðalljós húðlitur;hár|hárgreiðsla|klipping|kona|kona í klippingu|kona í klippingu: meðalljós húðlitur|meðalljós húðlitur
	💇🏽‍♀️;kona í klippingu: millihúðlitur;hár|hárgreiðsla|klipping|kona|kona í klippingu|kona í klippingu: millihúðlitur|millihúðlitur
	💇🏾‍♀️;kona í klippingu: meðaldökkur húðlitur;hár|hárgreiðsla|klipping|kona|kona í klippingu|kona í klippingu: meðaldökkur húðlitur|meðaldökkur húðlitur
	💇🏿‍♀️;kona í klippingu: dökkur húðlitur;dökkur húðlitur|hár|hárgreiðsla|klipping|kona|kona í klippingu|kona í klippingu: dökkur húðlitur
🚶;vegfarandi;ganga|gönguferð|labba|vegfarandi
	🚶🏻;vegfarandi: ljós húðlitur;ganga|gönguferð|labba|ljós húðlitur|vegfarandi|vegfarandi: ljós húðlitur
	🚶🏼;vegfarandi: meðalljós húðlitur;ganga|gönguferð|labba|meðalljós húðlitur|vegfarandi|vegfarandi: meðalljós húðlitur
	🚶🏽;vegfarandi: millihúðlitur;ganga|gönguferð|labba|millihúðlitur|vegfarandi|vegfarandi: millihúðlitur
	🚶🏾;vegfarandi: meðaldökkur húðlitur;ganga|gönguferð|labba|meðaldökkur húðlitur|vegfarandi|vegfarandi: meðaldökkur húðlitur
	🚶🏿;vegfarandi: dökkur húðlitur;dökkur húðlitur|ganga|gönguferð|labba|vegfarandi|vegfarandi: dökkur húðlitur
🚶‍♂️;gangandi maður;ganga|gangandi maður|gönguferð|karl|labba
	🚶🏻‍♂️;gangandi maður: ljós húðlitur;ganga|gangandi maður|gangandi maður: ljós húðlitur|gönguferð|karl|labba|ljós húðlitur
	🚶🏼‍♂️;gangandi maður: meðalljós húðlitur;ganga|gangandi maður|gangandi maður: meðalljós húðlitur|gönguferð|karl|labba|meðalljós húðlitur
	🚶🏽‍♂️;gangandi maður: millihúðlitur;ganga|gangandi maður|gangandi maður: millihúðlitur|gönguferð|karl|labba|millihúðlitur
	🚶🏾‍♂️;gangandi maður: meðaldökkur húðlitur;ganga|gangandi maður|gangandi maður: meðaldökkur húðlitur|gönguferð|karl|labba|meðaldökkur húðlitur
	🚶🏿‍♂️;gangandi maður: dökkur húðlitur;dökkur húðlitur|ganga|gangandi maður|gangandi maður: dökkur húðlitur|gönguferð|karl|labba
🚶‍♀️;gangandi kona;ganga|gangandi kona|gönguferð|kona|labba
	🚶🏻‍♀️;gangandi kona: ljós húðlitur;ganga|gangandi kona|gangandi kona: ljós húðlitur|gönguferð|kona|labba|ljós húðlitur
	🚶🏼‍♀️;gangandi kona: meðalljós húðlitur;ganga|gangandi kona|gangandi kona: meðalljós húðlitur|gönguferð|kona|labba|meðalljós húðlitur
	🚶🏽‍♀️;gangandi kona: millihúðlitur;ganga|gangandi kona|gangandi kona: millihúðlitur|gönguferð|kona|labba|millihúðlitur
	🚶🏾‍♀️;gangandi kona: meðaldökkur húðlitur;ganga|gangandi kona|gangandi kona: meðaldökkur húðlitur|gönguferð|kona|labba|meðaldökkur húðlitur
	🚶🏿‍♀️;gangandi kona: dökkur húðlitur;dökkur húðlitur|ganga|gangandi kona|gangandi kona: dökkur húðlitur|gönguferð|kona|labba
🚶‍➡️;vegfarandi snýr til hægri;ganga|gönguferð|labba|vegfarandi|vegfarandi snýr til hægri
	🚶🏻‍➡️;vegfarandi snýr til hægri;ganga|gönguferð|labba|vegfarandi|vegfarandi snýr til hægri
	🚶🏼‍➡️;vegfarandi snýr til hægri;ganga|gönguferð|labba|vegfarandi|vegfarandi snýr til hægri
	🚶🏽‍➡️;vegfarandi snýr til hægri;ganga|gönguferð|labba|vegfarandi|vegfarandi snýr til hægri
	🚶🏾‍➡️;vegfarandi snýr til hægri;ganga|gönguferð|labba|vegfarandi|vegfarandi snýr til hægri
	🚶🏿‍➡️;vegfarandi snýr til hægri;ganga|gönguferð|labba|vegfarandi|vegfarandi snýr til hægri
🚶‍♀️‍➡️;gangandi kona snýr til hægri;ganga|gangandi kona|gangandi kona snýr til hægri|gönguferð|kona|labba
	🚶🏻‍♀️‍➡️;gangandi kona snýr til hægri;ganga|gangandi kona|gangandi kona snýr til hægri|gönguferð|kona|labba
	🚶🏼‍♀️‍➡️;gangandi kona snýr til hægri;ganga|gangandi kona|gangandi kona snýr til hægri|gönguferð|kona|labba
	🚶🏽‍♀️‍➡️;gangandi kona snýr til hægri;ganga|gangandi kona|gangandi kona snýr til hægri|gönguferð|kona|labba
	🚶🏾‍♀️‍➡️;gangandi kona snýr til hægri;ganga|gangandi kona|gangandi kona snýr til hægri|gönguferð|kona|labba
	🚶🏿‍♀️‍➡️;gangandi kona snýr til hægri;ganga|gangandi kona|gangandi kona snýr til hægri|gönguferð|kona|labba
🚶‍♂️‍➡️;gangandi maður snýr til hægri;ganga|gangandi maður|gangandi maður snýr til hægri|gönguferð|karl|labba
	🚶🏻‍♂️‍➡️;gangandi maður snýr til hægri;ganga|gangandi maður|gangandi maður snýr til hægri|gönguferð|karl|labba
	🚶🏼‍♂️‍➡️;gangandi maður snýr til hægri;ganga|gangandi maður|gangandi maður snýr til hægri|gönguferð|karl|labba
	🚶🏽‍♂️‍➡️;gangandi maður snýr til hægri;ganga|gangandi maður|gangandi maður snýr til hægri|gönguferð|karl|labba
	🚶🏾‍♂️‍➡️;gangandi maður snýr til hægri;ganga|gangandi maður|gangandi maður snýr til hægri|gönguferð|karl|labba
	🚶🏿‍♂️‍➡️;gangandi maður snýr til hægri;ganga|gangandi maður|gangandi maður snýr til hægri|gönguferð|karl|labba
🧍;standandi manneskja;standa|standandi manneskja|stendur
	🧍🏻;standandi manneskja: ljós húðlitur;ljós húðlitur|standa|standandi manneskja|standandi manneskja: ljós húðlitur|stendur
	🧍🏼;standandi manneskja: meðalljós húðlitur;meðalljós húðlitur|standa|standandi manneskja|standandi manneskja: meðalljós húðlitur|stendur
	🧍🏽;standandi manneskja: millihúðlitur;millihúðlitur|standa|standandi manneskja|standandi manneskja: millihúðlitur|stendur
	🧍🏾;standandi manneskja: meðaldökkur húðlitur;meðaldökkur húðlitur|standa|standandi manneskja|standandi manneskja: meðaldökkur húðlitur|stendur
	🧍🏿;standandi manneskja: dökkur húðlitur;dökkur húðlitur|standa|standandi manneskja|standandi manneskja: dökkur húðlitur|stendur
🧍‍♂️;standandi maður;maður|standa|standandi maður
	🧍🏻‍♂️;standandi maður: ljós húðlitur;ljós húðlitur|maður|standa|standandi maður|standandi maður: ljós húðlitur
	🧍🏼‍♂️;standandi maður: meðalljós húðlitur;maður|meðalljós húðlitur|standa|standandi maður|standandi maður: meðalljós húðlitur
	🧍🏽‍♂️;standandi maður: millihúðlitur;maður|millihúðlitur|standa|standandi maður|standandi maður: millihúðlitur
	🧍🏾‍♂️;standandi maður: meðaldökkur húðlitur;maður|meðaldökkur húðlitur|standa|standandi maður|standandi maður: meðaldökkur húðlitur
	🧍🏿‍♂️;standandi maður: dökkur húðlitur;dökkur húðlitur|maður|standa|standandi maður|standandi maður: dökkur húðlitur
🧍‍♀️;standandi kona;kona|standandi
	🧍🏻‍♀️;standandi kona: ljós húðlitur;kona|ljós húðlitur|standandi|standandi kona: ljós húðlitur
	🧍🏼‍♀️;standandi kona: meðalljós húðlitur;kona|meðalljós húðlitur|standandi|standandi kona: meðalljós húðlitur
	🧍🏽‍♀️;standandi kona: millihúðlitur;kona|millihúðlitur|standandi|standandi kona: millihúðlitur
	🧍🏾‍♀️;standandi kona: meðaldökkur húðlitur;kona|meðaldökkur húðlitur|standandi|standandi kona: meðaldökkur húðlitur
	🧍🏿‍♀️;standandi kona: dökkur húðlitur;dökkur húðlitur|kona|standandi|standandi kona: dökkur húðlitur
🧎;krjúpandi manneskja;krjúpa|krjúpandi|krjúpandi manneskja
	🧎🏻;krjúpandi manneskja: ljós húðlitur;krjúpa|krjúpandi|krjúpandi manneskja|krjúpandi manneskja: ljós húðlitur|ljós húðlitur
	🧎🏼;krjúpandi manneskja: meðalljós húðlitur;krjúpa|krjúpandi|krjúpandi manneskja|krjúpandi manneskja: meðalljós húðlitur|meðalljós húðlitur
	🧎🏽;krjúpandi manneskja: millihúðlitur;krjúpa|krjúpandi|krjúpandi manneskja|krjúpandi manneskja: millihúðlitur|millihúðlitur
	🧎🏾;krjúpandi manneskja: meðaldökkur húðlitur;krjúpa|krjúpandi|krjúpandi manneskja|krjúpandi manneskja: meðaldökkur húðlitur|meðaldökkur húðlitur
	🧎🏿;krjúpandi manneskja: dökkur húðlitur;dökkur húðlitur|krjúpa|krjúpandi|krjúpandi manneskja|krjúpandi manneskja: dökkur húðlitur
🧎‍♂️;krjúpandi maður;krjúpandi|maður
	🧎🏻‍♂️;krjúpandi maður: ljós húðlitur;krjúpandi|krjúpandi maður: ljós húðlitur|ljós húðlitur|maður
	🧎🏼‍♂️;krjúpandi maður: meðalljós húðlitur;krjúpandi|krjúpandi maður: meðalljós húðlitur|maður|meðalljós húðlitur
	🧎🏽‍♂️;krjúpandi maður: millihúðlitur;krjúpandi|krjúpandi maður: millihúðlitur|maður|millihúðlitur
	🧎🏾‍♂️;krjúpandi maður: meðaldökkur húðlitur;krjúpandi|krjúpandi maður: meðaldökkur húðlitur|maður|meðaldökkur húðlitur
	🧎🏿‍♂️;krjúpandi maður: dökkur húðlitur;dökkur húðlitur|krjúpandi|krjúpandi maður: dökkur húðlitur|maður
🧎‍♀️;krjúpandi kona;kona|krjúpandi
	🧎🏻‍♀️;krjúpandi kona: ljós húðlitur;kona|krjúpandi|krjúpandi kona: ljós húðlitur|ljós húðlitur
	🧎🏼‍♀️;krjúpandi kona: meðalljós húðlitur;kona|krjúpandi|krjúpandi kona: meðalljós húðlitur|meðalljós húðlitur
	🧎🏽‍♀️;krjúpandi kona: millihúðlitur;kona|krjúpandi|krjúpandi kona: millihúðlitur|millihúðlitur
	🧎🏾‍♀️;krjúpandi kona: meðaldökkur húðlitur;kona|krjúpandi|krjúpandi kona: meðaldökkur húðlitur|meðaldökkur húðlitur
	🧎🏿‍♀️;krjúpandi kona: dökkur húðlitur;dökkur húðlitur|kona|krjúpandi|krjúpandi kona: dökkur húðlitur
🧎‍➡️;krjúpandi manneskja snýr til hægri;krjúpa|krjúpandi|krjúpandi manneskja|krjúpandi manneskja snýr til hægri
	🧎🏻‍➡️;krjúpandi manneskja snýr til hægri;krjúpa|krjúpandi|krjúpandi manneskja|krjúpandi manneskja snýr til hægri
	🧎🏼‍➡️;krjúpandi manneskja snýr til hægri;krjúpa|krjúpandi|krjúpandi manneskja|krjúpandi manneskja snýr til hægri
	🧎🏽‍➡️;krjúpandi manneskja snýr til hægri;krjúpa|krjúpandi|krjúpandi manneskja|krjúpandi manneskja snýr til hægri
	🧎🏾‍➡️;krjúpandi manneskja snýr til hægri;krjúpa|krjúpandi|krjúpandi manneskja|krjúpandi manneskja snýr til hægri
	🧎🏿‍➡️;krjúpandi manneskja snýr til hægri;krjúpa|krjúpandi|krjúpandi manneskja|krjúpandi manneskja snýr til hægri
🧎‍♀️‍➡️;krjúpandi kona snýr til hægri;kona|krjúpandi|krjúpandi kona snýr til hægri
	🧎🏻‍♀️‍➡️;krjúpandi kona snýr til hægri;kona|krjúpandi|krjúpandi kona snýr til hægri
	🧎🏼‍♀️‍➡️;krjúpandi kona snýr til hægri;kona|krjúpandi|krjúpandi kona snýr til hægri
	🧎🏽‍♀️‍➡️;krjúpandi kona snýr til hægri;kona|krjúpandi|krjúpandi kona snýr til hægri
	🧎🏾‍♀️‍➡️;krjúpandi kona snýr til hægri;kona|krjúpandi|krjúpandi kona snýr til hægri
	🧎🏿‍♀️‍➡️;krjúpandi kona snýr til hægri;kona|krjúpandi|krjúpandi kona snýr til hægri
🧎‍♂️‍➡️;krjúpandi maður snýr til hægri;krjúpandi|krjúpandi maður snýr til hægri|maður
	🧎🏻‍♂️‍➡️;krjúpandi maður snýr til hægri;krjúpandi|krjúpandi maður snýr til hægri|maður
	🧎🏼‍♂️‍➡️;krjúpandi maður snýr til hægri;krjúpandi|krjúpandi maður snýr til hægri|maður
	🧎🏽‍♂️‍➡️;krjúpandi maður snýr til hægri;krjúpandi|krjúpandi maður snýr til hægri|maður
	🧎🏾‍♂️‍➡️;krjúpandi maður snýr til hægri;krjúpandi|krjúpandi maður snýr til hægri|maður
	🧎🏿‍♂️‍➡️;krjúpandi maður snýr til hægri;krjúpandi|krjúpandi maður snýr til hægri|maður
🧑‍🦯;manneskja með blindrastaf;aðgengi|manneskja með blindrastaf|manneskja með hvítan staf|sjónlaus
	🧑🏻‍🦯;manneskja með blindrastaf: ljós húðlitur;aðgengi|ljós húðlitur|manneskja með blindrastaf|manneskja með blindrastaf: ljós húðlitur|manneskja með hvítan staf|sjónlaus
	🧑🏼‍🦯;manneskja með blindrastaf: meðalljós húðlitur;aðgengi|manneskja með blindrastaf|manneskja með blindrastaf: meðalljós húðlitur|manneskja með hvítan staf|meðalljós húðlitur|sjónlaus
	🧑🏽‍🦯;manneskja með blindrastaf: millihúðlitur;aðgengi|manneskja með blindrastaf|manneskja með blindrastaf: millihúðlitur|manneskja með hvítan staf|millihúðlitur|sjónlaus
	🧑🏾‍🦯;manneskja með blindrastaf: meðaldökkur húðlitur;aðgengi|manneskja með blindrastaf|manneskja með blindrastaf: meðaldökkur húðlitur|manneskja með hvítan staf|meðaldökkur húðlitur|sjónlaus
	🧑🏿‍🦯;manneskja með blindrastaf: dökkur húðlitur;aðgengi|dökkur húðlitur|manneskja með blindrastaf|manneskja með blindrastaf: dökkur húðlitur|manneskja með hvítan staf|sjónlaus
