[smileys_emotion]
😀;ፈገግ ያለ ፊት;ፈገግ ያለ ፊት|ፈገግታ|ፊት
	👨🏽‍🦯;ወንድ በከዘራ: የቆዳ ዓይነት-4;ተደራሽነት|እውር|ወንድ|ወንድ በከዘራ|ወንድ በከዘራ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	👨🏾‍🦯;ወንድ በከዘራ: የቆዳ ዓይነት-5;ተደራሽነት|እውር|ወንድ|ወንድ በከዘራ|ወንድ በከዘራ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	👨🏿‍🦯;ወንድ በከዘራ: የቆዳ ዓይነት-6;ተደራሽነት|እውር|ወንድ|ወንድ በከዘራ|ወንድ በከዘራ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
👨‍🦯‍➡️;;
	👨🏻‍🦯‍➡️;;
	👨🏼‍🦯‍➡️;;
	👨🏽‍🦯‍➡️;;
	👨🏾‍🦯‍➡️;;
	👨🏿‍🦯‍➡️;;
👩‍🦯;ሴት በከዘራ;ሴት|ሴት በከዘራ|ተደራሽነት|እውር
	👩🏻‍🦯;ሴት በከዘራ: የቆዳ ዓይነት-1-2;ሴት|ሴት በከዘራ|ሴት በከዘራ: የቆዳ ዓይነት-1-2|ተደራሽነት|እውር|የቆዳ ዓይነት-1-2
	👩🏼‍🦯;ሴት በከዘራ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሴት|ሴት በከዘራ|ሴት በከዘራ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ተደራሽነት|እውር
	👩🏽‍🦯;ሴት በከዘራ: የቆዳ ዓይነት-4;ሴት|ሴት በከዘራ|ሴት በከዘራ: የቆዳ ዓይነት-4|ተደራሽነት|እውር|የቆዳ ዓይነት-4
	👩🏾‍🦯;ሴት በከዘራ: የቆዳ ዓይነት-5;ሴት|ሴት በከዘራ|ሴት በከዘራ: የቆዳ ዓይነት-5|ተደራሽነት|እውር|የቆዳ ዓይነት-5
	👩🏿‍🦯;ሴት በከዘራ: የቆዳ ዓይነት-6;ሴት|ሴት በከዘራ|ሴት በከዘራ: የቆዳ ዓይነት-6|ተደራሽነት|እውር|የቆዳ ዓይነት-6
👩‍🦯‍➡️;;
	👩🏻‍🦯‍➡️;;
	👩🏼‍🦯‍➡️;;
	👩🏽‍🦯‍➡️;;
	👩🏾‍🦯‍➡️;;
	👩🏿‍🦯‍➡️;;
🧑‍🦼;ሰው ከባለሞተር መቀመጫ ጋር;ሰው ከባለሞተር መቀመጫ ጋር
	🧑🏻‍🦼;ሰው ከባለሞተር መቀመጫ ጋር: የቆዳ ዓይነት-1-2;ሰው ከባለሞተር መቀመጫ ጋር|ሰው ከባለሞተር መቀመጫ ጋር: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🧑🏼‍🦼;ሰው ከባለሞተር መቀመጫ ጋር: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሰው ከባለሞተር መቀመጫ ጋር|ሰው ከባለሞተር መቀመጫ ጋር: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧑🏽‍🦼;ሰው ከባለሞተር መቀመጫ ጋር: የቆዳ ዓይነት-4;ሰው ከባለሞተር መቀመጫ ጋር|ሰው ከባለሞተር መቀመጫ ጋር: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🧑🏾‍🦼;ሰው ከባለሞተር መቀመጫ ጋር: የቆዳ ዓይነት-5;ሰው ከባለሞተር መቀመጫ ጋር|ሰው ከባለሞተር መቀመጫ ጋር: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🧑🏿‍🦼;ሰው ከባለሞተር መቀመጫ ጋር: የቆዳ ዓይነት-6;ሰው ከባለሞተር መቀመጫ ጋር|ሰው ከባለሞተር መቀመጫ ጋር: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🧑‍🦼‍➡️;;
	🧑🏻‍🦼‍➡️;;
	🧑🏼‍🦼‍➡️;;
	🧑🏽‍🦼‍➡️;;
	🧑🏾‍🦼‍➡️;;
	🧑🏿‍🦼‍➡️;;
👨‍🦼;ወንድ በሞተር ተሽከርካሪ ወንበር;ተሽከርካሪ ወንበር|ተደራሽነት|ወንድ|ወንድ በሞተር ተሽከርካሪ ወንበር
	👨🏻‍🦼;ወንድ በሞተር ተሽከርካሪ ወንበር: የቆዳ ዓይነት-1-2;ተሽከርካሪ ወንበር|ተደራሽነት|ወንድ|ወንድ በሞተር ተሽከርካሪ ወንበር|ወንድ በሞተር ተሽከርካሪ ወንበር: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	👨🏼‍🦼;ወንድ በሞተር ተሽከርካሪ ወንበር: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ተሽከርካሪ ወንበር|ተደራሽነት|ወንድ|ወንድ በሞተር ተሽከርካሪ ወንበር|ወንድ በሞተር ተሽከርካሪ ወንበር: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	👨🏽‍🦼;ወንድ በሞተር ተሽከርካሪ ወንበር: የቆዳ ዓይነት-4;ተሽከርካሪ ወንበር|ተደራሽነት|ወንድ|ወንድ በሞተር ተሽከርካሪ ወንበር|ወንድ በሞተር ተሽከርካሪ ወንበር: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	👨🏾‍🦼;ወንድ በሞተር ተሽከርካሪ ወንበር: የቆዳ ዓይነት-5;ተሽከርካሪ ወንበር|ተደራሽነት|ወንድ|ወንድ በሞተር ተሽከርካሪ ወንበር|ወንድ በሞተር ተሽከርካሪ ወንበር: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	👨🏿‍🦼;ወንድ በሞተር ተሽከርካሪ ወንበር: የቆዳ ዓይነት-6;ተሽከርካሪ ወንበር|ተደራሽነት|ወንድ|ወንድ በሞተር ተሽከርካሪ ወንበር|ወንድ በሞተር ተሽከርካሪ ወንበር: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
👨‍🦼‍➡️;;
	👨🏻‍🦼‍➡️;;
	👨🏼‍🦼‍➡️;;
	👨🏽‍🦼‍➡️;;
	👨🏾‍🦼‍➡️;;
	👨🏿‍🦼‍➡️;;
👩‍🦼;ሴት በሞተር ተሽከርካሪ ወንበር;ሴት|ሴት በሞተር ተሽከርካሪ ወንበር|ተሽከርካሪ ወንበር|ተደራሽነት
	👩🏻‍🦼;ሴት በሞተር ተሽከርካሪ ወንበር: የቆዳ ዓይነት-1-2;ሴት|ሴት በሞተር ተሽከርካሪ ወንበር|ሴት በሞተር ተሽከርካሪ ወንበር: የቆዳ ዓይነት-1-2|ተሽከርካሪ ወንበር|ተደራሽነት|የቆዳ ዓይነት-1-2
	👩🏼‍🦼;ሴት በሞተር ተሽከርካሪ ወንበር: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሴት|ሴት በሞተር ተሽከርካሪ ወንበር|ሴት በሞተር ተሽከርካሪ ወንበር: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ተሽከርካሪ ወንበር|ተደራሽነት
	👩🏽‍🦼;ሴት በሞተር ተሽከርካሪ ወንበር: የቆዳ ዓይነት-4;ሴት|ሴት በሞተር ተሽከርካሪ ወንበር|ሴት በሞተር ተሽከርካሪ ወንበር: የቆዳ ዓይነት-4|ተሽከርካሪ ወንበር|ተደራሽነት|የቆዳ ዓይነት-4
	👩🏾‍🦼;ሴት በሞተር ተሽከርካሪ ወንበር: የቆዳ ዓይነት-5;ሴት|ሴት በሞተር ተሽከርካሪ ወንበር|ሴት በሞተር ተሽከርካሪ ወንበር: የቆዳ ዓይነት-5|ተሽከርካሪ ወንበር|ተደራሽነት|የቆዳ ዓይነት-5
	👩🏿‍🦼;ሴት በሞተር ተሽከርካሪ ወንበር: የቆዳ ዓይነት-6;ሴት|ሴት በሞተር ተሽከርካሪ ወንበር|ሴት በሞተር ተሽከርካሪ ወንበር: የቆዳ ዓይነት-6|ተሽከርካሪ ወንበር|ተደራሽነት|የቆዳ ዓይነት-6
👩‍🦼‍➡️;;
	👩🏻‍🦼‍➡️;;
	👩🏼‍🦼‍➡️;;
	👩🏽‍🦼‍➡️;;
	👩🏾‍🦼‍➡️;;
	👩🏿‍🦼‍➡️;;
🧑‍🦽;ሰው በባለእጅ ተሽከርካሪ ወንበር;ሰው በባለእጅ ተሽከርካሪ ወንበር
	🧑🏻‍🦽;ሰው በባለእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-1-2;ሰው በባለእጅ ተሽከርካሪ ወንበር|ሰው በባለእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🧑🏼‍🦽;ሰው በባለእጅ ተሽከርካሪ ወንበር: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሰው በባለእጅ ተሽከርካሪ ወንበር|ሰው በባለእጅ ተሽከርካሪ ወንበር: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧑🏽‍🦽;ሰው በባለእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-4;ሰው በባለእጅ ተሽከርካሪ ወንበር|ሰው በባለእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🧑🏾‍🦽;ሰው በባለእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-5;ሰው በባለእጅ ተሽከርካሪ ወንበር|ሰው በባለእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🧑🏿‍🦽;ሰው በባለእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-6;ሰው በባለእጅ ተሽከርካሪ ወንበር|ሰው በባለእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🧑‍🦽‍➡️;;
	🧑🏻‍🦽‍➡️;;
	🧑🏼‍🦽‍➡️;;
	🧑🏽‍🦽‍➡️;;
	🧑🏾‍🦽‍➡️;;
	🧑🏿‍🦽‍➡️;;
👨‍🦽;ወንድ በእጅ ተሽከርካሪ ወንበር;ተሽከርካሪ ወንበር|ተደራሽነት|ወንድ|ወንድ በእጅ ተሽከርካሪ ወንበር
	👨🏻‍🦽;ወንድ በእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-1-2;ተሽከርካሪ ወንበር|ተደራሽነት|ወንድ|ወንድ በእጅ ተሽከርካሪ ወንበር|ወንድ በእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	👨🏼‍🦽;ወንድ በእጅ ተሽከርካሪ ወንበር: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ተሽከርካሪ ወንበር|ተደራሽነት|ወንድ|ወንድ በእጅ ተሽከርካሪ ወንበር|ወንድ በእጅ ተሽከርካሪ ወንበር: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	👨🏽‍🦽;ወንድ በእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-4;ተሽከርካሪ ወንበር|ተደራሽነት|ወንድ|ወንድ በእጅ ተሽከርካሪ ወንበር|ወንድ በእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	👨🏾‍🦽;ወንድ በእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-5;ተሽከርካሪ ወንበር|ተደራሽነት|ወንድ|ወንድ በእጅ ተሽከርካሪ ወንበር|ወንድ በእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	👨🏿‍🦽;ወንድ በእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-6;ተሽከርካሪ ወንበር|ተደራሽነት|ወንድ|ወንድ በእጅ ተሽከርካሪ ወንበር|ወንድ በእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
👨‍🦽‍➡️;;
	👨🏻‍🦽‍➡️;;
	👨🏼‍🦽‍➡️;;
	👨🏽‍🦽‍➡️;;
	👨🏾‍🦽‍➡️;;
	👨🏿‍🦽‍➡️;;
👩‍🦽;ሴት በእጅ ተሽከርካሪ ወንበር;ሴት|ሴት በእጅ ተሽከርካሪ ወንበር|ተሽከርካሪ ወንበር|ተደራሽነት
	👩🏻‍🦽;ሴት በእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-1-2;ሴት|ሴት በእጅ ተሽከርካሪ ወንበር|ሴት በእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-1-2|ተሽከርካሪ ወንበር|ተደራሽነት|የቆዳ ዓይነት-1-2
	👩🏼‍🦽;ሴት በእጅ ተሽከርካሪ ወንበር: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሴት|ሴት በእጅ ተሽከርካሪ ወንበር|ሴት በእጅ ተሽከርካሪ ወንበር: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ተሽከርካሪ ወንበር|ተደራሽነት
	👩🏽‍🦽;ሴት በእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-4;ሴት|ሴት በእጅ ተሽከርካሪ ወንበር|ሴት በእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-4|ተሽከርካሪ ወንበር|ተደራሽነት|የቆዳ ዓይነት-4
	👩🏾‍🦽;ሴት በእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-5;ሴት|ሴት በእጅ ተሽከርካሪ ወንበር|ሴት በእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-5|ተሽከርካሪ ወንበር|ተደራሽነት|የቆዳ ዓይነት-5
	👩🏿‍🦽;ሴት በእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-6;ሴት|ሴት በእጅ ተሽከርካሪ ወንበር|ሴት በእጅ ተሽከርካሪ ወንበር: የቆዳ ዓይነት-6|ተሽከርካሪ ወንበር|ተደራሽነት|የቆዳ ዓይነት-6
👩‍🦽‍➡️;;
	👩🏻‍🦽‍➡️;;
	👩🏼‍🦽‍➡️;;
	👩🏽‍🦽‍➡️;;
	👩🏾‍🦽‍➡️;;
	👩🏿‍🦽‍➡️;;
🏃;ሯጭ;ማራቶን|ሩጫ|ሯጭ
	🏃🏻;ሯጭ: የቆዳ ዓይነት-1-2;ማራቶን|ሩጫ|ሯጭ|ሯጭ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🏃🏼;ሯጭ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ማራቶን|ሩጫ|ሯጭ|ሯጭ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🏃🏽;ሯጭ: የቆዳ ዓይነት-4;ማራቶን|ሩጫ|ሯጭ|ሯጭ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🏃🏾;ሯጭ: የቆዳ ዓይነት-5;ማራቶን|ሩጫ|ሯጭ|ሯጭ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🏃🏿;ሯጭ: የቆዳ ዓይነት-6;ማራቶን|ሩጫ|ሯጭ|ሯጭ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🏃‍♂️;የወንድ ሩጫ;ማራቶን|ሩጫ|ውድድር|የወንድ ሩጫ
	🏃🏻‍♂️;የወንድ ሩጫ: የቆዳ ዓይነት-1-2;ማራቶን|ሩጫ|ውድድር|የቆዳ ዓይነት-1-2|የወንድ ሩጫ|የወንድ ሩጫ: የቆዳ ዓይነት-1-2
	🏃🏼‍♂️;የወንድ ሩጫ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ማራቶን|ሩጫ|ውድድር|የወንድ ሩጫ|የወንድ ሩጫ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🏃🏽‍♂️;የወንድ ሩጫ: የቆዳ ዓይነት-4;ማራቶን|ሩጫ|ውድድር|የቆዳ ዓይነት-4|የወንድ ሩጫ|የወንድ ሩጫ: የቆዳ ዓይነት-4
	🏃🏾‍♂️;የወንድ ሩጫ: የቆዳ ዓይነት-5;ማራቶን|ሩጫ|ውድድር|የቆዳ ዓይነት-5|የወንድ ሩጫ|የወንድ ሩጫ: የቆዳ ዓይነት-5
	🏃🏿‍♂️;የወንድ ሩጫ: የቆዳ ዓይነት-6;ማራቶን|ሩጫ|ውድድር|የቆዳ ዓይነት-6|የወንድ ሩጫ|የወንድ ሩጫ: የቆዳ ዓይነት-6
🏃‍♀️;የሴት ሩጫ;ማራቶን|ሩጫ|ውድድር|የሴት ሩጫ
	🏃🏻‍♀️;የሴት ሩጫ: የቆዳ ዓይነት-1-2;ማራቶን|ሩጫ|ውድድር|የሴት ሩጫ|የሴት ሩጫ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🏃🏼‍♀️;የሴት ሩጫ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ማራቶን|ሩጫ|ውድድር|የሴት ሩጫ|የሴት ሩጫ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🏃🏽‍♀️;የሴት ሩጫ: የቆዳ ዓይነት-4;ማራቶን|ሩጫ|ውድድር|የሴት ሩጫ|የሴት ሩጫ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🏃🏾‍♀️;የሴት ሩጫ: የቆዳ ዓይነት-5;ማራቶን|ሩጫ|ውድድር|የሴት ሩጫ|የሴት ሩጫ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🏃🏿‍♀️;የሴት ሩጫ: የቆዳ ዓይነት-6;ማራቶን|ሩጫ|ውድድር|የሴት ሩጫ|የሴት ሩጫ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🏃‍➡️;;
	🏃🏻‍➡️;;
	🏃🏼‍➡️;;
	🏃🏽‍➡️;;
	🏃🏾‍➡️;;
	🏃🏿‍➡️;;
🏃‍♀️‍➡️;;
	🏃🏻‍♀️‍➡️;;
	🏃🏼‍♀️‍➡️;;
	🏃🏽‍♀️‍➡️;;
	🏃🏾‍♀️‍➡️;;
	🏃🏿‍♀️‍➡️;;
🏃‍♂️‍➡️;;
	🏃🏻‍♂️‍➡️;;
	🏃🏼‍♂️‍➡️;;
	🏃🏽‍♂️‍➡️;;
	🏃🏾‍♂️‍➡️;;
	🏃🏿‍♂️‍➡️;;
💃;ሴቶች ሲደንሱ;መደነስ|ሴት|ሴቶች ሲደንሱ
	💃🏻;ሴቶች ሲደንሱ: የቆዳ ዓይነት-1-2;መደነስ|ሴት|ሴቶች ሲደንሱ|ሴቶች ሲደንሱ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	💃🏼;ሴቶች ሲደንሱ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መደነስ|ሴት|ሴቶች ሲደንሱ|ሴቶች ሲደንሱ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	💃🏽;ሴቶች ሲደንሱ: የቆዳ ዓይነት-4;መደነስ|ሴት|ሴቶች ሲደንሱ|ሴቶች ሲደንሱ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	💃🏾;ሴቶች ሲደንሱ: የቆዳ ዓይነት-5;መደነስ|ሴት|ሴቶች ሲደንሱ|ሴቶች ሲደንሱ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	💃🏿;ሴቶች ሲደንሱ: የቆዳ ዓይነት-6;መደነስ|ሴት|ሴቶች ሲደንሱ|ሴቶች ሲደንሱ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🕺;ሰው ሲደንስ;ሰው|ሰው ሲደንስ|ዳንስ
	🕺🏻;ሰው ሲደንስ: የቆዳ ዓይነት-1-2;ሰው|ሰው ሲደንስ|ሰው ሲደንስ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|ዳንስ
	🕺🏼;ሰው ሲደንስ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሰው|ሰው ሲደንስ|ሰው ሲደንስ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ዳንስ
	🕺🏽;ሰው ሲደንስ: የቆዳ ዓይነት-4;ሰው|ሰው ሲደንስ|ሰው ሲደንስ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|ዳንስ
	🕺🏾;ሰው ሲደንስ: የቆዳ ዓይነት-5;ሰው|ሰው ሲደንስ|ሰው ሲደንስ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|ዳንስ
	🕺🏿;ሰው ሲደንስ: የቆዳ ዓይነት-6;ሰው|ሰው ሲደንስ|ሰው ሲደንስ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|ዳንስ
🕴️;ሽክ ብሎ የለበሰ የሥራ ሰው;ሙሉ ልብስ|ሽክ ብሎ የለበሰ የሥራ ሰው|ንግድ ሥራ|ወንድ
	🕴🏻;ሽክ ብሎ የለበሰ የሥራ ሰው: የቆዳ ዓይነት-1-2;ሙሉ ልብስ|ሽክ ብሎ የለበሰ የሥራ ሰው|ሽክ ብሎ የለበሰ የሥራ ሰው: የቆዳ ዓይነት-1-2|ንግድ ሥራ|ወንድ|የቆዳ ዓይነት-1-2
	🕴🏼;ሽክ ብሎ የለበሰ የሥራ ሰው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሙሉ ልብስ|ሽክ ብሎ የለበሰ የሥራ ሰው|ሽክ ብሎ የለበሰ የሥራ ሰው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ንግድ ሥራ|ወንድ
	🕴🏽;ሽክ ብሎ የለበሰ የሥራ ሰው: የቆዳ ዓይነት-4;ሙሉ ልብስ|ሽክ ብሎ የለበሰ የሥራ ሰው|ሽክ ብሎ የለበሰ የሥራ ሰው: የቆዳ ዓይነት-4|ንግድ ሥራ|ወንድ|የቆዳ ዓይነት-4
	🕴🏾;ሽክ ብሎ የለበሰ የሥራ ሰው: የቆዳ ዓይነት-5;ሙሉ ልብስ|ሽክ ብሎ የለበሰ የሥራ ሰው|ሽክ ብሎ የለበሰ የሥራ ሰው: የቆዳ ዓይነት-5|ንግድ ሥራ|ወንድ|የቆዳ ዓይነት-5
	🕴🏿;ሽክ ብሎ የለበሰ የሥራ ሰው: የቆዳ ዓይነት-6;ሙሉ ልብስ|ሽክ ብሎ የለበሰ የሥራ ሰው|ሽክ ብሎ የለበሰ የሥራ ሰው: የቆዳ ዓይነት-6|ንግድ ሥራ|ወንድ|የቆዳ ዓይነት-6
👯;ሰዎች ሲጨፍሩ;ልጃገረድ|ሰዎች ሲጨፍሩ|ሴት|ሹራብ ኮፍያ|ዳንሰኛ
👯‍♂️;ወንዶች ሲጨፍሩ;ልጃገረድ|ሴት|ሹራብ ኮፍያ|ወንዶች ሲጨፍሩ|ዳንሰኛ
👯‍♀️;ሴቶች ሲጨፍሩ;ልጃገረድ|ሴት|ሴቶች ሲጨፍሩ|ሹራብ ኮፍያ|ዳንሰኛ
🧖;ሰው በእንፋሎት ክፍል ውስጥ;ሰው በእንፋሎት ክፍል ውስጥ
	🧖🏻;ሰው በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-1-2;ሰው በእንፋሎት ክፍል ውስጥ|ሰው በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🧖🏼;ሰው በእንፋሎት ክፍል ውስጥ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሰው በእንፋሎት ክፍል ውስጥ|ሰው በእንፋሎት ክፍል ውስጥ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧖🏽;ሰው በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-4;ሰው በእንፋሎት ክፍል ውስጥ|ሰው በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🧖🏾;ሰው በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-5;ሰው በእንፋሎት ክፍል ውስጥ|ሰው በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🧖🏿;ሰው በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-6;ሰው በእንፋሎት ክፍል ውስጥ|ሰው በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🧖‍♂️;ወንድ በእንፋሎት ክፍል ውስጥ;ወንድ በእንፋሎት ክፍል ውስጥ
	🧖🏻‍♂️;ወንድ በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-1-2;ወንድ በእንፋሎት ክፍል ውስጥ|ወንድ በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🧖🏼‍♂️;ወንድ በእንፋሎት ክፍል ውስጥ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ወንድ በእንፋሎት ክፍል ውስጥ|ወንድ በእንፋሎት ክፍል ውስጥ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧖🏽‍♂️;ወንድ በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-4;ወንድ በእንፋሎት ክፍል ውስጥ|ወንድ በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🧖🏾‍♂️;ወንድ በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-5;ወንድ በእንፋሎት ክፍል ውስጥ|ወንድ በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🧖🏿‍♂️;ወንድ በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-6;ወንድ በእንፋሎት ክፍል ውስጥ|ወንድ በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🧖‍♀️;ሴት በእንፋሎት ክፍል ውስጥ;ሴት በእንፋሎት ክፍል ውስጥ
	🧖🏻‍♀️;ሴት በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-1-2;ሴት በእንፋሎት ክፍል ውስጥ|ሴት በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🧖🏼‍♀️;ሴት በእንፋሎት ክፍል ውስጥ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሴት በእንፋሎት ክፍል ውስጥ|ሴት በእንፋሎት ክፍል ውስጥ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧖🏽‍♀️;ሴት በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-4;ሴት በእንፋሎት ክፍል ውስጥ|ሴት በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🧖🏾‍♀️;ሴት በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-5;ሴት በእንፋሎት ክፍል ውስጥ|ሴት በእንፋሎት ክፍል ውስጥ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
