# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;wiċċ jidħak ħafna;jidħaq ħafna|wiċċ|wiċċ jidħak ħafna
	🚵🏽‍♂️;raġel isuq mountain bike: ton medju tal-ġilda;muntanja|persuna ssuq rota|raġel|raġel isuq mountain bike|raġel isuq mountain bike: ton medju tal-ġilda|rota|ton medju tal-ġilda
	🚵🏾‍♂️;raġel isuq mountain bike: ton medju-skur tal-ġilda;muntanja|persuna ssuq rota|raġel|raġel isuq mountain bike|raġel isuq mountain bike: ton medju-skur tal-ġilda|rota|ton medju-skur tal-ġilda
	🚵🏿‍♂️;raġel isuq mountain bike: ton skur tal-ġilda;muntanja|persuna ssuq rota|raġel|raġel isuq mountain bike|raġel isuq mountain bike: ton skur tal-ġilda|rota|ton skur tal-ġilda
🚵‍♀️;mara ssuq mountain bike;ċiklist|mara|mara ssuq mountain bike|muntanja|persuna ssuq rota|rota
	🚵🏻‍♀️;mara ssuq mountain bike: ton ċar tal-ġilda;ċiklist|mara|mara ssuq mountain bike|mara ssuq mountain bike: ton ċar tal-ġilda|muntanja|persuna ssuq rota|rota|ton ċar tal-ġilda
	🚵🏼‍♀️;mara ssuq mountain bike: ton medju-ċar tal-ġilda;ċiklist|mara|mara ssuq mountain bike|mara ssuq mountain bike: ton medju-ċar tal-ġilda|muntanja|persuna ssuq rota|rota|ton medju-ċar tal-ġilda
	🚵🏽‍♀️;mara ssuq mountain bike: ton medju tal-ġilda;ċiklist|mara|mara ssuq mountain bike|mara ssuq mountain bike: ton medju tal-ġilda|muntanja|persuna ssuq rota|rota|ton medju tal-ġilda
	🚵🏾‍♀️;mara ssuq mountain bike: ton medju-skur tal-ġilda;ċiklist|mara|mara ssuq mountain bike|mara ssuq mountain bike: ton medju-skur tal-ġilda|muntanja|persuna ssuq rota|rota|ton medju-skur tal-ġilda
	🚵🏿‍♀️;mara ssuq mountain bike: ton skur tal-ġilda;ċiklist|mara|mara ssuq mountain bike|mara ssuq mountain bike: ton skur tal-ġilda|muntanja|persuna ssuq rota|rota|ton skur tal-ġilda
🤸;persuna tagħmel gabrijoli;gabrijola|ġinnastika|persuna tagħmel gabrijoli
	🤸🏻;persuna tagħmel gabrijoli: ton ċar tal-ġilda;gabrijola|ġinnastika|persuna tagħmel gabrijoli|persuna tagħmel gabrijoli: ton ċar tal-ġilda|ton ċar tal-ġilda
	🤸🏼;persuna tagħmel gabrijoli: ton medju-ċar tal-ġilda;gabrijola|ġinnastika|persuna tagħmel gabrijoli|persuna tagħmel gabrijoli: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🤸🏽;persuna tagħmel gabrijoli: ton medju tal-ġilda;gabrijola|ġinnastika|persuna tagħmel gabrijoli|persuna tagħmel gabrijoli: ton medju tal-ġilda|ton medju tal-ġilda
	🤸🏾;persuna tagħmel gabrijoli: ton medju-skur tal-ġilda;gabrijola|ġinnastika|persuna tagħmel gabrijoli|persuna tagħmel gabrijoli: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🤸🏿;persuna tagħmel gabrijoli: ton skur tal-ġilda;gabrijola|ġinnastika|persuna tagħmel gabrijoli|persuna tagħmel gabrijoli: ton skur tal-ġilda|ton skur tal-ġilda
🤸‍♂️;raġel jagħmel gabrijoli;gabrijola|ġinnastika|raġel|raġel jagħmel gabrijoli
	🤸🏻‍♂️;raġel jagħmel gabrijoli: ton ċar tal-ġilda;gabrijola|ġinnastika|raġel|raġel jagħmel gabrijoli|raġel jagħmel gabrijoli: ton ċar tal-ġilda|ton ċar tal-ġilda
	🤸🏼‍♂️;raġel jagħmel gabrijoli: ton medju-ċar tal-ġilda;gabrijola|ġinnastika|raġel|raġel jagħmel gabrijoli|raġel jagħmel gabrijoli: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🤸🏽‍♂️;raġel jagħmel gabrijoli: ton medju tal-ġilda;gabrijola|ġinnastika|raġel|raġel jagħmel gabrijoli|raġel jagħmel gabrijoli: ton medju tal-ġilda|ton medju tal-ġilda
	🤸🏾‍♂️;raġel jagħmel gabrijoli: ton medju-skur tal-ġilda;gabrijola|ġinnastika|raġel|raġel jagħmel gabrijoli|raġel jagħmel gabrijoli: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🤸🏿‍♂️;raġel jagħmel gabrijoli: ton skur tal-ġilda;gabrijola|ġinnastika|raġel|raġel jagħmel gabrijoli|raġel jagħmel gabrijoli: ton skur tal-ġilda|ton skur tal-ġilda
🤸‍♀️;mara tagħmel gabrijoli;gabrijola|ġinnastika|mara|mara tagħmel gabrijoli
	🤸🏻‍♀️;mara tagħmel gabrijoli: ton ċar tal-ġilda;gabrijola|ġinnastika|mara|mara tagħmel gabrijoli|mara tagħmel gabrijoli: ton ċar tal-ġilda|ton ċar tal-ġilda
	🤸🏼‍♀️;mara tagħmel gabrijoli: ton medju-ċar tal-ġilda;gabrijola|ġinnastika|mara|mara tagħmel gabrijoli|mara tagħmel gabrijoli: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🤸🏽‍♀️;mara tagħmel gabrijoli: ton medju tal-ġilda;gabrijola|ġinnastika|mara|mara tagħmel gabrijoli|mara tagħmel gabrijoli: ton medju tal-ġilda|ton medju tal-ġilda
	🤸🏾‍♀️;mara tagħmel gabrijoli: ton medju-skur tal-ġilda;gabrijola|ġinnastika|mara|mara tagħmel gabrijoli|mara tagħmel gabrijoli: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🤸🏿‍♀️;mara tagħmel gabrijoli: ton skur tal-ġilda;gabrijola|ġinnastika|mara|mara tagħmel gabrijoli|mara tagħmel gabrijoli: ton skur tal-ġilda|ton skur tal-ġilda
🤼;persuna jagħmlu r-wrestling;persuna jagħmlu r-wrestling|wrestle|wrestler
🤼‍♂️;irġiel jagħmlu r-wrestling;irġiel|irġiel jagħmlu r-wrestling|wrestle
🤼‍♀️;nisa jagħmlu r-wrestling;nisa|nisa jagħmlu r-wrestling|wrestle
🤽;persuna tilgħab il-waterpolo;ilma|persuna tilgħab il-waterpolo|polo
	🤽🏻;persuna tilgħab il-waterpolo: ton ċar tal-ġilda;ilma|persuna tilgħab il-waterpolo|persuna tilgħab il-waterpolo: ton ċar tal-ġilda|polo|ton ċar tal-ġilda
	🤽🏼;persuna tilgħab il-waterpolo: ton medju-ċar tal-ġilda;ilma|persuna tilgħab il-waterpolo|persuna tilgħab il-waterpolo: ton medju-ċar tal-ġilda|polo|ton medju-ċar tal-ġilda
	🤽🏽;persuna tilgħab il-waterpolo: ton medju tal-ġilda;ilma|persuna tilgħab il-waterpolo|persuna tilgħab il-waterpolo: ton medju tal-ġilda|polo|ton medju tal-ġilda
	🤽🏾;persuna tilgħab il-waterpolo: ton medju-skur tal-ġilda;ilma|persuna tilgħab il-waterpolo|persuna tilgħab il-waterpolo: ton medju-skur tal-ġilda|polo|ton medju-skur tal-ġilda
	🤽🏿;persuna tilgħab il-waterpolo: ton skur tal-ġilda;ilma|persuna tilgħab il-waterpolo|persuna tilgħab il-waterpolo: ton skur tal-ġilda|polo|ton skur tal-ġilda
🤽‍♂️;raġel jilgħab il-waterpolo;raġel|raġel jilgħab il-waterpolo|water polo
	🤽🏻‍♂️;raġel jilgħab il-waterpolo: ton ċar tal-ġilda;raġel|raġel jilgħab il-waterpolo|raġel jilgħab il-waterpolo: ton ċar tal-ġilda|ton ċar tal-ġilda|water polo
	🤽🏼‍♂️;raġel jilgħab il-waterpolo: ton medju-ċar tal-ġilda;raġel|raġel jilgħab il-waterpolo|raġel jilgħab il-waterpolo: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|water polo
	🤽🏽‍♂️;raġel jilgħab il-waterpolo: ton medju tal-ġilda;raġel|raġel jilgħab il-waterpolo|raġel jilgħab il-waterpolo: ton medju tal-ġilda|ton medju tal-ġilda|water polo
	🤽🏾‍♂️;raġel jilgħab il-waterpolo: ton medju-skur tal-ġilda;raġel|raġel jilgħab il-waterpolo|raġel jilgħab il-waterpolo: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda|water polo
	🤽🏿‍♂️;raġel jilgħab il-waterpolo: ton skur tal-ġilda;raġel|raġel jilgħab il-waterpolo|raġel jilgħab il-waterpolo: ton skur tal-ġilda|ton skur tal-ġilda|water polo
🤽‍♀️;mara tilgħab il-waterpolo;mara|mara tilgħab il-waterpolo|water polo
	🤽🏻‍♀️;mara tilgħab il-waterpolo: ton ċar tal-ġilda;mara|mara tilgħab il-waterpolo|mara tilgħab il-waterpolo: ton ċar tal-ġilda|ton ċar tal-ġilda|water polo
	🤽🏼‍♀️;mara tilgħab il-waterpolo: ton medju-ċar tal-ġilda;mara|mara tilgħab il-waterpolo|mara tilgħab il-waterpolo: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|water polo
	🤽🏽‍♀️;mara tilgħab il-waterpolo: ton medju tal-ġilda;mara|mara tilgħab il-waterpolo|mara tilgħab il-waterpolo: ton medju tal-ġilda|ton medju tal-ġilda|water polo
	🤽🏾‍♀️;mara tilgħab il-waterpolo: ton medju-skur tal-ġilda;mara|mara tilgħab il-waterpolo|mara tilgħab il-waterpolo: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda|water polo
	🤽🏿‍♀️;mara tilgħab il-waterpolo: ton skur tal-ġilda;mara|mara tilgħab il-waterpolo|mara tilgħab il-waterpolo: ton skur tal-ġilda|ton skur tal-ġilda|water polo
🤾;persuna tilgħab il-handball;ballun|handball|persuna tilgħab il-handball
	🤾🏻;persuna tilgħab il-handball: ton ċar tal-ġilda;ballun|handball|persuna tilgħab il-handball|persuna tilgħab il-handball: ton ċar tal-ġilda|ton ċar tal-ġilda
	🤾🏼;persuna tilgħab il-handball: ton medju-ċar tal-ġilda;ballun|handball|persuna tilgħab il-handball|persuna tilgħab il-handball: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🤾🏽;persuna tilgħab il-handball: ton medju tal-ġilda;ballun|handball|persuna tilgħab il-handball|persuna tilgħab il-handball: ton medju tal-ġilda|ton medju tal-ġilda
	🤾🏾;persuna tilgħab il-handball: ton medju-skur tal-ġilda;ballun|handball|persuna tilgħab il-handball|persuna tilgħab il-handball: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🤾🏿;persuna tilgħab il-handball: ton skur tal-ġilda;ballun|handball|persuna tilgħab il-handball|persuna tilgħab il-handball: ton skur tal-ġilda|ton skur tal-ġilda
🤾‍♂️;raġel jilgħab il-handball;handball|raġel|raġel jilgħab il-handball
	🤾🏻‍♂️;raġel jilgħab il-handball: ton ċar tal-ġilda;handball|raġel|raġel jilgħab il-handball|raġel jilgħab il-handball: ton ċar tal-ġilda|ton ċar tal-ġilda
	🤾🏼‍♂️;raġel jilgħab il-handball: ton medju-ċar tal-ġilda;handball|raġel|raġel jilgħab il-handball|raġel jilgħab il-handball: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🤾🏽‍♂️;raġel jilgħab il-handball: ton medju tal-ġilda;handball|raġel|raġel jilgħab il-handball|raġel jilgħab il-handball: ton medju tal-ġilda|ton medju tal-ġilda
	🤾🏾‍♂️;raġel jilgħab il-handball: ton medju-skur tal-ġilda;handball|raġel|raġel jilgħab il-handball|raġel jilgħab il-handball: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🤾🏿‍♂️;raġel jilgħab il-handball: ton skur tal-ġilda;handball|raġel|raġel jilgħab il-handball|raġel jilgħab il-handball: ton skur tal-ġilda|ton skur tal-ġilda
🤾‍♀️;mara tilgħab il-handball;handball|mara|mara tilgħab il-handball
	🤾🏻‍♀️;mara tilgħab il-handball: ton ċar tal-ġilda;handball|mara|mara tilgħab il-handball|mara tilgħab il-handball: ton ċar tal-ġilda|ton ċar tal-ġilda
	🤾🏼‍♀️;mara tilgħab il-handball: ton medju-ċar tal-ġilda;handball|mara|mara tilgħab il-handball|mara tilgħab il-handball: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🤾🏽‍♀️;mara tilgħab il-handball: ton medju tal-ġilda;handball|mara|mara tilgħab il-handball|mara tilgħab il-handball: ton medju tal-ġilda|ton medju tal-ġilda
	🤾🏾‍♀️;mara tilgħab il-handball: ton medju-skur tal-ġilda;handball|mara|mara tilgħab il-handball|mara tilgħab il-handball: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🤾🏿‍♀️;mara tilgħab il-handball: ton skur tal-ġilda;handball|mara|mara tilgħab il-handball|mara tilgħab il-handball: ton skur tal-ġilda|ton skur tal-ġilda
🤹;persuna tagħmel il-juggling;bilanċ|ħila|juggle|multitask|persuna tagħmel il-juggling
	🤹🏻;persuna tagħmel il-juggling: ton ċar tal-ġilda;bilanċ|ħila|juggle|multitask|persuna tagħmel il-juggling|persuna tagħmel il-juggling: ton ċar tal-ġilda|ton ċar tal-ġilda
	🤹🏼;persuna tagħmel il-juggling: ton medju-ċar tal-ġilda;bilanċ|ħila|juggle|multitask|persuna tagħmel il-juggling|persuna tagħmel il-juggling: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🤹🏽;persuna tagħmel il-juggling: ton medju tal-ġilda;bilanċ|ħila|juggle|multitask|persuna tagħmel il-juggling|persuna tagħmel il-juggling: ton medju tal-ġilda|ton medju tal-ġilda
	🤹🏾;persuna tagħmel il-juggling: ton medju-skur tal-ġilda;bilanċ|ħila|juggle|multitask|persuna tagħmel il-juggling|persuna tagħmel il-juggling: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🤹🏿;persuna tagħmel il-juggling: ton skur tal-ġilda;bilanċ|ħila|juggle|multitask|persuna tagħmel il-juggling|persuna tagħmel il-juggling: ton skur tal-ġilda|ton skur tal-ġilda
🤹‍♂️;raġel jagħmel il-juggling;juggling|multitask|raġel|raġel jagħmel il-juggling
	🤹🏻‍♂️;raġel jagħmel il-juggling: ton ċar tal-ġilda;juggling|multitask|raġel|raġel jagħmel il-juggling|raġel jagħmel il-juggling: ton ċar tal-ġilda|ton ċar tal-ġilda
	🤹🏼‍♂️;raġel jagħmel il-juggling: ton medju-ċar tal-ġilda;juggling|multitask|raġel|raġel jagħmel il-juggling|raġel jagħmel il-juggling: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🤹🏽‍♂️;raġel jagħmel il-juggling: ton medju tal-ġilda;juggling|multitask|raġel|raġel jagħmel il-juggling|raġel jagħmel il-juggling: ton medju tal-ġilda|ton medju tal-ġilda
	🤹🏾‍♂️;raġel jagħmel il-juggling: ton medju-skur tal-ġilda;juggling|multitask|raġel|raġel jagħmel il-juggling|raġel jagħmel il-juggling: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🤹🏿‍♂️;raġel jagħmel il-juggling: ton skur tal-ġilda;juggling|multitask|raġel|raġel jagħmel il-juggling|raġel jagħmel il-juggling: ton skur tal-ġilda|ton skur tal-ġilda
🤹‍♀️;mara tagħmel il-juggling;juggling|mara|mara tagħmel il-juggling|multitask
	🤹🏻‍♀️;mara tagħmel il-juggling: ton ċar tal-ġilda;juggling|mara|mara tagħmel il-juggling|mara tagħmel il-juggling: ton ċar tal-ġilda|multitask|ton ċar tal-ġilda
	🤹🏼‍♀️;mara tagħmel il-juggling: ton medju-ċar tal-ġilda;juggling|mara|mara tagħmel il-juggling|mara tagħmel il-juggling: ton medju-ċar tal-ġilda|multitask|ton medju-ċar tal-ġilda
	🤹🏽‍♀️;mara tagħmel il-juggling: ton medju tal-ġilda;juggling|mara|mara tagħmel il-juggling|mara tagħmel il-juggling: ton medju tal-ġilda|multitask|ton medju tal-ġilda
	🤹🏾‍♀️;mara tagħmel il-juggling: ton medju-skur tal-ġilda;juggling|mara|mara tagħmel il-juggling|mara tagħmel il-juggling: ton medju-skur tal-ġilda|multitask|ton medju-skur tal-ġilda
	🤹🏿‍♀️;mara tagħmel il-juggling: ton skur tal-ġilda;juggling|mara|mara tagħmel il-juggling|mara tagħmel il-juggling: ton skur tal-ġilda|multitask|ton skur tal-ġilda
🧘;persuna fil-pożizzjoni ta’ lotus;joga|meditazzjoni|persuna fil-pożizzjoni ta’ lotus
	🧘🏻;persuna fil-pożizzjoni ta’ lotus: ton ċar tal-ġilda;joga|meditazzjoni|persuna fil-pożizzjoni ta’ lotus|persuna fil-pożizzjoni ta’ lotus: ton ċar tal-ġilda|ton ċar tal-ġilda
	🧘🏼;persuna fil-pożizzjoni ta’ lotus: ton medju-ċar tal-ġilda;joga|meditazzjoni|persuna fil-pożizzjoni ta’ lotus|persuna fil-pożizzjoni ta’ lotus: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🧘🏽;persuna fil-pożizzjoni ta’ lotus: ton medju tal-ġilda;joga|meditazzjoni|persuna fil-pożizzjoni ta’ lotus|persuna fil-pożizzjoni ta’ lotus: ton medju tal-ġilda|ton medju tal-ġilda
	🧘🏾;persuna fil-pożizzjoni ta’ lotus: ton medju-skur tal-ġilda;joga|meditazzjoni|persuna fil-pożizzjoni ta’ lotus|persuna fil-pożizzjoni ta’ lotus: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🧘🏿;persuna fil-pożizzjoni ta’ lotus: ton skur tal-ġilda;joga|meditazzjoni|persuna fil-pożizzjoni ta’ lotus|persuna fil-pożizzjoni ta’ lotus: ton skur tal-ġilda|ton skur tal-ġilda
🧘‍♂️;raġel fil-pożizzjoni ta’ lotus;joga|meditazzjoni|raġel fil-pożizzjoni ta’ lotus
	🧘🏻‍♂️;raġel fil-pożizzjoni ta’ lotus: ton ċar tal-ġilda;joga|meditazzjoni|raġel fil-pożizzjoni ta’ lotus|raġel fil-pożizzjoni ta’ lotus: ton ċar tal-ġilda|ton ċar tal-ġilda
	🧘🏼‍♂️;raġel fil-pożizzjoni ta’ lotus: ton medju-ċar tal-ġilda;joga|meditazzjoni|raġel fil-pożizzjoni ta’ lotus|raġel fil-pożizzjoni ta’ lotus: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🧘🏽‍♂️;raġel fil-pożizzjoni ta’ lotus: ton medju tal-ġilda;joga|meditazzjoni|raġel fil-pożizzjoni ta’ lotus|raġel fil-pożizzjoni ta’ lotus: ton medju tal-ġilda|ton medju tal-ġilda
	🧘🏾‍♂️;raġel fil-pożizzjoni ta’ lotus: ton medju-skur tal-ġilda;joga|meditazzjoni|raġel fil-pożizzjoni ta’ lotus|raġel fil-pożizzjoni ta’ lotus: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🧘🏿‍♂️;raġel fil-pożizzjoni ta’ lotus: ton skur tal-ġilda;joga|meditazzjoni|raġel fil-pożizzjoni ta’ lotus|raġel fil-pożizzjoni ta’ lotus: ton skur tal-ġilda|ton skur tal-ġilda
🧘‍♀️;mara fil-pożizzjoni ta’ lotus;joga|mara fil-pożizzjoni ta’ lotus|meditazzjoni
	🧘🏻‍♀️;mara fil-pożizzjoni ta’ lotus: ton ċar tal-ġilda;joga|mara fil-pożizzjoni ta’ lotus|mara fil-pożizzjoni ta’ lotus: ton ċar tal-ġilda|meditazzjoni|ton ċar tal-ġilda
	🧘🏼‍♀️;mara fil-pożizzjoni ta’ lotus: ton medju-ċar tal-ġilda;joga|mara fil-pożizzjoni ta’ lotus|mara fil-pożizzjoni ta’ lotus: ton medju-ċar tal-ġilda|meditazzjoni|ton medju-ċar tal-ġilda
	🧘🏽‍♀️;mara fil-pożizzjoni ta’ lotus: ton medju tal-ġilda;joga|mara fil-pożizzjoni ta’ lotus|mara fil-pożizzjoni ta’ lotus: ton medju tal-ġilda|meditazzjoni|ton medju tal-ġilda
	🧘🏾‍♀️;mara fil-pożizzjoni ta’ lotus: ton medju-skur tal-ġilda;joga|mara fil-pożizzjoni ta’ lotus|mara fil-pożizzjoni ta’ lotus: ton medju-skur tal-ġilda|meditazzjoni|ton medju-skur tal-ġilda
	🧘🏿‍♀️;mara fil-pożizzjoni ta’ lotus: ton skur tal-ġilda;joga|mara fil-pożizzjoni ta’ lotus|mara fil-pożizzjoni ta’ lotus: ton skur tal-ġilda|meditazzjoni|ton skur tal-ġilda
🛀;persuna tieħu banju;banju|persuna tieħu banju
	🛀🏻;persuna tieħu banju: ton ċar tal-ġilda;banju|persuna tieħu banju|persuna tieħu banju: ton ċar tal-ġilda|ton ċar tal-ġilda
	🛀🏼;persuna tieħu banju: ton medju-ċar tal-ġilda;banju|persuna tieħu banju|persuna tieħu banju: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🛀🏽;persuna tieħu banju: ton medju tal-ġilda;banju|persuna tieħu banju|persuna tieħu banju: ton medju tal-ġilda|ton medju tal-ġilda
	🛀🏾;persuna tieħu banju: ton medju-skur tal-ġilda;banju|persuna tieħu banju|persuna tieħu banju: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🛀🏿;persuna tieħu banju: ton skur tal-ġilda;banju|persuna tieħu banju|persuna tieħu banju: ton skur tal-ġilda|ton skur tal-ġilda
🛌;persuna fis-sodda;lukanda|persuna fis-sodda|rqad
	🛌🏻;persuna fis-sodda: ton ċar tal-ġilda;lukanda|persuna fis-sodda|persuna fis-sodda: ton ċar tal-ġilda|rqad|ton ċar tal-ġilda
	🛌🏼;persuna fis-sodda: ton medju-ċar tal-ġilda;lukanda|persuna fis-sodda|persuna fis-sodda: ton medju-ċar tal-ġilda|rqad|ton medju-ċar tal-ġilda
	🛌🏽;persuna fis-sodda: ton medju tal-ġilda;lukanda|persuna fis-sodda|persuna fis-sodda: ton medju tal-ġilda|rqad|ton medju tal-ġilda
	🛌🏾;persuna fis-sodda: ton medju-skur tal-ġilda;lukanda|persuna fis-sodda|persuna fis-sodda: ton medju-skur tal-ġilda|rqad|ton medju-skur tal-ġilda
	🛌🏿;persuna fis-sodda: ton skur tal-ġilda;lukanda|persuna fis-sodda|persuna fis-sodda: ton skur tal-ġilda|rqad|ton skur tal-ġilda
🧑‍🤝‍🧑;;
	🧑🏻‍🤝‍🧑🏻;;
	🧑🏻‍🤝‍🧑🏼;;
	🧑🏻‍🤝‍🧑🏽;;
	🧑🏻‍🤝‍🧑🏾;;
	🧑🏻‍🤝‍🧑🏿;;
	🧑🏼‍🤝‍🧑🏻;;
	🧑🏼‍🤝‍🧑🏼;;
	🧑🏼‍🤝‍🧑🏽;;
	🧑🏼‍🤝‍🧑🏾;;
	🧑🏼‍🤝‍🧑🏿;;
	🧑🏽‍🤝‍🧑🏻;;
	🧑🏽‍🤝‍🧑🏼;;
	🧑🏽‍🤝‍🧑🏽;;
	🧑🏽‍🤝‍🧑🏾;;
	🧑🏽‍🤝‍🧑🏿;;
	🧑🏾‍🤝‍🧑🏻;;
	🧑🏾‍🤝‍🧑🏼;;
	🧑🏾‍🤝‍🧑🏽;;
	🧑🏾‍🤝‍🧑🏾;;
	🧑🏾‍🤝‍🧑🏿;;
	🧑🏿‍🤝‍🧑🏻;;
	🧑🏿‍🤝‍🧑🏼;;
	🧑🏿‍🤝‍🧑🏽;;
	🧑🏿‍🤝‍🧑🏾;;
	🧑🏿‍🤝‍🧑🏿;;
👭;żewġ nisa jżommu jdejhom;idejn|koppja|mara|żewġ nisa jżommu jdejhom|żomm
	👭🏻;żewġ nisa jżommu jdejhom: ton ċar tal-ġilda;idejn|koppja|mara|ton ċar tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton ċar tal-ġilda|żomm
	👩🏻‍🤝‍👩🏼;żewġ nisa jżommu jdejhom: ton ċar tal-ġilda u ton medju-ċar tal-ġilda;idejn|koppja|mara|ton ċar tal-ġilda|ton medju-ċar tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton ċar tal-ġilda u ton medju-ċar tal-ġilda|żomm
	👩🏻‍🤝‍👩🏽;żewġ nisa jżommu jdejhom: ton ċar tal-ġilda u ton medju tal-ġilda;idejn|koppja|mara|ton ċar tal-ġilda|ton medju tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton ċar tal-ġilda u ton medju tal-ġilda|żomm
	👩🏻‍🤝‍👩🏾;żewġ nisa jżommu jdejhom: ton ċar tal-ġilda u ton medju-skur tal-ġilda;idejn|koppja|mara|ton ċar tal-ġilda|ton medju-skur tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton ċar tal-ġilda u ton medju-skur tal-ġilda|żomm
	👩🏻‍🤝‍👩🏿;żewġ nisa jżommu jdejhom: ton ċar tal-ġilda u ton skur tal-ġilda;idejn|koppja|mara|ton ċar tal-ġilda|ton skur tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton ċar tal-ġilda u ton skur tal-ġilda|żomm
	👩🏼‍🤝‍👩🏻;żewġ nisa jżommu jdejhom: ton medju-ċar tal-ġilda u ton ċar tal-ġilda;idejn|koppja|mara|ton ċar tal-ġilda|ton medju-ċar tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton medju-ċar tal-ġilda u ton ċar tal-ġilda|żomm
	👭🏼;żewġ nisa jżommu jdejhom: ton medju-ċar tal-ġilda;idejn|koppja|mara|ton medju-ċar tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton medju-ċar tal-ġilda|żomm
	👩🏼‍🤝‍👩🏽;żewġ nisa jżommu jdejhom: ton medju-ċar tal-ġilda u ton medju tal-ġilda;idejn|koppja|mara|ton medju tal-ġilda|ton medju-ċar tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton medju-ċar tal-ġilda u ton medju tal-ġilda|żomm
	👩🏼‍🤝‍👩🏾;żewġ nisa jżommu jdejhom: ton medju-ċar tal-ġilda u ton medju-skur tal-ġilda;idejn|koppja|mara|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton medju-ċar tal-ġilda u ton medju-skur tal-ġilda|żomm
	👩🏼‍🤝‍👩🏿;żewġ nisa jżommu jdejhom: ton medju-ċar tal-ġilda u ton skur tal-ġilda;idejn|koppja|mara|ton medju-ċar tal-ġilda|ton skur tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton medju-ċar tal-ġilda u ton skur tal-ġilda|żomm
	👩🏽‍🤝‍👩🏻;żewġ nisa jżommu jdejhom: ton medju tal-ġilda u ton ċar tal-ġilda;idejn|koppja|mara|ton ċar tal-ġilda|ton medju tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton medju tal-ġilda u ton ċar tal-ġilda|żomm
	👩🏽‍🤝‍👩🏼;żewġ nisa jżommu jdejhom: ton medju tal-ġilda u ton medju-ċar tal-ġilda;idejn|koppja|mara|ton medju tal-ġilda|ton medju-ċar tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton medju tal-ġilda u ton medju-ċar tal-ġilda|żomm
	👭🏽;żewġ nisa jżommu jdejhom: ton medju tal-ġilda;idejn|koppja|mara|ton medju tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton medju tal-ġilda|żomm
	👩🏽‍🤝‍👩🏾;żewġ nisa jżommu jdejhom: ton medju tal-ġilda u ton medju-skur tal-ġilda;idejn|koppja|mara|ton medju tal-ġilda|ton medju-skur tal-ġilda|żewġ nisa jżommu jdejhom|żewġ nisa jżommu jdejhom: ton medju tal-ġilda u ton medju-skur tal-ġilda|żomm
