[smileys_emotion]
😀;față încântată;față|față încântată|încântare
	🤱🏾;alăptare la sân: ton semi‑închis al pielii;alăptare|alăptare la sân|alăptare la sân: ton semi‑închis al pielii|bebeluș|piept|sân|ton semi‑închis al pielii
	🤱🏿;alăptare la sân: ton închis al pielii;alăptare|alăptare la sân|alăptare la sân: ton închis al pielii|bebeluș|piept|sân|ton închis al pielii
👩‍🍼;femeie hrănind un bebeluș;alăptare|bebeluș|femeie|femeie hrănind un bebeluș|hrănire|îngrijire
	👩🏻‍🍼;femeie hrănind un bebeluș: ton deschis al pielii;alăptare|bebeluș|femeie|femeie hrănind un bebeluș|femeie hrănind un bebeluș: ton deschis al pielii|hrănire|îngrijire|ton deschis al pielii
	👩🏼‍🍼;femeie hrănind un bebeluș: ton semi‑deschis al pielii;alăptare|bebeluș|femeie|femeie hrănind un bebeluș|femeie hrănind un bebeluș: ton semi‑deschis al pielii|hrănire|îngrijire|ton semi‑deschis al pielii
	👩🏽‍🍼;femeie hrănind un bebeluș: ton mediu al pielii;alăptare|bebeluș|femeie|femeie hrănind un bebeluș|femeie hrănind un bebeluș: ton mediu al pielii|hrănire|îngrijire|ton mediu al pielii
	👩🏾‍🍼;femeie hrănind un bebeluș: ton semi‑închis al pielii;alăptare|bebeluș|femeie|femeie hrănind un bebeluș|femeie hrănind un bebeluș: ton semi‑închis al pielii|hrănire|îngrijire|ton semi‑închis al pielii
	👩🏿‍🍼;femeie hrănind un bebeluș: ton închis al pielii;alăptare|bebeluș|femeie|femeie hrănind un bebeluș|femeie hrănind un bebeluș: ton închis al pielii|hrănire|îngrijire|ton închis al pielii
👨‍🍼;bărbat hrănind un bebeluș;bărbat|bărbat hrănind un bebeluș|bebeluș|hrănire|îngrijire
	👨🏻‍🍼;bărbat hrănind un bebeluș: ton deschis al pielii;bărbat|bărbat hrănind un bebeluș|bărbat hrănind un bebeluș: ton deschis al pielii|bebeluș|hrănire|îngrijire|ton deschis al pielii
	👨🏼‍🍼;bărbat hrănind un bebeluș: ton semi‑deschis al pielii;bărbat|bărbat hrănind un bebeluș|bărbat hrănind un bebeluș: ton semi‑deschis al pielii|bebeluș|hrănire|îngrijire|ton semi‑deschis al pielii
	👨🏽‍🍼;bărbat hrănind un bebeluș: ton mediu al pielii;bărbat|bărbat hrănind un bebeluș|bărbat hrănind un bebeluș: ton mediu al pielii|bebeluș|hrănire|îngrijire|ton mediu al pielii
	👨🏾‍🍼;bărbat hrănind un bebeluș: ton semi‑închis al pielii;bărbat|bărbat hrănind un bebeluș|bărbat hrănind un bebeluș: ton semi‑închis al pielii|bebeluș|hrănire|îngrijire|ton semi‑închis al pielii
	👨🏿‍🍼;bărbat hrănind un bebeluș: ton închis al pielii;bărbat|bărbat hrănind un bebeluș|bărbat hrănind un bebeluș: ton închis al pielii|bebeluș|hrănire|îngrijire|ton închis al pielii
🧑‍🍼;persoană hrănind un bebeluș;alăptare|bebeluș|hrănire|îngrijire|persoană|persoană hrănind un bebeluș
	🧑🏻‍🍼;persoană hrănind un bebeluș: ton deschis al pielii;alăptare|bebeluș|hrănire|îngrijire|persoană|persoană hrănind un bebeluș|persoană hrănind un bebeluș: ton deschis al pielii|ton deschis al pielii
	🧑🏼‍🍼;persoană hrănind un bebeluș: ton semi‑deschis al pielii;alăptare|bebeluș|hrănire|îngrijire|persoană|persoană hrănind un bebeluș|persoană hrănind un bebeluș: ton semi‑deschis al pielii|ton semi‑deschis al pielii
	🧑🏽‍🍼;persoană hrănind un bebeluș: ton mediu al pielii;alăptare|bebeluș|hrănire|îngrijire|persoană|persoană hrănind un bebeluș|persoană hrănind un bebeluș: ton mediu al pielii|ton mediu al pielii
	🧑🏾‍🍼;persoană hrănind un bebeluș: ton semi‑închis al pielii;alăptare|bebeluș|hrănire|îngrijire|persoană|persoană hrănind un bebeluș|persoană hrănind un bebeluș: ton semi‑închis al pielii|ton semi‑închis al pielii
	🧑🏿‍🍼;persoană hrănind un bebeluș: ton închis al pielii;alăptare|bebeluș|hrănire|îngrijire|persoană|persoană hrănind un bebeluș|persoană hrănind un bebeluș: ton închis al pielii|ton închis al pielii
👼;bebeluș îngeraș;basm|bebeluș|bebeluș îngeraș|fantezie|față|înger
	👼🏻;bebeluș îngeraș: ton deschis al pielii;basm|bebeluș|bebeluș îngeraș|bebeluș îngeraș: ton deschis al pielii|fantezie|față|înger|ton deschis al pielii
	👼🏼;bebeluș îngeraș: ton semi‑deschis al pielii;basm|bebeluș|bebeluș îngeraș|bebeluș îngeraș: ton semi‑deschis al pielii|fantezie|față|înger|ton semi‑deschis al pielii
	👼🏽;bebeluș îngeraș: ton mediu al pielii;basm|bebeluș|bebeluș îngeraș|bebeluș îngeraș: ton mediu al pielii|fantezie|față|înger|ton mediu al pielii
	👼🏾;bebeluș îngeraș: ton semi‑închis al pielii;basm|bebeluș|bebeluș îngeraș|bebeluș îngeraș: ton semi‑închis al pielii|fantezie|față|înger|ton semi‑închis al pielii
	👼🏿;bebeluș îngeraș: ton închis al pielii;basm|bebeluș|bebeluș îngeraș|bebeluș îngeraș: ton închis al pielii|fantezie|față|înger|ton închis al pielii
🎅;Moș Crăciun;Crăciun|moș|sărbătoare
	🎅🏻;Moș Crăciun: ton deschis al pielii;Crăciun|moș|Moș Crăciun: ton deschis al pielii|sărbătoare|ton deschis al pielii
	🎅🏼;Moș Crăciun: ton semi‑deschis al pielii;Crăciun|moș|Moș Crăciun: ton semi‑deschis al pielii|sărbătoare|ton semi‑deschis al pielii
	🎅🏽;Moș Crăciun: ton mediu al pielii;Crăciun|moș|Moș Crăciun: ton mediu al pielii|sărbătoare|ton mediu al pielii
	🎅🏾;Moș Crăciun: ton semi‑închis al pielii;Crăciun|moș|Moș Crăciun: ton semi‑închis al pielii|sărbătoare|ton semi‑închis al pielii
	🎅🏿;Moș Crăciun: ton închis al pielii;Crăciun|moș|Moș Crăciun: ton închis al pielii|sărbătoare|ton închis al pielii
🤶;Doamna Crăciun;Crăciun|doamna|sărbătoare
	🤶🏻;Doamna Crăciun: ton deschis al pielii;Crăciun|doamna|Doamna Crăciun: ton deschis al pielii|sărbătoare|ton deschis al pielii
	🤶🏼;Doamna Crăciun: ton semi‑deschis al pielii;Crăciun|doamna|Doamna Crăciun: ton semi‑deschis al pielii|sărbătoare|ton semi‑deschis al pielii
	🤶🏽;Doamna Crăciun: ton mediu al pielii;Crăciun|doamna|Doamna Crăciun: ton mediu al pielii|sărbătoare|ton mediu al pielii
	🤶🏾;Doamna Crăciun: ton semi‑închis al pielii;Crăciun|doamna|Doamna Crăciun: ton semi‑închis al pielii|sărbătoare|ton semi‑închis al pielii
	🤶🏿;Doamna Crăciun: ton închis al pielii;Crăciun|doamna|Doamna Crăciun: ton închis al pielii|sărbătoare|ton închis al pielii
🧑‍🎄;Crăciun;Crăciun
	🧑🏻‍🎄;Crăciun: ton deschis al pielii;Crăciun|Crăciun: ton deschis al pielii|ton deschis al pielii
	🧑🏼‍🎄;Crăciun: ton semi‑deschis al pielii;Crăciun|Crăciun: ton semi‑deschis al pielii|ton semi‑deschis al pielii
	🧑🏽‍🎄;Crăciun: ton mediu al pielii;Crăciun|Crăciun: ton mediu al pielii|ton mediu al pielii
	🧑🏾‍🎄;Crăciun: ton semi‑închis al pielii;Crăciun|Crăciun: ton semi‑închis al pielii|ton semi‑închis al pielii
	🧑🏿‍🎄;Crăciun: ton închis al pielii;Crăciun|Crăciun: ton închis al pielii|ton închis al pielii
🦸;supererou;bun|eroină|erou|supererou|superputere|superputeri
	🦸🏻;supererou: ton deschis al pielii;bun|eroină|erou|supererou|supererou: ton deschis al pielii|superputere|superputeri|ton deschis al pielii
	🦸🏼;supererou: ton semi‑deschis al pielii;bun|eroină|erou|supererou|supererou: ton semi‑deschis al pielii|superputere|superputeri|ton semi‑deschis al pielii
	🦸🏽;supererou: ton mediu al pielii;bun|eroină|erou|supererou|supererou: ton mediu al pielii|superputere|superputeri|ton mediu al pielii
	🦸🏾;supererou: ton semi‑închis al pielii;bun|eroină|erou|supererou|supererou: ton semi‑închis al pielii|superputere|superputeri|ton semi‑închis al pielii
	🦸🏿;supererou: ton închis al pielii;bun|eroină|erou|supererou|supererou: ton închis al pielii|superputere|superputeri|ton închis al pielii
🦸‍♂️;supererou bărbat;bărbat|bun|erou|supererou bărbat|superputere
	🦸🏻‍♂️;supererou bărbat: ton deschis al pielii;bărbat|bun|erou|supererou bărbat|supererou bărbat: ton deschis al pielii|superputere|ton deschis al pielii
	🦸🏼‍♂️;supererou bărbat: ton semi‑deschis al pielii;bărbat|bun|erou|supererou bărbat|supererou bărbat: ton semi‑deschis al pielii|superputere|ton semi‑deschis al pielii
	🦸🏽‍♂️;supererou bărbat: ton mediu al pielii;bărbat|bun|erou|supererou bărbat|supererou bărbat: ton mediu al pielii|superputere|ton mediu al pielii
	🦸🏾‍♂️;supererou bărbat: ton semi‑închis al pielii;bărbat|bun|erou|supererou bărbat|supererou bărbat: ton semi‑închis al pielii|superputere|ton semi‑închis al pielii
	🦸🏿‍♂️;supererou bărbat: ton închis al pielii;bărbat|bun|erou|supererou bărbat|supererou bărbat: ton închis al pielii|superputere|ton închis al pielii
🦸‍♀️;supererou femeie;bună|eroină|erou|femeie|supererou femeie|superputere
	🦸🏻‍♀️;supererou femeie: ton deschis al pielii;bună|eroină|erou|femeie|supererou femeie|supererou femeie: ton deschis al pielii|superputere|ton deschis al pielii
	🦸🏼‍♀️;supererou femeie: ton semi‑deschis al pielii;bună|eroină|erou|femeie|supererou femeie|supererou femeie: ton semi‑deschis al pielii|superputere|ton semi‑deschis al pielii
	🦸🏽‍♀️;supererou femeie: ton mediu al pielii;bună|eroină|erou|femeie|supererou femeie|supererou femeie: ton mediu al pielii|superputere|ton mediu al pielii
	🦸🏾‍♀️;supererou femeie: ton semi‑închis al pielii;bună|eroină|erou|femeie|supererou femeie|supererou femeie: ton semi‑închis al pielii|superputere|ton semi‑închis al pielii
	🦸🏿‍♀️;supererou femeie: ton închis al pielii;bună|eroină|erou|femeie|supererou femeie|supererou femeie: ton închis al pielii|superputere|ton închis al pielii
🦹;super-ticălos;criminal|malefic|super-ticălos|superputere|ticălos
	🦹🏻;super-ticălos: ton deschis al pielii;criminal|malefic|super-ticălos|super-ticălos: ton deschis al pielii|superputere|ticălos|ton deschis al pielii
	🦹🏼;super-ticălos: ton semi‑deschis al pielii;criminal|malefic|super-ticălos|super-ticălos: ton semi‑deschis al pielii|superputere|ticălos|ton semi‑deschis al pielii
	🦹🏽;super-ticălos: ton mediu al pielii;criminal|malefic|super-ticălos|super-ticălos: ton mediu al pielii|superputere|ticălos|ton mediu al pielii
	🦹🏾;super-ticălos: ton semi‑închis al pielii;criminal|malefic|super-ticălos|super-ticălos: ton semi‑închis al pielii|superputere|ticălos|ton semi‑închis al pielii
	🦹🏿;super-ticălos: ton închis al pielii;criminal|malefic|super-ticălos|super-ticălos: ton închis al pielii|superputere|ticălos|ton închis al pielii
🦹‍♂️;super-ticălos bărbat;bărbat|criminal|malefic|super-ticălos bărbat|superputere|ticălos
	🦹🏻‍♂️;super-ticălos bărbat: ton deschis al pielii;bărbat|criminal|malefic|super-ticălos bărbat|super-ticălos bărbat: ton deschis al pielii|superputere|ticălos|ton deschis al pielii
	🦹🏼‍♂️;super-ticălos bărbat: ton semi‑deschis al pielii;bărbat|criminal|malefic|super-ticălos bărbat|super-ticălos bărbat: ton semi‑deschis al pielii|superputere|ticălos|ton semi‑deschis al pielii
	🦹🏽‍♂️;super-ticălos bărbat: ton mediu al pielii;bărbat|criminal|malefic|super-ticălos bărbat|super-ticălos bărbat: ton mediu al pielii|superputere|ticălos|ton mediu al pielii
	🦹🏾‍♂️;super-ticălos bărbat: ton semi‑închis al pielii;bărbat|criminal|malefic|super-ticălos bărbat|super-ticălos bărbat: ton semi‑închis al pielii|superputere|ticălos|ton semi‑închis al pielii
	🦹🏿‍♂️;super-ticălos bărbat: ton închis al pielii;bărbat|criminal|malefic|super-ticălos bărbat|super-ticălos bărbat: ton închis al pielii|superputere|ticălos|ton închis al pielii
🦹‍♀️;super-ticălos femeie;criminală|femeie|malefică|super-ticălos femeie|superputere|ticăloasă
	🦹🏻‍♀️;super-ticălos femeie: ton deschis al pielii;criminală|femeie|malefică|super-ticălos femeie|super-ticălos femeie: ton deschis al pielii|superputere|ticăloasă|ton deschis al pielii
	🦹🏼‍♀️;super-ticălos femeie: ton semi‑deschis al pielii;criminală|femeie|malefică|super-ticălos femeie|super-ticălos femeie: ton semi‑deschis al pielii|superputere|ticăloasă|ton semi‑deschis al pielii
	🦹🏽‍♀️;super-ticălos femeie: ton mediu al pielii;criminală|femeie|malefică|super-ticălos femeie|super-ticălos femeie: ton mediu al pielii|superputere|ticăloasă|ton mediu al pielii
	🦹🏾‍♀️;super-ticălos femeie: ton semi‑închis al pielii;criminală|femeie|malefică|super-ticălos femeie|super-ticălos femeie: ton semi‑închis al pielii|superputere|ticăloasă|ton semi‑închis al pielii
	🦹🏿‍♀️;super-ticălos femeie: ton închis al pielii;criminală|femeie|malefică|super-ticălos femeie|super-ticălos femeie: ton închis al pielii|superputere|ticăloasă|ton închis al pielii
🧙;mag;mag|magician|vraci|vrăjitor
	🧙🏻;mag: ton deschis al pielii;mag|mag: ton deschis al pielii|magician|ton deschis al pielii|vraci|vrăjitor
	🧙🏼;mag: ton semi‑deschis al pielii;mag|mag: ton semi‑deschis al pielii|magician|ton semi‑deschis al pielii|vraci|vrăjitor
	🧙🏽;mag: ton mediu al pielii;mag|mag: ton mediu al pielii|magician|ton mediu al pielii|vraci|vrăjitor
	🧙🏾;mag: ton semi‑închis al pielii;mag|mag: ton semi‑închis al pielii|magician|ton semi‑închis al pielii|vraci|vrăjitor
	🧙🏿;mag: ton închis al pielii;mag|mag: ton închis al pielii|magician|ton închis al pielii|vraci|vrăjitor
🧙‍♂️;bărbat mag;bărbat mag|magician|vraci|vrăjitor
	🧙🏻‍♂️;bărbat mag: ton deschis al pielii;bărbat mag|bărbat mag: ton deschis al pielii|magician|ton deschis al pielii|vraci|vrăjitor
	🧙🏼‍♂️;bărbat mag: ton semi‑deschis al pielii;bărbat mag|bărbat mag: ton semi‑deschis al pielii|magician|ton semi‑deschis al pielii|vraci|vrăjitor
	🧙🏽‍♂️;bărbat mag: ton mediu al pielii;bărbat mag|bărbat mag: ton mediu al pielii|magician|ton mediu al pielii|vraci|vrăjitor
	🧙🏾‍♂️;bărbat mag: ton semi‑închis al pielii;bărbat mag|bărbat mag: ton semi‑închis al pielii|magician|ton semi‑închis al pielii|vraci|vrăjitor
	🧙🏿‍♂️;bărbat mag: ton închis al pielii;bărbat mag|bărbat mag: ton închis al pielii|magician|ton închis al pielii|vraci|vrăjitor
🧙‍♀️;femeie mag;femeie mag|magiciană|vrăjitoare
	🧙🏻‍♀️;femeie mag: ton deschis al pielii;femeie mag|femeie mag: ton deschis al pielii|magiciană|ton deschis al pielii|vrăjitoare
	🧙🏼‍♀️;femeie mag: ton semi‑deschis al pielii;femeie mag|femeie mag: ton semi‑deschis al pielii|magiciană|ton semi‑deschis al pielii|vrăjitoare
	🧙🏽‍♀️;femeie mag: ton mediu al pielii;femeie mag|femeie mag: ton mediu al pielii|magiciană|ton mediu al pielii|vrăjitoare
	🧙🏾‍♀️;femeie mag: ton semi‑închis al pielii;femeie mag|femeie mag: ton semi‑închis al pielii|magiciană|ton semi‑închis al pielii|vrăjitoare
	🧙🏿‍♀️;femeie mag: ton închis al pielii;femeie mag|femeie mag: ton închis al pielii|magiciană|ton închis al pielii|vrăjitoare
🧚;zână;Oberon|Puck|Titania|zână
	🧚🏻;zână: ton deschis al pielii;Oberon|Puck|Titania|ton deschis al pielii|zână|zână: ton deschis al pielii
	🧚🏼;zână: ton semi‑deschis al pielii;Oberon|Puck|Titania|ton semi‑deschis al pielii|zână|zână: ton semi‑deschis al pielii
	🧚🏽;zână: ton mediu al pielii;Oberon|Puck|Titania|ton mediu al pielii|zână|zână: ton mediu al pielii
	🧚🏾;zână: ton semi‑închis al pielii;Oberon|Puck|Titania|ton semi‑închis al pielii|zână|zână: ton semi‑închis al pielii
	🧚🏿;zână: ton închis al pielii;Oberon|Puck|Titania|ton închis al pielii|zână|zână: ton închis al pielii
🧚‍♂️;bărbat zână;bărbat zână|Oberon|Puck
	🧚🏻‍♂️;bărbat zână: ton deschis al pielii;bărbat zână|bărbat zână: ton deschis al pielii|Oberon|Puck|ton deschis al pielii
	🧚🏼‍♂️;bărbat zână: ton semi‑deschis al pielii;bărbat zână|bărbat zână: ton semi‑deschis al pielii|Oberon|Puck|ton semi‑deschis al pielii
	🧚🏽‍♂️;bărbat zână: ton mediu al pielii;bărbat zână|bărbat zână: ton mediu al pielii|Oberon|Puck|ton mediu al pielii
	🧚🏾‍♂️;bărbat zână: ton semi‑închis al pielii;bărbat zână|bărbat zână: ton semi‑închis al pielii|Oberon|Puck|ton semi‑închis al pielii
	🧚🏿‍♂️;bărbat zână: ton închis al pielii;bărbat zână|bărbat zână: ton închis al pielii|Oberon|Puck|ton închis al pielii
🧚‍♀️;femeie zână;femeie zână|Titania
	🧚🏻‍♀️;femeie zână: ton deschis al pielii;femeie zână|femeie zână: ton deschis al pielii|Titania|ton deschis al pielii
	🧚🏼‍♀️;femeie zână: ton semi‑deschis al pielii;femeie zână|femeie zână: ton semi‑deschis al pielii|Titania|ton semi‑deschis al pielii
	🧚🏽‍♀️;femeie zână: ton mediu al pielii;femeie zână|femeie zână: ton mediu al pielii|Titania|ton mediu al pielii
	🧚🏾‍♀️;femeie zână: ton semi‑închis al pielii;femeie zână|femeie zână: ton semi‑închis al pielii|Titania|ton semi‑închis al pielii
	🧚🏿‍♀️;femeie zână: ton închis al pielii;femeie zână|femeie zână: ton închis al pielii|Titania|ton închis al pielii
🧛;vampir;Dracula|strigoi|vampir
	🧛🏻;vampir: ton deschis al pielii;Dracula|strigoi|ton deschis al pielii|vampir|vampir: ton deschis al pielii
	🧛🏼;vampir: ton semi‑deschis al pielii;Dracula|strigoi|ton semi‑deschis al pielii|vampir|vampir: ton semi‑deschis al pielii
	🧛🏽;vampir: ton mediu al pielii;Dracula|strigoi|ton mediu al pielii|vampir|vampir: ton mediu al pielii
	🧛🏾;vampir: ton semi‑închis al pielii;Dracula|strigoi|ton semi‑închis al pielii|vampir|vampir: ton semi‑închis al pielii
	🧛🏿;vampir: ton închis al pielii;Dracula|strigoi|ton închis al pielii|vampir|vampir: ton închis al pielii
🧛‍♂️;bărbat vampir;bărbat vampir|Dracula|strigoi
	🧛🏻‍♂️;bărbat vampir: ton deschis al pielii;bărbat vampir|bărbat vampir: ton deschis al pielii|Dracula|strigoi|ton deschis al pielii
	🧛🏼‍♂️;bărbat vampir: ton semi‑deschis al pielii;bărbat vampir|bărbat vampir: ton semi‑deschis al pielii|Dracula|strigoi|ton semi‑deschis al pielii
	🧛🏽‍♂️;bărbat vampir: ton mediu al pielii;bărbat vampir|bărbat vampir: ton mediu al pielii|Dracula|strigoi|ton mediu al pielii
	🧛🏾‍♂️;bărbat vampir: ton semi‑închis al pielii;bărbat vampir|bărbat vampir: ton semi‑închis al pielii|Dracula|strigoi|ton semi‑închis al pielii
	🧛🏿‍♂️;bărbat vampir: ton închis al pielii;bărbat vampir|bărbat vampir: ton închis al pielii|Dracula|strigoi|ton închis al pielii
🧛‍♀️;femeie vampir;femeie vampir|strigoaie
	🧛🏻‍♀️;femeie vampir: ton deschis al pielii;femeie vampir|femeie vampir: ton deschis al pielii|strigoaie|ton deschis al pielii
	🧛🏼‍♀️;femeie vampir: ton semi‑deschis al pielii;femeie vampir|femeie vampir: ton semi‑deschis al pielii|strigoaie|ton semi‑deschis al pielii
	🧛🏽‍♀️;femeie vampir: ton mediu al pielii;femeie vampir|femeie vampir: ton mediu al pielii|strigoaie|ton mediu al pielii
	🧛🏾‍♀️;femeie vampir: ton semi‑închis al pielii;femeie vampir|femeie vampir: ton semi‑închis al pielii|strigoaie|ton semi‑închis al pielii
	🧛🏿‍♀️;femeie vampir: ton închis al pielii;femeie vampir|femeie vampir: ton închis al pielii|strigoaie|ton închis al pielii
🧜;persoană sirenă;persoană sirenă|sirenă|sirene
	🧜🏻;persoană sirenă: ton deschis al pielii;persoană sirenă|persoană sirenă: ton deschis al pielii|sirenă|sirene|ton deschis al pielii
	🧜🏼;persoană sirenă: ton semi‑deschis al pielii;persoană sirenă|persoană sirenă: ton semi‑deschis al pielii|sirenă|sirene|ton semi‑deschis al pielii
	🧜🏽;persoană sirenă: ton mediu al pielii;persoană sirenă|persoană sirenă: ton mediu al pielii|sirenă|sirene|ton mediu al pielii
	🧜🏾;persoană sirenă: ton semi‑închis al pielii;persoană sirenă|persoană sirenă: ton semi‑închis al pielii|sirenă|sirene|ton semi‑închis al pielii
	🧜🏿;persoană sirenă: ton închis al pielii;persoană sirenă|persoană sirenă: ton închis al pielii|sirenă|sirene|ton închis al pielii
🧜‍♂️;bărbat sirenă;bărbat sirenă|Triton
	🧜🏻‍♂️;bărbat sirenă: ton deschis al pielii;bărbat sirenă|bărbat sirenă: ton deschis al pielii|ton deschis al pielii|Triton
	🧜🏼‍♂️;bărbat sirenă: ton semi‑deschis al pielii;bărbat sirenă|bărbat sirenă: ton semi‑deschis al pielii|ton semi‑deschis al pielii|Triton
	🧜🏽‍♂️;bărbat sirenă: ton mediu al pielii;bărbat sirenă|bărbat sirenă: ton mediu al pielii|ton mediu al pielii|Triton
	🧜🏾‍♂️;bărbat sirenă: ton semi‑închis al pielii;bărbat sirenă|bărbat sirenă: ton semi‑închis al pielii|ton semi‑închis al pielii|Triton
	🧜🏿‍♂️;bărbat sirenă: ton închis al pielii;bărbat sirenă|bărbat sirenă: ton închis al pielii|ton închis al pielii|Triton
🧜‍♀️;sirenă;sirenă
	🧜🏻‍♀️;sirenă: ton deschis al pielii;sirenă|sirenă: ton deschis al pielii|ton deschis al pielii
	🧜🏼‍♀️;sirenă: ton semi‑deschis al pielii;sirenă|sirenă: ton semi‑deschis al pielii|ton semi‑deschis al pielii
	🧜🏽‍♀️;sirenă: ton mediu al pielii;sirenă|sirenă: ton mediu al pielii|ton mediu al pielii
	🧜🏾‍♀️;sirenă: ton semi‑închis al pielii;sirenă|sirenă: ton semi‑închis al pielii|ton semi‑închis al pielii
	🧜🏿‍♀️;sirenă: ton închis al pielii;sirenă|sirenă: ton închis al pielii|ton închis al pielii
🧝;elf;elf|magie
	🧝🏻;elf: ton deschis al pielii;elf|elf: ton deschis al pielii|magie|ton deschis al pielii
	🧝🏼;elf: ton semi‑deschis al pielii;elf|elf: ton semi‑deschis al pielii|magie|ton semi‑deschis al pielii
	🧝🏽;elf: ton mediu al pielii;elf|elf: ton mediu al pielii|magie|ton mediu al pielii
	🧝🏾;elf: ton semi‑închis al pielii;elf|elf: ton semi‑închis al pielii|magie|ton semi‑închis al pielii
	🧝🏿;elf: ton închis al pielii;elf|elf: ton închis al pielii|magie|ton închis al pielii
🧝‍♂️;bărbat elf;bărbat elf|magie
	🧝🏻‍♂️;bărbat elf: ton deschis al pielii;bărbat elf|bărbat elf: ton deschis al pielii|magie|ton deschis al pielii
	🧝🏼‍♂️;bărbat elf: ton semi‑deschis al pielii;bărbat elf|bărbat elf: ton semi‑deschis al pielii|magie|ton semi‑deschis al pielii
	🧝🏽‍♂️;bărbat elf: ton mediu al pielii;bărbat elf|bărbat elf: ton mediu al pielii|magie|ton mediu al pielii
	🧝🏾‍♂️;bărbat elf: ton semi‑închis al pielii;bărbat elf|bărbat elf: ton semi‑închis al pielii|magie|ton semi‑închis al pielii
	🧝🏿‍♂️;bărbat elf: ton închis al pielii;bărbat elf|bărbat elf: ton închis al pielii|magie|ton închis al pielii
🧝‍♀️;femeie elf;elfă|femeie elf|magie
	🧝🏻‍♀️;femeie elf: ton deschis al pielii;elfă|femeie elf|femeie elf: ton deschis al pielii|magie|ton deschis al pielii
	🧝🏼‍♀️;femeie elf: ton semi‑deschis al pielii;elfă|femeie elf|femeie elf: ton semi‑deschis al pielii|magie|ton semi‑deschis al pielii
	🧝🏽‍♀️;femeie elf: ton mediu al pielii;elfă|femeie elf|femeie elf: ton mediu al pielii|magie|ton mediu al pielii
	🧝🏾‍♀️;femeie elf: ton semi‑închis al pielii;elfă|femeie elf|femeie elf: ton semi‑închis al pielii|magie|ton semi‑închis al pielii
	🧝🏿‍♀️;femeie elf: ton închis al pielii;elfă|femeie elf|femeie elf: ton închis al pielii|magie|ton închis al pielii
🧞;duh;djinn|duh
🧞‍♂️;bărbat duh;bărbat duh|djinn
🧞‍♀️;femeie duh;djinn|femeie duh
🧟;zombi;morți vii|strigoi|zombi
🧟‍♂️;bărbat zombi;bărbat zombi|morți vii|strigoi
🧟‍♀️;femeie zombi;femeie zombi|morți vii|strigoi
🧌;trol;basm|fantezie|monstru|poveste|trol
💆;persoană care primește un masaj facial;față|masaj|persoană care primește un masaj|persoană care primește un masaj facial|salon
	💆🏻;persoană care primește un masaj facial: ton deschis al pielii;față|masaj|persoană care primește un masaj|persoană care primește un masaj facial|persoană care primește un masaj facial: ton deschis al pielii|salon|ton deschis al pielii
	💆🏼;persoană care primește un masaj facial: ton semi‑deschis al pielii;față|masaj|persoană care primește un masaj|persoană care primește un masaj facial|persoană care primește un masaj facial: ton semi‑deschis al pielii|salon|ton semi‑deschis al pielii
	💆🏽;persoană care primește un masaj facial: ton mediu al pielii;față|masaj|persoană care primește un masaj|persoană care primește un masaj facial|persoană care primește un masaj facial: ton mediu al pielii|salon|ton mediu al pielii
	💆🏾;persoană care primește un masaj facial: ton semi‑închis al pielii;față|masaj|persoană care primește un masaj|persoană care primește un masaj facial|persoană care primește un masaj facial: ton semi‑închis al pielii|salon|ton semi‑închis al pielii
	💆🏿;persoană care primește un masaj facial: ton închis al pielii;față|masaj|persoană care primește un masaj|persoană care primește un masaj facial|persoană care primește un masaj facial: ton închis al pielii|salon|ton închis al pielii
💆‍♂️;bărbat care primește un masaj facial;bărbat|bărbat care primește un masaj facial|față|masaj facial
	💆🏻‍♂️;bărbat care primește un masaj facial: ton deschis al pielii;bărbat|bărbat care primește un masaj facial|bărbat care primește un masaj facial: ton deschis al pielii|față|masaj facial|ton deschis al pielii
	💆🏼‍♂️;bărbat care primește un masaj facial: ton semi‑deschis al pielii;bărbat|bărbat care primește un masaj facial|bărbat care primește un masaj facial: ton semi‑deschis al pielii|față|masaj facial|ton semi‑deschis al pielii
	💆🏽‍♂️;bărbat care primește un masaj facial: ton mediu al pielii;bărbat|bărbat care primește un masaj facial|bărbat care primește un masaj facial: ton mediu al pielii|față|masaj facial|ton mediu al pielii
	💆🏾‍♂️;bărbat care primește un masaj facial: ton semi‑închis al pielii;bărbat|bărbat care primește un masaj facial|bărbat care primește un masaj facial: ton semi‑închis al pielii|față|masaj facial|ton semi‑închis al pielii
	💆🏿‍♂️;bărbat care primește un masaj facial: ton închis al pielii;bărbat|bărbat care primește un masaj facial|bărbat care primește un masaj facial: ton închis al pielii|față|masaj facial|ton închis al pielii
💆‍♀️;femeie care primește un masaj facial;față|femeie|femeie care primește un masaj facial|masaj facial
	💆🏻‍♀️;femeie care primește un masaj facial: ton deschis al pielii;față|femeie|femeie care primește un masaj facial|femeie care primește un masaj facial: ton deschis al pielii|masaj facial|ton deschis al pielii
	💆🏼‍♀️;femeie care primește un masaj facial: ton semi‑deschis al pielii;față|femeie|femeie care primește un masaj facial|femeie care primește un masaj facial: ton semi‑deschis al pielii|masaj facial|ton semi‑deschis al pielii
	💆🏽‍♀️;femeie care primește un masaj facial: ton mediu al pielii;față|femeie|femeie care primește un masaj facial|femeie care primește un masaj facial: ton mediu al pielii|masaj facial|ton mediu al pielii
