[smileys_emotion]
😀;išsišiepęs veidas;išsišiepęs veidas|išsišiepti|veidas
👩‍🦼‍➡️;moteris motorizuotame vežimėlyje atsisukęs į dešinę;moteris|moteris motorizuotame vežimėlyje|moteris motorizuotame vežimėlyje atsisukęs į dešinę|prieinamumas|vežimėlis
	👩🏻‍🦼‍➡️;moteris motorizuotame vežimėlyje atsisukęs į dešinę;moteris|moteris motorizuotame vežimėlyje|moteris motorizuotame vežimėlyje atsisukęs į dešinę|prieinamumas|vežimėlis
	👩🏼‍🦼‍➡️;moteris motorizuotame vežimėlyje atsisukęs į dešinę;moteris|moteris motorizuotame vežimėlyje|moteris motorizuotame vežimėlyje atsisukęs į dešinę|prieinamumas|vežimėlis
	👩🏽‍🦼‍➡️;moteris motorizuotame vežimėlyje atsisukęs į dešinę;moteris|moteris motorizuotame vežimėlyje|moteris motorizuotame vežimėlyje atsisukęs į dešinę|prieinamumas|vežimėlis
	👩🏾‍🦼‍➡️;moteris motorizuotame vežimėlyje atsisukęs į dešinę;moteris|moteris motorizuotame vežimėlyje|moteris motorizuotame vežimėlyje atsisukęs į dešinę|prieinamumas|vežimėlis
	👩🏿‍🦼‍➡️;moteris motorizuotame vežimėlyje atsisukęs į dešinę;moteris|moteris motorizuotame vežimėlyje|moteris motorizuotame vežimėlyje atsisukęs į dešinę|prieinamumas|vežimėlis
🧑‍🦽;žmogus rankomis valdomame vežimėlyje;prieinamumas|vežimėlis|žmogus rankomis valdomame vežimėlyje
	🧑🏻‍🦽;žmogus rankomis valdomame vežimėlyje: šviesios odos;prieinamumas|šviesios odos|vežimėlis|žmogus rankomis valdomame vežimėlyje|žmogus rankomis valdomame vežimėlyje: šviesios odos
	🧑🏼‍🦽;žmogus rankomis valdomame vežimėlyje: vidutinio gymio;prieinamumas|vežimėlis|vidutinio gymio|žmogus rankomis valdomame vežimėlyje|žmogus rankomis valdomame vežimėlyje: vidutinio gymio
	🧑🏽‍🦽;žmogus rankomis valdomame vežimėlyje: rusvos odos;prieinamumas|rusvos odos|vežimėlis|žmogus rankomis valdomame vežimėlyje|žmogus rankomis valdomame vežimėlyje: rusvos odos
	🧑🏾‍🦽;žmogus rankomis valdomame vežimėlyje: tamsios odos;prieinamumas|tamsios odos|vežimėlis|žmogus rankomis valdomame vežimėlyje|žmogus rankomis valdomame vežimėlyje: tamsios odos
	🧑🏿‍🦽;žmogus rankomis valdomame vežimėlyje: itin tamsios odos;itin tamsios odos|prieinamumas|vežimėlis|žmogus rankomis valdomame vežimėlyje|žmogus rankomis valdomame vežimėlyje: itin tamsios odos
🧑‍🦽‍➡️;žmogus rankomis valdomame vežimėlyje atsisukęs į dešinę;prieinamumas|vežimėlis|žmogus rankomis valdomame vežimėlyje|žmogus rankomis valdomame vežimėlyje atsisukęs į dešinę
	🧑🏻‍🦽‍➡️;žmogus rankomis valdomame vežimėlyje atsisukęs į dešinę;prieinamumas|vežimėlis|žmogus rankomis valdomame vežimėlyje|žmogus rankomis valdomame vežimėlyje atsisukęs į dešinę
	🧑🏼‍🦽‍➡️;žmogus rankomis valdomame vežimėlyje atsisukęs į dešinę;prieinamumas|vežimėlis|žmogus rankomis valdomame vežimėlyje|žmogus rankomis valdomame vežimėlyje atsisukęs į dešinę
	🧑🏽‍🦽‍➡️;žmogus rankomis valdomame vežimėlyje atsisukęs į dešinę;prieinamumas|vežimėlis|žmogus rankomis valdomame vežimėlyje|žmogus rankomis valdomame vežimėlyje atsisukęs į dešinę
	🧑🏾‍🦽‍➡️;žmogus rankomis valdomame vežimėlyje atsisukęs į dešinę;prieinamumas|vežimėlis|žmogus rankomis valdomame vežimėlyje|žmogus rankomis valdomame vežimėlyje atsisukęs į dešinę
	🧑🏿‍🦽‍➡️;žmogus rankomis valdomame vežimėlyje atsisukęs į dešinę;prieinamumas|vežimėlis|žmogus rankomis valdomame vežimėlyje|žmogus rankomis valdomame vežimėlyje atsisukęs į dešinę
👨‍🦽;vyras rankomis valdomame vežimėlyje;prieinamumas|vežimėlis|vyras|vyras rankomis valdomame vežimėlyje
	👨🏻‍🦽;vyras rankomis valdomame vežimėlyje: šviesios odos;prieinamumas|šviesios odos|vežimėlis|vyras|vyras rankomis valdomame vežimėlyje|vyras rankomis valdomame vežimėlyje: šviesios odos
	👨🏼‍🦽;vyras rankomis valdomame vežimėlyje: vidutinio gymio;prieinamumas|vežimėlis|vidutinio gymio|vyras|vyras rankomis valdomame vežimėlyje|vyras rankomis valdomame vežimėlyje: vidutinio gymio
	👨🏽‍🦽;vyras rankomis valdomame vežimėlyje: rusvos odos;prieinamumas|rusvos odos|vežimėlis|vyras|vyras rankomis valdomame vežimėlyje|vyras rankomis valdomame vežimėlyje: rusvos odos
	👨🏾‍🦽;vyras rankomis valdomame vežimėlyje: tamsios odos;prieinamumas|tamsios odos|vežimėlis|vyras|vyras rankomis valdomame vežimėlyje|vyras rankomis valdomame vežimėlyje: tamsios odos
	👨🏿‍🦽;vyras rankomis valdomame vežimėlyje: itin tamsios odos;itin tamsios odos|prieinamumas|vežimėlis|vyras|vyras rankomis valdomame vežimėlyje|vyras rankomis valdomame vežimėlyje: itin tamsios odos
👨‍🦽‍➡️;vyras rankomis valdomame vežimėlyje atsisukęs į dešinę;prieinamumas|vežimėlis|vyras|vyras rankomis valdomame vežimėlyje|vyras rankomis valdomame vežimėlyje atsisukęs į dešinę
	👨🏻‍🦽‍➡️;vyras rankomis valdomame vežimėlyje atsisukęs į dešinę;prieinamumas|vežimėlis|vyras|vyras rankomis valdomame vežimėlyje|vyras rankomis valdomame vežimėlyje atsisukęs į dešinę
	👨🏼‍🦽‍➡️;vyras rankomis valdomame vežimėlyje atsisukęs į dešinę;prieinamumas|vežimėlis|vyras|vyras rankomis valdomame vežimėlyje|vyras rankomis valdomame vežimėlyje atsisukęs į dešinę
	👨🏽‍🦽‍➡️;vyras rankomis valdomame vežimėlyje atsisukęs į dešinę;prieinamumas|vežimėlis|vyras|vyras rankomis valdomame vežimėlyje|vyras rankomis valdomame vežimėlyje atsisukęs į dešinę
	👨🏾‍🦽‍➡️;vyras rankomis valdomame vežimėlyje atsisukęs į dešinę;prieinamumas|vežimėlis|vyras|vyras rankomis valdomame vežimėlyje|vyras rankomis valdomame vežimėlyje atsisukęs į dešinę
	👨🏿‍🦽‍➡️;vyras rankomis valdomame vežimėlyje atsisukęs į dešinę;prieinamumas|vežimėlis|vyras|vyras rankomis valdomame vežimėlyje|vyras rankomis valdomame vežimėlyje atsisukęs į dešinę
👩‍🦽;moteris rankomis valdomame vežimėlyje;moteris|moteris rankomis valdomame vežimėlyje|prieinamumas|vežimėlis
	👩🏻‍🦽;moteris rankomis valdomame vežimėlyje: šviesios odos;moteris|moteris rankomis valdomame vežimėlyje|moteris rankomis valdomame vežimėlyje: šviesios odos|prieinamumas|šviesios odos|vežimėlis
	👩🏼‍🦽;moteris rankomis valdomame vežimėlyje: vidutinio gymio;moteris|moteris rankomis valdomame vežimėlyje|moteris rankomis valdomame vežimėlyje: vidutinio gymio|prieinamumas|vežimėlis|vidutinio gymio
	👩🏽‍🦽;moteris rankomis valdomame vežimėlyje: rusvos odos;moteris|moteris rankomis valdomame vežimėlyje|moteris rankomis valdomame vežimėlyje: rusvos odos|prieinamumas|rusvos odos|vežimėlis
	👩🏾‍🦽;moteris rankomis valdomame vežimėlyje: tamsios odos;moteris|moteris rankomis valdomame vežimėlyje|moteris rankomis valdomame vežimėlyje: tamsios odos|prieinamumas|tamsios odos|vežimėlis
	👩🏿‍🦽;moteris rankomis valdomame vežimėlyje: itin tamsios odos;itin tamsios odos|moteris|moteris rankomis valdomame vežimėlyje|moteris rankomis valdomame vežimėlyje: itin tamsios odos|prieinamumas|vežimėlis
👩‍🦽‍➡️;moteris rankomis valdomame vežimėlyje atsisukęs į dešinę;moteris|moteris rankomis valdomame vežimėlyje|moteris rankomis valdomame vežimėlyje atsisukęs į dešinę|prieinamumas|vežimėlis
	👩🏻‍🦽‍➡️;moteris rankomis valdomame vežimėlyje atsisukęs į dešinę;moteris|moteris rankomis valdomame vežimėlyje|moteris rankomis valdomame vežimėlyje atsisukęs į dešinę|prieinamumas|vežimėlis
	👩🏼‍🦽‍➡️;moteris rankomis valdomame vežimėlyje atsisukęs į dešinę;moteris|moteris rankomis valdomame vežimėlyje|moteris rankomis valdomame vežimėlyje atsisukęs į dešinę|prieinamumas|vežimėlis
	👩🏽‍🦽‍➡️;moteris rankomis valdomame vežimėlyje atsisukęs į dešinę;moteris|moteris rankomis valdomame vežimėlyje|moteris rankomis valdomame vežimėlyje atsisukęs į dešinę|prieinamumas|vežimėlis
	👩🏾‍🦽‍➡️;moteris rankomis valdomame vežimėlyje atsisukęs į dešinę;moteris|moteris rankomis valdomame vežimėlyje|moteris rankomis valdomame vežimėlyje atsisukęs į dešinę|prieinamumas|vežimėlis
	👩🏿‍🦽‍➡️;moteris rankomis valdomame vežimėlyje atsisukęs į dešinę;moteris|moteris rankomis valdomame vežimėlyje|moteris rankomis valdomame vežimėlyje atsisukęs į dešinę|prieinamumas|vežimėlis
🏃;bėgikas;bėgikas|bėgiojimas|maratonas
	🏃🏻;bėgikas: šviesios odos;bėgikas|bėgikas: šviesios odos|bėgiojimas|maratonas|šviesios odos
	🏃🏼;bėgikas: vidutinio gymio;bėgikas|bėgikas: vidutinio gymio|bėgiojimas|maratonas|vidutinio gymio
	🏃🏽;bėgikas: rusvos odos;bėgikas|bėgikas: rusvos odos|bėgiojimas|maratonas|rusvos odos
	🏃🏾;bėgikas: tamsios odos;bėgikas|bėgikas: tamsios odos|bėgiojimas|maratonas|tamsios odos
	🏃🏿;bėgikas: itin tamsios odos;bėgikas|bėgikas: itin tamsios odos|bėgiojimas|itin tamsios odos|maratonas
🏃‍♂️;bėgantis vyras;bėgantis vyras|bėgimas|lenktynės|maratonas|vyras
	🏃🏻‍♂️;bėgantis vyras: šviesios odos;bėgantis vyras|bėgantis vyras: šviesios odos|bėgimas|lenktynės|maratonas|šviesios odos|vyras
	🏃🏼‍♂️;bėgantis vyras: vidutinio gymio;bėgantis vyras|bėgantis vyras: vidutinio gymio|bėgimas|lenktynės|maratonas|vidutinio gymio|vyras
	🏃🏽‍♂️;bėgantis vyras: rusvos odos;bėgantis vyras|bėgantis vyras: rusvos odos|bėgimas|lenktynės|maratonas|rusvos odos|vyras
	🏃🏾‍♂️;bėgantis vyras: tamsios odos;bėgantis vyras|bėgantis vyras: tamsios odos|bėgimas|lenktynės|maratonas|tamsios odos|vyras
	🏃🏿‍♂️;bėgantis vyras: itin tamsios odos;bėgantis vyras|bėgantis vyras: itin tamsios odos|bėgimas|itin tamsios odos|lenktynės|maratonas|vyras
🏃‍♀️;bėganti moteris;bėganti moteris|bėgimas|lenktynės|maratonas|moteris
	🏃🏻‍♀️;bėganti moteris: šviesios odos;bėganti moteris|bėganti moteris: šviesios odos|bėgimas|lenktynės|maratonas|moteris|šviesios odos
	🏃🏼‍♀️;bėganti moteris: vidutinio gymio;bėganti moteris|bėganti moteris: vidutinio gymio|bėgimas|lenktynės|maratonas|moteris|vidutinio gymio
	🏃🏽‍♀️;bėganti moteris: rusvos odos;bėganti moteris|bėganti moteris: rusvos odos|bėgimas|lenktynės|maratonas|moteris|rusvos odos
	🏃🏾‍♀️;bėganti moteris: tamsios odos;bėganti moteris|bėganti moteris: tamsios odos|bėgimas|lenktynės|maratonas|moteris|tamsios odos
	🏃🏿‍♀️;bėganti moteris: itin tamsios odos;bėganti moteris|bėganti moteris: itin tamsios odos|bėgimas|itin tamsios odos|lenktynės|maratonas|moteris
🏃‍➡️;bėgikas atsisukęs į dešinę;bėgikas|bėgikas atsisukęs į dešinę|bėgiojimas|maratonas
	🏃🏻‍➡️;bėgikas atsisukęs į dešinę;bėgikas|bėgikas atsisukęs į dešinę|bėgiojimas|maratonas
	🏃🏼‍➡️;bėgikas atsisukęs į dešinę;bėgikas|bėgikas atsisukęs į dešinę|bėgiojimas|maratonas
	🏃🏽‍➡️;bėgikas atsisukęs į dešinę;bėgikas|bėgikas atsisukęs į dešinę|bėgiojimas|maratonas
	🏃🏾‍➡️;bėgikas atsisukęs į dešinę;bėgikas|bėgikas atsisukęs į dešinę|bėgiojimas|maratonas
	🏃🏿‍➡️;bėgikas atsisukęs į dešinę;bėgikas|bėgikas atsisukęs į dešinę|bėgiojimas|maratonas
🏃‍♀️‍➡️;bėganti moteris atsisukęs į dešinę;bėganti moteris|bėganti moteris atsisukęs į dešinę|bėgimas|lenktynės|maratonas|moteris
	🏃🏻‍♀️‍➡️;bėganti moteris atsisukęs į dešinę;bėganti moteris|bėganti moteris atsisukęs į dešinę|bėgimas|lenktynės|maratonas|moteris
	🏃🏼‍♀️‍➡️;bėganti moteris atsisukęs į dešinę;bėganti moteris|bėganti moteris atsisukęs į dešinę|bėgimas|lenktynės|maratonas|moteris
	🏃🏽‍♀️‍➡️;bėganti moteris atsisukęs į dešinę;bėganti moteris|bėganti moteris atsisukęs į dešinę|bėgimas|lenktynės|maratonas|moteris
	🏃🏾‍♀️‍➡️;bėganti moteris atsisukęs į dešinę;bėganti moteris|bėganti moteris atsisukęs į dešinę|bėgimas|lenktynės|maratonas|moteris
	🏃🏿‍♀️‍➡️;bėganti moteris atsisukęs į dešinę;bėganti moteris|bėganti moteris atsisukęs į dešinę|bėgimas|lenktynės|maratonas|moteris
🏃‍♂️‍➡️;bėgantis vyras atsisukęs į dešinę;bėgantis vyras|bėgantis vyras atsisukęs į dešinę|bėgimas|lenktynės|maratonas|vyras
	🏃🏻‍♂️‍➡️;bėgantis vyras atsisukęs į dešinę;bėgantis vyras|bėgantis vyras atsisukęs į dešinę|bėgimas|lenktynės|maratonas|vyras
	🏃🏼‍♂️‍➡️;bėgantis vyras atsisukęs į dešinę;bėgantis vyras|bėgantis vyras atsisukęs į dešinę|bėgimas|lenktynės|maratonas|vyras
	🏃🏽‍♂️‍➡️;bėgantis vyras atsisukęs į dešinę;bėgantis vyras|bėgantis vyras atsisukęs į dešinę|bėgimas|lenktynės|maratonas|vyras
	🏃🏾‍♂️‍➡️;bėgantis vyras atsisukęs į dešinę;bėgantis vyras|bėgantis vyras atsisukęs į dešinę|bėgimas|lenktynės|maratonas|vyras
	🏃🏿‍♂️‍➡️;bėgantis vyras atsisukęs į dešinę;bėgantis vyras|bėgantis vyras atsisukęs į dešinę|bėgimas|lenktynės|maratonas|vyras
💃;šokanti moteris;moteris|šokanti moteris|šokis
	💃🏻;šokanti moteris: šviesios odos;moteris|šokanti moteris|šokanti moteris: šviesios odos|šokis|šviesios odos
	💃🏼;šokanti moteris: vidutinio gymio;moteris|šokanti moteris|šokanti moteris: vidutinio gymio|šokis|vidutinio gymio
	💃🏽;šokanti moteris: rusvos odos;moteris|rusvos odos|šokanti moteris|šokanti moteris: rusvos odos|šokis
	💃🏾;šokanti moteris: tamsios odos;moteris|šokanti moteris|šokanti moteris: tamsios odos|šokis|tamsios odos
	💃🏿;šokanti moteris: itin tamsios odos;itin tamsios odos|moteris|šokanti moteris|šokanti moteris: itin tamsios odos|šokis
🕺;šokantis vyras;šokantis vyras|šokis|vyras
	🕺🏻;šokantis vyras: šviesios odos;šokantis vyras|šokantis vyras: šviesios odos|šokis|šviesios odos|vyras
	🕺🏼;šokantis vyras: vidutinio gymio;šokantis vyras|šokantis vyras: vidutinio gymio|šokis|vidutinio gymio|vyras
	🕺🏽;šokantis vyras: rusvos odos;rusvos odos|šokantis vyras|šokantis vyras: rusvos odos|šokis|vyras
	🕺🏾;šokantis vyras: tamsios odos;šokantis vyras|šokantis vyras: tamsios odos|šokis|tamsios odos|vyras
	🕺🏿;šokantis vyras: itin tamsios odos;itin tamsios odos|šokantis vyras|šokantis vyras: itin tamsios odos|šokis|vyras
🕴️;į orą kylantis vyras su kostiumu;į orą kylantis vyras su kostiumu|kostiumas|verslas|vyras
	🕴🏻;į orą kylantis vyras su kostiumu: šviesios odos;į orą kylantis vyras su kostiumu|į orą kylantis vyras su kostiumu: šviesios odos|kostiumas|šviesios odos|verslas|vyras
	🕴🏼;į orą kylantis vyras su kostiumu: vidutinio gymio;į orą kylantis vyras su kostiumu|į orą kylantis vyras su kostiumu: vidutinio gymio|kostiumas|verslas|vidutinio gymio|vyras
	🕴🏽;į orą kylantis vyras su kostiumu: rusvos odos;į orą kylantis vyras su kostiumu|į orą kylantis vyras su kostiumu: rusvos odos|kostiumas|rusvos odos|verslas|vyras
	🕴🏾;į orą kylantis vyras su kostiumu: tamsios odos;į orą kylantis vyras su kostiumu|į orą kylantis vyras su kostiumu: tamsios odos|kostiumas|tamsios odos|verslas|vyras
	🕴🏿;į orą kylantis vyras su kostiumu: itin tamsios odos;į orą kylantis vyras su kostiumu|į orą kylantis vyras su kostiumu: itin tamsios odos|itin tamsios odos|kostiumas|verslas|vyras
👯;besilinksminančios moterys;ausys|besilinksminančios moterys|merginos|moterys|šokėjos|zuikutis
👯‍♂️;vakarėlyje dalyvaujantys vyrai;iškio ausytės|šokėjas|vakarėlis|vakarėlyje dalyvaujantys vyrai|vyrai
👯‍♀️;vakarėlyje dalyvaujančios moterys;kiškio ausytės|moteris|moterys|šokėja|vakarėlis|vakarėlyje dalyvaujančios moterys
🧖;asmuo garų kambaryje;asmuo garų kambaryje|garų kambarys|sauna
	🧖🏻;asmuo garų kambaryje: šviesios odos;asmuo garų kambaryje|asmuo garų kambaryje: šviesios odos|garų kambarys|sauna|šviesios odos
	🧖🏼;asmuo garų kambaryje: vidutinio gymio;asmuo garų kambaryje|asmuo garų kambaryje: vidutinio gymio|garų kambarys|sauna|vidutinio gymio
	🧖🏽;asmuo garų kambaryje: rusvos odos;asmuo garų kambaryje|asmuo garų kambaryje: rusvos odos|garų kambarys|rusvos odos|sauna
	🧖🏾;asmuo garų kambaryje: tamsios odos;asmuo garų kambaryje|asmuo garų kambaryje: tamsios odos|garų kambarys|sauna|tamsios odos
	🧖🏿;asmuo garų kambaryje: itin tamsios odos;asmuo garų kambaryje|asmuo garų kambaryje: itin tamsios odos|garų kambarys|itin tamsios odos|sauna
🧖‍♂️;vyras garų kambaryje;garų kambarys|sauna|vyras garų kambaryje
	🧖🏻‍♂️;vyras garų kambaryje: šviesios odos;garų kambarys|sauna|šviesios odos|vyras garų kambaryje|vyras garų kambaryje: šviesios odos
	🧖🏼‍♂️;vyras garų kambaryje: vidutinio gymio;garų kambarys|sauna|vidutinio gymio|vyras garų kambaryje|vyras garų kambaryje: vidutinio gymio
	🧖🏽‍♂️;vyras garų kambaryje: rusvos odos;garų kambarys|rusvos odos|sauna|vyras garų kambaryje|vyras garų kambaryje: rusvos odos
	🧖🏾‍♂️;vyras garų kambaryje: tamsios odos;garų kambarys|sauna|tamsios odos|vyras garų kambaryje|vyras garų kambaryje: tamsios odos
	🧖🏿‍♂️;vyras garų kambaryje: itin tamsios odos;garų kambarys|itin tamsios odos|sauna|vyras garų kambaryje|vyras garų kambaryje: itin tamsios odos
🧖‍♀️;moteris garų kambaryje;garų kambarys|moteris garų kambaryje|sauna
	🧖🏻‍♀️;moteris garų kambaryje: šviesios odos;garų kambarys|moteris garų kambaryje|moteris garų kambaryje: šviesios odos|sauna|šviesios odos
	🧖🏼‍♀️;moteris garų kambaryje: vidutinio gymio;garų kambarys|moteris garų kambaryje|moteris garų kambaryje: vidutinio gymio|sauna|vidutinio gymio
	🧖🏽‍♀️;moteris garų kambaryje: rusvos odos;garų kambarys|moteris garų kambaryje|moteris garų kambaryje: rusvos odos|rusvos odos|sauna
	🧖🏾‍♀️;moteris garų kambaryje: tamsios odos;garų kambarys|moteris garų kambaryje|moteris garų kambaryje: tamsios odos|sauna|tamsios odos
	🧖🏿‍♀️;moteris garų kambaryje: itin tamsios odos;garų kambarys|itin tamsios odos|moteris garų kambaryje|moteris garų kambaryje: itin tamsios odos|sauna
🧗;kopiantis žmogus;alpinistas|kopiantis žmogus
	🧗🏻;kopiantis žmogus: šviesios odos;alpinistas|kopiantis žmogus|kopiantis žmogus: šviesios odos|šviesios odos
	🧗🏼;kopiantis žmogus: vidutinio gymio;alpinistas|kopiantis žmogus|kopiantis žmogus: vidutinio gymio|vidutinio gymio
	🧗🏽;kopiantis žmogus: rusvos odos;alpinistas|kopiantis žmogus|kopiantis žmogus: rusvos odos|rusvos odos
	🧗🏾;kopiantis žmogus: tamsios odos;alpinistas|kopiantis žmogus|kopiantis žmogus: tamsios odos|tamsios odos
	🧗🏿;kopiantis žmogus: itin tamsios odos;alpinistas|itin tamsios odos|kopiantis žmogus|kopiantis žmogus: itin tamsios odos
🧗‍♂️;kopiantis vyras;alpinistas|kopiantis vyras
	🧗🏻‍♂️;kopiantis vyras: šviesios odos;alpinistas|kopiantis vyras|kopiantis vyras: šviesios odos|šviesios odos
	🧗🏼‍♂️;kopiantis vyras: vidutinio gymio;alpinistas|kopiantis vyras|kopiantis vyras: vidutinio gymio|vidutinio gymio
	🧗🏽‍♂️;kopiantis vyras: rusvos odos;alpinistas|kopiantis vyras|kopiantis vyras: rusvos odos|rusvos odos
	🧗🏾‍♂️;kopiantis vyras: tamsios odos;alpinistas|kopiantis vyras|kopiantis vyras: tamsios odos|tamsios odos
	🧗🏿‍♂️;kopiantis vyras: itin tamsios odos;alpinistas|itin tamsios odos|kopiantis vyras|kopiantis vyras: itin tamsios odos
🧗‍♀️;kopianti moteris;kopianti moteris
	🧗🏻‍♀️;kopianti moteris: šviesios odos;kopianti moteris|kopianti moteris: šviesios odos|šviesios odos
	🧗🏼‍♀️;kopianti moteris: vidutinio gymio;kopianti moteris|kopianti moteris: vidutinio gymio|vidutinio gymio
	🧗🏽‍♀️;kopianti moteris: rusvos odos;kopianti moteris|kopianti moteris: rusvos odos|rusvos odos
	🧗🏾‍♀️;kopianti moteris: tamsios odos;kopianti moteris|kopianti moteris: tamsios odos|tamsios odos
	🧗🏿‍♀️;kopianti moteris: itin tamsios odos;itin tamsios odos|kopianti moteris|kopianti moteris: itin tamsios odos
🤺;fechtuotojas;fechtavimas|fechtuotojas|kardas
🏇;arklių lenktynės;arklių lenktynės|arklys|jojikas|lenktynės
	🏇🏻;arklių lenktynės: šviesios odos;arklių lenktynės|arklių lenktynės: šviesios odos|arklys|jojikas|lenktynės|šviesios odos
	🏇🏼;arklių lenktynės: vidutinio gymio;arklių lenktynės|arklių lenktynės: vidutinio gymio|arklys|jojikas|lenktynės|vidutinio gymio
	🏇🏽;arklių lenktynės: rusvos odos;arklių lenktynės|arklių lenktynės: rusvos odos|arklys|jojikas|lenktynės|rusvos odos
	🏇🏾;arklių lenktynės: tamsios odos;arklių lenktynės|arklių lenktynės: tamsios odos|arklys|jojikas|lenktynės|tamsios odos
	🏇🏿;arklių lenktynės: itin tamsios odos;arklių lenktynės|arklių lenktynės: itin tamsios odos|arklys|itin tamsios odos|jojikas|lenktynės
⛷️;slidininkas;slidinėti|slidininkas|sniegas
🏂;snieglenčių sporto mėgėjas;slidinėti|sniegas|snieglenčių sporto mėgėjas|snieglentė
	🏂🏻;snieglenčių sporto mėgėjas: šviesios odos;slidinėti|sniegas|snieglenčių sporto mėgėjas|snieglenčių sporto mėgėjas: šviesios odos|snieglentė|šviesios odos
	🏂🏼;snieglenčių sporto mėgėjas: vidutinio gymio;slidinėti|sniegas|snieglenčių sporto mėgėjas|snieglenčių sporto mėgėjas: vidutinio gymio|snieglentė|vidutinio gymio
	🏂🏽;snieglenčių sporto mėgėjas: rusvos odos;rusvos odos|slidinėti|sniegas|snieglenčių sporto mėgėjas|snieglenčių sporto mėgėjas: rusvos odos|snieglentė
	🏂🏾;snieglenčių sporto mėgėjas: tamsios odos;slidinėti|sniegas|snieglenčių sporto mėgėjas|snieglenčių sporto mėgėjas: tamsios odos|snieglentė|tamsios odos
	🏂🏿;snieglenčių sporto mėgėjas: itin tamsios odos;itin tamsios odos|slidinėti|sniegas|snieglenčių sporto mėgėjas|snieglenčių sporto mėgėjas: itin tamsios odos|snieglentė
🏌️;golfo žaidėjas;golfas|golfo žaidėjas|kamuoliukas
	🏌🏻;golfo žaidėjas: šviesios odos;golfas|golfo žaidėjas|golfo žaidėjas: šviesios odos|kamuoliukas|šviesios odos
	🏌🏼;golfo žaidėjas: vidutinio gymio;golfas|golfo žaidėjas|golfo žaidėjas: vidutinio gymio|kamuoliukas|vidutinio gymio
	🏌🏽;golfo žaidėjas: rusvos odos;golfas|golfo žaidėjas|golfo žaidėjas: rusvos odos|kamuoliukas|rusvos odos
	🏌🏾;golfo žaidėjas: tamsios odos;golfas|golfo žaidėjas|golfo žaidėjas: tamsios odos|kamuoliukas|tamsios odos
	🏌🏿;golfo žaidėjas: itin tamsios odos;golfas|golfo žaidėjas|golfo žaidėjas: itin tamsios odos|itin tamsios odos|kamuoliukas
🏌️‍♂️;golfo žaidėjas vyras;golfas|golfo žaidėjas vyras|vyras
	🏌🏻‍♂️;golfo žaidėjas vyras: šviesios odos;golfas|golfo žaidėjas vyras|golfo žaidėjas vyras: šviesios odos|šviesios odos|vyras
	🏌🏼‍♂️;golfo žaidėjas vyras: vidutinio gymio;golfas|golfo žaidėjas vyras|golfo žaidėjas vyras: vidutinio gymio|vidutinio gymio|vyras
	🏌🏽‍♂️;golfo žaidėjas vyras: rusvos odos;golfas|golfo žaidėjas vyras|golfo žaidėjas vyras: rusvos odos|rusvos odos|vyras
	🏌🏾‍♂️;golfo žaidėjas vyras: tamsios odos;golfas|golfo žaidėjas vyras|golfo žaidėjas vyras: tamsios odos|tamsios odos|vyras
	🏌🏿‍♂️;golfo žaidėjas vyras: itin tamsios odos;golfas|golfo žaidėjas vyras|golfo žaidėjas vyras: itin tamsios odos|itin tamsios odos|vyras
🏌️‍♀️;golfo žaidėja;golfas|golfo žaidėja|moteris
	🏌🏻‍♀️;golfo žaidėja: šviesios odos;golfas|golfo žaidėja|golfo žaidėja: šviesios odos|moteris|šviesios odos
	🏌🏼‍♀️;golfo žaidėja: vidutinio gymio;golfas|golfo žaidėja|golfo žaidėja: vidutinio gymio|moteris|vidutinio gymio
	🏌🏽‍♀️;golfo žaidėja: rusvos odos;golfas|golfo žaidėja|golfo žaidėja: rusvos odos|moteris|rusvos odos
	🏌🏾‍♀️;golfo žaidėja: tamsios odos;golfas|golfo žaidėja|golfo žaidėja: tamsios odos|moteris|tamsios odos
	🏌🏿‍♀️;golfo žaidėja: itin tamsios odos;golfas|golfo žaidėja|golfo žaidėja: itin tamsios odos|itin tamsios odos|moteris
🏄;banglentininkas;banglenčių sportas|banglentininkas
	🏄🏻;banglentininkas: šviesios odos;banglenčių sportas|banglentininkas|banglentininkas: šviesios odos|šviesios odos
	🏄🏼;banglentininkas: vidutinio gymio;banglenčių sportas|banglentininkas|banglentininkas: vidutinio gymio|vidutinio gymio
	🏄🏽;banglentininkas: rusvos odos;banglenčių sportas|banglentininkas|banglentininkas: rusvos odos|rusvos odos
	🏄🏾;banglentininkas: tamsios odos;banglenčių sportas|banglentininkas|banglentininkas: tamsios odos|tamsios odos
	🏄🏿;banglentininkas: itin tamsios odos;banglenčių sportas|banglentininkas|banglentininkas: itin tamsios odos|itin tamsios odos
🏄‍♂️;vyras banglentininkas;banglenčių sportas|vyras|vyras banglentininkas
	🏄🏻‍♂️;vyras banglentininkas: šviesios odos;banglenčių sportas|šviesios odos|vyras|vyras banglentininkas|vyras banglentininkas: šviesios odos
	🏄🏼‍♂️;vyras banglentininkas: vidutinio gymio;banglenčių sportas|vidutinio gymio|vyras|vyras banglentininkas|vyras banglentininkas: vidutinio gymio
	🏄🏽‍♂️;vyras banglentininkas: rusvos odos;banglenčių sportas|rusvos odos|vyras|vyras banglentininkas|vyras banglentininkas: rusvos odos
