[smileys_emotion]
😀;инээсэн царай;инээсэн царай|инээх|царай
	🦹🏻‍♀️;ид шидийн хүчтэй эмэгтэй эсрэг дүр: цайвар;гол дүрийн эсрэг дүр|гэмт хэрэг|ид шидийн хүчтэй эмэгтэй эсрэг дүр|ид шидийн хүчтэй эмэгтэй эсрэг дүр: цайвар|супер хүч|цайвар|чөтгөр|эмэгтэй
	🦹🏼‍♀️;ид шидийн хүчтэй эмэгтэй эсрэг дүр: бага зэргийн цайвар;бага зэргийн цайвар|гол дүрийн эсрэг дүр|гэмт хэрэг|ид шидийн хүчтэй эмэгтэй эсрэг дүр|ид шидийн хүчтэй эмэгтэй эсрэг дүр: бага зэргийн цайвар|супер хүч|чөтгөр|эмэгтэй
	🦹🏽‍♀️;ид шидийн хүчтэй эмэгтэй эсрэг дүр: дунд зэргийн;гол дүрийн эсрэг дүр|гэмт хэрэг|дунд зэргийн|ид шидийн хүчтэй эмэгтэй эсрэг дүр|ид шидийн хүчтэй эмэгтэй эсрэг дүр: дунд зэргийн|супер хүч|чөтгөр|эмэгтэй
	🦹🏾‍♀️;ид шидийн хүчтэй эмэгтэй эсрэг дүр: бордуу;бордуу|гол дүрийн эсрэг дүр|гэмт хэрэг|ид шидийн хүчтэй эмэгтэй эсрэг дүр|ид шидийн хүчтэй эмэгтэй эсрэг дүр: бордуу|супер хүч|чөтгөр|эмэгтэй
	🦹🏿‍♀️;ид шидийн хүчтэй эмэгтэй эсрэг дүр: бор;бор|гол дүрийн эсрэг дүр|гэмт хэрэг|ид шидийн хүчтэй эмэгтэй эсрэг дүр|ид шидийн хүчтэй эмэгтэй эсрэг дүр: бор|супер хүч|чөтгөр|эмэгтэй
🧙;шидтэн;бөө|илбэчин|шидтэн|шулам
	🧙🏻;шидтэн: цайвар;бөө|илбэчин|цайвар|шидтэн|шидтэн: цайвар|шулам
	🧙🏼;шидтэн: бага зэргийн цайвар;бага зэргийн цайвар|бөө|илбэчин|шидтэн|шидтэн: бага зэргийн цайвар|шулам
	🧙🏽;шидтэн: дунд зэргийн;бөө|дунд зэргийн|илбэчин|шидтэн|шидтэн: дунд зэргийн|шулам
	🧙🏾;шидтэн: бордуу;бордуу|бөө|илбэчин|шидтэн|шидтэн: бордуу|шулам
	🧙🏿;шидтэн: бор;бор|бөө|илбэчин|шидтэн|шидтэн: бор|шулам
🧙‍♂️;эрэгтэй шидтэн;бөө|чөтгөр|эрэгтэй шидтэн
	🧙🏻‍♂️;эрэгтэй шидтэн: цайвар;бөө|цайвар|чөтгөр|эрэгтэй шидтэн|эрэгтэй шидтэн: цайвар
	🧙🏼‍♂️;эрэгтэй шидтэн: бага зэргийн цайвар;бага зэргийн цайвар|бөө|чөтгөр|эрэгтэй шидтэн|эрэгтэй шидтэн: бага зэргийн цайвар
	🧙🏽‍♂️;эрэгтэй шидтэн: дунд зэргийн;бөө|дунд зэргийн|чөтгөр|эрэгтэй шидтэн|эрэгтэй шидтэн: дунд зэргийн
	🧙🏾‍♂️;эрэгтэй шидтэн: бордуу;бордуу|бөө|чөтгөр|эрэгтэй шидтэн|эрэгтэй шидтэн: бордуу
	🧙🏿‍♂️;эрэгтэй шидтэн: бор;бор|бөө|чөтгөр|эрэгтэй шидтэн|эрэгтэй шидтэн: бор
🧙‍♀️;эмэгтэй шидтэн;бөө|шулам|эмэгтэй шидтэн
	🧙🏻‍♀️;эмэгтэй шидтэн: цайвар;бөө|цайвар|шулам|эмэгтэй шидтэн|эмэгтэй шидтэн: цайвар
	🧙🏼‍♀️;эмэгтэй шидтэн: бага зэргийн цайвар;бага зэргийн цайвар|бөө|шулам|эмэгтэй шидтэн|эмэгтэй шидтэн: бага зэргийн цайвар
	🧙🏽‍♀️;эмэгтэй шидтэн: дунд зэргийн;бөө|дунд зэргийн|шулам|эмэгтэй шидтэн|эмэгтэй шидтэн: дунд зэргийн
	🧙🏾‍♀️;эмэгтэй шидтэн: бордуу;бордуу|бөө|шулам|эмэгтэй шидтэн|эмэгтэй шидтэн: бордуу
	🧙🏿‍♀️;эмэгтэй шидтэн: бор;бор|бөө|шулам|эмэгтэй шидтэн|эмэгтэй шидтэн: бор
🧚;дагина;дагина|Оберон|Питания|Пук
	🧚🏻;дагина: цайвар;дагина|дагина: цайвар|Оберон|Питания|Пук|цайвар
	🧚🏼;дагина: бага зэргийн цайвар;бага зэргийн цайвар|дагина|дагина: бага зэргийн цайвар|Оберон|Питания|Пук
	🧚🏽;дагина: дунд зэргийн;дагина|дагина: дунд зэргийн|дунд зэргийн|Оберон|Питания|Пук
	🧚🏾;дагина: бордуу;бордуу|дагина|дагина: бордуу|Оберон|Питания|Пук
	🧚🏿;дагина: бор;бор|дагина|дагина: бор|Оберон|Питания|Пук
🧚‍♂️;эрэгтэй илбэчин;Оберон|Пук|эрэгтэй илбэчин
	🧚🏻‍♂️;эрэгтэй илбэчин: цайвар;Оберон|Пук|цайвар|эрэгтэй илбэчин|эрэгтэй илбэчин: цайвар
	🧚🏼‍♂️;эрэгтэй илбэчин: бага зэргийн цайвар;бага зэргийн цайвар|Оберон|Пук|эрэгтэй илбэчин|эрэгтэй илбэчин: бага зэргийн цайвар
	🧚🏽‍♂️;эрэгтэй илбэчин: дунд зэргийн;дунд зэргийн|Оберон|Пук|эрэгтэй илбэчин|эрэгтэй илбэчин: дунд зэргийн
	🧚🏾‍♂️;эрэгтэй илбэчин: бордуу;бордуу|Оберон|Пук|эрэгтэй илбэчин|эрэгтэй илбэчин: бордуу
	🧚🏿‍♂️;эрэгтэй илбэчин: бор;бор|Оберон|Пук|эрэгтэй илбэчин|эрэгтэй илбэчин: бор
🧚‍♀️;эмэгтэй илбэчин;Титания|эмэгтэй илбэчин
	🧚🏻‍♀️;эмэгтэй илбэчин: цайвар;Титания|цайвар|эмэгтэй илбэчин|эмэгтэй илбэчин: цайвар
	🧚🏼‍♀️;эмэгтэй илбэчин: бага зэргийн цайвар;бага зэргийн цайвар|Титания|эмэгтэй илбэчин|эмэгтэй илбэчин: бага зэргийн цайвар
	🧚🏽‍♀️;эмэгтэй илбэчин: дунд зэргийн;дунд зэргийн|Титания|эмэгтэй илбэчин|эмэгтэй илбэчин: дунд зэргийн
	🧚🏾‍♀️;эмэгтэй илбэчин: бордуу;бордуу|Титания|эмэгтэй илбэчин|эмэгтэй илбэчин: бордуу
	🧚🏿‍♀️;эмэгтэй илбэчин: бор;бор|Титания|эмэгтэй илбэчин|эмэгтэй илбэчин: бор
🧛;цус сорогч;Дракула|үхээгүй|цус сорогч
	🧛🏻;цус сорогч: цайвар;Дракула|үхээгүй|цайвар|цус сорогч|цус сорогч: цайвар
	🧛🏼;цус сорогч: бага зэргийн цайвар;бага зэргийн цайвар|Дракула|үхээгүй|цус сорогч|цус сорогч: бага зэргийн цайвар
	🧛🏽;цус сорогч: дунд зэргийн;Дракула|дунд зэргийн|үхээгүй|цус сорогч|цус сорогч: дунд зэргийн
	🧛🏾;цус сорогч: бордуу;бордуу|Дракула|үхээгүй|цус сорогч|цус сорогч: бордуу
	🧛🏿;цус сорогч: бор;бор|Дракула|үхээгүй|цус сорогч|цус сорогч: бор
🧛‍♂️;эрэгтэй цус сорогч;Дракула|үхээгүй|эрэгтэй цус сорогч
	🧛🏻‍♂️;эрэгтэй цус сорогч: цайвар;Дракула|үхээгүй|цайвар|эрэгтэй цус сорогч|эрэгтэй цус сорогч: цайвар
	🧛🏼‍♂️;эрэгтэй цус сорогч: бага зэргийн цайвар;бага зэргийн цайвар|Дракула|үхээгүй|эрэгтэй цус сорогч|эрэгтэй цус сорогч: бага зэргийн цайвар
	🧛🏽‍♂️;эрэгтэй цус сорогч: дунд зэргийн;Дракула|дунд зэргийн|үхээгүй|эрэгтэй цус сорогч|эрэгтэй цус сорогч: дунд зэргийн
	🧛🏾‍♂️;эрэгтэй цус сорогч: бордуу;бордуу|Дракула|үхээгүй|эрэгтэй цус сорогч|эрэгтэй цус сорогч: бордуу
	🧛🏿‍♂️;эрэгтэй цус сорогч: бор;бор|Дракула|үхээгүй|эрэгтэй цус сорогч|эрэгтэй цус сорогч: бор
🧛‍♀️;эмэгтэй цус сорогч;үхээгүй|эмэгтэй цус сорогч
	🧛🏻‍♀️;эмэгтэй цус сорогч: цайвар;үхээгүй|цайвар|эмэгтэй цус сорогч|эмэгтэй цус сорогч: цайвар
	🧛🏼‍♀️;эмэгтэй цус сорогч: бага зэргийн цайвар;бага зэргийн цайвар|үхээгүй|эмэгтэй цус сорогч|эмэгтэй цус сорогч: бага зэргийн цайвар
	🧛🏽‍♀️;эмэгтэй цус сорогч: дунд зэргийн;дунд зэргийн|үхээгүй|эмэгтэй цус сорогч|эмэгтэй цус сорогч: дунд зэргийн
	🧛🏾‍♀️;эмэгтэй цус сорогч: бордуу;бордуу|үхээгүй|эмэгтэй цус сорогч|эмэгтэй цус сорогч: бордуу
	🧛🏿‍♀️;эмэгтэй цус сорогч: бор;бор|үхээгүй|эмэгтэй цус сорогч|эмэгтэй цус сорогч: бор
🧜;лусын хүн;лусын дагина|лусын хүн|лусын эмэгтэй|лусын эрэгтэй
	🧜🏻;лусын хүн: цайвар;лусын дагина|лусын хүн|лусын хүн: цайвар|лусын эмэгтэй|лусын эрэгтэй|цайвар
	🧜🏼;лусын хүн: бага зэргийн цайвар;бага зэргийн цайвар|лусын дагина|лусын хүн|лусын хүн: бага зэргийн цайвар|лусын эмэгтэй|лусын эрэгтэй
	🧜🏽;лусын хүн: дунд зэргийн;дунд зэргийн|лусын дагина|лусын хүн|лусын хүн: дунд зэргийн|лусын эмэгтэй|лусын эрэгтэй
	🧜🏾;лусын хүн: бордуу;бордуу|лусын дагина|лусын хүн|лусын хүн: бордуу|лусын эмэгтэй|лусын эрэгтэй
	🧜🏿;лусын хүн: бор;бор|лусын дагина|лусын хүн|лусын хүн: бор|лусын эмэгтэй|лусын эрэгтэй
🧜‍♂️;лусын хаан;лусын хаан|Тритон
	🧜🏻‍♂️;лусын хаан: цайвар;лусын хаан|лусын хаан: цайвар|Тритон|цайвар
	🧜🏼‍♂️;лусын хаан: бага зэргийн цайвар;бага зэргийн цайвар|лусын хаан|лусын хаан: бага зэргийн цайвар|Тритон
	🧜🏽‍♂️;лусын хаан: дунд зэргийн;дунд зэргийн|лусын хаан|лусын хаан: дунд зэргийн|Тритон
	🧜🏾‍♂️;лусын хаан: бордуу;бордуу|лусын хаан|лусын хаан: бордуу|Тритон
	🧜🏿‍♂️;лусын хаан: бор;бор|лусын хаан|лусын хаан: бор|Тритон
🧜‍♀️;лусын дагина;лусын дагина|лусын эмэгтэй
	🧜🏻‍♀️;лусын дагина: цайвар;лусын дагина|лусын дагина: цайвар|лусын эмэгтэй|цайвар
	🧜🏼‍♀️;лусын дагина: бага зэргийн цайвар;бага зэргийн цайвар|лусын дагина|лусын дагина: бага зэргийн цайвар|лусын эмэгтэй
	🧜🏽‍♀️;лусын дагина: дунд зэргийн;дунд зэргийн|лусын дагина|лусын дагина: дунд зэргийн|лусын эмэгтэй
	🧜🏾‍♀️;лусын дагина: бордуу;бордуу|лусын дагина|лусын дагина: бордуу|лусын эмэгтэй
	🧜🏿‍♀️;лусын дагина: бор;бор|лусын дагина|лусын дагина: бор|лусын эмэгтэй
🧝;одой хүн;ид шидийн|одой хүн
	🧝🏻;одой хүн: цайвар;ид шидийн|одой хүн|одой хүн: цайвар|цайвар
	🧝🏼;одой хүн: бага зэргийн цайвар;бага зэргийн цайвар|ид шидийн|одой хүн|одой хүн: бага зэргийн цайвар
	🧝🏽;одой хүн: дунд зэргийн;дунд зэргийн|ид шидийн|одой хүн|одой хүн: дунд зэргийн
	🧝🏾;одой хүн: бордуу;бордуу|ид шидийн|одой хүн|одой хүн: бордуу
	🧝🏿;одой хүн: бор;бор|ид шидийн|одой хүн|одой хүн: бор
🧝‍♂️;эрэгтэй одой;ид шидийн|эрэгтэй одой
	🧝🏻‍♂️;эрэгтэй одой: цайвар;ид шидийн|цайвар|эрэгтэй одой|эрэгтэй одой: цайвар
	🧝🏼‍♂️;эрэгтэй одой: бага зэргийн цайвар;бага зэргийн цайвар|ид шидийн|эрэгтэй одой|эрэгтэй одой: бага зэргийн цайвар
	🧝🏽‍♂️;эрэгтэй одой: дунд зэргийн;дунд зэргийн|ид шидийн|эрэгтэй одой|эрэгтэй одой: дунд зэргийн
	🧝🏾‍♂️;эрэгтэй одой: бордуу;бордуу|ид шидийн|эрэгтэй одой|эрэгтэй одой: бордуу
	🧝🏿‍♂️;эрэгтэй одой: бор;бор|ид шидийн|эрэгтэй одой|эрэгтэй одой: бор
🧝‍♀️;эмэгтэй одой;ид шидийн|эмэгтэй одой
	🧝🏻‍♀️;эмэгтэй одой: цайвар;ид шидийн|цайвар|эмэгтэй одой|эмэгтэй одой: цайвар
	🧝🏼‍♀️;эмэгтэй одой: бага зэргийн цайвар;бага зэргийн цайвар|ид шидийн|эмэгтэй одой|эмэгтэй одой: бага зэргийн цайвар
	🧝🏽‍♀️;эмэгтэй одой: дунд зэргийн;дунд зэргийн|ид шидийн|эмэгтэй одой|эмэгтэй одой: дунд зэргийн
	🧝🏾‍♀️;эмэгтэй одой: бордуу;бордуу|ид шидийн|эмэгтэй одой|эмэгтэй одой: бордуу
	🧝🏿‍♀️;эмэгтэй одой: бор;бор|ид шидийн|эмэгтэй одой|эмэгтэй одой: бор
🧞;жини;Жин|жини
🧞‍♂️;эрэгтэй жини;жинь|эрэгтэй жини
🧞‍♀️;Эмэгтэй жини;жинь|Эмэгтэй жини
🧟;зомби;зомби|үхээгүй
🧟‍♂️;эрэгтэй зомби;зомби|үхээгүй|эрэгтэй зомби
🧟‍♀️;эмэгтэй зомби;зомби|үхээгүй|эмэгтэй зомби
🧌;тролл;мангас|тролл|уран зөгнөл|үлгэр
💆;нүүрний массаж;гоо сайхан|массаж|нүүр|нүүрний массаж
	💆🏻;нүүрний массаж: цайвар;гоо сайхан|массаж|нүүр|нүүрний массаж|нүүрний массаж: цайвар|цайвар
	💆🏼;нүүрний массаж: бага зэргийн цайвар;бага зэргийн цайвар|гоо сайхан|массаж|нүүр|нүүрний массаж|нүүрний массаж: бага зэргийн цайвар
	💆🏽;нүүрний массаж: дунд зэргийн;гоо сайхан|дунд зэргийн|массаж|нүүр|нүүрний массаж|нүүрний массаж: дунд зэргийн
	💆🏾;нүүрний массаж: бордуу;бордуу|гоо сайхан|массаж|нүүр|нүүрний массаж|нүүрний массаж: бордуу
	💆🏿;нүүрний массаж: бор;бор|гоо сайхан|массаж|нүүр|нүүрний массаж|нүүрний массаж: бор
💆‍♂️;нүүрэндээ массаж хийлгэж буй эрэгтэй;массаж|нүүр|нүүрэндээ массаж хийлгэж буй эрэгтэй|эр|эрэгтэй
	💆🏻‍♂️;нүүрэндээ массаж хийлгэж буй эрэгтэй: цайвар;массаж|нүүр|нүүрэндээ массаж хийлгэж буй эрэгтэй|нүүрэндээ массаж хийлгэж буй эрэгтэй: цайвар|цайвар|эр|эрэгтэй
	💆🏼‍♂️;нүүрэндээ массаж хийлгэж буй эрэгтэй: бага зэргийн цайвар;бага зэргийн цайвар|массаж|нүүр|нүүрэндээ массаж хийлгэж буй эрэгтэй|нүүрэндээ массаж хийлгэж буй эрэгтэй: бага зэргийн цайвар|эр|эрэгтэй
	💆🏽‍♂️;нүүрэндээ массаж хийлгэж буй эрэгтэй: дунд зэргийн;дунд зэргийн|массаж|нүүр|нүүрэндээ массаж хийлгэж буй эрэгтэй|нүүрэндээ массаж хийлгэж буй эрэгтэй: дунд зэргийн|эр|эрэгтэй
	💆🏾‍♂️;нүүрэндээ массаж хийлгэж буй эрэгтэй: бордуу;бордуу|массаж|нүүр|нүүрэндээ массаж хийлгэж буй эрэгтэй|нүүрэндээ массаж хийлгэж буй эрэгтэй: бордуу|эр|эрэгтэй
	💆🏿‍♂️;нүүрэндээ массаж хийлгэж буй эрэгтэй: бор;бор|массаж|нүүр|нүүрэндээ массаж хийлгэж буй эрэгтэй|нүүрэндээ массаж хийлгэж буй эрэгтэй: бор|эр|эрэгтэй
💆‍♀️;нүүрэндээ массаж хийлгэж буй эмэгтэй;массаж|нүүр|нүүрэндээ массаж хийлгэж буй эмэгтэй|эм|эмэгтэй
	💆🏻‍♀️;нүүрэндээ массаж хийлгэж буй эмэгтэй: цайвар;массаж|нүүр|нүүрэндээ массаж хийлгэж буй эмэгтэй|нүүрэндээ массаж хийлгэж буй эмэгтэй: цайвар|цайвар|эм|эмэгтэй
	💆🏼‍♀️;нүүрэндээ массаж хийлгэж буй эмэгтэй: бага зэргийн цайвар;бага зэргийн цайвар|массаж|нүүр|нүүрэндээ массаж хийлгэж буй эмэгтэй|нүүрэндээ массаж хийлгэж буй эмэгтэй: бага зэргийн цайвар|эм|эмэгтэй
	💆🏽‍♀️;нүүрэндээ массаж хийлгэж буй эмэгтэй: дунд зэргийн;дунд зэргийн|массаж|нүүр|нүүрэндээ массаж хийлгэж буй эмэгтэй|нүүрэндээ массаж хийлгэж буй эмэгтэй: дунд зэргийн|эм|эмэгтэй
	💆🏾‍♀️;нүүрэндээ массаж хийлгэж буй эмэгтэй: бордуу;бордуу|массаж|нүүр|нүүрэндээ массаж хийлгэж буй эмэгтэй|нүүрэндээ массаж хийлгэж буй эмэгтэй: бордуу|эм|эмэгтэй
	💆🏿‍♀️;нүүрэндээ массаж хийлгэж буй эмэгтэй: бор;бор|массаж|нүүр|нүүрэндээ массаж хийлгэж буй эмэгтэй|нүүрэндээ массаж хийлгэж буй эмэгтэй: бор|эм|эмэгтэй
💇;үс засалт;засалт|үс|хайч|эмэгтэй хүн
	💇🏻;үс засалт: цайвар;засалт|үс|үс засалт: цайвар|хайч|цайвар|эмэгтэй хүн
	💇🏼;үс засалт: бага зэргийн цайвар;бага зэргийн цайвар|засалт|үс|үс засалт: бага зэргийн цайвар|хайч|эмэгтэй хүн
	💇🏽;үс засалт: дунд зэргийн;дунд зэргийн|засалт|үс|үс засалт: дунд зэргийн|хайч|эмэгтэй хүн
	💇🏾;үс засалт: бордуу;бордуу|засалт|үс|үс засалт: бордуу|хайч|эмэгтэй хүн
	💇🏿;үс засалт: бор;бор|засалт|үс|үс засалт: бор|хайч|эмэгтэй хүн
💇‍♂️;үсээ тайруулж буй эрэгтэй;үс тайрах|үсээ тайруулж буй эрэгтэй|эр|эрэгтэй
	💇🏻‍♂️;үсээ тайруулж буй эрэгтэй: цайвар;үс тайрах|үсээ тайруулж буй эрэгтэй|үсээ тайруулж буй эрэгтэй: цайвар|цайвар|эр|эрэгтэй
	💇🏼‍♂️;үсээ тайруулж буй эрэгтэй: бага зэргийн цайвар;бага зэргийн цайвар|үс тайрах|үсээ тайруулж буй эрэгтэй|үсээ тайруулж буй эрэгтэй: бага зэргийн цайвар|эр|эрэгтэй
	💇🏽‍♂️;үсээ тайруулж буй эрэгтэй: дунд зэргийн;дунд зэргийн|үс тайрах|үсээ тайруулж буй эрэгтэй|үсээ тайруулж буй эрэгтэй: дунд зэргийн|эр|эрэгтэй
	💇🏾‍♂️;үсээ тайруулж буй эрэгтэй: бордуу;бордуу|үс тайрах|үсээ тайруулж буй эрэгтэй|үсээ тайруулж буй эрэгтэй: бордуу|эр|эрэгтэй
	💇🏿‍♂️;үсээ тайруулж буй эрэгтэй: бор;бор|үс тайрах|үсээ тайруулж буй эрэгтэй|үсээ тайруулж буй эрэгтэй: бор|эр|эрэгтэй
💇‍♀️;үсээ тайруулж буй эмэгтэй;үс тайрах|үсээ тайруулж буй эмэгтэй|эм|эмэгтэй
	💇🏻‍♀️;үсээ тайруулж буй эмэгтэй: цайвар;үс тайрах|үсээ тайруулж буй эмэгтэй|үсээ тайруулж буй эмэгтэй: цайвар|цайвар|эм|эмэгтэй
	💇🏼‍♀️;үсээ тайруулж буй эмэгтэй: бага зэргийн цайвар;бага зэргийн цайвар|үс тайрах|үсээ тайруулж буй эмэгтэй|үсээ тайруулж буй эмэгтэй: бага зэргийн цайвар|эм|эмэгтэй
	💇🏽‍♀️;үсээ тайруулж буй эмэгтэй: дунд зэргийн;дунд зэргийн|үс тайрах|үсээ тайруулж буй эмэгтэй|үсээ тайруулж буй эмэгтэй: дунд зэргийн|эм|эмэгтэй
	💇🏾‍♀️;үсээ тайруулж буй эмэгтэй: бордуу;бордуу|үс тайрах|үсээ тайруулж буй эмэгтэй|үсээ тайруулж буй эмэгтэй: бордуу|эм|эмэгтэй
	💇🏿‍♀️;үсээ тайруулж буй эмэгтэй: бор;бор|үс тайрах|үсээ тайруулж буй эмэгтэй|үсээ тайруулж буй эмэгтэй: бор|эм|эмэгтэй
🚶;алхаж буй хүн;алхаж буй хүн|алхах|хүн
	🚶🏻;алхаж буй хүн: цайвар;алхаж буй хүн|алхаж буй хүн: цайвар|алхах|хүн|цайвар
	🚶🏼;алхаж буй хүн: бага зэргийн цайвар;алхаж буй хүн|алхаж буй хүн: бага зэргийн цайвар|алхах|бага зэргийн цайвар|хүн
	🚶🏽;алхаж буй хүн: дунд зэргийн;алхаж буй хүн|алхаж буй хүн: дунд зэргийн|алхах|дунд зэргийн|хүн
	🚶🏾;алхаж буй хүн: бордуу;алхаж буй хүн|алхаж буй хүн: бордуу|алхах|бордуу|хүн
	🚶🏿;алхаж буй хүн: бор;алхаж буй хүн|алхаж буй хүн: бор|алхах|бор|хүн
🚶‍♂️;алхаж буй эрэгтэй;алхаж буй эрэгтэй|алхалт|алхах|эр|эрэгтэй
	🚶🏻‍♂️;алхаж буй эрэгтэй: цайвар;алхаж буй эрэгтэй|алхаж буй эрэгтэй: цайвар|алхалт|алхах|цайвар|эр|эрэгтэй
	🚶🏼‍♂️;алхаж буй эрэгтэй: бага зэргийн цайвар;алхаж буй эрэгтэй|алхаж буй эрэгтэй: бага зэргийн цайвар|алхалт|алхах|бага зэргийн цайвар|эр|эрэгтэй
	🚶🏽‍♂️;алхаж буй эрэгтэй: дунд зэргийн;алхаж буй эрэгтэй|алхаж буй эрэгтэй: дунд зэргийн|алхалт|алхах|дунд зэргийн|эр|эрэгтэй
	🚶🏾‍♂️;алхаж буй эрэгтэй: бордуу;алхаж буй эрэгтэй|алхаж буй эрэгтэй: бордуу|алхалт|алхах|бордуу|эр|эрэгтэй
	🚶🏿‍♂️;алхаж буй эрэгтэй: бор;алхаж буй эрэгтэй|алхаж буй эрэгтэй: бор|алхалт|алхах|бор|эр|эрэгтэй
🚶‍♀️;алхаж буй эмэгтэй;алхаж буй эмэгтэй|алхалт|алхах|эм|эмэгтэй
	🚶🏻‍♀️;алхаж буй эмэгтэй: цайвар;алхаж буй эмэгтэй|алхаж буй эмэгтэй: цайвар|алхалт|алхах|цайвар|эм|эмэгтэй
	🚶🏼‍♀️;алхаж буй эмэгтэй: бага зэргийн цайвар;алхаж буй эмэгтэй|алхаж буй эмэгтэй: бага зэргийн цайвар|алхалт|алхах|бага зэргийн цайвар|эм|эмэгтэй
	🚶🏽‍♀️;алхаж буй эмэгтэй: дунд зэргийн;алхаж буй эмэгтэй|алхаж буй эмэгтэй: дунд зэргийн|алхалт|алхах|дунд зэргийн|эм|эмэгтэй
	🚶🏾‍♀️;алхаж буй эмэгтэй: бордуу;алхаж буй эмэгтэй|алхаж буй эмэгтэй: бордуу|алхалт|алхах|бордуу|эм|эмэгтэй
	🚶🏿‍♀️;алхаж буй эмэгтэй: бор;алхаж буй эмэгтэй|алхаж буй эмэгтэй: бор|алхалт|алхах|бор|эм|эмэгтэй
🚶‍➡️;;
	🚶🏻‍➡️;;
	🚶🏼‍➡️;;
	🚶🏽‍➡️;;
	🚶🏾‍➡️;;
	🚶🏿‍➡️;;
🚶‍♀️‍➡️;;
	🚶🏻‍♀️‍➡️;;
	🚶🏼‍♀️‍➡️;;
	🚶🏽‍♀️‍➡️;;
	🚶🏾‍♀️‍➡️;;
	🚶🏿‍♀️‍➡️;;
🚶‍♂️‍➡️;;
	🚶🏻‍♂️‍➡️;;
	🚶🏼‍♂️‍➡️;;
	🚶🏽‍♂️‍➡️;;
	🚶🏾‍♂️‍➡️;;
	🚶🏿‍♂️‍➡️;;
🧍;зогсож буй хүн;зогс|зогсож буй|зогсож буй хүн
	🧍🏻;зогсож буй хүн: цайвар;зогс|зогсож буй|зогсож буй хүн|зогсож буй хүн: цайвар|цайвар
	🧍🏼;зогсож буй хүн: бага зэргийн цайвар;бага зэргийн цайвар|зогс|зогсож буй|зогсож буй хүн|зогсож буй хүн: бага зэргийн цайвар
	🧍🏽;зогсож буй хүн: дунд зэргийн;дунд зэргийн|зогс|зогсож буй|зогсож буй хүн|зогсож буй хүн: дунд зэргийн
	🧍🏾;зогсож буй хүн: бордуу;бордуу|зогс|зогсож буй|зогсож буй хүн|зогсож буй хүн: бордуу
	🧍🏿;зогсож буй хүн: бор;бор|зогс|зогсож буй|зогсож буй хүн|зогсож буй хүн: бор
🧍‍♂️;зогсож буй эрэгтэй;зогсож буй|зогсож буй эрэгтэй|эрэгтэй
	🧍🏻‍♂️;зогсож буй эрэгтэй: цайвар;зогсож буй|зогсож буй эрэгтэй|зогсож буй эрэгтэй: цайвар|цайвар|эрэгтэй
	🧍🏼‍♂️;зогсож буй эрэгтэй: бага зэргийн цайвар;бага зэргийн цайвар|зогсож буй|зогсож буй эрэгтэй|зогсож буй эрэгтэй: бага зэргийн цайвар|эрэгтэй
	🧍🏽‍♂️;зогсож буй эрэгтэй: дунд зэргийн;дунд зэргийн|зогсож буй|зогсож буй эрэгтэй|зогсож буй эрэгтэй: дунд зэргийн|эрэгтэй
	🧍🏾‍♂️;зогсож буй эрэгтэй: бордуу;бордуу|зогсож буй|зогсож буй эрэгтэй|зогсож буй эрэгтэй: бордуу|эрэгтэй
	🧍🏿‍♂️;зогсож буй эрэгтэй: бор;бор|зогсож буй|зогсож буй эрэгтэй|зогсож буй эрэгтэй: бор|эрэгтэй
🧍‍♀️;зогсож буй эмэгтэй;зогсож буй|зогсож буй эмэгтэй|эмэгтэй
	🧍🏻‍♀️;зогсож буй эмэгтэй: цайвар;зогсож буй|зогсож буй эмэгтэй|зогсож буй эмэгтэй: цайвар|цайвар|эмэгтэй
	🧍🏼‍♀️;зогсож буй эмэгтэй: бага зэргийн цайвар;бага зэргийн цайвар|зогсож буй|зогсож буй эмэгтэй|зогсож буй эмэгтэй: бага зэргийн цайвар|эмэгтэй
	🧍🏽‍♀️;зогсож буй эмэгтэй: дунд зэргийн;дунд зэргийн|зогсож буй|зогсож буй эмэгтэй|зогсож буй эмэгтэй: дунд зэргийн|эмэгтэй
	🧍🏾‍♀️;зогсож буй эмэгтэй: бордуу;бордуу|зогсож буй|зогсож буй эмэгтэй|зогсож буй эмэгтэй: бордуу|эмэгтэй
	🧍🏿‍♀️;зогсож буй эмэгтэй: бор;бор|зогсож буй|зогсож буй эмэгтэй|зогсож буй эмэгтэй: бор|эмэгтэй
🧎;сөхөрч суусан хүн;сөхөрч буй|сөхөрч суусан хүн|сөхрөх
	🧎🏻;сөхөрч суусан хүн: цайвар;сөхөрч буй|сөхөрч суусан хүн|сөхөрч суусан хүн: цайвар|сөхрөх|цайвар
	🧎🏼;сөхөрч суусан хүн: бага зэргийн цайвар;бага зэргийн цайвар|сөхөрч буй|сөхөрч суусан хүн|сөхөрч суусан хүн: бага зэргийн цайвар|сөхрөх
	🧎🏽;сөхөрч суусан хүн: дунд зэргийн;дунд зэргийн|сөхөрч буй|сөхөрч суусан хүн|сөхөрч суусан хүн: дунд зэргийн|сөхрөх
	🧎🏾;сөхөрч суусан хүн: бордуу;бордуу|сөхөрч буй|сөхөрч суусан хүн|сөхөрч суусан хүн: бордуу|сөхрөх
	🧎🏿;сөхөрч суусан хүн: бор;бор|сөхөрч буй|сөхөрч суусан хүн|сөхөрч суусан хүн: бор|сөхрөх
