[smileys_emotion]
😀;Grinsgesiicht;Gesiicht|Grinsen|Grinsgesiicht
	🧝🏽;Elf: mëttel Hautfaarf;Elf|Elf: mëttel Hautfaarf|magesch|mëttel Hautfaarf
	🧝🏾;Elf: mëtteldäischter Hautfaarf;Elf|Elf: mëtteldäischter Hautfaarf|magesch|mëtteldäischter Hautfaarf
	🧝🏿;Elf: däischter Hautfaarf;däischter Hautfaarf|Elf|Elf: däischter Hautfaarf|magesch
🧝‍♂️;Elfemann;Elfemann|magesch
	🧝🏻‍♂️;Elfemann: hell Hautfaarf;Elfemann|Elfemann: hell Hautfaarf|hell Hautfaarf|magesch
	🧝🏼‍♂️;Elfemann: mëttelhell Hautfaarf;Elfemann|Elfemann: mëttelhell Hautfaarf|magesch|mëttelhell Hautfaarf
	🧝🏽‍♂️;Elfemann: mëttel Hautfaarf;Elfemann|Elfemann: mëttel Hautfaarf|magesch|mëttel Hautfaarf
	🧝🏾‍♂️;Elfemann: mëtteldäischter Hautfaarf;Elfemann|Elfemann: mëtteldäischter Hautfaarf|magesch|mëtteldäischter Hautfaarf
	🧝🏿‍♂️;Elfemann: däischter Hautfaarf;däischter Hautfaarf|Elfemann|Elfemann: däischter Hautfaarf|magesch
🧝‍♀️;Elfefra;Elfefra|magesch
	🧝🏻‍♀️;Elfefra: hell Hautfaarf;Elfefra|Elfefra: hell Hautfaarf|hell Hautfaarf|magesch
	🧝🏼‍♀️;Elfefra: mëttelhell Hautfaarf;Elfefra|Elfefra: mëttelhell Hautfaarf|magesch|mëttelhell Hautfaarf
	🧝🏽‍♀️;Elfefra: mëttel Hautfaarf;Elfefra|Elfefra: mëttel Hautfaarf|magesch|mëttel Hautfaarf
	🧝🏾‍♀️;Elfefra: mëtteldäischter Hautfaarf;Elfefra|Elfefra: mëtteldäischter Hautfaarf|magesch|mëtteldäischter Hautfaarf
	🧝🏿‍♀️;Elfefra: däischter Hautfaarf;däischter Hautfaarf|Elfefra|Elfefra: däischter Hautfaarf|magesch
🧞;Genie;Djinn|Genie
🧞‍♂️;Geniemann;Djinn|Geniemann
🧞‍♀️;Geniefra;Djinn|Geniefra
🧟;Zombie;ondout|Zombie
🧟‍♂️;Zombiemann;ondout|Zombie|Zombiemann
🧟‍♀️;Zombiefra;ondout|Zombie|Zombiefra
🧌;;
💆;Persoun, déi eng Kappmassage kritt;déi eng Kappmassage kritt|Gesiicht|Massage|Persoun|Persoun, déi eng Kappmassage kritt|Salon
	💆🏻;Persoun, déi eng Kappmassage kritt: hell Hautfaarf;déi eng Kappmassage kritt|Gesiicht|hell Hautfaarf|Massage|Persoun|Persoun, déi eng Kappmassage kritt|Persoun, déi eng Kappmassage kritt: hell Hautfaarf|Salon
	💆🏼;Persoun, déi eng Kappmassage kritt: mëttelhell Hautfaarf;déi eng Kappmassage kritt|Gesiicht|Massage|mëttelhell Hautfaarf|Persoun|Persoun, déi eng Kappmassage kritt|Persoun, déi eng Kappmassage kritt: mëttelhell Hautfaarf|Salon
	💆🏽;Persoun, déi eng Kappmassage kritt: mëttel Hautfaarf;déi eng Kappmassage kritt|Gesiicht|Massage|mëttel Hautfaarf|Persoun|Persoun, déi eng Kappmassage kritt|Persoun, déi eng Kappmassage kritt: mëttel Hautfaarf|Salon
	💆🏾;Persoun, déi eng Kappmassage kritt: mëtteldäischter Hautfaarf;déi eng Kappmassage kritt|Gesiicht|Massage|mëtteldäischter Hautfaarf|Persoun|Persoun, déi eng Kappmassage kritt|Persoun, déi eng Kappmassage kritt: mëtteldäischter Hautfaarf|Salon
	💆🏿;Persoun, déi eng Kappmassage kritt: däischter Hautfaarf;däischter Hautfaarf|déi eng Kappmassage kritt|Gesiicht|Massage|Persoun|Persoun, déi eng Kappmassage kritt|Persoun, déi eng Kappmassage kritt: däischter Hautfaarf|Salon
💆‍♂️;Mann, deen eng Kappmassage kritt;deen eng Kappmassage kritt|Gesiicht|Mann|Mann, deen eng Kappmassage kritt|Massage
	💆🏻‍♂️;Mann, deen eng Kappmassage kritt: hell Hautfaarf;deen eng Kappmassage kritt|Gesiicht|hell Hautfaarf|Mann|Mann, deen eng Kappmassage kritt|Mann, deen eng Kappmassage kritt: hell Hautfaarf|Massage
	💆🏼‍♂️;Mann, deen eng Kappmassage kritt: mëttelhell Hautfaarf;deen eng Kappmassage kritt|Gesiicht|Mann|Mann, deen eng Kappmassage kritt|Mann, deen eng Kappmassage kritt: mëttelhell Hautfaarf|Massage|mëttelhell Hautfaarf
	💆🏽‍♂️;Mann, deen eng Kappmassage kritt: mëttel Hautfaarf;deen eng Kappmassage kritt|Gesiicht|Mann|Mann, deen eng Kappmassage kritt|Mann, deen eng Kappmassage kritt: mëttel Hautfaarf|Massage|mëttel Hautfaarf
	💆🏾‍♂️;Mann, deen eng Kappmassage kritt: mëtteldäischter Hautfaarf;deen eng Kappmassage kritt|Gesiicht|Mann|Mann, deen eng Kappmassage kritt|Mann, deen eng Kappmassage kritt: mëtteldäischter Hautfaarf|Massage|mëtteldäischter Hautfaarf
	💆🏿‍♂️;Mann, deen eng Kappmassage kritt: däischter Hautfaarf;däischter Hautfaarf|deen eng Kappmassage kritt|Gesiicht|Mann|Mann, deen eng Kappmassage kritt|Mann, deen eng Kappmassage kritt: däischter Hautfaarf|Massage
💆‍♀️;Fra, déi eng Kappmassage kritt;déi eng Kappmassage kritt|Fra|Fra, déi eng Kappmassage kritt|Gesiicht|Massage
	💆🏻‍♀️;Fra, déi eng Kappmassage kritt: hell Hautfaarf;déi eng Kappmassage kritt|Fra|Fra, déi eng Kappmassage kritt|Fra, déi eng Kappmassage kritt: hell Hautfaarf|Gesiicht|hell Hautfaarf|Massage
	💆🏼‍♀️;Fra, déi eng Kappmassage kritt: mëttelhell Hautfaarf;déi eng Kappmassage kritt|Fra|Fra, déi eng Kappmassage kritt|Fra, déi eng Kappmassage kritt: mëttelhell Hautfaarf|Gesiicht|Massage|mëttelhell Hautfaarf
	💆🏽‍♀️;Fra, déi eng Kappmassage kritt: mëttel Hautfaarf;déi eng Kappmassage kritt|Fra|Fra, déi eng Kappmassage kritt|Fra, déi eng Kappmassage kritt: mëttel Hautfaarf|Gesiicht|Massage|mëttel Hautfaarf
	💆🏾‍♀️;Fra, déi eng Kappmassage kritt: mëtteldäischter Hautfaarf;déi eng Kappmassage kritt|Fra|Fra, déi eng Kappmassage kritt|Fra, déi eng Kappmassage kritt: mëtteldäischter Hautfaarf|Gesiicht|Massage|mëtteldäischter Hautfaarf
	💆🏿‍♀️;Fra, déi eng Kappmassage kritt: däischter Hautfaarf;däischter Hautfaarf|déi eng Kappmassage kritt|Fra|Fra, déi eng Kappmassage kritt|Fra, déi eng Kappmassage kritt: däischter Hautfaarf|Gesiicht|Massage
💇;Persoun, déi d’Hoer geschnidde kritt;Coiffer|Coupe|déi d’Hoer geschnidde kritt|Hoer|Persoun|Persoun, déi d’Hoer geschnidde kritt|Salon|Schéinheet|schneiden
	💇🏻;Persoun, déi d’Hoer geschnidde kritt: hell Hautfaarf;Coiffer|Coupe|déi d’Hoer geschnidde kritt|hell Hautfaarf|Hoer|Persoun|Persoun, déi d’Hoer geschnidde kritt|Persoun, déi d’Hoer geschnidde kritt: hell Hautfaarf|Salon|Schéinheet|schneiden
	💇🏼;Persoun, déi d’Hoer geschnidde kritt: mëttelhell Hautfaarf;Coiffer|Coupe|déi d’Hoer geschnidde kritt|Hoer|mëttelhell Hautfaarf|Persoun|Persoun, déi d’Hoer geschnidde kritt|Persoun, déi d’Hoer geschnidde kritt: mëttelhell Hautfaarf|Salon|Schéinheet|schneiden
	💇🏽;Persoun, déi d’Hoer geschnidde kritt: mëttel Hautfaarf;Coiffer|Coupe|déi d’Hoer geschnidde kritt|Hoer|mëttel Hautfaarf|Persoun|Persoun, déi d’Hoer geschnidde kritt|Persoun, déi d’Hoer geschnidde kritt: mëttel Hautfaarf|Salon|Schéinheet|schneiden
	💇🏾;Persoun, déi d’Hoer geschnidde kritt: mëtteldäischter Hautfaarf;Coiffer|Coupe|déi d’Hoer geschnidde kritt|Hoer|mëtteldäischter Hautfaarf|Persoun|Persoun, déi d’Hoer geschnidde kritt|Persoun, déi d’Hoer geschnidde kritt: mëtteldäischter Hautfaarf|Salon|Schéinheet|schneiden
	💇🏿;Persoun, déi d’Hoer geschnidde kritt: däischter Hautfaarf;Coiffer|Coupe|däischter Hautfaarf|déi d’Hoer geschnidde kritt|Hoer|Persoun|Persoun, déi d’Hoer geschnidde kritt|Persoun, déi d’Hoer geschnidde kritt: däischter Hautfaarf|Salon|Schéinheet|schneiden
💇‍♂️;Mann, deen d’Hoer geschnidde kritt;Coupe|deen d’Hoer geschnidde kritt|Hoer|Mann|Mann, deen d’Hoer geschnidde kritt|schneiden
	💇🏻‍♂️;Mann, deen d’Hoer geschnidde kritt: hell Hautfaarf;Coupe|deen d’Hoer geschnidde kritt|hell Hautfaarf|Hoer|Mann|Mann, deen d’Hoer geschnidde kritt|Mann, deen d’Hoer geschnidde kritt: hell Hautfaarf|schneiden
	💇🏼‍♂️;Mann, deen d’Hoer geschnidde kritt: mëttelhell Hautfaarf;Coupe|deen d’Hoer geschnidde kritt|Hoer|Mann|Mann, deen d’Hoer geschnidde kritt|Mann, deen d’Hoer geschnidde kritt: mëttelhell Hautfaarf|mëttelhell Hautfaarf|schneiden
	💇🏽‍♂️;Mann, deen d’Hoer geschnidde kritt: mëttel Hautfaarf;Coupe|deen d’Hoer geschnidde kritt|Hoer|Mann|Mann, deen d’Hoer geschnidde kritt|Mann, deen d’Hoer geschnidde kritt: mëttel Hautfaarf|mëttel Hautfaarf|schneiden
	💇🏾‍♂️;Mann, deen d’Hoer geschnidde kritt: mëtteldäischter Hautfaarf;Coupe|deen d’Hoer geschnidde kritt|Hoer|Mann|Mann, deen d’Hoer geschnidde kritt|Mann, deen d’Hoer geschnidde kritt: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf|schneiden
	💇🏿‍♂️;Mann, deen d’Hoer geschnidde kritt: däischter Hautfaarf;Coupe|däischter Hautfaarf|deen d’Hoer geschnidde kritt|Hoer|Mann|Mann, deen d’Hoer geschnidde kritt|Mann, deen d’Hoer geschnidde kritt: däischter Hautfaarf|schneiden
💇‍♀️;Fra, déi d’Hoer geschnidde kritt;Coupe|déi d’Hoer geschnidde kritt|Fra|Fra, déi d’Hoer geschnidde kritt|Hoer|schneiden
	💇🏻‍♀️;Fra, déi d’Hoer geschnidde kritt: hell Hautfaarf;Coupe|déi d’Hoer geschnidde kritt|Fra|Fra, déi d’Hoer geschnidde kritt|Fra, déi d’Hoer geschnidde kritt: hell Hautfaarf|hell Hautfaarf|Hoer|schneiden
	💇🏼‍♀️;Fra, déi d’Hoer geschnidde kritt: mëttelhell Hautfaarf;Coupe|déi d’Hoer geschnidde kritt|Fra|Fra, déi d’Hoer geschnidde kritt|Fra, déi d’Hoer geschnidde kritt: mëttelhell Hautfaarf|Hoer|mëttelhell Hautfaarf|schneiden
	💇🏽‍♀️;Fra, déi d’Hoer geschnidde kritt: mëttel Hautfaarf;Coupe|déi d’Hoer geschnidde kritt|Fra|Fra, déi d’Hoer geschnidde kritt|Fra, déi d’Hoer geschnidde kritt: mëttel Hautfaarf|Hoer|mëttel Hautfaarf|schneiden
	💇🏾‍♀️;Fra, déi d’Hoer geschnidde kritt: mëtteldäischter Hautfaarf;Coupe|déi d’Hoer geschnidde kritt|Fra|Fra, déi d’Hoer geschnidde kritt|Fra, déi d’Hoer geschnidde kritt: mëtteldäischter Hautfaarf|Hoer|mëtteldäischter Hautfaarf|schneiden
	💇🏿‍♀️;Fra, déi d’Hoer geschnidde kritt: däischter Hautfaarf;Coupe|däischter Hautfaarf|déi d’Hoer geschnidde kritt|Fra|Fra, déi d’Hoer geschnidde kritt|Fra, déi d’Hoer geschnidde kritt: däischter Hautfaarf|Hoer|schneiden
🚶;spadséierend Persoun;spadséieren|spadséierend|spadséierend Persoun|wanderen
	🚶🏻;spadséierend Persoun: hell Hautfaarf;hell Hautfaarf|spadséieren|spadséierend|spadséierend Persoun|spadséierend Persoun: hell Hautfaarf|wanderen
	🚶🏼;spadséierend Persoun: mëttelhell Hautfaarf;mëttelhell Hautfaarf|spadséieren|spadséierend|spadséierend Persoun|spadséierend Persoun: mëttelhell Hautfaarf|wanderen
	🚶🏽;spadséierend Persoun: mëttel Hautfaarf;mëttel Hautfaarf|spadséieren|spadséierend|spadséierend Persoun|spadséierend Persoun: mëttel Hautfaarf|wanderen
	🚶🏾;spadséierend Persoun: mëtteldäischter Hautfaarf;mëtteldäischter Hautfaarf|spadséieren|spadséierend|spadséierend Persoun|spadséierend Persoun: mëtteldäischter Hautfaarf|wanderen
	🚶🏿;spadséierend Persoun: däischter Hautfaarf;däischter Hautfaarf|spadséieren|spadséierend|spadséierend Persoun|spadséierend Persoun: däischter Hautfaarf|wanderen
🚶‍♂️;spadséierende Mann;Mann|spadséieren|spadséierende Mann|wanderen
	🚶🏻‍♂️;spadséierende Mann: hell Hautfaarf;hell Hautfaarf|Mann|spadséieren|spadséierende Mann|spadséierende Mann: hell Hautfaarf|wanderen
	🚶🏼‍♂️;spadséierende Mann: mëttelhell Hautfaarf;Mann|mëttelhell Hautfaarf|spadséieren|spadséierende Mann|spadséierende Mann: mëttelhell Hautfaarf|wanderen
	🚶🏽‍♂️;spadséierende Mann: mëttel Hautfaarf;Mann|mëttel Hautfaarf|spadséieren|spadséierende Mann|spadséierende Mann: mëttel Hautfaarf|wanderen
	🚶🏾‍♂️;spadséierende Mann: mëtteldäischter Hautfaarf;Mann|mëtteldäischter Hautfaarf|spadséieren|spadséierende Mann|spadséierende Mann: mëtteldäischter Hautfaarf|wanderen
	🚶🏿‍♂️;spadséierende Mann: däischter Hautfaarf;däischter Hautfaarf|Mann|spadséieren|spadséierende Mann|spadséierende Mann: däischter Hautfaarf|wanderen
🚶‍♀️;spadséierend Fra;Fra|spadséieren|spadséierend Fra|wanderen
	🚶🏻‍♀️;spadséierend Fra: hell Hautfaarf;Fra|hell Hautfaarf|spadséieren|spadséierend Fra|spadséierend Fra: hell Hautfaarf|wanderen
	🚶🏼‍♀️;spadséierend Fra: mëttelhell Hautfaarf;Fra|mëttelhell Hautfaarf|spadséieren|spadséierend Fra|spadséierend Fra: mëttelhell Hautfaarf|wanderen
	🚶🏽‍♀️;spadséierend Fra: mëttel Hautfaarf;Fra|mëttel Hautfaarf|spadséieren|spadséierend Fra|spadséierend Fra: mëttel Hautfaarf|wanderen
	🚶🏾‍♀️;spadséierend Fra: mëtteldäischter Hautfaarf;Fra|mëtteldäischter Hautfaarf|spadséieren|spadséierend Fra|spadséierend Fra: mëtteldäischter Hautfaarf|wanderen
	🚶🏿‍♀️;spadséierend Fra: däischter Hautfaarf;däischter Hautfaarf|Fra|spadséieren|spadséierend Fra|spadséierend Fra: däischter Hautfaarf|wanderen
🚶‍➡️;;
	🚶🏻‍➡️;;
	🚶🏼‍➡️;;
	🚶🏽‍➡️;;
	🚶🏾‍➡️;;
	🚶🏿‍➡️;;
🚶‍♀️‍➡️;;
	🚶🏻‍♀️‍➡️;;
	🚶🏼‍♀️‍➡️;;
	🚶🏽‍♀️‍➡️;;
	🚶🏾‍♀️‍➡️;;
	🚶🏿‍♀️‍➡️;;
🚶‍♂️‍➡️;;
	🚶🏻‍♂️‍➡️;;
	🚶🏼‍♂️‍➡️;;
	🚶🏽‍♂️‍➡️;;
	🚶🏾‍♂️‍➡️;;
	🚶🏿‍♂️‍➡️;;
🧍;;
	🧍🏻;;
	🧍🏼;;
	🧍🏽;;
	🧍🏾;;
	🧍🏿;;
🧍‍♂️;;
	🧍🏻‍♂️;;
	🧍🏼‍♂️;;
	🧍🏽‍♂️;;
	🧍🏾‍♂️;;
	🧍🏿‍♂️;;
🧍‍♀️;;
	🧍🏻‍♀️;;
	🧍🏼‍♀️;;
	🧍🏽‍♀️;;
	🧍🏾‍♀️;;
	🧍🏿‍♀️;;
🧎;;
	🧎🏻;;
	🧎🏼;;
	🧎🏽;;
	🧎🏾;;
	🧎🏿;;
🧎‍♂️;;
	🧎🏻‍♂️;;
	🧎🏼‍♂️;;
	🧎🏽‍♂️;;
	🧎🏾‍♂️;;
	🧎🏿‍♂️;;
🧎‍♀️;;
	🧎🏻‍♀️;;
	🧎🏼‍♀️;;
	🧎🏽‍♀️;;
	🧎🏾‍♀️;;
	🧎🏿‍♀️;;
🧎‍➡️;;
	🧎🏻‍➡️;;
	🧎🏼‍➡️;;
	🧎🏽‍➡️;;
	🧎🏾‍➡️;;
	🧎🏿‍➡️;;
🧎‍♀️‍➡️;;
	🧎🏻‍♀️‍➡️;;
	🧎🏼‍♀️‍➡️;;
	🧎🏽‍♀️‍➡️;;
	🧎🏾‍♀️‍➡️;;
	🧎🏿‍♀️‍➡️;;
🧎‍♂️‍➡️;;
	🧎🏻‍♂️‍➡️;;
	🧎🏼‍♂️‍➡️;;
	🧎🏽‍♂️‍➡️;;
	🧎🏾‍♂️‍➡️;;
	🧎🏿‍♂️‍➡️;;
🧑‍🦯;;
	🧑🏻‍🦯;;
	🧑🏼‍🦯;;
	🧑🏽‍🦯;;
	🧑🏾‍🦯;;
	🧑🏿‍🦯;;
🧑‍🦯‍➡️;;
	🧑🏻‍🦯‍➡️;;
	🧑🏼‍🦯‍➡️;;
	🧑🏽‍🦯‍➡️;;
	🧑🏾‍🦯‍➡️;;
	🧑🏿‍🦯‍➡️;;
👨‍🦯;;
	👨🏻‍🦯;;
	👨🏼‍🦯;;
	👨🏽‍🦯;;
	👨🏾‍🦯;;
	👨🏿‍🦯;;
👨‍🦯‍➡️;;
	👨🏻‍🦯‍➡️;;
	👨🏼‍🦯‍➡️;;
	👨🏽‍🦯‍➡️;;
	👨🏾‍🦯‍➡️;;
	👨🏿‍🦯‍➡️;;
👩‍🦯;;
	👩🏻‍🦯;;
	👩🏼‍🦯;;
	👩🏽‍🦯;;
	👩🏾‍🦯;;
	👩🏿‍🦯;;
👩‍🦯‍➡️;;
	👩🏻‍🦯‍➡️;;
	👩🏼‍🦯‍➡️;;
	👩🏽‍🦯‍➡️;;
	👩🏾‍🦯‍➡️;;
	👩🏿‍🦯‍➡️;;
🧑‍🦼;;
	🧑🏻‍🦼;;
	🧑🏼‍🦼;;
	🧑🏽‍🦼;;
	🧑🏾‍🦼;;
	🧑🏿‍🦼;;
🧑‍🦼‍➡️;;
	🧑🏻‍🦼‍➡️;;
	🧑🏼‍🦼‍➡️;;
	🧑🏽‍🦼‍➡️;;
	🧑🏾‍🦼‍➡️;;
	🧑🏿‍🦼‍➡️;;
👨‍🦼;;
	👨🏻‍🦼;;
	👨🏼‍🦼;;
	👨🏽‍🦼;;
	👨🏾‍🦼;;
	👨🏿‍🦼;;
👨‍🦼‍➡️;;
	👨🏻‍🦼‍➡️;;
	👨🏼‍🦼‍➡️;;
	👨🏽‍🦼‍➡️;;
	👨🏾‍🦼‍➡️;;
	👨🏿‍🦼‍➡️;;
👩‍🦼;;
	👩🏻‍🦼;;
	👩🏼‍🦼;;
	👩🏽‍🦼;;
	👩🏾‍🦼;;
	👩🏿‍🦼;;
👩‍🦼‍➡️;;
	👩🏻‍🦼‍➡️;;
	👩🏼‍🦼‍➡️;;
	👩🏽‍🦼‍➡️;;
	👩🏾‍🦼‍➡️;;
	👩🏿‍🦼‍➡️;;
🧑‍🦽;;
	🧑🏻‍🦽;;
	🧑🏼‍🦽;;
	🧑🏽‍🦽;;
	🧑🏾‍🦽;;
	🧑🏿‍🦽;;
🧑‍🦽‍➡️;;
	🧑🏻‍🦽‍➡️;;
	🧑🏼‍🦽‍➡️;;
	🧑🏽‍🦽‍➡️;;
	🧑🏾‍🦽‍➡️;;
	🧑🏿‍🦽‍➡️;;
👨‍🦽;;
	👨🏻‍🦽;;
	👨🏼‍🦽;;
	👨🏽‍🦽;;
	👨🏾‍🦽;;
	👨🏿‍🦽;;
👨‍🦽‍➡️;;
	👨🏻‍🦽‍➡️;;
	👨🏼‍🦽‍➡️;;
	👨🏽‍🦽‍➡️;;
	👨🏾‍🦽‍➡️;;
	👨🏿‍🦽‍➡️;;
👩‍🦽;;
	👩🏻‍🦽;;
	👩🏼‍🦽;;
	👩🏽‍🦽;;
	👩🏾‍🦽;;
	👩🏿‍🦽;;
👩‍🦽‍➡️;;
	👩🏻‍🦽‍➡️;;
	👩🏼‍🦽‍➡️;;
	👩🏽‍🦽‍➡️;;
	👩🏾‍🦽‍➡️;;
	👩🏿‍🦽‍➡️;;
🏃;lafend Persoun;lafen|lafend Persoun|Marathon
	🏃🏻;lafend Persoun: hell Hautfaarf;hell Hautfaarf|lafen|lafend Persoun|lafend Persoun: hell Hautfaarf|Marathon
	🏃🏼;lafend Persoun: mëttelhell Hautfaarf;lafen|lafend Persoun|lafend Persoun: mëttelhell Hautfaarf|Marathon|mëttelhell Hautfaarf
	🏃🏽;lafend Persoun: mëttel Hautfaarf;lafen|lafend Persoun|lafend Persoun: mëttel Hautfaarf|Marathon|mëttel Hautfaarf
	🏃🏾;lafend Persoun: mëtteldäischter Hautfaarf;lafen|lafend Persoun|lafend Persoun: mëtteldäischter Hautfaarf|Marathon|mëtteldäischter Hautfaarf
	🏃🏿;lafend Persoun: däischter Hautfaarf;däischter Hautfaarf|lafen|lafend Persoun|lafend Persoun: däischter Hautfaarf|Marathon
🏃‍♂️;lafende Mann;Course|lafen|lafende Mann|Mann|Marathon
	🏃🏻‍♂️;lafende Mann: hell Hautfaarf;Course|hell Hautfaarf|lafen|lafende Mann|lafende Mann: hell Hautfaarf|Mann|Marathon
	🏃🏼‍♂️;lafende Mann: mëttelhell Hautfaarf;Course|lafen|lafende Mann|lafende Mann: mëttelhell Hautfaarf|Mann|Marathon|mëttelhell Hautfaarf
	🏃🏽‍♂️;lafende Mann: mëttel Hautfaarf;Course|lafen|lafende Mann|lafende Mann: mëttel Hautfaarf|Mann|Marathon|mëttel Hautfaarf
	🏃🏾‍♂️;lafende Mann: mëtteldäischter Hautfaarf;Course|lafen|lafende Mann|lafende Mann: mëtteldäischter Hautfaarf|Mann|Marathon|mëtteldäischter Hautfaarf
	🏃🏿‍♂️;lafende Mann: däischter Hautfaarf;Course|däischter Hautfaarf|lafen|lafende Mann|lafende Mann: däischter Hautfaarf|Mann|Marathon
🏃‍♀️;lafend Fra;Course|Fra|lafen|lafend Fra|Marathon
	🏃🏻‍♀️;lafend Fra: hell Hautfaarf;Course|Fra|hell Hautfaarf|lafen|lafend Fra|lafend Fra: hell Hautfaarf|Marathon
	🏃🏼‍♀️;lafend Fra: mëttelhell Hautfaarf;Course|Fra|lafen|lafend Fra|lafend Fra: mëttelhell Hautfaarf|Marathon|mëttelhell Hautfaarf
	🏃🏽‍♀️;lafend Fra: mëttel Hautfaarf;Course|Fra|lafen|lafend Fra|lafend Fra: mëttel Hautfaarf|Marathon|mëttel Hautfaarf
	🏃🏾‍♀️;lafend Fra: mëtteldäischter Hautfaarf;Course|Fra|lafen|lafend Fra|lafend Fra: mëtteldäischter Hautfaarf|Marathon|mëtteldäischter Hautfaarf
	🏃🏿‍♀️;lafend Fra: däischter Hautfaarf;Course|däischter Hautfaarf|Fra|lafen|lafend Fra|lafend Fra: däischter Hautfaarf|Marathon
🏃‍➡️;;
	🏃🏻‍➡️;;
	🏃🏼‍➡️;;
	🏃🏽‍➡️;;
	🏃🏾‍➡️;;
	🏃🏿‍➡️;;
🏃‍♀️‍➡️;;
	🏃🏻‍♀️‍➡️;;
	🏃🏼‍♀️‍➡️;;
	🏃🏽‍♀️‍➡️;;
	🏃🏾‍♀️‍➡️;;
	🏃🏿‍♀️‍➡️;;
🏃‍♂️‍➡️;;
	🏃🏻‍♂️‍➡️;;
	🏃🏼‍♂️‍➡️;;
	🏃🏽‍♂️‍➡️;;
	🏃🏾‍♂️‍➡️;;
	🏃🏿‍♂️‍➡️;;
💃;danzend Fra;danzend|Fra
	💃🏻;danzend Fra: hell Hautfaarf;danzend|danzend Fra: hell Hautfaarf|Fra|hell Hautfaarf
	💃🏼;danzend Fra: mëttelhell Hautfaarf;danzend|danzend Fra: mëttelhell Hautfaarf|Fra|mëttelhell Hautfaarf
	💃🏽;danzend Fra: mëttel Hautfaarf;danzend|danzend Fra: mëttel Hautfaarf|Fra|mëttel Hautfaarf
	💃🏾;danzend Fra: mëtteldäischter Hautfaarf;danzend|danzend Fra: mëtteldäischter Hautfaarf|Fra|mëtteldäischter Hautfaarf
	💃🏿;danzend Fra: däischter Hautfaarf;däischter Hautfaarf|danzend|danzend Fra: däischter Hautfaarf|Fra
🕺;danzende Mann;danzen|danzende Mann|Mann
	🕺🏻;danzende Mann: hell Hautfaarf;danzen|danzende Mann|danzende Mann: hell Hautfaarf|hell Hautfaarf|Mann
	🕺🏼;danzende Mann: mëttelhell Hautfaarf;danzen|danzende Mann|danzende Mann: mëttelhell Hautfaarf|Mann|mëttelhell Hautfaarf
	🕺🏽;danzende Mann: mëttel Hautfaarf;danzen|danzende Mann|danzende Mann: mëttel Hautfaarf|Mann|mëttel Hautfaarf
	🕺🏾;danzende Mann: mëtteldäischter Hautfaarf;danzen|danzende Mann|danzende Mann: mëtteldäischter Hautfaarf|Mann|mëtteldäischter Hautfaarf
	🕺🏿;danzende Mann: däischter Hautfaarf;däischter Hautfaarf|danzen|danzende Mann|danzende Mann: däischter Hautfaarf|Mann
🕴️;levitéierende Man am Kostüm;Geschäft|Kostüm|levitéierende Man am Kostüm|Mann
	🕴🏻;levitéierende Man am Kostüm: hell Hautfaarf;Geschäft|hell Hautfaarf|Kostüm|levitéierende Man am Kostüm|levitéierende Man am Kostüm: hell Hautfaarf|Mann
	🕴🏼;levitéierende Man am Kostüm: mëttelhell Hautfaarf;Geschäft|Kostüm|levitéierende Man am Kostüm|levitéierende Man am Kostüm: mëttelhell Hautfaarf|Mann|mëttelhell Hautfaarf
	🕴🏽;levitéierende Man am Kostüm: mëttel Hautfaarf;Geschäft|Kostüm|levitéierende Man am Kostüm|levitéierende Man am Kostüm: mëttel Hautfaarf|Mann|mëttel Hautfaarf
	🕴🏾;levitéierende Man am Kostüm: mëtteldäischter Hautfaarf;Geschäft|Kostüm|levitéierende Man am Kostüm|levitéierende Man am Kostüm: mëtteldäischter Hautfaarf|Mann|mëtteldäischter Hautfaarf
	🕴🏿;levitéierende Man am Kostüm: däischter Hautfaarf;däischter Hautfaarf|Geschäft|Kostüm|levitéierende Man am Kostüm|levitéierende Man am Kostüm: däischter Hautfaarf|Mann
👯;Persoun mat Huesoueren;Dänzer|feieren|Huesoueren|Party|Persoun mat Huesoueren
👯‍♂️;Männer mat Huesoueren;Dänzer|feieren|Huesoueren|Männer|Männer mat Huesoueren|Party
👯‍♀️;Frae mat Huesoueren;Dänzerin|feieren|Frae mat Huesoueren|Fraen|Huesoueren|Party
🧖;Persoun am Dampbad;Dampbad|Persoun am Dampbad|Sauna
	🧖🏻;Persoun am Dampbad: hell Hautfaarf;Dampbad|hell Hautfaarf|Persoun am Dampbad|Persoun am Dampbad: hell Hautfaarf|Sauna
	🧖🏼;Persoun am Dampbad: mëttelhell Hautfaarf;Dampbad|mëttelhell Hautfaarf|Persoun am Dampbad|Persoun am Dampbad: mëttelhell Hautfaarf|Sauna
	🧖🏽;Persoun am Dampbad: mëttel Hautfaarf;Dampbad|mëttel Hautfaarf|Persoun am Dampbad|Persoun am Dampbad: mëttel Hautfaarf|Sauna
	🧖🏾;Persoun am Dampbad: mëtteldäischter Hautfaarf;Dampbad|mëtteldäischter Hautfaarf|Persoun am Dampbad|Persoun am Dampbad: mëtteldäischter Hautfaarf|Sauna
